Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,4.27,4.24,3.97,4.2,296,58588
2013-01-03,4.24,4.15,4.125,4.24,93,16343
2013-01-04,4.21,4.18,4.1,4.2,83,17606
2013-01-07,4.35,4.12,4.1,4.15,96,14585
2013-01-08,4.17,4.09,3.92,4.09,126,18073
2013-01-09,4.14,3.99,3.89,4.14,107,16822
2013-01-10,4.24,4.09,4.0,4.0,160,21114
2013-01-11,4.18,4.02,3.96,4.12,187,26624
2013-01-14,4.08,4.04,4.02,4.02,16,6672
2013-01-15,4.1,4.08,4.05,4.05,50,14351
2013-01-16,4.08,4.06,4.05,4.07,79,22884
2013-01-17,4.16,4.1,4.07,4.09,47,12706
2013-01-18,4.14,4.14,4.1,4.1,17,18356
2013-01-22,4.24,4.23,4.13,4.16,68,19440
2013-01-23,4.38,4.34,4.17,4.18,77,18235
2013-01-24,4.36,4.2,4.19,4.36,42,6734
2013-01-25,4.23,4.17,4.14,4.23,56,8324
2013-01-28,4.35,4.35,4.17,4.17,81,16850
2013-01-29,4.47,4.38,4.34,4.35,176,39101
2013-01-30,4.44,4.36,4.35,4.36,81,15917
2013-01-31,4.58,4.55,4.37,4.37,230,74596
2013-02-01,4.61,4.58,4.51,4.55,123,26010
2013-02-04,4.54,4.48,4.43,4.54,72,13447
2013-02-05,4.67,4.61,4.5,4.52,144,24201
2013-02-06,4.95,4.86,4.62,4.62,230,52569
2013-02-07,4.92,4.88,4.77,4.9,96,21074
2013-02-08,4.9,4.7,4.66,4.9,134,27490
2013-02-11,4.75,4.72,4.64,4.71,156,29779
2013-02-12,4.73,4.54,4.44,4.73,119,28297
2013-02-13,4.54,4.35,4.32,4.54,70,9861
2013-02-14,4.46,4.37,4.35,4.35,60,12493
2013-02-15,4.41,4.36,4.35,4.41,29,23232
2013-02-19,4.57,4.56,4.26,4.35,123,34396
2013-02-20,4.62,4.32,4.32,4.55,72,25810
2013-02-21,4.37,4.26,4.25,4.34,38,6943
