Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,37.69,36.15,35.73,37.69,181,28237
2013-01-03,36.66,36.37,35.72,36.1,149,19193
2013-01-04,37.39,37.22,36.47,36.6,46,9003
2013-01-07,37.59,37.39,37.08,37.28,77,15455
2013-01-08,37.78,37.74,37.27,37.27,91,21527
2013-01-09,38.6,38.52,37.68,37.92,57,9262
2013-01-10,38.85,38.55,38.44,38.55,37,5068
2013-01-11,38.88,38.69,38.42,38.62,36,7218
2013-01-14,38.8,38.59,38.41,38.59,56,9118
2013-01-15,38.53,38.5,38.41,38.41,139,16365
2013-01-16,38.7,38.45,38.41,38.5,56,13228
2013-01-17,38.85,38.79,38.48,38.72,122,16223
2013-01-18,39.44,39.37,38.83,38.83,58,12827
2013-01-22,48.64,44.2,43.0,44.0,716,99799
2013-01-23,43.39,43.13,41.68,43.18,507,64058
2013-01-24,44.0,43.88,42.84,43.1,298,33511
2013-01-25,44.04,42.91,42.6,44.01,190,24592
2013-01-28,43.25,42.53,42.215,42.7,113,17208
2013-01-29,42.86,42.72,41.86,42.5,206,26678
2013-01-30,42.66,42.45,42.1,42.6,242,27878
2013-01-31,43.72,43.28,42.38,42.45,318,65154
2013-02-01,43.67,43.4,42.72,43.67,243,34196
2013-02-04,43.0,42.72,42.38,43.0,145,21047
2013-02-05,43.94,43.84,42.42,42.81,128,15529
2013-02-06,44.16,44.08,43.54,43.56,156,18278
2013-02-07,43.93,43.74,43.18,43.93,55,7499
2013-02-08,44.27,43.67,43.62,43.95,57,8393
2013-02-11,43.85,42.96,42.85,43.57,58,8463
2013-02-12,43.68,43.56,42.63,42.88,81,11422
2013-02-13,43.7,43.57,42.965,43.7,75,12160
2013-02-14,43.75,43.7,43.35,43.35,43,7129
2013-02-15,44.11,43.64,43.56,44.01,65,14862
2013-02-19,44.95,44.68,43.67,43.67,66,10746
2013-02-20,45.25,44.98,44.31,44.78,204,28314
2013-02-21,45.27,44.34,44.0,44.89,264,44091
2013-02-22,48.83,48.63,43.82,44.86,243,33328
2013-02-25,49.94,47.83,47.63,49.05,186,22964
2013-02-26,48.21,47.76,46.93,48.1,114,18607
2013-02-27,48.12,47.38,47.33,47.59,61,9028
2013-02-28,48.04,47.0,46.86,47.28,141,22373
2013-03-01,47.3,46.28,46.12,46.57,245,28378
2013-03-04,46.73,46.49,46.0,46.41,150,22298
2013-03-05,46.98,46.73,46.64,46.64,51,11072
2013-03-06,47.02,45.91,45.75,46.8,102,11220
2013-03-07,46.4,46.4,45.63,46.05,109,15111
2013-03-08,47.08,46.4,46.0,46.82,158,20176
2013-03-11,46.73,45.92,45.73,46.14,120,14932
2013-03-12,46.15,46.02,45.75,45.92,139,15451
2013-03-13,46.63,45.97,45.93,46.19,96,11488
2013-03-14,46.21,46.02,45.92,46.18,68,9245
2013-03-15,46.37,45.22,44.85,46.0,269,82640
2013-03-18,45.82,45.65,44.88,44.88,51,6927
2013-03-19,47.1,46.99,45.7,45.75,103,12646
2013-03-20,47.67,47.6,47.22,47.43,89,11706
2013-03-21,47.49,47.2,47.05,47.2,67,10523
2013-03-22,47.7,47.55,47.08,47.28,41,7768
2013-03-25,47.93,47.72,47.14,47.87,39,8216
2013-03-26,48.5,48.39,47.31,47.84,43,5507
2013-03-27,48.22,48.16,47.59,47.92,62,8045
2013-03-28,48.77,48.51,47.93,48.29,76,14517
2013-04-01,49.0,48.75,48.26,48.68,76,13684
2013-04-02,49.65,48.62,48.59,49.1,29,5321
2013-04-03,48.87,48.56,48.19,48.85,58,9118
2013-04-04,49.49,49.3,48.38,48.38,56,9501
2013-04-05,48.78,47.13,46.93,48.62,129,25709
2013-04-08,47.91,47.64,46.89,47.44,49,8037
2013-04-09,47.94,47.39,47.28,47.88,71,11208
2013-04-10,49.68,49.39,47.72,47.72,86,11143
2013-04-11,50.38,49.26,49.08,49.18,70,8530
2013-04-12,49.81,49.63,48.75,48.99,39,5642
2013-04-15,49.58,47.97,47.72,49.31,74,11574
2013-04-16,48.53,48.36,47.71,48.32,114,17088
2013-04-17,48.66,46.92,46.67,48.05,129,16315
2013-04-18,47.32,46.83,46.69,47.21,57,8953
2013-04-19,48.46,48.32,46.76,46.76,50,10761
2013-04-22,49.39,49.19,48.0,48.6,80,25248
2013-04-23,50.66,50.46,48.98,49.69,81,18952
2013-04-24,51.07,49.94,49.77,50.27,62,14218
2013-04-25,50.1,49.57,49.32,50.0,128,16146
2013-04-26,50.0,49.81,48.95,49.47,74,11717
2013-04-29,50.72,50.38,49.9,50.17,101,15197
2013-04-30,51.06,50.77,49.0,49.75,193,30860
2013-05-01,51.85,49.63,49.56,50.76,133,24290
2013-05-02,50.96,50.26,49.08,49.25,76,17583
2013-05-03,51.57,51.01,50.95,50.96,66,8931
2013-05-06,51.0,49.43,49.1,51.0,135,15037
2013-05-07,49.37,49.04,48.26,49.37,128,15117
2013-05-08,49.93,49.65,48.75,48.75,105,13279
2013-05-09,49.95,48.87,48.83,49.78,45,7109
2013-05-10,49.365,49.18,48.41,48.97,94,15858
2013-05-13,49.41,49.36,49.0,49.25,33,5812
2013-05-14,50.7,50.54,49.34,49.34,49,11771
2013-05-15,50.5,50.39,50.16,50.24,53,6782
2013-05-16,51.19,50.74,50.14,50.38,95,10799
2013-05-17,51.32,51.23,50.68,51.02,97,20489
2013-05-20,50.9,49.73,49.64,50.9,74,10242
2013-05-21,49.9,49.57,49.37,49.89,65,11264
2013-05-22,50.0,48.86,48.25,49.48,110,16128
2013-05-23,50.54,50.54,48.4,48.5,57,8926
2013-05-24,50.49,50.49,49.78,50.32,51,6330
2013-05-28,51.44,51.03,50.69,51.34,117,28264
2013-05-29,50.81,50.41,49.5,50.58,102,16463
2013-05-30,50.98,50.59,50.45,50.45,71,8862
2013-05-31,50.25,49.77,49.77,50.19,62,14806
2013-06-03,50.35,50.28,49.15,50.08,82,20325
2013-06-04,50.6,49.4,48.93,50.27,119,26217
2013-06-05,49.28,48.32,48.3,49.28,143,22822
2013-06-06,49.84,49.84,47.96,48.32,161,26228
2013-06-07,50.44,50.05,49.69,50.32,74,9367
2013-06-10,50.83,50.83,49.65,49.76,105,13011
2013-06-11,50.69,49.55,49.45,50.06,96,12463
2013-06-12,50.08,49.12,48.68,50.08,113,16912
2013-06-13,50.37,50.26,49.12,49.14,127,20834
2013-06-14,50.7,49.65,49.5,50.27,122,17084
2013-06-17,50.5,49.23,48.69,50.29,117,15169
