Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,8.64,8.6,8.23,8.24,1219,226555
2013-01-03,8.85,8.56,8.52,8.85,932,150711
2013-01-04,8.66,8.49,8.48,8.66,510,90072
2013-01-07,8.59,8.57,8.41,8.47,352,65481
2013-01-08,8.59,8.43,8.42,8.59,449,82280
2013-01-09,8.645,8.56,8.48,8.48,388,76306
2013-01-10,8.79,8.71,8.62,8.68,377,75125
2013-01-11,8.755,8.75,8.635,8.72,288,57726
2013-01-14,8.77,8.76,8.68,8.75,460,80891
2013-01-15,8.76,8.7,8.66,8.71,580,83739
2013-01-16,8.75,8.73,8.65,8.65,585,124290
2013-01-17,8.98,8.93,8.74,8.75,874,138542
2013-01-18,9.21,9.16,8.96,8.96,542,122341
2013-01-22,9.3,9.29,9.01,9.2,517,112995
2013-01-23,9.34,9.31,9.205,9.31,608,101911
2013-01-24,9.42,9.32,9.25,9.34,747,104666
2013-01-25,9.58,9.58,9.33,9.41,512,84193
2013-01-28,9.65,9.39,9.305,9.64,1208,201144
2013-01-29,9.38,9.38,9.225,9.35,814,150327
2013-01-30,9.48,9.44,9.33,9.41,615,109564
2013-01-31,9.55,9.36,9.28,9.45,751,135799
2013-02-01,9.79,9.68,9.32,9.47,1781,296284
2013-02-04,9.63,9.26,9.25,9.53,971,161074
2013-02-05,9.89,9.87,9.36,9.36,1207,177070
2013-02-06,9.98,9.96,9.71,9.76,836,124965
2013-02-07,9.96,9.9,9.77,9.96,613,87720
2013-02-08,10.08,9.94,9.94,9.95,694,113801
2013-02-11,9.98,9.96,9.85,9.91,336,54476
2013-02-12,10.08,10.04,9.93,9.95,394,75090
2013-02-13,10.17,10.12,10.04,10.08,565,97000
2013-02-14,10.22,10.21,9.95,10.03,412,80349
2013-02-15,10.27,10.24,10.11,10.24,450,123042
2013-02-19,10.45,10.4,10.2,10.24,439,116970
2013-02-20,10.5,10.11,10.11,10.44,631,146374
2013-02-21,10.16,10.12,9.91,10.08,840,127047
2013-02-22,10.29,10.19,10.14,10.18,754,123025
2013-02-25,10.25,9.88,9.835,10.25,713,119196
2013-02-26,10.06,9.99,9.88,9.95,508,93878
2013-02-27,10.17,10.04,9.98,9.98,611,106069
2013-02-28,10.195,10.11,9.99,9.99,516,87343
2013-03-01,10.16,10.08,9.97,10.01,417,198428
2013-03-04,10.08,10.02,9.88,10.02,332,73882
2013-03-05,10.37,10.17,10.12,10.12,451,85683
2013-03-06,10.16,10.05,9.98,10.15,556,84381
2013-03-07,10.08,10.03,9.95,10.03,475,65843
2013-03-08,10.18,10.15,10.07,10.1,406,76464
2013-03-11,10.19,10.15,10.05,10.14,323,60148
2013-03-12,10.165,10.05,9.96,10.11,295,57277
2013-03-13,10.18,10.14,9.9,10.03,394,59124
2013-03-14,10.29,10.29,10.14,10.14,498,82178
2013-03-15,10.3,10.0,9.91,10.3,511,214706
2013-03-18,9.93,9.81,9.44,9.85,399,63581
2013-03-19,9.95,9.94,9.77,9.84,543,76277
2013-03-20,10.01,10.0,9.79,10.0,495,75535
2013-03-21,10.03,9.91,9.87,9.87,375,57133
2013-03-22,9.98,9.94,9.87,9.98,384,64344
2013-03-25,10.19,10.09,10.0,10.0,371,62536
2013-03-26,10.24,10.24,10.07,10.18,301,41386
2013-03-27,10.15,10.15,9.98,10.12,387,60606
2013-03-28,10.24,10.18,10.12,10.21,327,79700
2013-04-01,10.16,10.01,9.97,10.15,536,91521
2013-04-02,10.09,9.75,9.69,10.09,763,109713
2013-04-03,9.81,9.46,9.42,9.81,674,103706
2013-04-04,9.7,9.7,9.45,9.46,431,66908
2013-04-05,9.62,9.49,9.44,9.49,505,107455
2013-04-08,9.65,9.65,9.25,9.54,414,63834
2013-04-09,9.73,9.58,9.55,9.69,265,55352
2013-04-10,9.93,9.92,9.64,9.65,374,61507
2013-04-11,10.1,9.84,9.82,9.9,485,74671
2013-04-12,9.85,9.65,9.61,9.84,417,69656
2013-04-15,9.67,9.16,9.13,9.51,874,152660
2013-04-16,9.4,9.38,9.16,9.22,703,100558
2013-04-17,9.32,9.08,9.04,9.3,1158,166393
2013-04-18,9.25,8.9,8.85,9.13,941,152082
2013-04-19,9.06,9.0,8.82,8.89,604,127299
2013-04-22,9.06,9.01,8.78,9.03,695,103609
2013-04-23,9.32,9.26,9.09,9.13,842,153271
2013-04-24,9.35,9.3,9.25,9.25,565,89676
2013-04-25,9.57,9.43,9.35,9.36,629,117846
2013-04-26,9.43,9.33,9.24,9.43,459,86416
2013-04-29,9.66,9.64,9.3,9.41,483,72959
2013-04-30,9.83,9.72,9.56,9.61,585,128996
2013-05-01,9.71,9.21,9.19,9.7,947,167004
2013-05-02,9.51,9.45,9.23,9.25,527,88112
2013-05-03,9.84,9.76,9.61,9.61,828,120903
2013-05-06,9.92,9.85,9.71,9.74,660,98886
2013-05-07,9.9,9.73,9.63,9.9,571,90675
2013-05-08,9.81,9.81,9.4,9.64,668,111746
2013-05-09,9.91,9.68,9.61,9.78,700,111212
2013-05-10,10.07,10.07,9.69,9.7,613,98479
2013-05-13,9.98,9.91,9.83,9.91,600,94821
2013-05-14,9.99,9.89,9.83,9.89,555,118011
2013-05-15,10.0,9.94,9.76,9.8,524,82246
2013-05-16,10.03,9.8,9.77,9.93,644,93929
2013-05-17,9.95,9.95,9.8,9.87,407,110349
2013-05-20,10.26,10.25,9.89,9.94,834,121504
2013-05-21,10.45,10.3,10.24,10.28,676,110792
2013-05-22,10.49,10.24,10.17,10.29,1061,161065
2013-05-23,10.31,10.31,10.12,10.15,498,78135
2013-05-24,10.44,10.36,10.21,10.26,610,86684
2013-05-28,10.66,10.55,10.37,10.52,911,161829
2013-05-29,10.65,10.61,10.46,10.48,531,77117
2013-05-30,10.84,10.84,10.61,10.65,482,89429
2013-05-31,10.89,10.65,10.63,10.75,714,125843
2013-06-03,10.94,10.79,10.68,10.68,1244,238138
2013-06-04,10.88,10.61,10.51,10.82,889,172386
2013-06-05,10.55,10.26,10.24,10.48,749,104366
2013-06-06,10.41,10.3,10.07,10.28,613,111158
2013-06-07,10.44,10.42,10.15,10.37,369,61935
2013-06-10,10.48,10.47,10.29,10.48,496,72578
2013-06-11,10.4,10.21,10.21,10.3,259,35865
2013-06-12,10.42,10.06,10.06,10.31,323,54657
2013-06-13,10.34,10.32,10.01,10.04,299,45797
2013-06-14,10.32,10.14,10.05,10.32,364,50952
2013-06-17,10.41,10.23,10.13,10.3,323,51203
2013-06-18,10.44,10.38,10.24,10.28,447,72554
2013-06-19,10.4,10.04,10.03,10.4,763,102426
2013-06-20,9.86,9.72,9.68,9.85,528,96500
2013-06-21,9.91,9.84,9.64,9.75,659,283657
2013-06-24,9.88,9.66,9.58,9.78,745,144395
2013-06-25,9.91,9.83,9.65,9.8,675,135535
2013-06-26,9.9,9.72,9.72,9.88,468,78833
2013-06-27,9.87,9.73,9.72,9.78,598,99399
2013-06-28,9.85,9.73,9.7,9.7,476,161112
2013-07-01,9.97,9.86,9.8,9.8,491,83996
2013-07-02,9.99,9.84,9.75,9.82,396,58815
2013-07-03,9.98,9.93,9.74,9.8,245,42850
2013-07-05,10.24,10.24,9.96,10.19,388,74268
2013-07-08,10.31,10.09,10.08,10.26,397,82625
2013-07-09,10.38,10.3,10.14,10.14,564,116050
2013-07-10,10.46,10.37,10.29,10.32,800,126627
2013-07-11,10.53,10.3,10.27,10.49,825,125104
2013-07-12,10.38,10.36,10.29,10.31,387,60100
2013-07-15,10.56,10.4,10.34,10.46,668,108845
2013-07-16,10.47,10.38,10.29,10.44,806,120949
2013-07-17,10.51,10.38,10.35,10.48,736,120303
2013-07-18,10.46,10.34,10.33,10.45,726,108065
2013-07-19,10.36,10.33,10.28,10.33,768,155304
2013-07-22,10.45,10.38,10.3,10.36,580,80985
2013-07-23,10.52,10.38,10.375,10.46,771,144976
2013-07-24,10.48,10.19,10.16,10.48,781,135891
2013-07-25,10.415,10.31,10.17,10.18,1094,157971
2013-07-26,10.28,10.16,10.09,10.18,525,92466
2013-07-29,10.23,9.97,9.9,10.06,509,89564
2013-07-30,10.05,9.87,9.835,10.04,454,92013
2013-07-31,9.91,9.82,9.76,9.89,765,124998
2013-08-01,9.98,9.93,9.89,9.9,423,84876
2013-08-02,9.9,9.75,9.69,9.88,562,101780
2013-08-05,10.05,10.05,9.7,9.74,769,150994
2013-08-06,10.05,9.85,9.82,10.05,436,65612
2013-08-07,9.84,9.71,9.68,9.79,431,63139
2013-08-08,9.89,9.8,9.72,9.83,602,85077
2013-08-09,9.58,9.32,9.21,9.58,1134,189059
2013-08-12,9.47,9.35,9.17,9.17,738,116141
2013-08-13,9.4,9.36,9.34,9.39,622,95842
2013-08-14,9.43,9.34,9.33,9.33,600,125832
2013-08-15,9.23,8.97,8.95,9.21,572,97515
2013-08-16,9.08,8.93,8.93,8.93,413,89038
2013-08-19,8.99,8.93,8.92,8.95,497,94039
2013-08-20,9.1,9.02,8.93,8.96,438,67231
2013-08-21,9.06,8.97,8.9,8.96,530,66252
2013-08-22,9.15,9.11,9.0,9.0,358,73518
2013-08-23,9.12,9.05,8.99,9.12,432,73283
2013-08-26,9.15,9.12,9.01,9.05,286,37470
2013-08-27,9.01,8.97,8.92,8.99,661,103121
2013-08-28,9.18,8.97,8.93,9.16,673,109151
2013-08-29,9.15,9.08,8.97,8.97,319,58975
2013-08-30,9.05,8.8,8.795,9.04,440,106454
2013-09-03,9.2,8.82,8.74,8.98,690,102754
2013-09-04,9.02,8.98,8.78,8.78,293,93443
2013-09-05,9.12,9.05,8.93,9.01,361,49716
2013-09-06,9.16,9.14,8.92,9.13,481,67329
2013-09-09,9.255,9.24,9.13,9.18,373,63906
2013-09-10,9.42,9.36,9.23,9.3,402,61224
2013-09-11,9.49,9.42,9.34,9.36,253,55450
2013-09-12,9.47,9.3,9.28,9.44,289,57415
2013-09-13,9.36,9.31,9.2,9.36,170,27923
2013-09-16,9.49,9.3,9.26,9.49,315,79736
2013-09-17,9.385,9.3,9.27,9.3,341,59496
2013-09-18,9.45,9.39,9.21,9.32,330,53989
2013-09-19,9.43,9.4,9.33,9.43,196,27454
2013-09-20,9.39,9.28,9.17,9.39,622,256913
2013-09-23,9.37,9.25,9.14,9.33,801,135089
2013-09-24,9.37,9.24,9.23,9.29,651,102560
2013-09-25,9.34,9.27,9.185,9.24,685,98292
2013-09-26,9.315,9.3,9.235,9.28,465,81310
2013-09-27,9.29,9.24,9.135,9.21,331,65565
2013-09-30,9.32,9.31,9.09,9.13,401,138387
2013-10-01,9.4,9.38,9.3,9.33,391,80382
2013-10-02,9.35,9.28,9.26,9.31,249,54455
2013-10-03,9.3,9.19,9.08,9.23,423,92895
2013-10-04,9.28,9.27,9.16,9.17,167,32512
2013-10-07,9.23,9.2,9.15,9.17,296,76001
2013-10-08,9.24,9.08,9.03,9.24,458,96042
2013-10-09,9.2,9.06,9.02,9.15,441,83856
2013-10-10,9.27,9.25,9.21,9.23,282,54693
2013-10-11,9.37,9.35,9.18,9.2,369,66977
2013-10-14,9.43,9.39,9.31,9.31,386,92327
2013-10-15,9.41,9.27,9.25,9.33,479,96428
2013-10-16,9.39,9.28,9.22,9.35,402,95583
2013-10-17,9.34,9.3,9.22,9.27,410,143387
2013-10-18,9.54,9.5,9.26,9.39,478,120916
2013-10-21,9.63,9.54,9.53,9.55,366,71667
2013-10-22,9.72,9.56,9.54,9.63,414,85475
2013-10-23,9.535,9.42,9.35,9.51,474,116098
2013-10-24,9.67,9.63,9.47,9.52,571,96735
2013-10-25,9.74,9.69,9.61,9.7,511,103011
2013-10-28,9.805,9.735,9.63,9.71,383,73772
2013-10-29,9.86,9.84,9.74,9.75,327,73700
2013-10-30,9.88,9.71,9.7,9.88,310,66360
2013-10-31,9.75,9.64,9.63,9.69,379,78508
2013-11-01,9.63,9.46,9.41,9.62,438,122512
2013-11-04,9.56,9.55,9.46,9.5,406,99737
2013-11-05,9.48,9.45,9.3,9.47,625,115827
2013-11-06,9.54,9.45,9.34,9.54,397,64073
2013-11-07,9.48,9.4,9.34,9.47,419,87680
2013-11-08,9.74,9.66,9.435,9.47,898,154632
2013-11-11,9.79,9.78,9.55,9.6,404,107915
2013-11-12,9.87,9.82,9.73,9.76,538,97161
2013-11-13,9.98,9.95,9.65,9.7,512,101623
2013-11-14,10.33,10.28,9.67,10.1,964,228379
2013-11-15,10.41,10.24,10.09,10.37,1073,195899
2013-11-18,10.32,10.19,10.13,10.21,957,177811
