Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,39.055,38.95,38.71,39.0,178,27012
2013-01-03,39.02,38.89,38.73,39.0,45,7376
2013-01-04,39.88,39.83,38.86,38.86,112,15640
2013-01-07,39.74,39.66,39.42,39.59,93,15303
2013-01-08,40.97,40.89,39.75,39.75,40,5852
2013-01-09,41.01,40.89,40.8,40.9,55,9391
2013-01-10,41.71,41.55,41.2,41.26,39,5698
2013-01-11,41.82,41.61,41.61,41.8,48,6295
2013-01-14,42.0,41.45,41.36,42.0,86,12474
2013-01-15,41.61,40.64,40.29,41.44,105,13688
2013-01-16,40.62,40.14,40.01,40.62,102,12140
2013-01-17,41.84,41.27,40.27,40.37,152,19529
2013-01-18,41.77,41.44,41.01,41.48,78,17738
2013-01-22,41.58,41.39,41.23,41.56,107,14160
2013-01-23,41.52,41.13,41.13,41.49,77,10354
2013-01-24,41.45,41.3,41.22,41.27,78,8695
2013-01-25,41.51,40.39,40.1,41.5,56,6333
2013-01-28,40.2,40.05,39.34,40.09,89,13481
2013-01-29,40.65,40.25,39.93,39.94,44,6832
2013-01-30,40.19,40.03,39.955,40.19,62,7332
2013-01-31,40.96,40.24,39.87,40.06,114,18009
2013-02-01,40.32,40.23,40.2,40.25,66,7892
2013-02-04,40.22,39.81,39.73,39.73,37,6793
2013-02-05,40.2,40.09,39.87,39.9,63,8146
2013-02-06,40.12,39.65,39.54,40.01,68,7893
2013-02-07,40.25,40.18,38.16,39.76,84,11483
2013-02-08,41.15,40.52,40.2,40.25,34,6494
2013-02-11,40.59,40.52,39.72,40.58,28,4509
2013-02-12,41.3,40.9,40.52,40.52,37,4894
2013-02-13,42.34,42.13,40.33,40.98,149,19974
2013-02-14,43.395,43.32,42.1,42.15,77,9791
2013-02-15,43.99,43.93,43.08,43.7,69,16822
2013-02-19,46.32,45.26,44.05,44.05,184,25303
2013-02-20,45.66,44.25,44.25,45.42,79,12577
2013-02-21,44.98,43.69,43.27,44.13,87,11955
2013-02-22,44.59,44.47,43.99,44.08,57,8305
2013-02-25,45.27,44.56,44.2,44.72,133,15407
2013-02-26,45.16,44.57,44.41,44.41,117,14197
2013-02-27,44.79,44.29,43.72,44.64,103,13046
2013-02-28,44.74,43.68,43.37,44.22,74,12981
2013-03-01,44.85,44.61,43.68,43.68,88,10765
2013-03-04,44.93,44.88,44.62,44.77,63,8442
2013-03-05,45.57,45.27,44.92,44.96,97,13665
2013-03-06,46.7,46.11,45.46,45.59,74,9984
2013-03-07,46.76,46.73,46.11,46.15,60,8246
2013-03-08,49.15,48.78,46.83,47.21,140,18001
2013-03-11,49.62,49.35,48.04,48.82,105,14546
2013-03-12,50.16,49.07,48.87,49.42,156,19687
2013-03-13,48.76,47.98,47.45,48.67,131,18035
2013-03-14,48.52,48.17,47.425,48.19,65,8251
2013-03-15,49.24,48.29,48.0,48.0,77,34290
2013-03-18,49.48,48.92,47.94,47.94,50,6337
2013-03-19,50.01,49.65,48.93,48.93,50,6107
2013-03-20,50.72,50.72,49.76,49.76,35,4899
2013-03-21,50.74,50.22,49.27,50.61,68,10399
2013-03-22,51.6,51.14,50.55,50.61,97,14036
2013-03-25,51.57,51.52,50.76,51.11,90,12640
2013-03-26,51.56,51.41,50.45,51.56,60,7227
2013-03-27,51.5,51.22,49.6,51.14,104,11548
2013-03-28,53.27,52.66,51.87,51.87,50,12141
2013-04-01,53.65,51.53,51.23,52.87,124,16887
2013-04-02,52.01,50.99,50.84,51.61,81,12859
2013-04-03,50.96,49.91,49.52,50.91,133,17435
2013-04-04,51.8,51.77,49.6,49.69,85,13735
2013-04-05,52.6,51.68,50.78,51.2,64,8826
2013-04-08,52.34,52.32,51.43,51.96,71,11113
2013-04-09,53.84,53.24,52.55,52.55,139,17709
2013-04-10,57.46,56.55,53.5,53.5,266,36226
2013-04-11,59.24,57.58,56.99,57.09,183,22334
2013-04-12,58.0,55.96,54.78,57.6,157,22192
2013-04-15,56.61,55.27,54.25,55.58,273,33105
2013-04-16,57.06,56.95,56.07,56.07,112,16170
2013-04-17,56.77,55.55,55.09,56.72,252,38164
2013-04-18,55.95,55.38,55.37,55.9,266,36269
2013-04-19,56.6,56.5,55.17,55.38,77,16628
2013-04-22,57.26,56.33,55.61,56.88,137,16427
2013-04-23,57.2,57.03,56.7,56.81,241,30087
2013-04-24,56.88,52.57,48.91,56.88,564,70754
2013-04-25,53.85,52.56,51.32,52.26,209,29147
2013-04-26,54.62,54.05,52.19,52.53,205,25116
2013-04-29,54.74,54.07,53.71,54.36,127,15631
2013-04-30,54.09,52.94,52.58,54.0,153,20265
2013-05-01,52.81,52.29,52.03,52.81,156,32673
2013-05-02,53.025,52.87,52.04,52.21,80,13234
2013-05-03,55.75,54.7,53.5,53.5,86,11124
2013-05-06,56.76,56.29,54.08,54.54,216,30332
2013-05-07,57.5,57.0,56.14,56.95,162,22231
2013-05-08,57.95,57.76,56.67,57.35,77,10888
2013-05-09,59.22,58.69,57.57,57.57,149,25418
2013-05-10,59.61,59.27,58.39,59.07,47,8042
2013-05-13,59.63,58.48,57.61,59.25,100,14088
2013-05-14,60.62,60.17,58.47,58.63,69,8501
