Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,9.68,9.5,9.39,9.54,47,6219
2013-01-03,9.88,9.81,9.58,9.58,20,2508
2013-01-04,9.7,9.53,9.51,9.58,29,3473
2013-01-07,9.4,9.38,9.38,9.4,5,707
2013-01-08,9.5,9.27,9.25,9.29,21,2351
2013-01-09,9.49,9.49,9.49,9.49,1,192
2013-01-10,9.41,9.37,9.19,9.41,10,1990
2013-01-11,9.34,9.29,9.21,9.34,24,2510
2013-01-14,9.29,9.04,8.93,9.29,23,5429
2013-01-15,9.01,8.94,8.77,9.01,6,1087
2013-01-16,8.91,8.91,8.87,8.9,5,892
2013-01-17,8.87,8.87,8.79,8.83,5,1490
2013-01-18,9.67,9.64,9.13,9.13,13,2041
2013-01-22,9.75,9.69,9.62,9.62,3,429
2013-01-23,9.69,9.62,9.6,9.62,24,5798
2013-01-24,9.75,9.75,9.41,9.41,33,9233
2013-01-25,9.64,9.64,9.64,9.64,1,101
2013-01-28,9.65,9.65,9.4,9.41,5,703
2013-01-29,9.65,9.65,9.63,9.63,10,6300
2013-01-30,9.81,9.74,9.74,9.76,10,1780
2013-01-31,10.0,9.52,9.52,9.69,29,7237
2013-02-01,9.85,9.74,9.56,9.79,17,6251
2013-02-04,9.9,9.9,9.78,9.84,17,4559
2013-02-05,9.8,9.62,9.62,9.8,5,700
2013-02-06,9.9,9.9,9.57,9.57,5,1412
2013-02-07,10.16,10.16,9.76,9.76,2,600
2013-02-08,10.0,9.71,9.71,10.0,3,500
2013-02-11,9.59,9.59,9.59,9.59,,
2013-02-12,9.85,9.59,9.55,9.61,7,727
2013-02-13,9.7,9.55,9.55,9.7,10,1698
2013-02-14,9.48,9.48,9.48,9.48,,
2013-02-15,9.71,9.71,9.71,9.71,,
2013-02-19,10.23,9.77,9.77,10.23,2,766
2013-02-20,10.05,9.86,9.86,10.0,28,7912
2013-02-21,9.78,9.78,9.77,9.77,,
2013-02-22,10.12,10.12,9.78,9.84,8,1187
2013-02-25,9.97,9.83,9.83,9.97,2,625
2013-02-26,9.82,9.78,9.71,9.71,10,1197
