Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-02-23,0.2001,0.2,0.2,0.2001,2,15000
2022-02-24,0.2001,0.2,0.2,0.2,7,3100
2022-02-28,0.2001,0.2001,0.2,0.2,5,11300
2022-03-01,0.2001,0.2001,0.2001,0.2001,1,10
2022-03-08,0.22,0.2071,0.2003,0.2003,9,11900
2022-03-09,0.21,0.2073,0.2073,0.21,2,150
2022-03-16,0.1601,0.16,0.1599,0.1601,14,145573
2022-03-23,0.5063,0.2,0.2,0.5063,5,1907
2022-03-24,0.2,0.2,0.2,0.2,1,63
2022-03-25,0.19,0.19,0.19,0.19,2,205
2022-03-28,,,,,5,2200
2022-03-31,0.19,0.1625,0.1625,0.1629,7,605
2022-04-04,0.1866,0.1715,0.1715,0.18,3,400
2022-04-05,0.2,0.2,0.2,0.2,1,1
2022-04-06,0.1777,0.1777,0.1777,0.1777,1,1
2022-04-22,0.2,0.2,0.11,0.1678,9,5625
2022-04-25,0.1995,0.1995,0.1,0.1,8,5105
2022-05-06,0.11,0.11,0.11,0.11,1,96
2022-05-12,0.12,0.12,0.12,0.12,4,1438
2022-05-13,0.12,0.12,0.12,0.12,4,530
2022-05-16,0.1442,0.1442,0.14,0.14,3,700
2022-05-25,0.2,0.1094,0.0203,0.2,85,9207
2022-05-26,0.14,0.14,0.14,0.14,2,210
2022-05-27,0.14,0.14,0.14,0.14,1,1
2022-06-01,0.135,0.12,0.071,0.135,5,1306
2022-06-02,0.135,0.135,0.135,0.135,18,300
2022-06-13,0.1365,0.1365,0.1365,0.1365,1,134
2022-06-29,0.14,0.14,0.064,0.1,38,5201
2022-06-30,0.15,0.1068,0.1068,0.15,8,1793
2022-07-05,0.1169,0.0753,0.0753,0.1169,3,701
2022-07-06,0.24,0.2399,0.1197,0.1197,28,9965
2022-07-07,0.2399,0.15,0.15,0.2399,4,53
2022-07-11,0.21,0.21,0.21,0.21,2,10
2022-07-13,0.1659,0.15,0.15,0.1659,2,700
2022-07-14,,,,,1,500
2022-07-15,0.12,0.12,0.12,0.12,3,5600
2022-07-18,0.1314,0.1,0.085,0.1314,20,4901
2022-07-25,0.12,0.12,0.12,0.12,1,500
2022-07-26,0.15,0.0808,0.0808,0.1439,11,1548
2022-07-27,0.1,0.1,0.09,0.0906,14,10811
2022-07-29,0.1095,0.1095,0.1095,0.1095,1,1
2022-08-09,0.1203,0.1,0.1,0.1203,11,1080
2022-08-22,,,,,1,100
2022-08-25,0.1099,0.1,0.1,0.1099,34,25430
2022-09-13,0.1,0.1,0.1,0.1,1,10
2022-09-14,0.1,0.1,0.1,0.1,2,200
2022-09-19,0.11,0.11,0.1,0.1,39,3800
2022-09-26,0.1,0.1,0.1,0.1,5,34600
2022-09-27,0.1,0.1,0.1,0.1,9,2800
2022-10-05,,,,,1,76
2022-10-10,0.1,0.1,0.1,0.1,10,5000
2022-10-11,0.11,0.11,0.1,0.1,118,16200
2022-10-25,0.11,0.11,0.11,0.11,10,5000
2022-11-29,0.1,0.1,0.1,0.1,2,600
2022-12-06,0.1,0.1,0.1,0.1,1,100
2022-12-07,0.1,0.1,0.1,0.1,1,100
2022-12-08,0.1,0.1,0.1,0.1,2,557
2022-12-16,0.12,0.12,0.11,0.11,6,10200
2022-12-19,0.22,0.22,0.22,0.22,1,100
2022-12-20,0.16,0.16,0.11,0.11,87,26300
2022-12-21,0.13,0.11,0.1001,0.13,5,553
2022-12-22,0.13,0.13,0.11,0.11,3,2750
2022-12-30,0.101,0.1,0.1,0.1,7,700
2023-01-06,0.13,0.13,0.13,0.13,1,2300
2023-01-10,0.13,0.13,0.1241,0.13,15,66718
