Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-09-15,20.03,20.03,20.03,20.03,,
2021-09-16,20.015,20.015,20.0,20.0,1,10
2021-09-17,19.96,19.95,19.95,19.96,2,200
2021-09-20,20.02,20.02,20.02,20.02,,
2021-09-21,20.01,20.01,20.01,20.01,,
2021-09-22,20.035,20.035,20.035,20.035,,
2021-09-23,19.935,19.935,19.935,19.935,,
2021-09-24,19.92,19.895,19.895,19.92,1,15
2021-09-27,19.9,19.85,19.85,19.9,1,628
2021-09-28,19.73,19.73,19.73,19.73,,
2021-09-29,19.725,19.725,19.725,19.725,,
2021-09-30,19.715,19.715,19.715,19.715,,
2021-10-01,19.815,19.815,19.815,19.815,,
2021-10-04,19.8,19.8,19.8,,6,600
2021-10-05,19.76,19.75,19.73,19.76,2,110
2021-10-06,19.73,19.71,19.69,19.73,10,4520
2021-10-07,19.7,19.65,19.65,19.7,16,1333
2021-10-08,19.56,19.555,19.555,19.56,1,100
2021-10-11,19.55,19.5382,19.5382,19.55,3,375
2021-10-12,19.585,19.585,19.56,19.57,12,1200
2021-10-13,19.655,19.655,19.655,19.655,,
2021-10-14,19.7214,19.7214,19.7214,19.7214,,
2021-10-15,19.65,19.65,19.65,,3,300
2021-10-18,19.575,19.575,19.57,19.57,1,41
2021-10-19,19.51,19.495,19.495,19.51,1,100
2021-10-20,19.495,19.47,19.47,19.495,2,200
2021-10-21,19.415,19.415,19.415,19.415,,
2021-10-22,19.46,19.46,19.46,19.46,,
2021-10-25,19.495,19.495,19.495,19.495,,
2021-10-26,19.54,19.54,19.54,19.54,,
2021-10-27,19.645,19.645,19.645,19.645,,
2021-10-28,19.63,19.605,19.605,19.63,24,5484
2021-10-29,19.6142,19.6142,19.6142,19.6142,,
2021-11-01,19.58,19.58,19.55,19.55,6,600
2021-11-02,19.64,19.64,19.64,19.64,,
2021-11-03,19.65,19.605,19.58,19.65,3,276
2021-11-04,19.715,19.715,19.715,19.715,,
2021-11-05,19.8307,19.8307,19.77,19.77,1,55
2021-11-08,19.82,19.76,19.76,19.82,2,510
2021-11-09,19.85,19.805,19.805,19.85,1,3
2021-11-10,19.71,19.645,19.645,19.71,2,200
2021-11-11,19.585,19.585,19.585,19.585,,
2021-11-12,19.6,19.585,19.585,19.6,1,100
2021-11-15,19.58,19.475,19.475,19.58,1,1500
2021-11-16,19.46,19.45,19.45,19.46,2,108
2021-11-17,19.505,19.505,19.46,19.46,1,33
2021-11-18,19.525,19.525,19.51,19.51,2,102
2021-11-19,19.6,19.595,19.595,19.6,2,176
2021-11-22,19.52,19.385,19.385,19.52,11,616
2021-11-23,19.32,19.295,19.295,19.32,3,36
2021-11-24,19.315,19.315,19.29,19.29,1,1003
2021-11-26,19.45,19.4361,19.4361,19.45,9,900
2021-11-29,19.5,19.486,19.405,19.43,18,3001
2021-11-30,19.58,19.545,19.545,19.58,2,149
2021-12-01,19.54,19.5303,19.53,19.53,12,1624
2021-12-02,19.57,19.57,19.56,19.56,11,1001
2021-12-03,19.7079,19.7079,19.7079,19.7079,,
2021-12-06,19.7,19.635,19.635,19.7,3,672
2021-12-07,19.645,19.645,19.61,19.61,2,83
2021-12-08,19.59,19.555,19.555,19.59,1,1
2021-12-09,19.63,19.58,19.58,19.63,3,177
2021-12-10,19.66,19.595,19.595,19.66,1,30
2021-12-13,19.6786,19.6786,19.6786,19.6786,,
2021-12-14,19.65,19.595,19.595,19.65,1,1
2021-12-15,19.625,19.625,19.57,19.57,5,251
2021-12-16,19.675,19.675,19.675,19.675,,
2021-12-17,19.71,19.695,19.695,19.71,6,408
2021-12-20,19.65,19.5954,19.59,19.645,18,2876
2021-12-21,19.595,19.595,19.54,19.54,2,520
2021-12-22,19.6104,19.6104,19.6104,19.6104,,
2021-12-23,19.6004,19.6004,19.6004,19.6004,,
2021-12-27,19.67,19.6496,19.61,19.61,26,6301
2021-12-28,19.68,19.64,19.64,19.68,6,478
2021-12-29,19.59,19.56,19.54,19.58,25,3488
2021-12-30,19.65,19.65,19.56,19.6,22,4781
2021-12-31,19.61,19.58,19.58,19.61,7,992
2022-01-03,19.48,19.42,19.42,19.48,10,2802
2022-01-04,20.31,19.41,19.41,20.31,3,200
2022-01-05,19.42,19.3,19.3,19.42,8,579
2022-01-06,19.27,19.26,19.255,19.255,2,700
2022-01-07,19.22,19.185,19.16,19.16,9,2075
2022-01-10,19.16,19.16,19.16,19.16,,
2022-01-11,19.2019,19.2019,19.2019,19.2019,,
2022-01-12,19.25,19.24,19.23,19.25,6,1310
2022-01-13,19.23,19.23,19.21,19.23,4,400
2022-01-14,19.2,19.115,19.115,19.2,1,356
2022-01-18,19.02,18.95,18.95,19.02,6,2200
2022-01-19,18.99,18.99,18.83,18.83,7,692
2022-01-20,19.01,18.955,18.955,19.01,2,200
2022-01-21,19.08,19.06,19.06,19.08,1,1500
2022-01-24,19.08,19.01,19.01,19.08,7,601
2022-01-25,19.03,18.98,18.98,19.02,5,1450
2022-01-26,19.0,18.85,18.85,18.86,21,684
2022-01-27,18.92,18.865,18.865,18.89,7,2675
2022-01-28,19.75,19.75,18.83,18.83,8,867
2022-01-31,18.935,18.935,18.92,18.92,12,4505
2022-02-01,18.97,18.97,18.94,18.94,2,101
2022-02-02,19.005,18.97,18.96,18.96,3,204
2022-02-03,18.9,18.85,18.85,18.9,12,3175
2022-02-04,18.675,18.675,18.65,18.65,1,66
2022-02-07,18.7,18.7,18.66,18.66,2,200
2022-02-08,18.64,18.64,18.64,18.64,1,118
2022-02-09,18.73,18.7,18.7,18.73,3,300
2022-02-10,18.6,18.48,18.48,18.6,1,30
2022-02-11,18.5965,18.5965,18.49,18.57,18,5760
2022-02-14,18.54,18.4983,18.4983,18.54,3,215
2022-02-15,18.45,18.39,18.39,18.45,2,3
2022-02-16,18.58,18.4,18.38,18.58,7,2188
2022-02-17,18.49,18.4518,18.4518,18.49,3,238
2022-02-18,18.52,18.47,18.47,18.52,4,2800
2022-02-22,18.43,18.4,18.37,18.43,6,1131
2022-02-23,18.38,18.3,18.3,18.38,17,1691
2022-02-24,18.32,18.32,18.32,18.32,2,144
2022-02-25,18.37,18.37,18.32,18.32,6,1634
2022-02-28,18.5628,18.5628,18.48,18.48,3,132
2022-03-01,18.72,18.67,18.67,18.72,3,160
2022-03-02,18.55,18.39,18.39,18.54,27,12229
2022-03-03,18.5,18.48,18.48,18.5,2,176
2022-03-04,18.59,18.53,18.53,18.59,5,89
2022-03-07,18.49,18.33,18.33,18.43,9,1865
2022-03-08,18.3,18.235,18.22,18.22,4,510
2022-03-09,18.23,18.19,18.19,18.22,5,602
2022-03-10,18.08,18.055,18.04,18.04,5,1084
2022-03-11,18.06,18.04,18.04,18.06,1,3
2022-03-14,17.9,17.795,17.795,17.9,3,400
2022-03-15,17.88,17.865,17.83,17.88,4,329
2022-03-16,17.92,17.89,17.85,17.92,2,900
2022-03-17,18.05,18.045,17.99,18.0,11,5086
2022-03-18,18.24,18.0734,18.03,18.24,19,4774
2022-03-21,17.93,17.73,17.73,17.93,2,900
2022-03-22,17.76,17.7403,17.73,17.76,10,3100
2022-03-23,17.7644,17.7644,17.73,17.74,4,1100
2022-03-24,17.7596,17.7596,17.65,17.65,4,3000
2022-03-25,17.71,17.62,17.62,17.71,21,3757
2022-03-28,17.7,17.695,17.66,17.68,13,2030
2022-03-29,17.84,17.84,17.8,17.8,1,100
2022-03-30,17.87,17.8597,17.81,17.81,11,783
2022-03-31,17.96,17.8851,17.8851,17.91,4,1674
2022-04-01,17.93,17.9,17.78,17.78,11,2150
2022-04-04,17.91,17.9069,17.9069,17.91,1,36
2022-04-05,17.69,17.655,17.655,17.68,4,1800
2022-04-06,17.55,17.53,17.49,17.55,30,2822
2022-04-07,17.52,17.46,17.46,17.52,2,120
2022-04-08,17.96,17.38,17.35,17.96,47,4197
2022-04-11,17.26,17.1881,17.17,17.26,12,5187
2022-04-12,17.27,17.27,17.27,17.27,,
2022-04-13,17.3,17.3,17.26,17.27,13,1476
2022-04-14,17.34,17.165,17.165,17.34,10,276
2022-04-18,17.1,16.995,16.995,17.1,12,1175
2022-04-19,16.93,16.89,16.89,16.93,3,297
2022-04-20,17.03,17.01,16.99,16.99,4,520
2022-04-21,16.89,16.84,16.83,16.89,12,1200
2022-04-22,16.84,16.84,16.78,16.79,13,1268
2022-04-25,17.01,16.99,16.89,16.89,6,1164
2022-04-26,17.12,17.0,17.0,17.12,7,244
2022-04-27,17.02,16.86,16.86,17.02,14,453
2022-04-28,16.87,16.8453,16.8453,16.85,3,301
2022-04-29,16.79,16.76,16.74,16.74,4,2406
2022-05-02,16.69,16.69,16.63,16.69,9,1513
2022-05-03,16.7326,16.7326,16.7326,16.7326,,
2022-05-04,16.86,16.86,16.69,16.72,4,542
2022-05-05,16.72,16.6459,16.64,16.72,3,300
2022-05-06,16.56,16.545,16.545,16.56,30,642
2022-05-09,16.6,16.57,16.49,16.52,10,1472
2022-05-10,16.7,16.655,16.655,16.7,1,100
2022-05-11,16.76,16.715,16.715,16.76,14,94
2022-05-12,16.78,16.77,16.77,16.78,4,653
2022-05-13,16.69,16.62,16.62,16.67,3,455
2022-05-16,16.74,16.71,16.71,16.74,3,1190
2022-05-17,16.595,16.595,16.595,16.595,,
2022-05-18,16.63,16.62,16.57,16.57,9,526
2022-05-19,16.75,16.7,16.7,16.75,1,30
2022-05-20,16.78,16.78,16.73,16.73,1,100
2022-05-23,16.7,16.65,16.65,16.7,3,227
2022-05-24,16.835,16.835,16.835,16.835,,
2022-05-25,16.95,16.95,16.95,16.95,4,380
2022-05-26,17.01,16.995,16.97,17.01,3,900
2022-05-27,17.07,17.06,17.04,17.04,3,234
2022-05-31,16.99,16.925,16.925,16.99,1,586
2022-06-01,16.87,16.87,16.87,16.87,3,52
2022-06-02,16.88,16.865,16.865,16.88,1,1
2022-06-03,16.8093,16.8093,16.8,16.8,1,100
2022-06-06,16.82,16.72,16.72,16.82,6,312
2022-06-07,16.8,16.8,16.75,16.75,3,274
2022-06-08,16.76,16.725,16.725,16.76,7,107
2022-06-09,16.68,16.6,16.6,16.68,6,556
2022-06-10,16.52,16.43,16.39,16.52,9,2180
2022-06-13,16.18,16.0594,16.05,16.18,6,461
2022-06-14,16.12,15.935,15.935,16.12,4,106
2022-06-15,16.24,16.24,16.04,16.11,7,629
2022-06-16,16.215,16.215,16.09,16.09,2,134
2022-06-17,16.255,16.255,16.24,16.25,2,200
2022-06-21,16.22,16.09,16.09,16.22,1,100
2022-06-22,16.28,16.2215,16.22,16.27,12,1613
2022-06-23,16.35,16.35,16.32,16.32,6,45
2022-06-24,16.34,16.3315,16.3315,16.34,1,1
2022-06-27,16.27,16.22,16.22,16.27,1,6
2022-06-28,16.2,16.185,16.185,16.2,1,50
2022-06-29,16.25,16.25,16.18,16.18,53,370
2022-06-30,16.36,16.36,16.34,16.34,2,1352
2022-07-01,16.57,16.56,16.54,16.57,3,304
2022-07-05,16.55,16.55,16.55,16.55,1,8
2022-07-06,16.61,16.465,16.465,16.61,2,125
2022-07-07,16.53,16.435,16.435,16.53,1,67
2022-07-08,16.385,16.385,16.385,16.385,,
2022-07-11,16.465,16.465,16.44,16.44,4,107
2022-07-12,16.53,16.53,16.51,16.51,2,275
2022-07-13,16.6,16.6,16.38,16.38,12,975
2022-07-14,16.5308,16.5308,16.44,16.44,1,1435
2022-07-15,16.645,16.645,16.51,16.51,9,1104
2022-07-18,16.5298,16.5298,16.5298,16.5298,,
2022-07-19,16.535,16.535,16.49,16.5,5,500
2022-07-20,16.61,16.54,16.53,16.61,18,1228
2022-07-21,16.74,16.71,16.66,16.66,17,4500
2022-07-22,16.84,16.83,16.83,16.84,2,88
2022-07-25,16.77,16.77,16.74,16.77,5,289
2022-07-26,16.78,16.73,16.73,16.78,3,109
2022-07-27,16.89,16.84,16.78,16.78,9,522
2022-07-28,17.04,17.04,17.0,17.01,5,383
2022-07-29,17.08,17.07,16.96,16.96,4,1721
2022-08-01,17.12,17.0794,17.0794,17.09,13,5576
2022-08-02,17.07,16.855,16.855,17.07,10,2143
2022-08-03,17.0,17.0,16.85,16.86,20,234
2022-08-04,17.055,17.055,16.99,17.01,6,1432
2022-08-05,16.85,16.82,16.79,16.85,5,660
2022-08-08,16.93,16.905,16.89,16.93,5,1377
2022-08-09,16.845,16.845,16.845,16.845,,
2022-08-10,17.01,16.95,16.93,16.93,36,3800
2022-08-11,17.07,16.88,16.87,17.07,18,1862
2022-08-12,17.0,17.0,16.94,16.94,5,2100
2022-08-15,17.07,17.06,17.06,17.07,2,200
2022-08-16,17.0,17.0,16.95,16.96,6,407
2022-08-17,16.9,16.84,16.82,16.9,136,2340
2022-08-18,16.91,16.9,16.89,16.89,5,600
2022-08-19,16.75,16.69,16.69,16.75,9,604
2022-08-22,16.56,16.55,16.55,16.56,2,111
2022-08-23,16.6,16.56,16.54,16.54,11,1363
2022-08-24,16.53,16.495,16.48,16.53,7,725
2022-08-25,16.68,16.68,16.54,16.54,76,542
2022-08-26,16.68,16.57,16.56,16.56,23,2493
2022-08-29,16.45,16.45,16.43,16.44,5,335
2022-08-30,16.45,16.405,16.34,16.43,10,2266
2022-08-31,16.41,16.28,16.28,16.41,56,5467
2022-09-01,16.17,16.17,16.09,16.12,10,851
2022-09-02,16.31,16.245,16.245,16.31,6,600
2022-09-06,16.11,16.05,16.05,16.11,14,936
2022-09-07,16.215,16.215,16.09,16.09,14,1076
2022-09-08,16.21,16.18,16.18,16.21,1,100
2022-09-09,16.3,16.205,16.205,16.3,8,2437
2022-09-12,16.26,16.19,16.19,16.26,4,302
2022-09-13,16.05,16.045,16.045,16.05,2,62
2022-09-14,16.12,16.095,16.06,16.09,14,1925
2022-09-15,16.08,16.0178,16.0178,16.08,3,1061
2022-09-16,16.04,16.04,16.04,16.04,1,8
2022-09-19,15.955,15.955,15.9,15.9,5,469
2022-09-20,15.84,15.82,15.82,15.83,10,1000
2022-09-21,15.88,15.853,15.84,15.88,10,892
2022-09-22,15.73,15.65,15.63,15.73,32,2268
2022-09-23,15.62,15.6,15.54,15.62,17,1744
2022-09-26,15.53,15.34,15.34,15.53,11,906
2022-09-27,15.36,15.1664,15.16,15.36,31,2070
2022-09-28,15.48,15.48,15.31,15.33,36,932
2022-09-29,15.34,15.335,15.25,15.31,10,906
2022-09-30,15.44,15.34,15.34,15.44,3,300
2022-10-03,15.72,15.615,15.52,15.52,15,1329
2022-10-04,15.75,15.708,15.69,15.71,13,1163
2022-10-05,15.6,15.58,15.49,15.6,31,1480
2022-10-06,15.52,15.51,15.48,15.52,4,485
2022-10-07,15.43,15.37,15.37,15.43,4,264
2022-10-10,15.34,15.265,15.265,15.34,3,467
2022-10-11,15.29,15.24,15.24,15.25,8,640
2022-10-12,15.25,15.2376,15.22,15.23,49,3371
2022-10-13,15.265,15.265,14.99,15.01,3,733
2022-10-14,15.15,15.135,15.135,15.15,1,17
2022-10-17,15.26,15.21,15.21,15.26,1,64
2022-10-18,15.29,15.25,15.25,15.29,5,297
2022-10-19,15.14,15.065,15.065,15.14,4,107
2022-10-20,15.06,14.955,14.955,15.06,1,100
2022-10-21,15.035,15.035,14.96,14.96,3,242
2022-10-24,15.015,15.015,14.92,15.0,4,110
2022-10-25,15.2,15.175,15.1,15.1,3,550
2022-10-26,15.26,15.26,15.21,15.21,4,365
2022-10-27,15.32,15.32,15.305,15.31,3,213
2022-10-28,15.35,15.35,15.26,15.26,4,304
2022-10-31,15.29,15.27,15.27,15.29,7,2290
2022-11-01,15.39,15.3088,15.24,15.39,13,2257
2022-11-02,15.38,15.2484,15.2484,15.33,35,13822
2022-11-03,15.1852,15.1852,15.1852,15.1852,,
2022-11-04,15.24,15.225,15.2,15.24,20,3090
2022-11-07,15.25,15.205,15.19,15.25,6,186
