Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-09-26,25.03,25.03,25.03,25.03,4,335
2019-10-15,25.12,25.12,25.12,25.12,1,100
2019-10-16,25.07,25.07,25.07,25.07,1,2
2019-10-17,25.06,25.06,25.06,25.06,1,34
2019-10-18,25.06,25.06,25.06,25.06,1,700
2019-10-21,25.0,24.99,24.99,25.0,2,200
2019-10-22,24.99,24.99,24.99,24.99,1,10
2019-10-23,24.99,24.99,24.99,24.99,1,100
2019-10-28,24.97,24.97,24.96,24.96,2,600
2019-10-29,24.99,24.99,24.98,24.98,4,407
2019-11-01,25.06,25.06,25.06,25.06,1,3
2019-11-04,25.05,25.05,25.05,25.05,1,1
2019-11-05,25.02,25.02,25.02,25.02,1,1
2019-11-07,24.98,24.98,24.98,24.98,1,5
2019-11-18,24.975,24.975,24.975,,,
2019-11-19,25.0,24.985,24.985,24.99,3,400
2019-11-20,25.04,25.04,25.03,25.03,3,100
2019-11-21,25.0,25.0,25.0,,,
2019-11-22,25.01,25.01,25.01,,,
2019-11-25,25.025,25.015,25.015,25.025,3,1510
2019-11-26,25.04,25.04,25.04,25.04,2,30
2019-11-27,25.04,25.04,25.04,,,
2019-11-29,25.035,25.035,25.035,,,
2019-12-02,25.02,25.02,25.02,,,
2019-12-03,25.07,25.07,25.03,25.03,1,1
2019-12-04,25.07,25.05,25.05,25.07,1,10
2019-12-05,25.055,25.055,25.055,,,
2019-12-06,25.045,25.045,25.045,,,
2019-12-09,25.08,25.08,25.08,25.08,1,10
2019-12-10,25.08,25.08,25.08,,,
2019-12-11,25.1,25.09,25.09,25.1,1,1000
2019-12-12,25.085,25.085,25.085,,,
2019-12-13,25.095,25.095,25.095,,,
2019-12-16,25.09,25.09,25.09,,,
2019-12-17,25.12,25.11,25.11,25.12,1,500
2019-12-18,25.1,25.1,25.1,,,
2019-12-19,25.11,25.11,25.11,,,
2019-12-20,25.095,25.095,25.095,,,
2019-12-23,25.065,25.065,25.065,,,
2019-12-24,25.11,25.11,25.09,25.09,1,67
2019-12-26,25.08,25.08,25.08,25.08,1,5
2019-12-27,25.1,25.09,25.09,25.1,1,12
2019-12-30,25.12,25.12,25.11,25.11,2,80
2019-12-31,25.09,25.09,25.09,,,
2020-01-02,25.115,25.115,25.115,25.115,1,60
2020-01-03,25.17,25.17,25.17,25.17,,
2020-01-06,25.2,25.2,25.2,25.2,2,8
2020-01-07,25.18,25.18,25.18,25.18,,
2020-01-08,25.205,25.205,25.205,25.205,,
2020-01-09,25.205,25.205,25.205,25.205,,
2020-01-10,25.205,25.205,25.205,25.205,,
2020-01-13,25.22,25.195,25.195,25.22,4,1545
2020-01-14,25.21,25.21,25.21,25.21,,
2020-01-15,25.27,25.255,25.24,25.27,10,3690
2020-01-16,25.28,25.26,25.26,25.28,1,1
2020-01-17,25.265,25.265,25.265,25.265,,
2020-01-21,25.29,25.29,25.28,25.28,2,10
2020-01-22,25.275,25.275,25.275,25.275,,
2020-01-23,25.31,25.31,25.31,25.31,2,11
2020-01-24,25.325,25.325,25.325,25.325,,
2020-01-27,25.37,25.365,25.36,25.37,8,2025
2020-01-28,25.36,25.335,25.335,25.35,3,1700
2020-01-29,25.38,25.375,25.375,25.38,1,297
2020-01-30,25.38,25.37,25.37,25.38,2,770
2020-01-31,25.38,25.38,25.38,25.38,,
2020-02-03,25.39,25.37,25.37,25.38,2,396
2020-02-04,25.35,25.335,25.335,25.35,12,2899
2020-02-05,25.34,25.315,25.315,25.34,1,348
2020-02-06,25.315,25.315,25.315,25.315,,
2020-02-07,25.3597,25.3597,25.3597,25.3597,4,400
2020-02-10,25.37,25.35,25.35,25.37,1,74
2020-02-11,25.37,25.35,25.35,25.37,2,753
2020-02-12,25.34,25.34,25.34,25.34,,
2020-02-13,25.37,25.3406,25.3406,25.37,2,874
2020-02-14,25.37,25.37,25.37,25.37,,
2020-02-18,25.41,25.38,25.38,25.41,1,927
2020-02-19,25.41,25.385,25.385,25.41,9,7005
2020-02-20,25.41,25.405,25.405,25.41,1,55
2020-02-21,25.445,25.445,25.41,25.41,1,1
2020-02-24,25.52,25.52,25.52,25.52,4,1642
2020-02-25,25.51,25.505,25.5,25.51,4,485
2020-02-26,25.51,25.5,25.5,25.51,1,29
2020-02-27,25.51,25.51,25.51,25.51,,
2020-02-28,25.54,25.49,25.49,25.54,1,52
2020-03-02,25.55,25.49,25.49,25.55,1,250
2020-03-03,25.54,25.54,25.54,25.54,1,1
2020-03-04,25.57,25.5279,25.5279,25.57,1,584
2020-03-05,25.5543,25.5543,25.55,25.55,10,900
2020-03-06,25.66,25.6,25.6,25.66,2,15
2020-03-09,25.7,25.7,25.7,25.7,,
2020-03-10,25.74,25.505,25.505,25.74,1,8
2020-03-11,25.5,25.3948,25.3948,25.5,21,2300
2020-03-12,24.76,24.7319,24.7319,24.76,2,600
2020-03-13,24.9136,24.9136,24.9136,24.9136,,
2020-03-16,24.91,24.72,24.71,24.91,3,289
2020-03-17,24.5992,24.5992,24.5992,24.5992,,
2020-03-18,24.24,24.24,24.24,24.24,,
2020-03-19,24.39,23.7724,23.7724,24.39,6,2446
2020-03-20,23.4199,23.4199,23.4199,23.4199,,
2020-03-23,23.72,23.2348,23.2348,23.72,2,98
2020-03-24,23.71,23.605,23.45,23.56,6,1201
2020-03-25,24.29,24.29,23.97,23.97,2,200
2020-03-26,24.78,24.78,24.78,24.78,,
2020-03-27,24.97,24.835,24.835,24.94,2,189
2020-03-30,24.845,24.845,24.845,24.845,,
2020-03-31,24.94,24.81,24.81,24.94,30,2901
2020-04-01,24.515,24.515,24.515,24.515,,
2020-04-02,24.43,24.43,24.27,24.27,1,1
2020-04-03,24.63,24.575,24.575,24.63,1,100
2020-04-06,24.79,24.69,24.69,24.79,15,1500
2020-04-07,24.89,24.725,24.725,24.89,1,100
2020-04-08,24.765,24.765,24.765,24.765,,
2020-04-09,25.0,24.82,24.82,24.99,28,2770
2020-04-13,25.02,24.95,24.95,25.02,1,77
