Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-08-18,26.25,26.0,25.0,25.1,84,31851
2021-08-19,26.16,26.16,26.16,26.16,1,100
2021-08-20,26.01,26.01,26.01,26.01,1,100
2021-08-23,26.07,26.07,26.07,26.07,1,100
2021-08-24,26.15,26.15,26.15,26.15,2,200
2021-08-25,26.45,26.3,26.3,26.45,6,2211
2021-08-26,26.3,26.3,26.3,26.3,1,589
2021-08-30,26.49,26.49,26.23,26.325,5,1015
2021-09-01,26.5,26.5,26.5,26.5,1,100
2021-09-02,26.5,26.5,26.5,26.5,2,1000
2021-09-08,26.5,26.3,26.3,26.5,5,1183
2021-09-13,26.5,26.5,26.5,26.5,1,600
2021-09-17,26.99,26.99,26.99,26.99,1,100
2021-09-23,26.4,26.4,26.4,26.4,1,30
2021-09-24,26.31,26.31,26.31,26.31,1,2
2021-10-01,26.75,26.75,26.75,26.75,3,1000
2021-10-05,26.4,26.4,26.4,26.4,1,1
2021-10-06,27.0,27.0,27.0,27.0,1,5
2021-10-08,26.9,26.45,26.45,26.9,4,251
2021-10-15,26.7,26.7,26.7,26.7,1,10
2021-10-18,26.75,26.75,26.74,26.74,3,370
2021-10-21,27.1,27.0,27.0,27.1,5,141
2021-10-27,26.3,26.3,26.3,26.3,3,1917
2021-11-02,26.7,26.7,26.7,26.7,2,200
2021-11-05,26.4,26.4,26.31,26.31,3,695
2021-11-08,26.3,26.11,26.11,26.3,3,364
2021-11-09,26.68,26.68,26.68,26.68,1,20
2021-11-10,26.35,26.31,26.31,26.35,2,264
2021-11-11,26.4,26.4,26.4,26.4,1,66
2021-11-16,26.24,25.91,25.86,26.24,7,775
2021-11-17,26.0,26.0,26.0,26.0,2,400
2021-11-22,26.3,26.3,26.14,26.14,5,514
2021-11-23,26.3,26.3,26.3,26.3,2,600
2021-12-06,26.0,26.0,26.0,26.0,2,40
2021-12-10,25.92,25.85,25.85,25.92,6,800
2021-12-13,26.0,26.0,26.0,26.0,2,996
2021-12-14,26.32,26.32,26.3,26.3,4,1100
2021-12-15,26.35,26.35,26.35,26.35,1,500
2021-12-16,26.35,26.35,26.35,26.35,1,46
2021-12-30,26.5,25.84,25.84,26.5,4,245
2021-12-31,25.75,25.75,25.75,25.75,1,95
2022-01-04,26.14,26.14,26.14,26.14,1,1
2022-01-05,26.45,26.45,26.4,26.4,3,762
2022-01-07,26.05,26.05,26.05,26.05,2,101
2022-01-10,26.0,26.0,26.0,26.0,2,1003
2022-01-14,26.05,26.05,26.05,26.05,1,1900
2022-01-18,26.0,26.0,26.0,26.0,6,2400
2022-01-27,25.8,25.75,25.75,25.8,7,4295
2022-02-01,26.0,25.51,25.51,26.0,9,700
2022-02-02,25.95,25.95,25.56,25.56,8,2554
2022-02-04,25.59,25.57,25.57,25.59,2,500
2022-02-07,25.65,25.65,25.65,25.65,1,100
2022-02-11,25.8,25.8,25.8,25.8,1,1
2022-02-14,25.76,25.51,25.51,25.76,2,2
2022-02-17,25.85,25.83,25.83,25.84,3,251
2022-02-22,25.81,25.6,25.6,25.81,2,30
2022-02-23,25.79,25.6,25.6,25.79,2,2
2022-02-24,25.55,25.55,25.5,25.51,4,913
2022-02-25,25.5,25.5,25.5,25.5,1,600
2022-03-01,25.45,25.22,25.22,25.45,5,844
2022-03-02,25.5,25.5,25.5,25.5,1,200
2022-03-03,25.5,25.5,25.32,25.32,2,201
2022-03-04,25.55,25.55,25.53,25.53,2,101
2022-03-08,25.75,25.32,25.32,25.75,2,2
2022-03-09,25.75,25.33,25.33,25.75,2,12
2022-03-10,25.5,25.5,25.5,25.5,3,3600
2022-03-11,25.54,25.54,25.54,25.54,1,102
2022-03-14,25.6,25.3,25.3,25.6,2,2
2022-03-16,25.04,24.87,24.87,25.04,3,200
2022-03-17,25.16,24.91,24.91,25.16,2,2
2022-03-18,25.36,25.05,25.03,25.36,4,202
2022-03-21,25.2,25.2,25.03,25.03,12,1892
2022-03-22,25.2,25.0,25.0,25.2,2,3
2022-03-23,24.9,24.86,24.85,24.9,8,562
2022-03-24,25.0,24.85,24.85,25.0,3,87
2022-03-25,25.0,24.85,24.85,25.0,4,302
2022-03-28,24.85,24.55,24.55,24.85,5,2447
2022-03-29,24.69,24.69,24.65,24.65,10,899
2022-03-30,24.75,24.74,24.74,24.74,10,1702
2022-03-31,24.75,24.71,24.71,24.75,11,2322
2022-04-01,24.74,24.74,24.74,24.74,2,500
2022-04-05,25.49,25.49,24.5,24.54,19,2630
2022-04-06,25.0,24.84,24.61,25.0,6,541
2022-04-07,24.64,24.64,24.64,24.64,1,59
2022-04-08,24.84,24.67,24.5,24.84,8,5300
2022-04-11,24.5,24.5,24.5,24.5,1,500
2022-04-13,24.49,24.33,24.33,24.49,5,204
2022-04-14,24.3,23.81,23.81,24.3,6,553
2022-04-18,23.855,23.81,23.81,23.855,2,120
2022-04-19,23.7,23.6,23.6,23.7,8,1137
2022-04-20,23.52,23.25,23.25,23.52,10,544
2022-04-22,23.23,22.97,22.97,23.23,2,4
2022-04-25,23.0,23.0,22.97,22.97,3,400
2022-04-26,22.92,22.75,22.75,22.83,7,960
2022-04-27,22.96,22.5,22.5,22.96,3,40
2022-04-29,23.1,23.1,23.0,23.0,3,500
2022-05-02,22.5,22.45,22.45,22.5,4,162
2022-05-03,22.0,21.7,21.7,22.0,3,202
2022-05-04,21.87,21.15,21.0,21.87,38,7688
2022-05-05,21.75,21.75,21.5,21.5,5,871
2022-05-06,22.0,22.0,21.71,21.71,3,1100
2022-05-09,22.75,22.75,22.0,22.03,6,746
2022-05-11,22.5,22.48,22.48,22.5,21,80
2022-05-12,21.99,21.56,21.56,21.99,3,263
2022-05-13,22.0,22.0,21.96,21.96,5,687
2022-05-16,21.5,21.5,21.5,21.5,1,400
2022-05-17,22.0,22.0,22.0,22.0,8,2100
2022-05-18,22.25,22.0,22.0,22.25,3,578
2022-05-19,22.0,22.0,22.0,22.0,6,1881
2022-05-23,22.0,22.0,22.0,22.0,3,1500
2022-05-25,23.5,23.5,23.5,23.5,1,77
2022-05-26,22.7,22.7,22.7,22.7,1,27
2022-05-27,24.0,24.0,24.0,24.0,4,998
2022-06-01,25.1,25.1,25.1,25.1,3,400
2022-06-02,25.1,23.2,23.2,25.1,13,847
2022-06-03,24.11,23.01,23.01,24.11,2,2
2022-06-06,23.98,22.78,22.78,23.88,4,800
2022-06-09,23.99,23.99,23.99,23.99,1,400
2022-06-10,23.9,22.01,22.01,23.9,2,21
2022-06-14,23.55,23.55,23.55,23.55,4,12
2022-06-15,23.75,23.75,23.75,23.75,1,250
2022-06-16,23.5,23.25,23.25,23.5,2,2
2022-06-22,23.93,23.93,23.93,23.93,1,50
2022-06-28,23.0,22.15,22.15,23.0,2,2
2022-06-29,22.81,22.15,22.15,22.81,2,2
2022-06-30,23.0,22.11,22.11,22.45,11,1213
2022-07-06,23.72,23.72,23.7,23.7,2,118
2022-07-15,23.74,23.74,23.74,23.74,2,187
2022-07-22,24.0,23.05,23.05,23.75,4,502
2022-07-25,23.95,22.52,22.52,23.95,2,2
2022-07-26,23.56,23.03,23.03,23.56,2,2
2022-07-27,24.0,23.05,23.05,24.0,2,2
2022-07-28,24.0,24.0,23.98,23.98,4,710
2022-07-29,24.0,23.01,23.01,23.95,8,849
2022-08-01,24.0,24.0,23.0,23.4,12,1765
2022-08-02,24.99,24.0,23.2,24.99,14,1200
2022-08-03,23.77,23.77,23.77,23.77,5,24
2022-08-04,23.53,23.52,23.52,23.53,4,283
2022-08-05,23.52,23.52,23.52,23.52,2,263
2022-08-08,23.95,23.95,23.95,23.95,19,38
2022-08-09,23.99,23.99,23.99,23.99,1,4
2022-08-10,23.94,23.64,23.64,23.94,2,193
2022-08-11,23.78,23.78,23.78,23.78,1,60
2022-08-15,23.5,23.5,23.5,23.5,2,200
2022-08-16,23.75,23.75,23.67,23.67,2,350
2022-08-17,23.75,23.75,23.5,23.5,3,275
2022-08-18,23.5,23.25,23.25,23.5,3,300
2022-08-19,23.14,23.14,23.14,23.14,1,500
2022-08-23,22.97,22.5,22.5,22.97,2,213
2022-08-25,23.05,23.05,23.05,23.05,1,37
2022-08-29,22.75,22.75,22.75,22.75,1,25
2022-08-30,22.7,22.45,22.45,22.7,9,702
2022-08-31,22.4,22.4,22.4,22.4,2,300
2022-09-01,22.625,22.5,22.5,22.625,2,1100
2022-09-02,22.2,22.0,22.0,22.2,4,1110
2022-09-07,22.02,22.0,21.5,22.02,39,5502
2022-09-08,21.56,21.56,21.52,21.55,4,400
2022-09-09,22.02,22.02,21.65,21.65,8,750
2022-09-12,22.3,21.71,21.71,22.3,8,603
2022-09-13,21.92,21.92,21.65,21.65,5,754
2022-09-14,22.1,22.1,21.62,21.78,10,559
2022-09-16,21.85,21.85,21.85,21.85,1,200
2022-09-19,22.66,22.66,22.25,22.25,3,300
2022-09-20,22.0,22.0,22.0,22.0,1,25
2022-09-21,21.85,21.76,21.76,21.85,2,140
2022-09-22,21.81,21.81,21.55,21.55,2,11
2022-09-26,21.55,21.55,21.55,21.55,1,100
2022-09-27,21.52,21.26,21.25,21.52,4,680
2022-09-28,21.5,21.5,21.46,21.46,5,580
2022-10-04,21.31,21.31,21.31,21.31,1,200
2022-10-05,21.52,21.48,21.47,21.52,7,250
2022-10-10,21.48,21.48,21.48,21.48,1,1
2022-10-12,21.48,21.48,21.48,21.48,1,7
2022-10-13,21.0,21.0,20.83,20.83,5,534
2022-10-14,21.0,20.65,20.63,21.0,5,766
2022-10-17,21.03,21.03,21.03,21.03,1,100
2022-10-19,20.0,20.0,20.0,20.0,1,7
2022-10-20,20.59,18.8,18.8,20.59,3,202
2022-10-21,20.29,20.25,20.25,20.29,2,132
2022-10-25,20.25,20.25,20.25,20.25,1,1
2022-10-26,20.42,19.5,19.5,20.42,2,2
2022-10-27,20.05,20.0,20.0,20.05,3,300
2022-10-28,20.08,19.5,19.5,20.08,4,202
2022-10-31,19.85,19.75,19.75,19.79,5,302
2022-11-01,20.02,19.2,19.2,20.02,2,2
2022-11-02,19.8,19.6,19.6,19.64,3,102
2022-11-04,20.0,19.1,19.1,20.0,4,290
2022-11-07,21.4,19.65,19.4,20.0,36,3431
2022-11-08,21.01,20.6,19.56,19.79,40,2581
2022-11-09,21.0,20.2,20.0,21.0,4,501
2022-11-10,20.75,20.75,20.2,20.69,14,1140
2022-11-11,21.4,20.55,20.55,21.4,7,423
2022-11-15,20.7,20.22,20.05,20.7,13,1310
2022-11-16,20.2,20.2,20.2,20.2,2,200
2022-11-18,21.5,21.2,21.2,21.5,2,490
2022-11-21,20.68,20.68,20.4,20.4,2,401
2022-11-28,21.0,20.45,20.45,21.0,6,1130
2022-12-01,20.86,20.86,20.86,20.86,1,2
2022-12-02,20.49,20.49,20.3,20.3,3,200
2022-12-08,20.5,20.49,20.49,20.5,3,1695
2022-12-13,20.49,20.25,20.25,20.49,3,199
2022-12-14,20.16,20.16,20.16,20.16,2,200
2022-12-15,20.48,20.48,20.48,20.48,1,100
2022-12-16,20.66,20.66,20.45,20.45,2,220
2022-12-20,20.5,20.5,20.5,20.5,1,94
2022-12-22,20.55,20.55,20.5,20.5,2,250
2022-12-27,21.33,21.0,21.0,21.33,2,2
2022-12-28,21.25,20.51,20.51,21.25,2,2
2022-12-29,20.94,20.6,20.6,20.94,2,2
2022-12-30,21.28,21.1,21.1,21.28,3,101
2023-01-05,20.5,20.5,20.5,20.5,1,4
2023-01-06,20.5,19.78,19.78,20.5,4,127
2023-01-09,21.3,20.4,20.19,20.19,39,1545
2023-01-10,20.38,20.38,20.38,20.38,1,2
