Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,8.45,8.32,8.02,8.1,123,27598
2013-01-03,8.34,8.13,8.08,8.34,64,10521
2013-01-04,8.21,7.75,7.71,8.21,94,15934
2013-01-07,7.75,7.59,7.55,7.7,65,12813
2013-01-08,7.55,7.39,7.35,7.52,109,76585
2013-01-09,7.44,7.29,7.28,7.39,54,15537
2013-01-10,7.47,7.31,7.25,7.3,34,9677
2013-01-11,7.48,7.36,7.34,7.35,20,3856
2013-01-14,7.38,7.26,7.24,7.36,23,5623
2013-01-15,7.34,7.31,7.22,7.22,5,3703
2013-01-16,7.31,7.3,7.25,7.27,18,3390
2013-01-17,7.35,7.35,7.25,7.35,27,6365
2013-01-18,7.35,7.26,7.26,7.35,26,10519
2013-01-22,7.28,7.15,7.12,7.25,37,7109
2013-01-23,7.21,7.12,7.08,7.12,21,3642
2013-01-24,7.15,6.99,6.84,7.15,42,10616
2013-01-25,7.0,6.88,6.83,7.0,33,4507
2013-01-28,7.13,7.0,6.86,6.87,113,20509
2013-01-29,7.11,7.0,6.67,7.0,106,16607
2013-01-30,7.0,6.99,6.92,6.99,32,5643
2013-01-31,7.09,6.95,6.89,7.05,25,6913
2013-02-01,7.04,6.77,6.7,6.96,111,13263
2013-02-04,6.83,6.81,6.65,6.69,31,6361
2013-02-05,7.06,7.0,6.86,6.86,16,3407
2013-02-06,7.05,6.93,6.91,6.98,27,3643
2013-02-07,7.02,6.87,6.87,6.94,9,2079
2013-02-08,7.06,6.9,6.86,6.86,20,4879
2013-02-11,6.84,6.84,6.82,6.83,11,2589
2013-02-12,6.87,6.86,6.75,6.87,21,3623
2013-02-13,6.9,6.83,6.82,6.89,19,5026
2013-02-14,6.85,6.49,6.46,6.85,49,9873
2013-02-15,6.55,6.48,6.39,6.55,142,41279
2013-02-19,7.04,7.04,6.4,6.4,60,16741
2013-02-20,7.06,6.55,6.43,7.06,36,10132
2013-02-21,6.71,6.36,6.33,6.55,58,11564
2013-02-22,6.55,6.53,6.42,6.42,47,12201
2013-02-25,7.01,6.59,6.5,6.58,104,23526
2013-02-26,6.79,6.66,6.62,6.62,39,11073
2013-02-27,7.0,6.75,6.7,6.75,76,18319
2013-02-28,6.92,6.74,6.74,6.75,38,6243
2013-03-01,6.75,6.63,6.59,6.69,16,3811
2013-03-04,6.63,6.57,6.525,6.63,36,5720
2013-03-05,7.06,7.05,6.63,6.63,89,20473
2013-03-06,7.09,6.92,6.92,7.09,73,14849
2013-03-07,6.92,6.82,6.69,6.92,59,11736
2013-03-08,6.89,6.75,6.66,6.88,75,17803
2013-03-11,6.71,6.65,6.62,6.71,12,3170
2013-03-12,6.63,6.52,6.52,6.62,21,4776
2013-03-13,6.65,6.65,6.5,6.51,30,5611
2013-03-14,6.67,6.65,6.53,6.67,38,6587
2013-03-15,6.7,6.61,6.52,6.7,31,42559
2013-03-18,6.65,6.64,6.55,6.55,10,1986
2013-03-19,6.73,6.67,6.64,6.64,45,6288
2013-03-20,6.79,6.79,6.69,6.69,24,4766
2013-03-21,6.81,6.79,6.72,6.72,20,2889
2013-03-22,6.83,6.77,6.77,6.8,10,1457
2013-03-25,6.83,6.79,6.75,6.81,28,6097
2013-03-26,6.82,6.79,6.75,6.81,29,4234
2013-03-27,6.8,6.74,6.71,6.72,18,3538
2013-03-28,6.78,6.76,6.71,6.77,93,18380
2013-04-01,6.77,6.75,6.72,6.72,60,12758
2013-04-02,6.77,6.63,6.62,6.77,55,9629
2013-04-03,6.66,6.54,6.5,6.66,42,8100
2013-04-04,6.64,6.58,6.51,6.53,23,5299
2013-04-05,6.51,6.5,6.45,6.45,25,6023
2013-04-08,6.55,6.5,6.47,6.54,55,7859
2013-04-09,6.49,6.25,6.25,6.49,83,11250
2013-04-10,6.45,6.3,6.21,6.25,54,7857
2013-04-11,6.36,6.25,6.24,6.3,44,6161
2013-04-12,6.25,6.17,6.14,6.22,23,5435
2013-04-15,6.15,5.72,5.72,6.15,71,15412
2013-04-16,5.83,5.7,5.69,5.83,47,8914
2013-04-17,5.67,5.47,5.47,5.67,62,13236
2013-04-18,5.5,5.13,5.13,5.5,94,16748
2013-04-19,5.36,5.36,5.12,5.12,100,18784
2013-04-22,5.44,5.23,5.1,5.31,66,9836
2013-04-23,5.35,5.35,5.17,5.25,80,10963
2013-04-24,5.57,5.55,5.36,5.36,24,5228
2013-04-25,5.62,5.53,5.51,5.55,42,6560
2013-04-26,5.66,5.6,5.5,5.52,129,19165
2013-04-29,5.62,5.6,5.52,5.61,29,4155
2013-04-30,5.89,5.89,5.63,5.63,83,15458
2013-05-01,5.91,5.5,5.5,5.85,63,19505
2013-05-02,5.8,5.74,5.55,5.55,105,17382
2013-05-03,5.91,5.68,5.66,5.85,125,16819
2013-05-06,5.95,5.8,5.73,5.9,66,24943
2013-05-07,5.84,5.7,5.65,5.79,66,16223
2013-05-08,5.78,5.77,5.66,5.66,39,6421
2013-05-09,5.93,5.77,5.7,5.76,85,13709
2013-05-10,5.84,5.68,5.66,5.84,73,12655
2013-05-13,5.65,5.54,5.5,5.65,47,10263
2013-05-14,5.59,5.52,5.5,5.55,65,8681
2013-05-15,5.53,5.53,5.5,5.5,91,21732
2013-05-16,5.73,5.61,5.5,5.52,146,17392
2013-05-17,5.95,5.91,5.6,5.66,103,24431
2013-05-20,6.08,6.06,5.93,5.93,105,15603
2013-05-21,6.065,5.81,5.74,6.065,175,21667
2013-05-22,5.98,5.6,5.6,5.83,51,10883
2013-05-23,5.95,5.92,5.52,5.57,69,10866
2013-05-24,5.97,5.87,5.82,5.87,63,13461
2013-05-28,6.3,6.18,5.91,5.91,155,24699
2013-05-29,6.14,5.98,5.96,6.14,46,10409
2013-05-30,6.09,6.05,5.95,6.01,102,12283
2013-05-31,6.035,5.88,5.85,5.99,113,20057
2013-06-03,6.21,6.16,5.8,5.92,90,23209
2013-06-04,6.15,6.06,6.01,6.15,57,9246
2013-06-05,6.16,5.9,5.83,6.07,129,17140
2013-06-06,5.98,5.98,5.88,5.9,56,13652
2013-06-07,6.1,6.06,6.05,6.05,57,11923
2013-06-10,6.09,5.68,5.61,6.06,152,28279
2013-06-11,5.65,5.52,5.5,5.61,145,19704
2013-06-12,5.65,5.51,5.5,5.55,104,26440
2013-06-13,5.65,5.61,5.51,5.51,65,15151
2013-06-14,5.68,5.53,5.51,5.68,66,11103
2013-06-17,5.95,5.58,5.5,5.6,214,35615
2013-06-18,5.6,5.42,5.33,5.6,169,27638
2013-06-19,5.42,5.24,5.19,5.4,167,21995
2013-06-20,5.16,5.08,5.06,5.12,153,21191
2013-06-21,5.11,4.87,4.8,5.11,500,286664
2013-06-24,4.96,4.75,4.71,4.74,194,38310
2013-06-25,4.86,4.76,4.72,4.83,135,27777
2013-06-26,4.85,4.77,4.73,4.79,240,32746
2013-06-27,4.84,4.65,4.65,4.82,288,63327
2013-06-28,4.82,4.6,4.58,4.63,539,685320
2013-07-01,5.23,5.17,4.6,4.6,283,50762
2013-07-02,5.3,5.01,5.01,5.13,168,36998
2013-07-03,5.06,5.01,4.99,4.99,31,5250
2013-07-05,5.1,5.04,4.98,5.1,73,19323
2013-07-08,5.03,4.93,4.93,5.03,92,22062
2013-07-09,4.95,4.88,4.86,4.94,185,30277
2013-07-10,4.94,4.9,4.83,4.83,207,28351
2013-07-11,5.01,4.84,4.82,5.01,55,7155
2013-07-12,4.87,4.83,4.81,4.83,54,7375
2013-07-15,4.89,4.78,4.78,4.89,99,19432
2013-07-16,4.87,4.79,4.74,4.75,90,10777
2013-07-17,4.85,4.74,4.74,4.84,46,13148
2013-07-18,4.78,4.71,4.71,4.78,60,9737
2013-07-19,4.75,4.67,4.66,4.71,46,18288
2013-07-22,4.72,4.66,4.65,4.66,159,34586
2013-07-23,4.72,4.65,4.64,4.72,78,16247
2013-07-24,4.68,4.63,4.63,4.65,46,13629
2013-07-25,4.71,4.64,4.63,4.66,100,17721
2013-07-26,4.66,4.64,4.61,4.61,48,7472
2013-07-29,4.68,4.63,4.63,4.64,68,13595
2013-07-30,4.67,4.62,4.6,4.63,70,30912
2013-07-31,4.65,4.62,4.6,4.63,47,8573
2013-08-01,4.7,4.64,4.62,4.68,41,5667
2013-08-02,4.66,4.59,4.59,4.66,33,11708
2013-08-05,4.66,4.62,4.6,4.6,30,5022
2013-08-06,4.63,4.56,4.55,4.62,44,8903
2013-08-07,4.55,4.54,4.53,4.54,33,8653
2013-08-08,4.58,4.5,4.45,4.58,38,18581
2013-08-09,4.5,4.43,4.43,4.5,38,5734
2013-08-12,4.45,4.41,4.4,4.41,38,6951
2013-08-13,4.43,4.36,4.35,4.43,32,9373
2013-08-14,4.48,4.32,4.32,4.48,15,3599
2013-08-15,4.38,4.36,4.3,4.3,25,12072
2013-08-16,4.37,4.36,4.33,4.34,52,7087
2013-08-19,4.34,4.3,4.3,4.34,38,13072
2013-08-20,4.35,4.32,4.26,4.26,49,18059
2013-08-21,4.68,4.63,4.3,4.32,170,29705
2013-08-22,4.88,4.88,4.66,4.66,44,9414
2013-08-23,4.9,4.69,4.67,4.9,92,13807
2013-08-26,4.75,4.69,4.68,4.73,76,11988
2013-08-27,4.66,4.66,4.56,4.65,77,10660
2013-08-28,4.7,4.64,4.57,4.63,68,12325
2013-08-29,4.62,4.57,4.54,4.62,56,8932
2013-08-30,4.61,4.56,4.56,4.6,69,11011
2013-09-03,4.62,4.58,4.54,4.62,77,9460
2013-09-04,4.68,4.66,4.57,4.59,37,5740
2013-09-05,4.78,4.67,4.6,4.65,24,3464
2013-09-06,4.94,4.91,4.71,4.71,42,6899
2013-09-09,5.27,5.09,4.91,4.91,183,28345
2013-09-10,5.27,5.27,5.07,5.12,75,11409
2013-09-11,5.4,5.26,5.24,5.3,66,10149
2013-09-12,5.25,5.21,5.21,5.23,23,3509
2013-09-13,5.4,5.37,5.24,5.24,54,8080
2013-09-16,5.43,5.37,5.29,5.36,21,3429
2013-09-17,5.44,5.33,5.33,5.39,34,3986
2013-09-18,5.39,5.35,5.29,5.31,20,2705
2013-09-19,5.45,5.22,5.21,5.35,78,12217
2013-09-20,5.35,5.1,5.1,5.28,46,21298
2013-09-23,5.35,5.26,5.1,5.11,23,3694
2013-09-24,5.29,5.26,5.24,5.24,32,8218
