Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,4.33,4.28,4.24,4.24,82,20084
2013-01-03,4.36,4.34,4.26,4.29,86,16882
2013-01-04,4.47,4.47,4.36,4.38,116,18535
2013-01-07,4.49,4.45,4.42,4.44,47,15331
2013-01-08,4.49,4.49,4.43,4.43,69,9630
2013-01-09,4.54,4.53,4.5,4.5,81,10901
2013-01-10,4.55,4.53,4.5,4.51,43,6119
2013-01-11,4.545,4.53,4.52,4.54,25,4574
2013-01-14,4.55,4.55,4.51,4.54,49,8035
2013-01-15,4.55,4.52,4.51,4.54,41,8471
2013-01-16,4.53,4.33,4.32,4.53,95,13415
2013-01-17,4.35,4.24,4.21,4.35,51,10118
2013-01-18,4.24,4.11,4.1,4.21,250,44430
2013-01-22,4.165,4.14,4.05,4.1,135,19986
2013-01-23,4.17,4.11,4.1,4.15,166,31904
2013-01-24,4.18,4.11,4.1,4.13,79,9428
2013-01-25,4.13,4.08,4.08,4.11,227,34395
2013-01-28,4.15,4.14,4.06,4.1,286,38849
2013-01-29,4.36,4.29,4.15,4.15,156,21448
2013-01-30,4.33,4.27,4.23,4.28,143,18414
2013-01-31,4.3,4.2,4.17,4.27,69,9223
2013-02-01,4.44,4.41,4.2,4.22,241,71552
2013-02-04,4.51,4.43,4.38,4.38,130,18068
2013-02-05,4.47,4.4,4.37,4.41,124,15647
2013-02-06,4.44,4.42,4.33,4.4,72,10424
2013-02-07,4.45,4.4,4.36,4.44,103,12377
2013-02-08,4.5,4.44,4.39,4.39,72,10515
2013-02-11,4.5,4.48,4.45,4.45,95,11073
2013-02-12,4.53,4.49,4.48,4.5,47,7254
2013-02-13,4.58,4.52,4.47,4.55,90,11915
2013-02-14,4.65,4.62,4.5,4.53,81,11780
2013-02-15,4.66,4.51,4.5,4.66,110,23313
2013-02-19,4.58,4.39,4.36,4.52,165,40352
2013-02-20,4.39,4.34,4.24,4.38,239,66760
2013-02-21,4.36,4.2,4.18,4.36,131,27644
2013-02-22,4.3,4.25,4.17,4.22,222,39517
2013-02-25,4.28,4.19,4.18,4.25,78,16208
2013-02-26,4.29,4.27,4.19,4.21,136,19598
2013-02-27,4.29,4.26,4.23,4.24,131,24024
2013-02-28,4.38,4.38,4.24,4.27,167,29236
2013-03-01,4.81,4.14,4.12,4.78,293,62348
2013-03-04,4.45,4.39,4.1,4.15,157,25321
2013-03-05,4.57,4.49,4.36,4.42,79,15084
2013-03-06,4.54,4.52,4.48,4.51,43,4901
2013-03-07,4.57,4.54,4.51,4.51,65,11451
2013-03-08,4.66,4.63,4.51,4.59,139,24250
2013-03-11,4.63,4.56,4.54,4.6,78,11999
2013-03-12,4.64,4.61,4.5,4.56,63,7876
2013-03-13,4.66,4.63,4.52,4.63,83,15312
2013-03-14,4.63,4.63,4.55,4.63,25,7609
2013-03-15,5.1,5.09,4.64,4.64,208,62118
2013-03-18,5.08,4.78,4.76,5.02,86,17757
2013-03-19,4.83,4.78,4.76,4.8,61,8767
2013-03-20,4.83,4.78,4.75,4.82,93,14331
2013-03-21,4.8,4.7,4.69,4.75,80,13947
2013-03-22,4.94,4.77,4.72,4.72,121,15406
2013-03-25,4.85,4.84,4.77,4.8,66,8864
2013-03-26,4.89,4.86,4.82,4.89,84,10227
2013-03-27,4.95,4.92,4.8,4.81,44,7847
2013-03-28,5.0,4.98,4.89,4.97,177,31039
2013-04-01,5.13,5.13,4.98,4.99,213,40979
2013-04-02,5.15,5.09,5.07,5.15,202,27682
2013-04-03,5.16,5.12,5.09,5.09,137,17334
2013-04-04,5.16,5.0,5.0,5.11,185,29099
2013-04-05,5.05,4.97,4.9,4.93,149,24267
2013-04-08,5.06,5.0,4.99,4.99,122,20631
2013-04-09,5.11,5.08,5.04,5.11,35,9184
2013-04-10,5.37,5.35,5.03,5.08,140,18528
2013-04-11,5.37,5.3,5.26,5.37,84,14957
2013-04-12,5.31,5.23,5.16,5.31,84,13136
2013-04-15,5.22,4.93,4.82,5.22,97,18282
2013-04-16,5.22,5.08,4.98,4.98,111,13208
2013-04-17,5.155,4.87,4.87,5.08,131,21452
2013-04-18,4.965,4.8,4.8,4.89,74,12015
2013-04-19,5.01,4.99,4.82,4.82,65,12563
2013-04-22,5.07,5.02,4.97,5.04,101,12950
2013-04-23,5.19,5.09,5.07,5.07,54,8668
2013-04-24,5.15,4.72,4.56,5.15,139,20174
2013-04-25,4.77,4.72,4.68,4.72,109,19465
2013-04-26,4.77,4.72,4.71,4.72,133,22881
2013-04-29,4.72,4.7,4.67,4.72,70,12951
2013-04-30,4.74,4.68,4.65,4.68,107,17520
2013-05-01,4.66,4.56,4.56,4.65,171,35502
2013-05-02,4.86,4.8,4.53,4.53,173,30165
2013-05-03,5.13,5.06,4.89,4.89,181,25779
2013-05-06,5.11,5.01,5.01,5.11,107,16384
2013-05-07,5.05,5.01,5.01,5.05,96,15766
2013-05-08,5.05,5.01,5.01,5.04,86,10911
2013-05-09,5.05,4.87,4.87,5.03,88,13011
2013-05-10,4.89,4.81,4.79,4.89,93,12627
2013-05-13,4.97,4.93,4.71,4.82,80,12098
2013-05-14,5.07,5.02,4.9,4.92,85,14948
2013-05-15,5.07,5.0,4.93,5.03,100,16411
2013-05-16,5.02,4.95,4.86,5.0,58,6964
2013-05-17,5.08,4.94,4.91,4.99,139,23987
2013-05-20,5.01,4.84,4.84,4.95,77,11707
2013-05-21,4.86,4.65,4.65,4.86,67,8532
2013-05-22,4.84,4.7,4.52,4.67,203,28535
2013-05-23,4.79,4.75,4.68,4.68,25,4850
2013-05-24,4.91,4.91,4.75,4.75,198,24892
2013-05-28,5.08,5.08,4.93,4.98,220,58246
2013-05-29,5.1,5.05,5.01,5.05,152,38523
2013-05-30,5.09,4.9,4.84,5.05,195,44671
2013-05-31,4.88,4.85,4.76,4.86,100,39377
2013-06-03,4.96,4.95,4.82,4.85,117,27941
2013-06-04,5.08,5.0,4.91,5.02,125,38837
2013-06-05,5.05,5.0,5.0,5.01,127,42808
2013-06-06,5.09,5.09,4.97,5.03,221,73967
2013-06-07,5.19,5.1,5.05,5.1,114,19487
2013-06-10,5.19,5.18,5.09,5.13,90,13678
2013-06-11,5.16,5.1,5.085,5.14,176,26764
2013-06-12,5.13,5.09,5.09,5.13,95,19389
2013-06-13,5.1,5.09,5.05,5.09,134,16935
2013-06-14,5.11,5.07,5.05,5.11,114,16138
2013-06-17,5.12,5.04,5.02,5.12,55,8104
2013-06-18,5.15,5.04,5.0,5.09,135,20645
2013-06-19,5.07,5.03,5.0,5.02,66,10555
2013-06-20,5.05,5.03,5.02,5.02,190,40721
2013-06-21,5.07,5.04,5.02,5.05,86,43067
2013-06-24,5.06,5.04,4.95,5.02,325,63859
2013-06-25,5.06,5.04,5.0,5.06,108,22303
2013-06-26,5.06,5.06,5.03,5.05,95,20791
2013-06-27,5.06,5.05,5.03,5.06,164,32952
2013-06-28,5.25,5.11,5.04,5.04,611,608556
2013-07-01,5.3,5.2,5.14,5.2,249,37111
2013-07-02,5.4,5.31,5.21,5.21,81,12771
2013-07-03,5.39,5.35,5.23,5.3,68,7463
2013-07-05,5.38,5.35,5.24,5.38,34,4354
2013-07-08,5.43,5.4,5.29,5.42,89,14047
2013-07-09,5.48,5.31,5.26,5.48,89,20071
2013-07-10,5.35,5.32,5.3,5.35,121,18250
2013-07-11,5.42,5.35,5.3,5.42,83,9349
2013-07-12,5.44,5.43,5.35,5.35,98,15446
2013-07-15,5.46,5.46,5.4,5.4,85,19800
2013-07-16,5.49,5.46,5.4,5.43,42,7241
2013-07-17,5.52,5.5,5.49,5.5,45,25336
2013-07-18,5.62,5.5,5.5,5.5,48,8163
2013-07-19,5.58,5.53,5.5,5.53,48,11254
2013-07-22,5.59,5.53,5.53,5.57,60,8828
2013-07-23,5.75,5.6,5.52,5.57,93,15968
2013-07-24,5.71,5.6,5.6,5.65,57,8401
2013-07-25,5.76,5.76,5.61,5.63,125,21183
2013-07-26,5.77,5.67,5.65,5.77,65,11347
2013-07-29,5.67,5.59,5.59,5.67,24,7620
2013-07-30,5.73,5.73,5.58,5.68,99,20557
2013-07-31,5.79,5.6,5.6,5.73,124,19912
2013-08-01,5.84,5.75,5.58,5.67,93,14543
2013-08-02,5.76,5.65,5.65,5.76,57,14435
2013-08-05,5.74,5.72,5.57,5.65,52,10167
2013-08-06,5.75,5.58,5.48,5.75,71,15377
2013-08-07,5.23,4.92,4.7,5.23,129,26644
2013-08-08,5.07,4.92,4.81,4.87,103,15716
2013-08-09,4.97,4.81,4.8,4.95,62,11618
2013-08-12,4.81,4.8,4.72,4.72,58,20375
2013-08-13,4.82,4.8,4.8,4.8,41,8247
2013-08-14,4.83,4.72,4.7,4.8,146,28081
2013-08-15,4.75,4.74,4.71,4.73,56,9086
2013-08-16,4.75,4.7,4.64,4.75,49,17136
2013-08-19,4.7,4.52,4.48,4.7,77,12533
2013-08-20,4.51,4.48,4.4,4.5,65,12188
