Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-02-10,48.9,47.72,38.76,44.0,24435,4828531
2021-02-11,60.8,57.0,46.8,46.81,4452,426490
2021-02-12,68.09,65.49,52.01,58.15,2400,778481
2021-02-16,69.13,68.31,63.07,63.99,1708,158562
2021-02-17,67.7,62.0,58.75,67.5,2548,255269
2021-02-18,62.58,62.5,59.01,59.01,957,94425
2021-02-19,65.92,65.92,62.5,63.16,587,64451
2021-02-22,66.27,65.01,62.06,66.27,1050,61990
2021-02-23,62.4,58.305,50.36,62.4,1644,122898
2021-02-24,60.0,55.57,55.33,60.0,729,50738
2021-02-25,55.15,53.49,51.38,55.15,1303,99868
2021-02-26,52.93,49.59,48.81,52.93,917,98299
2021-03-01,55.98,52.73,50.98,50.98,916,79900
2021-03-02,54.32,50.62,50.59,54.0,655,30758
2021-03-03,50.8,42.99,40.6,50.8,1638,131507
2021-03-04,45.98,42.09,40.17,41.86,1666,138511
2021-03-05,43.14,41.32,37.01,42.6,2328,174094
2021-03-08,41.84,37.94,37.91,40.22,873,119582
2021-03-09,40.96,39.56,37.95,39.0,665,54133
2021-03-10,51.5,43.8,40.1,40.1,1242,100797
2021-03-11,47.71,43.83,43.69,44.71,849,67386
2021-03-12,57.0,50.16,41.0,42.71,1981,189343
2021-03-15,52.93,49.78,49.14,50.51,887,61562
2021-03-16,53.24,50.85,49.5,49.78,967,64024
2021-03-17,49.99,47.78,45.52,48.67,1110,90165
2021-03-18,51.7,48.78,46.25,46.25,809,62731
2021-03-19,57.34,52.26,47.78,50.24,1424,1433489
2021-03-22,62.45,59.74,52.0,52.0,1743,183362
2021-03-23,55.67,49.42,48.09,55.51,2436,200891
2021-03-24,53.38,47.29,46.48,49.74,770,54484
2021-03-25,46.95,46.11,42.2,46.95,1263,122458
2021-03-26,46.15,44.94,43.51,46.15,1213,91051
2021-03-29,46.12,44.07,40.44,45.12,2264,221715
2021-03-30,50.49,50.4,42.65,43.72,804,64073
2021-03-31,54.95,52.89,49.33,50.86,1893,149422
2021-04-01,53.99,48.92,48.23,53.68,2358,144835
2021-04-05,50.08,44.45,43.82,49.5,1005,65493
2021-04-06,45.88,42.08,41.73,44.07,1051,80571
2021-04-07,43.75,42.13,40.76,42.03,950,57609
2021-04-08,44.94,44.82,42.4,42.7,529,29975
2021-04-09,44.23,43.54,42.62,44.23,603,28521
2021-04-12,43.15,42.29,41.8,43.1,769,34075
2021-04-13,43.0,42.55,42.15,42.7,343,18068
2021-04-14,42.5,41.9,41.9,42.17,628,22514
2021-04-15,42.2,40.22,39.81,42.06,976,68150
2021-04-16,40.28,39.03,38.235,39.89,1371,108743
2021-04-19,40.69,39.24,38.76,39.25,1007,88283
2021-04-20,39.2,33.35,33.08,39.2,1447,119938
2021-04-21,34.86,32.63,32.61,33.36,1070,101713
2021-04-22,37.57,35.31,32.85,32.85,1844,96167
2021-04-23,37.89,33.41,33.36,35.45,1507,84347
2021-04-26,34.46,31.2,31.09,34.46,2147,156588
2021-04-27,35.8,33.5,31.5,31.5,1840,86717
2021-04-28,33.66,32.03,31.7,32.88,1107,75226
2021-04-29,33.45,33.17,31.04,32.4,947,45138
2021-04-30,34.0,32.84,32.34,32.61,722,45787
2021-05-03,34.83,33.92,33.0,33.11,932,42999
2021-05-04,34.4,32.17,31.71,33.65,716,44097
2021-05-05,33.18,31.97,30.29,32.52,1295,70751
2021-05-06,32.25,30.53,30.18,31.98,1136,72247
2021-05-07,33.5,32.91,30.9,30.9,961,49393
2021-05-10,32.5,27.91,27.13,32.5,2351,134091
2021-05-11,29.16,28.66,26.66,26.71,857,51594
2021-05-12,28.9,27.3,26.62,28.3,787,49734
2021-05-13,27.91,24.09,23.77,27.91,1382,80140
2021-05-14,27.68,27.38,24.31,24.31,1252,76026
2021-05-17,28.0,26.72,26.28,27.38,1152,72100
2021-05-18,27.14,25.03,24.82,27.14,1556,82009
2021-05-19,25.08,24.52,23.8,24.84,1366,91988
2021-05-20,26.05,22.99,22.85,24.5,1977,157102
2021-05-21,23.4,21.59,21.4,23.4,1899,127967
2021-05-24,22.82,22.74,20.75,21.86,1556,103327
2021-05-25,26.04,25.86,22.7,22.7,1969,126189
2021-05-26,27.46,26.55,25.96,26.46,1364,79940
2021-05-27,28.52,28.37,25.38,26.0,1008,75202
2021-05-28,29.58,29.19,28.5,28.5,1208,97366
2021-06-01,32.23,31.24,29.39,29.39,1602,107256
2021-06-02,34.93,34.4,31.38,31.38,1832,809925
2021-06-03,34.67,32.82,32.06,33.38,1318,110366
2021-06-04,33.44,32.09,31.75,33.25,822,68268
2021-06-07,33.07,32.93,31.01,31.83,1007,58181
2021-06-08,36.45,34.0,33.21,33.21,1476,128176
2021-06-09,34.91,29.06,28.82,34.91,2156,128784
2021-06-10,30.23,28.37,28.06,28.71,1374,78809
2021-06-11,29.7,29.21,28.11,28.68,974,58756
2021-06-14,31.22,30.85,29.38,29.38,1329,133864
2021-06-15,30.84,28.69,28.5,30.84,1135,68789
2021-06-16,29.3,28.21,27.67,28.69,946,42288
2021-06-17,30.1,28.78,28.13,28.14,966,52164
2021-06-18,29.62,29.41,28.57,28.57,1192,134462
2021-06-21,30.19,28.64,28.32,29.34,1422,79938
2021-06-22,28.99,28.75,27.42,28.46,770,68351
2021-06-23,29.77,29.49,29.0,29.0,685,50451
2021-06-24,29.82,29.48,28.87,29.82,1154,98536
2021-06-25,31.7,29.96,29.42,29.54,1647,262133
2021-06-28,31.0,30.0,29.88,30.15,793,66147
2021-06-29,30.29,29.75,29.37,30.29,746,35735
2021-06-30,30.0,29.78,28.88,29.69,498,39456
2021-07-01,30.7,28.2,28.15,30.1,611,41648
2021-07-02,28.35,27.68,27.47,28.35,934,50185
2021-07-06,27.82,27.11,26.86,27.82,904,55894
2021-07-07,27.39,25.13,25.12,27.39,1084,60896
2021-07-08,24.25,22.65,21.93,24.25,1496,104379
2021-07-09,23.3,22.88,22.275,22.78,1049,69686
2021-07-12,23.16,21.92,21.4,23.16,735,62628
2021-07-13,22.0,20.98,20.17,22.0,1418,124019
2021-07-14,21.49,19.35,19.27,20.51,1182,91882
2021-07-15,19.88,18.52,17.9,19.36,1135,73679
2021-07-16,18.715,17.21,17.0,18.69,1154,73420
2021-07-19,17.37,17.14,16.8,16.95,2017,190797
2021-07-20,17.115,16.91,16.15,17.0,1290,167612
2021-07-21,17.82,17.7,16.61,16.92,1358,128407
2021-07-22,18.79,18.4,17.55,17.75,1253,98975
2021-07-23,18.93,17.47,17.42,18.85,1248,120193
2021-07-26,17.44,15.4,15.25,17.44,1579,176695
2021-07-27,15.68,15.14,14.46,15.45,1470,119069
2021-07-28,16.16,16.07,14.96,15.33,936,86728
2021-07-29,16.3,15.98,15.8,16.21,635,58231
2021-07-30,18.22,17.29,17.0,17.46,1146,112552
2021-08-02,17.36,16.13,16.1,17.36,1022,78804
2021-08-03,16.16,16.01,15.82,16.11,695,63787
2021-08-04,16.06,15.96,15.68,16.01,526,45571
2021-08-05,16.52,16.34,15.85,15.85,729,51841
2021-08-06,17.55,17.5,16.47,16.51,873,74513
2021-08-09,18.52,17.73,17.68,17.81,998,89855
2021-08-10,18.03,17.28,16.91,17.96,838,55556
2021-08-11,17.475,17.18,16.7,17.45,1136,76189
2021-08-12,18.46,18.13,16.4,17.05,1183,82992
2021-08-13,18.0,15.89,15.725,18.0,1635,137472
2021-08-16,15.97,14.72,14.565,15.97,1345,96229
2021-08-17,15.41,14.71,14.09,14.11,1015,110043
2021-08-18,15.05,14.6,14.28,14.82,815,74647
2021-08-19,14.62,13.78,13.62,14.6,936,68995
2021-08-20,14.5,14.32,13.76,13.76,706,85629
2021-08-23,14.79,14.4,14.3,14.38,817,56342
2021-08-24,14.8,14.68,14.5,14.6,651,58719
2021-08-25,14.39,13.16,13.16,14.39,2272,444691
2021-08-26,13.58,13.37,12.85,13.0,1422,112952
2021-08-27,14.26,14.07,13.31,13.38,1492,124603
2021-08-30,14.17,14.03,13.61,14.17,1182,100707
2021-08-31,14.0,13.75,13.25,14.0,1841,897593
2021-09-01,15.51,14.62,13.88,14.0,2185,246416
2021-09-02,14.92,14.38,14.32,14.59,1317,93280
2021-09-03,14.69,14.47,14.02,14.36,815,62484
2021-09-07,14.75,13.78,13.78,14.65,771,74216
2021-09-08,13.85,13.33,12.98,13.81,1297,99014
2021-09-09,13.81,13.73,13.15,13.22,723,47205
2021-09-10,14.05,13.72,13.58,13.75,771,48071
2021-09-13,13.81,12.76,12.3,13.81,2175,199494
2021-09-14,13.34,12.77,12.67,12.9,1141,93386
2021-09-15,12.9,12.83,12.4,12.8,968,73624
2021-09-16,12.98,12.95,12.73,12.74,1146,111105
2021-09-17,13.1,12.65,12.59,13.07,1146,228827
2021-09-20,12.36,12.02,11.74,12.34,1415,126664
2021-09-21,12.1,11.64,11.62,12.08,869,70103
2021-09-22,12.28,12.17,11.5,12.07,1374,137971
