Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,22.41,22.29,22.12,22.13,2322,399472
2013-01-03,22.65,22.62,22.25,22.3,1742,258501
2013-01-04,23.12,22.96,22.66,22.88,2123,358829
2013-01-07,22.87,22.76,22.66,22.8,893,152610
2013-01-08,23.01,22.76,22.66,22.77,1401,246020
2013-01-09,22.95,22.89,22.73,22.86,1126,175456
2013-01-10,23.1,22.9,22.77,23.1,1229,216208
2013-01-11,22.88,22.5,22.4,22.82,1745,303671
2013-01-14,22.67,22.65,22.4,22.46,1051,155979
2013-01-15,22.76,22.76,22.44,22.55,737,106538
2013-01-16,22.84,22.78,22.58,22.66,780,120366
2013-01-17,23.01,22.9,22.8,22.88,1293,228113
2013-01-18,22.955,22.92,22.71,22.94,580,95379
2013-01-22,23.19,23.17,22.87,22.87,740,112994
2013-01-23,23.23,23.16,22.95,23.16,1169,213676
2013-01-24,23.38,23.1,22.95,23.21,1768,287811
2013-01-25,23.55,23.46,23.13,23.29,1564,234379
2013-01-28,23.76,23.66,23.03,23.36,2197,384724
2013-01-29,23.84,23.29,23.28,23.61,2800,469895
2013-01-30,23.49,23.39,23.14,23.32,2051,318548
2013-01-31,23.63,23.45,23.26,23.29,2143,332411
2013-02-01,23.82,23.81,23.48,23.54,1487,240274
2013-02-04,23.825,23.59,23.36,23.53,1908,312317
2013-02-05,23.85,23.77,23.52,23.67,1476,222640
2013-02-06,23.94,23.9,23.54,23.54,1443,223473
2013-02-07,24.0,23.95,23.66,23.85,1579,240776
2013-02-08,24.17,23.98,23.9,23.98,1886,270378
2013-02-11,24.05,24.01,23.78,23.97,1292,214565
2013-02-12,24.44,24.43,24.01,24.02,1661,290893
2013-02-13,24.55,24.55,24.2,24.44,1649,278809
2013-02-14,24.69,24.5,24.43,24.51,1431,246695
2013-02-15,24.49,24.45,24.37,24.47,1032,168277
2013-02-19,24.9,24.82,24.42,24.52,1569,231482
2013-02-20,24.93,24.51,24.5,24.84,1709,261947
2013-02-21,24.65,24.44,24.32,24.47,1882,261785
2013-02-22,24.77,24.77,24.545,24.56,1223,178679
2013-02-25,24.91,24.14,24.13,24.83,1702,292489
2013-02-26,24.44,24.35,24.06,24.25,1388,195023
2013-02-27,24.71,24.64,24.3,24.36,976,139793
2013-02-28,24.87,24.6,24.47,24.59,1161,205365
2013-03-01,24.76,24.64,24.21,24.41,2065,407412
2013-03-04,24.94,24.93,24.54,24.59,1507,261100
2013-03-05,25.065,25.04,24.81,25.0,1964,270176
2013-03-06,25.24,25.1,25.02,25.11,886,123216
2013-03-07,25.33,25.25,25.1,25.14,767,116169
2013-03-08,25.53,25.39,25.24,25.43,1639,232745
2013-03-11,25.54,25.41,25.33,25.37,727,114797
2013-03-12,25.49,25.35,25.28,25.44,916,131539
2013-03-13,25.5,25.47,25.32,25.43,676,88169
2013-03-14,25.78,25.78,25.5,25.5,619,101480
2013-03-15,25.68,25.33,25.29,25.53,2075,691289
2013-03-18,25.34,25.1,25.05,25.13,1214,214147
2013-03-19,25.3,25.07,24.95,25.19,1754,232747
2013-03-20,25.33,25.27,25.11,25.24,1799,269245
2013-03-21,25.39,25.34,25.09,25.15,1532,258479
2013-03-22,25.55,25.49,25.2,25.4,1059,136364
2013-03-25,25.61,25.5,25.33,25.58,1103,170273
2013-03-26,25.68,25.63,25.46,25.64,933,142181
2013-03-27,25.73,25.64,25.4,25.52,1194,178164
2013-03-28,25.7,25.67,25.51,25.64,874,157306
2013-04-01,25.7,25.35,25.29,25.7,1365,204270
2013-04-02,25.54,25.21,25.18,25.52,1153,164988
2013-04-03,25.3,25.15,24.9,25.3,2310,337794
2013-04-04,25.34,25.28,25.04,25.25,922,132725
2013-04-05,25.28,25.28,24.9,25.0,1251,202077
2013-04-08,25.42,25.42,25.0,25.4,1726,266824
2013-04-09,25.48,25.29,25.2,25.47,1051,161522
2013-04-10,25.6,25.4,25.3,25.3,1719,245801
