Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-09-16,77.0,64.79,64.04,71.27,45084,6465809
2020-09-17,68.49,64.46,60.0,60.0,6986,647487
2020-09-18,66.37,64.78,62.56,63.42,2107,195697
2020-09-21,68.2,67.0,62.9,63.0,2203,169344
2020-09-22,79.35,77.71,64.0,69.25,6614,1438913
2020-09-23,83.12,75.5,71.7,77.7,5742,435705
2020-09-24,81.2,72.46,72.38,73.65,2645,199105
2020-09-25,77.12,75.73,73.0,74.0,2023,174180
2020-09-28,87.11,86.35,76.29,77.48,4821,350748
2020-09-29,90.8,85.47,82.1,85.2,4767,296450
2020-09-30,88.5,84.65,81.7,85.83,3100,219432
2020-10-01,86.09,79.01,77.29,86.01,7036,437451
2020-10-02,78.63,75.75,74.0,75.0,2901,151261
2020-10-05,78.25,78.01,76.2,77.69,1838,97036
2020-10-06,78.84,74.62,74.3,78.64,2121,99022
2020-10-07,76.03,73.0,72.35,74.89,2365,130489
2020-10-08,74.87,73.37,69.2,74.87,3934,227276
2020-10-09,76.74,74.0,72.27,73.74,3326,258866
2020-10-12,77.3,76.73,74.53,76.94,2820,134392
2020-10-13,75.96,73.62,73.48,75.96,2407,189770
2020-10-14,76.9,73.8,73.59,74.36,1901,139001
2020-10-15,75.12,75.01,71.9,73.14,1630,116568
2020-10-16,81.24,80.18,74.58,75.17,3443,247810
2020-10-19,86.95,78.14,77.35,80.0,3871,293017
2020-10-20,83.88,81.77,79.25,79.66,1933,128405
2020-10-21,86.19,77.4,77.3,81.53,2515,154446
2020-10-22,81.81,80.88,75.62,78.65,2896,156689
2020-10-23,85.48,85.25,79.38,81.21,2300,168077
2020-10-26,95.2,85.07,82.12,82.9,6891,478854
2020-10-27,88.18,81.56,80.25,85.9,2791,182766
2020-10-28,79.22,74.44,74.0,78.77,4249,237167
2020-10-29,80.15,76.3,74.42,75.93,2533,221231
2020-10-30,75.27,72.43,69.62,75.13,3836,223473
2020-11-02,73.99,70.49,68.75,73.64,3741,158514
2020-11-03,73.22,71.81,69.48,71.0,2485,139258
2020-11-04,74.71,71.86,70.21,74.71,4230,329656
2020-11-05,68.37,64.97,64.06,68.37,15363,977293
2020-11-06,67.14,64.42,63.39,65.01,6233,394014
2020-11-09,65.71,60.15,60.02,64.5,6222,398936
2020-11-10,61.81,59.6,57.25,60.5,6186,489663
2020-11-11,62.56,61.05,60.21,60.21,3747,239220
2020-11-12,63.38,59.99,59.25,61.01,3706,294718
2020-11-13,63.24,62.47,60.3,60.57,2683,219412
2020-11-16,63.42,63.4,61.47,62.04,1769,134395
2020-11-17,64.72,61.98,61.76,63.0,2400,180755
2020-11-18,64.4,63.27,61.71,62.16,2998,234252
2020-11-19,63.89,62.12,61.87,63.3,2414,152559
2020-11-20,62.25,61.23,60.26,61.85,3763,259325
2020-11-23,60.84,60.48,57.15,59.95,6416,471422
2020-11-24,63.845,59.73,59.65,61.5,7489,561450
2020-11-25,67.73,66.69,59.45,59.56,13664,1506420
2020-11-27,70.94,69.37,65.64,68.9,10015,879952
2020-11-30,72.34,70.36,67.47,70.0,11935,1098977
2020-12-01,71.35,69.26,67.2,70.5,6952,564068
2020-12-02,68.18,65.7,65.15,65.73,4292,282538
2020-12-03,69.73,68.22,66.5,67.0,3831,271057
2020-12-04,68.5,68.12,66.9,67.71,4292,314006
2020-12-07,73.59,69.77,67.95,68.5,9570,702999
2020-12-08,71.23,68.57,67.61,70.38,5638,471174
2020-12-09,70.28,67.54,65.69,69.59,5984,458500
2020-12-10,68.89,68.18,65.69,65.71,3645,215910
2020-12-11,68.7,68.34,66.03,68.14,3568,359413
2020-12-14,69.69,68.07,66.85,68.83,3416,254322
2020-12-15,68.66,65.44,64.39,68.33,6847,531167
2020-12-16,66.24,63.2,62.45,65.71,5780,411681
2020-12-17,67.76,67.23,62.57,63.66,5922,543515
2020-12-18,68.99,68.9,66.01,67.06,4754,996047
2020-12-21,69.0,68.08,66.27,67.5,3056,236217
2020-12-22,68.94,67.52,65.68,68.37,4233,465147
2020-12-23,68.94,67.8,66.13,67.48,5753,546890
2020-12-24,72.25,68.82,66.72,67.85,6431,725324
2020-12-28,69.75,63.59,63.03,69.46,7771,756152
2020-12-29,65.77,64.67,62.6,64.27,4995,433258
2020-12-30,65.14,64.74,64.1,64.22,2283,176832
2020-12-31,64.72,62.83,61.86,64.71,4564,382986
2021-01-04,62.7,60.37,59.73,62.35,5942,345547
2021-01-05,61.65,61.48,60.03,60.66,4262,264325
2021-01-06,60.8,59.54,59.22,60.75,6551,463413
2021-01-07,62.15,62.07,59.9,60.0,4962,377078
2021-01-08,63.53,62.59,61.3,62.22,4009,256449
2021-01-11,62.98,61.93,60.5,62.0,3219,230781
2021-01-12,63.0,62.98,61.17,62.8,3031,226628
2021-01-13,64.01,63.87,62.27,62.52,3565,236927
2021-01-14,64.86,62.0,61.87,64.0,3621,226779
2021-01-15,62.45,59.65,59.62,62.15,4649,290837
2021-01-19,60.85,60.43,58.92,60.8,4067,321577
2021-01-20,61.47,61.42,59.88,61.27,3837,320480
2021-01-21,63.83,63.54,60.6,61.5,3936,320716
2021-01-22,65.21,64.74,63.0,63.64,5426,424283
2021-01-25,69.54,67.36,65.76,65.76,8261,620798
2021-01-26,70.44,69.81,67.5,68.17,5869,418130
2021-01-27,70.01,69.93,66.33,67.18,6977,592263
