Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-03-04,25.75,25.61,25.24,25.24,42,25924
2021-03-05,25.95,25.65,25.59,25.59,46,20133
2021-03-08,25.65,25.65,25.605,25.62,9,2000
2021-03-09,25.69,25.69,25.52,25.64,71,11244
2021-03-10,25.7,25.7,25.6,25.69,11,5500
2021-03-11,25.74,25.69,25.54,25.7,57,12039
2021-03-12,25.69,25.69,25.605,25.69,12,1451
2021-03-15,25.76,25.76,25.69,25.69,417,43258
2021-03-16,25.75,25.73,25.73,25.75,145,438
2021-03-17,25.75,25.74,25.61,25.74,14,2188
2021-03-18,25.74,25.74,25.65,25.73,15,1327
2021-03-19,25.74,25.72,25.61,25.61,6,2108
2021-03-22,25.75,25.73,25.7,25.7,675,6321
2021-03-23,25.75,25.73,25.7,25.75,187,6000
2021-03-24,25.8,25.675,25.615,25.75,113,18035
2021-03-25,25.9,25.8,25.645,25.71,351,38344
2021-03-26,26.1,26.05,25.8,25.89,196,49344
2021-03-29,26.15,26.05,25.99,26.01,140,20114
2021-03-30,26.15,25.975,25.975,26.09,127,10119
2021-03-31,26.14,25.86,25.72,26.07,323,334341
2021-04-01,25.76,25.76,25.71,25.75,15,608
2021-04-05,25.83,25.83,25.77,25.8,33,1318
2021-04-06,25.87,25.83,25.83,25.85,24,534
2021-04-07,25.87,25.67,25.57,25.83,57,3899
2021-04-08,25.81,25.81,25.7,25.7,6,47
2021-04-09,25.84,25.84,25.79,25.79,10,383
2021-04-12,25.94,25.94,25.85,25.92,25,3286
2021-04-13,25.94,25.84,25.84,25.94,9,228
2021-04-14,25.91,25.78,25.7,25.91,13,1229
2021-04-15,25.8,25.77,25.77,25.8,17,926
2021-04-16,25.94,25.85,25.75,25.94,15,1963
2021-04-19,25.95,25.77,25.76,25.76,8,313
2021-04-20,25.85,25.75,25.75,25.85,27,1071
2021-04-21,25.78,25.78,25.77,25.77,3,130
2021-04-22,25.95,25.95,25.79,25.79,16,888
2021-04-23,25.85,25.77,25.65,25.84,22,1312
2021-04-26,25.9,25.9,25.75,25.75,7,1333
2021-04-27,25.85,25.82,25.73,25.85,68,11821
2021-04-28,25.93,25.855,25.82,25.93,56,2405
2021-04-29,26.05,26.05,25.84,25.84,9,950
2021-04-30,26.05,26.05,25.89,25.98,58,40374
2021-05-03,26.01,26.01,25.96,25.98,14,835
2021-05-04,26.005,25.95,25.9,25.97,17,1383
2021-05-05,25.95,25.88,25.88,25.95,8,203
2021-05-06,25.95,25.86,25.85,25.85,25,1518
2021-05-07,26.05,26.05,25.96,25.96,9,557
2021-05-10,26.03,25.93,25.93,26.03,13,620
2021-05-11,25.85,25.85,25.75,25.75,14,506
2021-05-12,25.85,25.85,25.75,25.77,40,4324
2021-05-13,26.0,25.85,25.8,26.0,4,1021
2021-05-14,26.05,25.88,25.88,26.05,13,496
2021-05-17,25.89,25.89,25.79,25.79,2,1666
2021-05-18,25.85,25.85,25.77,25.77,5,161
2021-05-19,25.79,25.79,25.79,25.79,1,19
2021-05-20,25.9,25.9,25.75,25.75,2,24
2021-05-21,26.04,25.83,25.83,26.04,2,404
2021-05-24,25.94,25.79,25.5,25.8,116,8283
2021-05-25,25.75,25.72,25.61,25.72,94,15692
2021-05-26,25.78,25.78,25.71,25.72,27,5778
2021-05-27,25.75,25.71,25.71,25.75,17,688
