Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-08-05,9.97,9.8,9.5,9.5,44,3173
2021-08-06,10.1,9.72,9.72,10.1,10,498
2021-08-09,10.0,10.0,9.72,9.72,3,205
2021-08-10,9.81,9.8,9.8,9.81,2,501
2021-08-11,9.66,9.66,9.66,9.66,1,21
2021-08-12,9.77,9.77,9.77,9.77,1,17
2021-08-13,9.8,9.8,9.8,9.8,1,2
2021-08-16,9.69,9.69,9.69,9.69,1,59
2021-08-18,9.72,9.65,9.65,9.72,2,6
2021-08-20,9.66,9.62,9.62,9.66,9,898
2021-08-23,9.66,9.66,9.62,9.62,5,202
2021-08-24,9.65,9.65,9.64,9.64,6,502
2021-08-25,9.78,9.68,9.68,9.78,4,402
2021-08-31,9.77,9.77,9.77,9.77,1,47
2021-09-14,9.67,9.67,9.67,9.67,1,7
2021-09-16,9.71,9.71,9.71,9.71,1,20
2021-10-01,10.68,10.68,10.68,10.68,1,11
2021-10-04,9.75,9.75,9.73,9.73,6,1000
2021-10-05,9.75,9.75,9.74,9.75,37,15893
2021-10-06,9.78,9.78,9.73,9.73,8,1562
2021-10-07,9.78,9.75,9.75,9.78,3,369
2021-10-08,9.75,9.75,9.75,9.75,4,220
2021-10-11,9.77,9.76,9.76,9.77,2,600
2021-10-13,10.02,10.02,10.02,10.02,1,10
2021-10-14,9.78,9.75,9.75,9.78,20,662
2021-10-22,9.82,9.75,9.75,9.82,2,81
2021-10-25,9.75,9.74,9.74,9.75,5,3520
2021-10-26,9.81,9.81,9.81,9.81,1,3
2021-10-27,9.72,9.72,9.72,9.72,1,500
2021-10-29,9.76,9.76,9.76,9.76,26,461
2021-11-01,9.77,9.77,9.76,9.76,10,661
2021-11-02,9.79,9.79,9.79,9.79,1,2
2021-11-03,9.79,9.79,9.78,9.79,15,1202
2021-11-04,9.82,9.82,9.79,9.79,8,2010
2021-11-05,9.97,9.84,9.82,9.97,14,1572
2021-11-08,9.82,9.81,9.81,9.82,37,4356
2021-11-09,9.91,9.86,9.84,9.91,15,12149
2021-11-10,9.86,9.86,9.86,9.86,13,32560
2021-11-11,9.86,9.86,9.86,9.86,1,75
2021-11-12,9.82,9.82,9.82,9.82,1,7
2021-11-15,9.88,9.82,9.82,9.88,42,1714
2021-11-16,10.1,10.1,9.87,9.87,2,232
2021-11-17,10.14,9.85,9.85,10.14,61,4484
2021-11-18,9.95,9.85,9.85,9.95,2,100
2021-11-19,9.82,9.82,9.82,9.82,3,303
2021-11-22,9.82,9.82,9.82,9.82,1,892
2021-11-23,9.88,9.88,9.87,9.87,4,500
2021-11-24,9.85,9.85,9.82,9.82,2,4
2021-11-26,10.0,10.0,10.0,10.0,1,10
2021-11-29,9.84,9.84,9.84,9.84,1,9
2021-11-30,9.87,9.87,9.82,9.84,5,1000
2021-12-01,9.86,9.84,9.82,9.82,68,90300
2021-12-02,9.86,9.84,9.8,9.85,14,4213
2021-12-03,9.85,9.8,9.76,9.76,4,729
2021-12-06,9.85,9.85,9.85,9.85,1,8
2021-12-07,9.84,9.84,9.83,9.83,3,429
2021-12-09,9.83,9.8,9.8,9.83,2,728
2021-12-10,9.81,9.81,9.75,9.79,27,10435
2021-12-13,9.8,9.8,9.8,9.8,1,1
2021-12-15,9.8,9.8,9.8,9.8,1,41
2021-12-17,9.8,9.79,9.7,9.8,25,6048
2021-12-20,9.7,9.7,9.7,9.7,1,17
2021-12-21,9.91,9.91,9.91,9.91,1,100
2021-12-23,9.8,9.8,9.8,9.8,2,250
2022-01-03,9.77,9.77,9.77,9.77,1,93
2022-01-04,9.77,9.77,9.72,9.76,31,7800
2022-01-05,9.74,9.74,9.72,9.72,6,522
2022-01-06,9.72,9.72,9.72,9.72,2,110
2022-01-07,9.77,9.74,9.72,9.77,28,6022
2022-01-10,9.72,9.72,9.72,9.72,23,176
2022-01-11,9.73,9.73,9.72,9.72,2,147
2022-01-12,9.73,9.73,9.73,9.73,2,5000
2022-01-13,9.74,9.74,9.74,9.74,3,12
2022-01-24,9.7,9.7,9.68,9.69,12,7014
2022-01-25,9.7,9.69,9.69,9.7,5,521
2022-01-26,9.71,9.71,9.71,9.71,1,30
2022-01-27,9.69,9.68,9.68,9.69,4,318
2022-01-31,9.9,9.9,9.71,9.71,23,2283
2022-02-01,9.74,9.74,9.74,9.74,2,5
2022-02-02,9.79,9.79,9.79,9.79,1,1
2022-02-03,9.8,9.8,9.68,9.68,2,203
2022-02-04,9.9,9.78,9.78,9.9,6,112
2022-02-07,9.9,9.9,9.75,9.75,3,642
2022-02-08,9.79,9.77,9.77,9.79,3,702
2022-02-09,9.76,9.75,9.75,9.76,5,96
2022-02-10,9.77,9.77,9.77,9.77,1,60
2022-02-11,9.76,9.76,9.76,9.76,1,40
2022-02-14,9.76,9.75,9.75,9.76,6,14353
2022-02-15,9.7,9.7,9.7,9.7,1,8
2022-02-17,9.75,9.72,9.72,9.75,4,23
2022-02-22,9.72,9.72,9.72,9.72,1,1
2022-02-23,9.6,9.6,9.6,9.6,1,1
2022-02-24,9.71,9.71,9.7,9.7,5,328
2022-03-01,9.78,9.66,9.66,9.78,15,8627
2022-03-02,9.76,9.71,9.71,9.76,6,210
2022-03-03,9.77,9.77,9.71,9.75,23,1001
2022-03-07,9.85,9.75,9.71,9.85,4,706
2022-03-08,9.73,9.72,9.72,9.73,2,10
2022-03-09,9.75,9.69,9.69,9.75,27,5979
2022-03-10,9.715,9.715,9.7,9.7,5,450
2022-03-11,9.75,9.75,9.75,9.75,1,1
2022-03-14,9.74,9.74,9.74,9.74,1,1
2022-03-15,9.75,9.75,9.71,9.71,2,2418
2022-03-17,9.73,9.73,9.73,9.73,10,4963
2022-03-21,9.71,9.71,9.71,9.71,1,161
2022-03-22,9.71,9.71,9.71,9.71,1,15
2022-03-24,9.75,9.75,9.75,9.75,2,200
2022-03-25,9.75,9.75,9.75,9.75,1,100
2022-03-28,9.76,9.76,9.75,9.75,4,778
2022-03-29,9.79,9.735,9.735,9.79,4,269
2022-03-31,9.77,9.77,9.77,9.77,4,1989
2022-04-01,9.77,9.77,9.76,9.76,3,7
2022-04-04,9.83,9.74,9.74,9.83,15,54
2022-04-05,9.75,9.74,9.74,9.75,4,640
2022-04-06,9.73,9.73,9.73,9.73,1,200
2022-04-07,9.75,9.75,9.75,9.75,3,182
2022-04-08,9.78,9.73,9.73,9.73,14,18205
2022-04-11,9.78,9.76,9.76,9.78,12,797
2022-04-12,9.77,9.76,9.76,9.77,4,4277
2022-04-13,9.82,9.82,9.79,9.79,4,130
2022-04-14,9.9,9.75,9.75,9.79,33,13336
2022-04-18,9.77,9.75,9.75,9.77,38,9123
2022-04-20,9.77,9.76,9.76,9.77,4,221
2022-04-21,9.76,9.76,9.76,9.76,3,608
2022-04-22,9.77,9.76,9.76,9.77,11,7500
2022-04-25,9.8,9.8,9.75,9.75,8,829
2022-04-26,9.77,9.75,9.75,9.77,2,35
2022-04-27,9.775,9.75,9.75,9.775,5,413
2022-04-29,9.8,9.75,9.75,9.8,10,701
2022-05-02,9.75,9.75,9.75,9.75,1,31
2022-05-03,9.76,9.76,9.76,9.76,1,100
2022-05-04,9.76,9.75,9.75,9.76,2,114
2022-05-05,9.77,9.76,9.75,9.75,11,1084
2022-05-06,9.77,9.77,9.76,9.76,16,17908
2022-05-09,9.76,9.73,9.73,9.76,19,15884
2022-05-10,9.75,9.71,9.71,9.75,43,65870
2022-05-11,9.7,9.7,9.69,9.7,21,10137
2022-05-13,9.69,9.69,9.69,9.69,14,667
2022-05-16,9.69,9.69,9.69,9.69,1,44
2022-05-17,9.72,9.72,9.72,9.72,3,389
2022-05-18,9.69,9.69,9.69,9.69,7,28
2022-05-20,9.69,9.69,9.69,9.69,1,10
2022-05-23,9.7,9.7,9.7,9.7,2,325
2022-05-24,9.69,9.69,9.69,9.69,3,1044
2022-06-07,9.7,9.7,9.7,9.7,1,17
2022-06-08,9.7,9.7,9.7,9.7,1,17
2022-06-13,,,,,1,6
2022-06-14,9.71,9.71,9.71,9.71,1,38
2022-06-15,9.74,9.74,9.73,9.73,3,103
2022-06-16,9.72,9.71,9.71,9.72,3,239
2022-06-17,9.75,9.75,9.72,9.73,21,11534
2022-06-21,,,,,2,307
2022-06-23,9.73,9.72,9.72,9.73,50,9556
2022-06-27,9.71,9.71,9.71,9.71,1,153
2022-06-28,9.71,9.71,9.71,9.71,1,5
2022-06-29,9.74,9.74,9.74,9.74,3,16
2022-06-30,9.74,9.74,9.71,9.71,4,513
2022-07-05,9.73,9.73,9.73,9.73,1,100
2022-07-06,9.74,9.74,9.74,9.74,6,1000
2022-07-07,9.72,9.72,9.72,9.72,1,109
2022-07-08,9.72,9.72,9.71,9.71,4,1180
2022-07-12,9.73,9.73,9.73,9.73,3,224
2022-07-13,9.72,9.72,9.72,9.72,7,10902
2022-07-14,,,,,1,308
2022-07-15,9.74,9.74,9.72,9.72,3,1058
2022-07-19,9.74,9.74,9.74,9.74,4,400
2022-07-20,9.75,9.75,9.74,9.74,4,428
2022-07-21,9.74,9.74,9.74,9.74,1,100
2022-07-27,9.78,9.78,9.78,9.78,1,40
2022-07-28,9.78,9.77,9.77,9.77,5,1062
2022-07-29,9.77,9.77,9.77,9.77,1,500
2022-08-01,9.79,9.79,9.76,9.76,2,303
2022-08-02,9.76,9.76,9.76,9.76,5,2000
2022-08-03,9.78,9.78,9.78,9.78,2,232
2022-08-04,9.77,9.77,9.77,9.77,1,47
2022-08-05,9.77,9.77,9.77,9.77,1,103
2022-08-08,9.78,9.78,9.77,9.77,2,257
2022-08-09,9.77,9.77,9.77,9.77,2,25000
2022-08-10,9.76,9.75,9.75,9.76,3,24
2022-08-11,9.78,9.78,9.78,9.78,2,22
2022-08-12,9.79,9.78,9.78,9.79,2,22
2022-08-15,9.79,9.79,9.77,9.77,4,364
2022-08-17,9.78,9.77,9.76,9.77,8,3601
2022-08-18,9.75,9.75,9.75,9.75,1,928
2022-08-19,9.76,9.76,9.75,9.75,4,252
2022-08-23,,,,,5,4084
2022-08-24,9.77,9.76,9.74,9.76,15,30382
2022-08-25,9.86,9.86,9.75,9.75,10,26172
2022-08-29,9.8,9.8,9.75,9.75,2,4
2022-08-30,9.76,9.76,9.71,9.71,5,631
2022-08-31,9.75,9.75,9.75,9.75,5,955
2022-09-01,9.8,9.8,9.75,9.75,4,828
2022-09-02,9.75,9.75,9.75,9.75,1,2
2022-09-06,9.75,9.75,9.75,9.75,3,500
2022-09-08,9.76,9.76,9.74,9.75,6,1102
2022-09-09,9.73,9.73,9.73,9.73,1,53
2022-09-12,9.75,9.75,9.735,9.74,10,11050
2022-09-13,9.75,9.75,9.745,9.745,7,611
2022-09-14,9.74,9.74,9.74,9.74,2,200
2022-09-15,9.75,9.75,9.74,9.75,7,3020
2022-09-19,9.77,9.77,9.75,9.75,2,19
2022-09-20,9.76,9.76,9.75,9.75,6,3200
2022-09-21,9.76,9.75,9.75,9.76,6,1076
2022-09-22,9.77,9.77,9.75,9.75,2,2
2022-09-23,9.76,9.76,9.75,9.75,4,5302
2022-09-26,9.74,9.74,9.74,9.74,1,200
2022-09-27,9.76,9.76,9.76,9.76,1,8
2022-09-28,9.77,9.77,9.75,9.75,25,15751
2022-09-30,9.75,9.75,9.75,9.75,2,19000
2022-10-03,9.75,9.75,9.75,9.75,3,376
2022-10-06,9.76,9.76,9.75,9.75,2,101
2022-10-10,9.765,9.75,9.75,9.765,5,9200
2022-10-11,9.78,9.77,9.77,9.78,4,1763
2022-10-13,9.78,9.78,9.78,9.78,2,8300
2022-10-18,9.79,9.79,9.77,9.77,4,1217
2022-10-19,9.78,9.78,9.76,9.76,3,136
2022-10-20,9.78,9.78,9.78,9.78,1,204
2022-10-21,9.84,9.84,9.84,9.84,2,5
2022-10-24,9.8,9.8,9.8,9.8,8,866
2022-10-25,9.81,9.81,9.81,9.81,4,3026
2022-10-26,9.86,9.86,9.82,9.82,12,4223
