Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-09-24,22.53,20.0,16.75,16.76,23849,4232966
2021-09-27,22.1,18.63,18.02,21.2,9286,1057030
2021-09-28,18.255,15.18,15.16,18.18,12852,1021827
2021-09-29,16.02,13.14,13.06,15.7,5904,684622
2021-09-30,13.19,11.81,11.04,13.18,6537,742944
2021-10-01,12.5,10.75,10.62,11.93,3007,439293
2021-10-04,11.2,10.06,10.0,11.09,1803,235899
2021-10-05,11.11,10.81,9.56,10.34,1872,309053
2021-10-06,11.02,10.03,9.96,11.02,1845,257645
2021-10-07,11.28,10.8,10.06,10.13,1745,223417
2021-10-08,12.03,10.89,10.65,11.17,1959,278047
2021-10-11,11.54,10.88,10.7,10.75,980,131908
2021-10-12,11.0,9.97,9.95,10.9,1501,239635
2021-10-13,10.33,10.14,9.81,10.14,2011,305982
2021-10-14,10.79,10.5,10.26,10.45,878,113553
2021-10-15,10.85,10.7,10.4,10.4,622,89377
2021-10-18,10.68,9.95,9.89,10.67,1464,308034
2021-10-19,10.85,10.23,10.1,10.1,1498,216227
2021-10-20,10.68,10.54,10.23,10.36,788,102432
2021-10-21,10.6,10.33,10.1,10.37,657,76030
2021-10-22,10.26,9.93,9.9,10.26,965,149043
2021-10-25,9.99,9.3,9.3,9.95,2085,252968
2021-10-26,9.47,8.92,8.54,9.47,2310,288553
2021-10-27,9.22,8.95,8.55,8.9,939,124974
2021-10-28,10.2,9.79,8.96,8.96,1405,203010
2021-10-29,9.8,9.27,9.2,9.8,838,129507
2021-11-01,10.53,10.34,9.25,9.42,1308,224056
2021-11-02,10.39,9.9,9.86,10.34,868,105463
2021-11-03,10.01,9.83,9.64,10.0,864,73582
2021-11-04,10.08,9.85,9.75,9.83,648,56938
2021-11-05,9.91,8.98,8.93,9.88,1604,411076
2021-11-08,9.55,9.55,8.94,9.28,1150,107849
2021-11-09,10.42,10.41,9.48,9.49,1927,209356
2021-11-10,11.17,11.12,10.63,10.64,2051,305205
2021-11-11,12.16,11.9,10.09,10.8,2292,276826
2021-11-12,12.46,11.38,11.2,12.11,1348,129853
2021-11-15,12.5,12.45,11.28,11.47,1994,180285
2021-11-16,13.26,13.14,12.16,12.5,2038,211264
2021-11-17,13.39,12.72,12.33,13.34,1924,163415
2021-11-18,12.76,12.16,11.77,12.76,954,85504
2021-11-19,12.44,11.01,10.96,12.18,953,99211
2021-11-22,11.17,9.95,9.93,11.17,2029,182007
2021-11-23,10.18,9.49,8.96,10.0,2373,249645
2021-11-24,10.3,10.01,9.11,9.54,1324,100791
2021-11-26,11.51,11.45,10.06,10.09,1601,168475
2021-11-29,11.76,11.17,10.59,11.76,2734,233085
2021-11-30,11.27,11.25,10.73,11.0,1157,114193
2021-12-01,11.38,11.02,10.92,11.25,1014,94714
2021-12-02,12.08,12.05,10.76,10.83,1695,135163
2021-12-03,12.25,11.46,10.9,12.25,2535,208862
2021-12-06,11.41,10.72,10.69,11.12,1511,125374
2021-12-07,11.7,11.55,10.9,10.9,1186,75699
2021-12-08,11.98,11.82,11.27,11.57,693,59475
2021-12-09,12.28,11.12,10.85,11.58,706,73686
2021-12-10,11.12,10.61,10.45,11.12,1208,99158
2021-12-13,10.98,10.71,10.5,10.52,776,83471
2021-12-14,10.73,10.19,9.95,10.7,855,97972
2021-12-15,10.95,10.87,9.78,10.1,1353,134419
2021-12-16,11.18,10.4,10.16,10.82,1267,132085
2021-12-17,10.9,9.8,9.64,10.21,2042,1555851
2021-12-20,13.0,12.63,9.9,10.1,2468,345183
2021-12-21,13.2,11.75,11.34,13.05,1882,224056
2021-12-22,13.0,12.96,11.65,12.11,2250,185333
2021-12-23,13.27,12.85,12.34,12.63,1550,145520
2021-12-27,15.88,15.66,13.5,13.5,4672,515991
2021-12-28,16.13,14.59,13.925,15.72,2675,300066
2021-12-29,14.67,14.24,13.68,14.67,1154,96347
2021-12-30,14.47,12.8,12.7,14.32,1740,210904
2021-12-31,14.01,13.41,12.83,12.84,1269,95102
2022-01-03,14.69,14.67,13.3,13.62,1454,150423
2022-01-04,14.8,12.66,12.4,14.8,2702,280958
2022-01-05,12.81,10.99,10.95,12.72,3578,304729
2022-01-06,11.39,11.09,10.6,11.16,1399,109823
2022-01-07,11.2,10.85,10.45,11.2,1156,109203
2022-01-10,11.45,11.39,10.83,11.24,1652,186961
2022-01-11,11.45,10.95,10.81,11.45,1978,201446
2022-01-12,11.04,10.2,10.01,10.88,1789,202116
2022-01-13,10.24,9.78,9.7,10.24,1746,179263
2022-01-14,10.01,9.58,9.36,9.83,1885,197967
2022-01-18,10.06,9.15,9.11,9.46,1648,162900
2022-01-19,9.6,8.86,8.75,9.29,1783,199731
2022-01-20,9.67,9.1,8.83,8.87,1725,178436
2022-01-21,8.9,8.365,8.09,8.9,2583,291960
2022-01-24,8.41,8.11,7.62,8.23,3021,287114
2022-01-25,8.18,8.0,7.71,7.99,1891,154723
2022-01-26,8.32,7.67,7.62,8.13,1792,166355
2022-01-27,7.97,7.56,7.39,7.79,1883,145512
2022-01-28,7.63,7.62,7.12,7.51,1420,156989
2022-01-31,8.99,8.78,7.67,7.67,2389,215211
2022-02-01,9.86,9.2,8.88,8.92,2121,172349
2022-02-02,9.22,8.61,8.43,9.2,2194,157117
2022-02-03,8.78,8.64,8.39,8.5,947,88199
2022-02-04,9.19,8.92,8.49,8.66,1357,78161
2022-02-07,9.47,9.13,8.85,8.92,782,65275
2022-02-08,9.46,9.13,8.89,9.18,683,60350
2022-02-09,9.74,9.51,9.25,9.25,865,82095
2022-02-10,10.15,9.69,9.54,9.61,1390,116506
2022-02-11,10.54,10.52,9.53,9.53,1245,140369
2022-02-14,11.87,10.5,10.46,11.87,2125,186712
2022-02-15,11.03,10.44,10.27,10.66,1335,113907
2022-02-16,10.66,10.17,10.05,10.25,1429,121984
2022-02-17,10.33,9.7,9.67,10.01,766,62665
2022-02-18,9.83,9.5,9.4,9.66,623,89499
2022-02-22,9.59,9.22,9.15,9.43,1743,121221
2022-02-23,9.5,8.78,8.71,9.27,3158,173365
2022-02-24,8.82,8.55,8.2,8.24,2724,185331
2022-02-25,8.7,8.4,8.37,8.67,1374,120913
2022-02-28,8.57,8.27,8.25,8.3,1315,125870
2022-03-01,9.9,9.08,8.25,8.25,1745,141991
2022-03-02,10.33,10.15,8.89,9.17,1214,102296
2022-03-03,10.65,9.84,9.74,10.25,983,93803
2022-03-04,10.23,10.03,9.9,9.9,641,45760
2022-03-07,10.07,8.29,8.125,9.85,2118,153111
2022-03-08,8.56,8.03,8.02,8.29,898,65707
2022-03-09,9.01,8.93,8.11,8.11,1342,100400
2022-03-10,8.88,8.28,8.1,8.88,808,49189
2022-03-11,8.3,7.83,7.81,8.3,602,55197
2022-03-14,8.37,8.04,7.85,7.85,471,55135
2022-03-15,8.42,8.06,7.83,7.98,1320,101500
2022-03-16,8.5,8.49,8.03,8.05,1414,110370
2022-03-17,9.09,8.98,8.47,8.47,808,67652
2022-03-18,9.55,9.52,9.17,9.2,1082,162282
2022-03-21,9.33,9.08,8.78,9.33,1023,84463
2022-03-22,9.24,8.55,8.52,9.2,710,69788
2022-03-23,8.37,6.99,6.95,8.27,6147,729918
2022-03-24,7.32,7.01,6.97,7.32,1755,164964
2022-03-25,7.06,6.99,6.45,6.95,2625,213336
2022-03-28,7.005,6.74,6.605,6.93,1971,176941
2022-03-29,7.13,6.7,6.62,6.87,2541,358070
2022-03-30,7.0,6.5,6.13,7.0,4315,642980
2022-03-31,6.6,6.45,6.31,6.4,1485,192172
2022-04-01,6.44,6.09,5.88,6.4,2714,318667
2022-04-04,6.44,6.37,5.9,6.06,3070,277376
