Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,34.71,34.35,34.08,34.25,1042,163325
2013-01-03,34.7,34.26,34.14,34.34,357,50458
2013-01-04,35.0,34.9,34.41,34.5,371,59679
2013-01-07,34.85,34.24,34.22,34.63,354,46993
2013-01-08,34.33,34.01,33.83,34.14,292,44309
2013-01-09,34.14,34.1,33.82,34.0,419,70253
2013-01-10,34.47,34.45,34.09,34.24,359,71369
2013-01-11,34.58,34.34,34.01,34.52,315,79898
2013-01-14,34.44,34.35,33.89,34.39,636,90731
2013-01-15,34.735,34.71,34.13,34.13,279,67864
2013-01-16,34.88,34.86,34.58,34.64,292,64016
2013-01-17,35.42,35.29,34.89,34.93,458,72153
2013-01-18,35.59,35.57,35.05,35.23,363,64417
2013-01-22,35.94,35.75,35.48,35.52,337,70083
2013-01-23,36.23,35.93,35.71,35.8,557,92314
2013-01-24,37.47,37.32,35.98,36.0,712,104107
2013-01-25,37.34,37.1,36.97,37.34,606,86360
2013-01-28,37.21,37.19,36.73,37.1,399,62242
2013-01-29,37.32,37.2,36.77,37.24,552,87586
2013-01-30,37.05,36.99,33.21,34.23,1170,145708
2013-01-31,37.42,36.81,36.35,36.87,553,91648
2013-02-01,37.85,37.3,36.94,37.0,812,109326
2013-02-04,37.35,37.05,36.72,37.09,658,98501
2013-02-05,37.91,37.74,37.34,37.34,864,129902
2013-02-06,37.7,37.64,37.18,37.41,730,94104
2013-02-07,37.78,37.41,37.32,37.65,475,59536
2013-02-08,37.57,37.47,37.27,37.48,224,33966
2013-02-11,37.58,37.51,37.24,37.57,166,25676
2013-02-12,37.83,37.59,37.39,37.55,242,34727
2013-02-13,37.82,37.82,37.55,37.7,210,38462
2013-02-14,37.98,37.9,37.69,37.71,315,44135
2013-02-15,38.13,37.56,37.45,38.09,499,97437
2013-02-19,38.5,38.45,37.55,37.62,397,61283
2013-02-20,38.55,37.86,37.81,38.53,292,48550
2013-02-21,38.06,37.26,36.94,37.81,337,45917
2013-02-22,37.78,37.78,37.4,37.49,455,71036
2013-02-25,37.91,36.73,36.71,37.9,305,40965
2013-02-26,37.14,36.67,36.54,36.96,380,44737
2013-02-27,37.89,37.73,36.59,36.69,616,81574
2013-02-28,37.99,37.73,37.33,37.81,457,66641
2013-03-01,38.57,38.25,37.41,37.85,769,127895
2013-03-04,38.63,38.61,37.88,38.12,733,104325
2013-03-05,39.37,39.01,38.84,38.87,909,129610
2013-03-06,39.26,39.02,38.84,39.1,470,59703
2013-03-07,38.99,38.6,38.26,38.99,301,42641
2013-03-08,39.05,38.97,38.71,38.9,214,38616
2013-03-11,39.06,39.0,38.64,38.87,293,50936
2013-03-12,39.29,38.93,38.72,38.9,232,30038
2013-03-13,40.13,40.02,38.8,39.0,583,105000
2013-03-14,40.98,40.97,39.95,40.0,374,49373
2013-03-15,41.18,40.56,40.38,41.18,427,152846
2013-03-18,40.65,40.2,40.11,40.14,203,28718
2013-03-19,39.93,39.04,38.61,39.92,780,125825
2013-03-20,39.13,38.83,38.65,39.02,653,83506
2013-03-21,38.64,38.4,37.97,38.55,510,66797
2013-03-22,39.105,38.8,38.515,38.57,387,48010
2013-03-25,39.11,38.75,38.31,38.93,436,60316
2013-03-26,39.42,38.79,38.59,38.95,221,30763
2013-03-27,38.74,38.72,38.32,38.56,190,23980
2013-03-28,38.97,38.46,38.24,38.6,428,69700
2013-04-01,38.66,37.91,37.6,38.49,510,71970
2013-04-02,38.36,37.61,37.53,38.17,376,56062
2013-04-03,38.15,37.8,37.3,37.65,646,83789
2013-04-04,37.93,37.83,37.53,37.88,274,40794
2013-04-05,38.17,38.03,37.02,37.36,472,66655
2013-04-08,38.0,37.96,37.52,38.0,265,33041
2013-04-09,38.19,37.85,37.72,38.09,286,44700
2013-04-10,39.29,39.19,37.91,37.91,305,40754
2013-04-11,39.44,39.23,39.11,39.11,428,52874
2013-04-12,39.78,39.75,38.62,38.62,569,105321
2013-04-15,39.71,39.1,39.1,39.71,1184,158417
2013-04-16,39.53,39.33,39.15,39.27,540,73503
2013-04-17,38.99,38.01,37.77,38.99,651,89224
2013-04-18,38.13,37.74,37.45,38.0,778,100849
2013-04-19,36.99,35.86,35.21,36.99,1684,243297
2013-04-22,36.09,35.9,35.29,35.84,830,123953
2013-04-23,36.38,36.23,35.89,36.19,509,70869
2013-04-24,36.38,36.17,36.01,36.3,334,46571
2013-04-25,36.52,36.35,36.05,36.3,416,59699
2013-04-26,36.52,36.24,36.05,36.36,392,62818
2013-04-29,36.65,36.63,36.21,36.36,342,47375
2013-04-30,36.67,36.65,36.3,36.6,340,63148
2013-05-01,36.8,35.32,35.32,36.67,613,109495
2013-05-02,35.92,35.92,35.48,35.58,502,90945
2013-05-03,37.51,37.31,36.32,36.32,440,64209
2013-05-06,37.92,37.7,37.38,37.47,252,40187
