Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,4.89,4.89,4.87,4.87,2,200
2013-01-04,4.83,4.83,4.83,4.83,1,184
2013-01-07,4.97,4.97,4.93,4.93,5,500
2013-01-08,4.98,4.96,4.96,4.98,2,300
2013-01-09,4.98,4.95,4.95,4.98,2,400
2013-01-10,4.95,4.95,4.95,4.95,1,100
2013-01-14,4.91,4.91,4.91,4.91,1,100
2013-01-15,5.05,5.01,4.93,4.93,8,800
2013-01-17,5.0,5.0,4.97,4.97,1,100
2013-01-18,5.0,5.0,5.0,5.0,1,200
2013-01-23,4.99,4.99,4.91,4.91,2,400
2013-01-24,5.09,5.01,5.01,5.01,7,4494
2013-01-25,5.07,5.07,5.07,5.07,5,2080
2013-01-28,5.08,5.08,5.08,5.08,1,600
2013-01-29,5.09,5.09,5.05,5.05,2,1100
2013-01-30,5.09,5.05,5.05,5.09,1,100
2013-02-01,5.24,5.17,5.1,5.1,5,567
2013-02-04,5.2,5.2,5.2,5.2,1,380
2013-02-05,5.18,5.18,5.16,5.16,1,100
2013-02-11,5.18,5.18,5.18,5.18,1,353
2013-02-12,5.19,5.19,5.19,5.19,1,752
2013-02-14,5.19,5.19,5.19,5.19,,
2013-02-15,5.0,5.0,5.0,5.0,,
2013-02-19,5.19,5.19,5.09,5.09,1,258
2013-02-20,5.51,5.35,5.15,5.15,11,1682
2013-02-21,5.51,5.36,5.36,5.51,2,2572
2013-02-22,5.53,5.27,5.27,5.53,1,100
2013-02-25,5.25,5.16,5.16,5.25,7,1523
2013-02-26,5.41,5.38,5.21,5.21,5,620
2013-02-27,5.41,5.41,5.41,5.41,1,100
2013-02-28,5.18,5.05,5.05,5.18,1,300
2013-03-01,5.0,5.0,5.0,5.0,1,800
2013-03-04,5.1,5.1,5.05,5.05,2,300
2013-03-05,4.97,4.87,4.87,4.94,3,1752
2013-03-06,4.91,4.91,4.89,4.89,1,100
2013-03-07,4.92,4.89,4.89,4.92,1,100
2013-03-08,4.97,4.97,4.92,4.92,3,800
2013-03-11,4.95,4.95,4.95,4.95,,
2013-03-12,5.0,5.0,4.96,4.96,11,5091
2013-03-13,5.0,5.0,5.0,5.0,1,200
2013-03-14,5.2,5.2,4.94,5.01,1,100
2013-03-15,5.28,5.28,5.19,5.19,,
2013-03-18,5.26,5.26,5.23,5.23,1,100
2013-03-19,5.25,5.25,5.25,5.25,1,100
2013-03-20,5.25,5.25,5.25,5.25,1,600
2013-03-21,5.11,5.11,5.11,5.11,,
2013-03-22,5.65,5.65,5.35,5.35,2,404
