Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-11-08,14.5,13.06,12.58,12.58,881,361555
2019-11-11,12.78,10.74,10.72,12.72,744,136539
2019-11-12,10.89,8.92,8.91,10.33,589,100979
2019-11-13,9.71,9.21,8.75,8.88,303,56764
2019-11-14,9.49,9.2,9.04,9.04,254,27484
2019-11-15,9.99,9.98,9.0,9.38,338,52845
2019-11-18,9.85,9.6,9.41,9.85,57,12520
2019-11-19,9.6,9.3,9.15,9.6,38,5784
2019-11-20,9.22,9.03,9.02,9.22,70,12361
2019-11-21,9.05,8.73,8.71,9.04,71,11087
2019-11-22,8.89,8.72,8.72,8.74,57,4072
2019-11-25,8.88,8.58,8.55,8.88,58,11903
2019-11-26,8.58,8.35,8.32,8.58,97,16343
2019-11-27,8.65,8.64,8.32,8.32,28,2626
2019-11-29,8.9,8.47,8.47,8.9,18,3547
2019-12-02,8.68,8.5,8.5,8.5,24,4449
2019-12-03,8.68,8.59,8.41,8.41,19,2809
2019-12-04,9.44,9.31,8.89,8.96,106,14607
2019-12-05,9.41,9.11,9.06,9.41,59,7074
2019-12-06,9.19,8.81,8.75,9.19,124,12364
2019-12-09,9.0,9.0,8.87,8.96,22,1495
2019-12-10,9.29,8.79,8.79,9.29,52,3757
2019-12-11,8.9,8.71,8.71,8.81,28,2110
2019-12-12,8.79,8.72,8.71,8.71,17,1587
2019-12-13,8.88,8.72,8.72,8.88,20,1456
2019-12-16,8.84,8.08,8.08,8.84,146,15907
2019-12-17,8.13,8.1,8.1,8.1,13,888
2019-12-18,8.37,8.07,8.07,8.37,24,2311
2019-12-19,8.22,8.15,8.08,8.08,35,2491
2019-12-20,8.08,7.63,7.61,8.08,77,7119
2019-12-23,7.81,7.72,7.63,7.63,33,3203
2019-12-24,7.71,7.67,7.58,7.71,19,1550
2019-12-26,7.68,7.54,7.54,7.68,32,4122
2019-12-27,7.77,7.62,7.55,7.77,33,7149
2019-12-30,7.58,7.37,7.36,7.57,40,3462
2019-12-31,7.45,7.39,7.37,7.45,24,2723
2020-01-02,7.71,7.53,7.41,7.71,32,5378
2020-01-03,7.45,7.45,7.44,7.44,7,378
2020-01-06,7.56,7.56,7.33,7.33,19,1776
2020-01-07,8.51,8.5,7.43,7.56,158,22372
2020-01-08,8.48,7.88,7.88,8.48,58,7170
2020-01-09,8.07,7.88,7.78,8.07,46,6451
2020-01-10,7.925,7.925,7.925,7.925,4,401
2020-01-13,8.03,7.86,7.86,8.0,27,4086
2020-01-14,8.07,8.07,8.0,8.03,71,7842
2020-01-15,8.08,7.95,7.9,8.08,123,4492
2020-01-16,7.93,7.88,7.88,7.9,17,1979
2020-01-17,7.9,7.76,7.67,7.9,22,1381
2020-01-21,7.95,7.31,7.2,7.95,101,13099
2020-01-22,7.49,7.4,7.33,7.33,13,1642
2020-01-23,7.56,7.4,7.4,7.56,9,1083
2020-01-24,7.4,7.4,7.4,7.4,13,712
2020-01-27,7.55,7.26,7.22,7.55,16,2718
2020-01-28,7.39,7.23,7.23,7.39,4,517
2020-01-29,7.1,7.1,6.91,7.04,19,4550
2020-01-30,6.95,6.79,6.63,6.95,18,2372
2020-01-31,6.75,6.55,6.55,6.75,37,5023
2020-02-03,6.5,6.45,6.45,6.5,23,2147
2020-02-04,6.53,6.35,6.35,6.5,51,4990
2020-02-05,6.42,6.4,6.4,6.42,7,440
2020-02-06,6.31,6.19,6.16,6.28,59,7512
2020-02-07,6.16,5.9,5.9,6.16,61,5450
2020-02-10,5.89,5.83,5.83,5.83,38,3381
2020-02-11,6.01,5.93,5.87,6.01,33,4611
2020-02-12,6.17,6.09,5.92,5.92,56,5884
2020-02-13,6.19,6.05,6.03,6.12,39,6067
2020-02-14,6.125,6.1,5.97,6.0,38,7950
2020-02-18,6.26,5.93,5.76,6.26,199,17830
2020-02-19,5.945,5.87,5.695,5.9,69,7829
2020-02-20,5.87,5.7,5.645,5.87,115,12382
2020-02-21,5.8,5.7,5.7,5.7,79,13291
2020-02-24,5.69,5.51,5.4,5.59,64,9907
2020-02-25,5.76,5.6,5.58,5.64,53,9856
2020-02-26,5.62,5.45,5.45,5.62,30,2518
2020-02-27,5.4,5.3,5.22,5.37,46,5403
2020-02-28,5.32,5.23,5.21,5.21,38,3737
2020-03-02,5.28,5.02,5.02,5.28,67,5814
2020-03-03,5.2,5.03,5.03,5.03,57,4775
2020-03-04,5.06,5.05,4.93,4.93,11,3252
2020-03-05,5.12,5.09,5.03,5.03,12,552
2020-03-06,5.3,5.06,5.01,5.01,23,1990
2020-03-09,5.0,4.71,4.7,4.89,71,10827
2020-03-10,5.125,5.01,4.82,5.125,46,2348
2020-03-11,5.73,4.73,4.73,5.73,76,20726
2020-03-12,4.55,4.33,4.25,4.46,81,24997
2020-03-13,4.81,4.55,4.55,4.81,28,3447
2020-03-16,4.33,4.24,4.21,4.33,52,5975
2020-03-17,4.6,4.32,4.31,4.46,29,6034
2020-03-18,4.6,4.17,4.16,4.24,84,4374
2020-03-19,4.19,4.18,4.16,4.16,48,5311
2020-03-20,4.38,4.2,4.2,4.38,29,6329
2020-03-23,4.18,4.18,4.15,4.16,20,2681
2020-03-24,4.32,4.1,4.1,4.13,63,10928
2020-03-25,4.31,4.15,4.1,4.31,24,2631
2020-03-26,4.46,4.43,4.25,4.25,40,3720
2020-03-27,4.43,4.3,4.3,4.32,17,818
2020-03-30,4.46,4.25,4.25,4.46,11,821
2020-03-31,4.46,4.45,4.22,4.46,17,3682
2020-04-01,4.44,4.43,4.2,4.2,10,612
2020-04-02,4.28,4.11,4.11,4.14,30,10358
2020-04-03,4.14,4.14,4.05,4.05,8,272
2020-04-06,4.26,3.9,3.9,4.05,131,24035
2020-04-07,3.93,3.72,3.71,3.87,87,18124
2020-04-08,3.85,3.6,3.54,3.54,73,22303
2020-04-09,3.93,3.6,3.54,3.54,83,16112
2020-04-13,3.59,3.53,3.43,3.43,22,10156
2020-04-14,3.71,3.51,3.41,3.41,40,14535
2020-04-15,3.52,3.5,3.36,3.36,24,12818
2020-04-16,3.53,3.42,3.34,3.34,54,16172
2020-04-17,3.97,3.97,3.36,3.36,76,11228
2020-04-20,4.01,3.6,3.6,3.98,72,10057
2020-04-21,3.66,3.58,3.46,3.66,27,2606
2020-04-22,3.61,3.6,3.48,3.48,17,924
2020-04-23,3.64,3.6,3.56,3.56,19,828
2020-04-24,3.59,3.5,3.5,3.59,15,1201
2020-04-27,3.98,3.55,3.5,3.5,13,810
2020-04-28,3.61,3.37,3.33,3.49,59,7105
2020-04-29,3.67,3.55,3.36,3.36,34,3264
2020-04-30,3.81,3.68,3.61,3.61,18,1576
2020-05-01,3.7,3.53,3.53,3.7,9,481
2020-05-04,3.47,3.47,3.46,3.47,10,537
2020-05-05,3.83,3.57,3.51,3.55,17,1311
2020-05-06,3.78,3.65,3.65,3.74,24,2067
2020-05-07,3.81,3.78,3.7,3.7,33,2912
2020-05-08,4.45,4.45,3.8,3.8,94,11795
2020-05-11,4.45,4.4,4.2,4.29,34,4766
2020-05-12,4.43,4.25,4.22,4.24,35,4773
2020-05-13,4.26,3.97,3.88,4.2,32,2994
2020-05-14,4.08,3.86,3.66,4.08,30,3043
2020-05-15,4.05,3.88,3.88,4.05,2,27
2020-05-18,4.48,4.0,3.88,3.88,44,8767
2020-05-19,4.3,4.1,4.09,4.24,16,294
2020-05-20,4.19,4.15,4.06,4.06,36,3319
2020-05-21,4.3,4.22,4.12,4.12,44,7956
2020-05-22,5.39,4.95,4.21,4.25,148,18207
2020-05-26,5.2,4.5,4.5,5.2,122,20035
2020-05-27,6.8,6.8,4.35,4.35,224,54691
2020-05-28,6.2,5.88,5.51,6.0,127,25655
2020-05-29,5.92,5.76,5.61,5.92,31,2789
2020-06-01,5.76,5.26,5.26,5.76,24,6403
2020-06-02,5.95,5.55,5.2,5.3,168,23631
2020-06-03,5.97,5.7,5.41,5.51,84,16099
2020-06-04,5.7,5.54,5.46,5.46,39,8500
2020-06-05,6.02,5.79,5.69,6.02,18,1839
2020-06-08,5.95,5.95,5.75,5.94,24,1839
2020-06-09,6.14,5.95,5.76,6.14,45,8834
2020-06-10,5.96,5.87,5.86,5.86,12,640
2020-06-11,5.85,5.82,5.19,5.68,94,11957
2020-06-12,5.64,5.44,5.3,5.64,82,13842
2020-06-15,5.3,5.24,5.1,5.2,89,7559
2020-06-16,5.2,5.05,5.0,5.17,131,36440
2020-06-17,5.0,4.65,4.59,5.0,137,38503
2020-06-18,4.7,4.38,4.21,4.3,243,46197
2020-06-19,4.54,4.24,4.2,4.48,114,23849
2020-06-22,4.05,3.71,3.71,4.05,325,64278
