Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-10-19,25.07,23.99,23.53,25.02,1202,280488
2020-10-20,24.35,24.15,24.01,24.1,533,108620
2020-10-21,24.45,24.27,24.16,24.2,206,41288
2020-10-22,24.37,24.26,24.12,24.12,127,27095
2020-10-23,24.55,24.54,24.36,24.4,151,24267
2020-10-26,24.57,24.41,24.32,24.53,261,34147
2020-10-27,24.49,24.41,24.36,24.47,224,43565
2020-10-28,24.38,24.07,24.0,24.3,176,24956
2020-10-29,24.28,24.24,24.08,24.08,62,10020
2020-10-30,24.98,24.98,24.03,24.26,538,471224
2020-11-02,24.9,24.75,24.61,24.9,80,16995
2020-11-03,24.78,24.72,24.56,24.78,95,12716
2020-11-04,24.74,24.6,24.43,24.7,150,16600
2020-11-05,24.61,24.56,24.44,24.61,97,9818
2020-11-06,24.6,24.46,24.36,24.59,77,8893
2020-11-09,24.6,24.29,24.15,24.59,282,34492
2020-11-10,24.31,24.27,24.16,24.3,105,18791
2020-11-11,24.31,24.23,24.21,24.28,86,16334
2020-11-12,24.25,24.18,24.15,24.24,48,4947
2020-11-13,24.29,24.21,24.15,24.24,98,11807
2020-11-16,24.45,24.34,24.22,24.39,395,62151
2020-11-17,24.49,24.36,24.3,24.36,265,22718
2020-11-18,24.46,24.34,24.34,24.46,151,22128
2020-11-19,24.77,24.77,24.44,24.47,269,68532
2020-11-20,24.89,24.81,24.75,24.8,122,20837
2020-11-23,24.94,24.79,24.76,24.9,91,14077
2020-11-24,24.99,24.99,24.75,24.83,95,8631
2020-11-25,25.0,24.99,24.87,25.0,36,4683
2020-11-27,25.0,24.91,24.85,25.0,40,3713
2020-11-30,24.94,24.82,24.76,24.94,92,3466
2020-12-01,24.94,24.77,24.75,24.9,138,8795
2020-12-02,24.9,24.8,24.77,24.78,61,3377
2020-12-03,24.93,24.92,24.87,24.87,34,3203
2020-12-04,24.97,24.73,24.73,24.97,147,21551
2020-12-07,24.87,24.73,24.72,24.75,94,10081
2020-12-08,24.81,24.66,24.62,24.8,122,14496
2020-12-09,24.75,24.54,24.44,24.75,232,25790
2020-12-10,24.6,24.43,24.4,24.51,200,28753
2020-12-11,24.59,24.59,24.47,24.49,135,18423
2020-12-14,24.965,24.81,24.66,24.75,155,40374
2020-12-15,24.96,24.87,24.81,24.89,104,23886
2020-12-16,24.96,24.89,24.85,24.92,99,19210
2020-12-17,24.98,24.96,24.87,24.91,116,22936
2020-12-18,24.98,24.82,24.81,24.96,120,17195
2020-12-21,24.96,24.88,24.85,24.89,145,15455
2020-12-22,24.98,24.87,24.86,24.98,63,9318
2020-12-23,24.94,24.9,24.72,24.9,121,11633
2020-12-24,24.92,24.9,24.84,24.89,42,5781
2020-12-28,25.14,24.9,24.85,25.0,108,23822
2020-12-29,25.01,24.95,24.86,24.99,88,21663
2020-12-30,25.04,24.91,24.89,24.95,74,17176
2020-12-31,25.05,25.05,25.0,25.04,39,3602
2021-01-04,25.25,25.18,24.91,25.25,49,11735
2021-01-05,25.25,25.02,24.95,25.25,41,6254
2021-01-06,25.08,24.96,24.91,25.0,86,17057
2021-01-07,25.21,25.15,25.0,25.0,41,5611
2021-01-08,25.25,25.25,25.14,25.24,52,11299
2021-01-11,25.14,25.04,25.0,25.14,53,11676
2021-01-12,25.18,25.1,25.03,25.15,65,6040
2021-01-13,25.24,25.18,25.05,25.24,40,5370
2021-01-14,25.24,25.22,25.11,25.15,37,9298
2021-01-15,25.31,25.22,25.22,25.22,37,3915
2021-01-19,25.385,25.3,25.14,25.21,110,18932
2021-01-20,25.35,25.34,25.19,25.23,50,4611
2021-01-21,25.37,25.28,25.23,25.37,43,5604
2021-01-22,25.4,25.4,25.28,25.3,40,3093
2021-01-25,25.63,25.6,25.42,25.48,36,6020
2021-01-26,25.54,25.34,25.25,25.37,71,10238
2021-01-27,25.4,25.28,25.2,25.4,72,7123
2021-01-28,25.42,25.29,25.2,25.35,75,9765
2021-01-29,25.27,25.2,25.15,25.15,78,9214
2021-02-01,25.3,25.18,25.15,25.24,56,7990
2021-02-02,25.3,25.25,25.25,25.29,54,9107
2021-02-03,25.35,25.16,25.16,25.3,62,25332
2021-02-04,25.38,25.33,25.17,25.29,119,26511
2021-02-05,25.4,25.31,25.3,25.38,54,4782
2021-02-08,25.45,25.31,25.26,25.42,84,10169
2021-02-09,25.41,25.38,25.21,25.21,70,14638
2021-02-10,25.36,25.31,25.28,25.32,67,7724
2021-02-11,25.4,25.33,25.32,25.4,48,2704
2021-02-12,25.41,25.35,25.33,25.33,89,3931
2021-02-16,25.45,25.4,25.35,25.45,85,12586
2021-02-17,25.6,25.44,25.41,25.41,41,3788
2021-02-18,25.7,25.64,25.47,25.7,30,1267
2021-02-19,25.54,25.37,25.36,25.36,93,22228
2021-02-22,25.49,25.38,25.37,25.49,49,5944
2021-02-23,25.38,25.37,25.3,25.31,36,6670
2021-02-24,25.39,25.36,25.3,25.39,36,2502
2021-02-25,25.53,25.39,25.24,25.53,101,9972
2021-02-26,25.4,25.35,25.31,25.4,49,5090
2021-03-01,25.41,25.27,25.23,25.4,68,11231
2021-03-02,25.35,25.35,25.28,25.3,28,11630
2021-03-03,25.44,25.44,25.35,25.39,26,3115
2021-03-04,25.46,25.27,25.27,25.44,62,8551
2021-03-05,25.43,25.3,25.28,25.28,71,11183
2021-03-08,25.42,25.42,25.35,25.42,18,2114
2021-03-09,26.0,25.61,25.52,26.0,18,6454
2021-03-10,25.72,25.55,25.51,25.72,50,2726
2021-03-11,25.73,25.72,25.53,25.64,56,3784
2021-03-12,25.65,25.62,25.52,25.6,27,3751
2021-03-15,25.84,25.77,25.7,25.84,15,4829
2021-03-16,25.73,25.64,25.51,25.66,46,5541
2021-03-17,25.6,25.55,25.45,25.6,58,6348
2021-03-18,25.46,25.42,25.42,25.43,27,1978
2021-03-19,25.48,25.48,25.42,25.46,18,1565
2021-03-22,25.59,25.59,25.5,25.53,39,5794
2021-03-23,25.55,25.52,25.42,25.55,47,4770
2021-03-24,25.54,25.52,25.45,25.54,52,3470
2021-03-25,25.55,25.55,25.51,25.51,17,1751
2021-03-26,25.55,25.53,25.46,25.5,35,1686
2021-03-29,25.5,25.5,25.44,25.5,26,4412
2021-03-30,25.7,25.56,25.51,25.7,17,1973
2021-03-31,25.61,25.56,25.51,25.6,49,4004
2021-04-01,25.67,25.55,25.55,25.67,20,1257
2021-04-05,25.6,25.56,25.55,25.6,51,3385
2021-04-06,25.97,25.9,25.52,25.52,116,10968
2021-04-07,25.95,25.94,25.9,25.93,31,2506
2021-04-08,25.99,25.91,25.91,25.93,33,2020
2021-04-09,25.92,25.8,25.8,25.92,25,2332
2021-04-12,25.88,25.85,25.8,25.81,11,2181
2021-04-13,25.95,25.86,25.79,25.79,33,6333
2021-04-14,25.93,25.8,25.76,25.93,27,2476
2021-04-15,25.9,25.89,25.81,25.82,38,2838
2021-04-16,25.94,25.67,25.67,25.9,71,29864
2021-04-19,25.84,25.84,25.69,25.69,54,11016
2021-04-20,25.88,25.78,25.77,25.83,109,7294
2021-04-21,25.83,25.83,25.76,25.82,16,899
2021-04-22,25.77,25.75,25.53,25.76,79,15009
2021-04-23,25.725,25.67,25.66,25.66,28,5043
2021-04-26,25.8,25.71,25.61,25.78,41,4041
2021-04-27,25.89,25.89,25.64,25.75,53,4631
2021-04-28,25.9,25.88,25.66,25.73,85,3295
2021-04-29,25.9,25.79,25.72,25.72,34,2057
2021-04-30,25.89,25.86,25.67,25.89,34,6020
2021-05-03,25.85,25.69,25.69,25.85,31,1753
