Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-06-29,9.65,9.65,9.65,9.65,1,100
2018-07-02,9.63,9.59,9.59,9.6,20,210400
2018-07-03,9.6,9.6,9.6,9.6,1,1000
2018-07-05,9.61,9.61,9.61,9.61,1,100
2018-07-09,9.61,9.61,9.61,9.61,1,2000
2018-07-11,9.62,9.6,9.6,9.6,4,2300
2018-07-16,10.1,9.58,9.58,10.1,10,7788
2018-07-17,9.63,9.63,9.63,9.63,3,463
2018-07-26,9.65,9.61,9.61,9.65,30,25100
2018-08-02,9.58,9.58,9.58,9.58,1,100
2018-08-03,9.57,9.57,9.57,9.57,2,2400
2018-08-07,9.58,9.58,9.58,9.58,1,9500
2018-08-13,9.58,9.56,9.56,9.58,11,200700
2018-08-14,9.62,9.62,9.56,9.56,4,74300
2018-08-22,9.61,9.61,9.6,9.6,6,600
2018-08-23,9.63,9.61,9.57,9.57,4,383
2018-08-24,9.63,9.6,9.6,9.63,16,1600
2018-08-27,9.6,9.6,9.6,9.6,22,2200
2018-08-28,9.63,9.6,9.6,9.61,18,855
2018-08-29,9.63,9.63,9.63,9.63,1,100
2018-08-30,9.6,9.6,9.6,9.6,1,100
2018-09-04,9.6,9.6,9.6,9.6,4,400
2018-09-05,9.56,9.56,9.56,9.56,1,1000
2018-09-06,9.63,9.59,9.59,9.63,4,500
2018-09-07,9.6,9.6,9.6,9.6,1,200
2018-09-11,9.6,9.6,9.59,9.59,13,9000
2018-09-17,9.6,9.6,9.56,9.56,7,1624
2018-09-18,9.6,9.59,9.59,9.6,5,10300
2018-09-19,9.6,9.6,9.6,9.6,1,100
2018-09-20,9.6,9.6,9.6,9.6,1,100
2018-09-21,9.59,9.59,9.59,9.59,6,2300
2018-09-25,9.6,9.6,9.6,9.6,18,34595
2018-10-01,9.6,9.6,9.6,9.6,26,24671
2018-10-10,9.6,9.6,9.6,9.6,3,24671
2018-10-17,9.6,9.6,9.6,9.6,1,5600
2018-10-18,9.63,9.63,9.56,9.56,3,1325
2018-10-29,9.63,9.61,9.61,9.63,2,3000
2018-11-02,9.56,9.56,9.56,9.56,1,1000
2018-11-05,9.56,9.56,9.56,9.56,5,3000
2018-11-07,9.63,9.56,9.56,9.61,6,2600
2018-11-09,9.56,9.56,9.56,9.56,1,103
2018-11-12,9.65,9.65,9.6,9.6,19,35000
2018-11-13,9.74,9.67,9.64,9.64,11,2982
2018-11-14,9.76,9.76,9.7,9.7,3,1100
2018-11-16,9.75,9.75,9.74,9.74,2,200
2018-11-28,9.7,9.7,9.7,9.7,1,100
2018-11-29,9.75,9.75,9.7,9.7,6,147301
2018-11-30,9.75,9.75,9.75,9.75,1,228
2018-12-06,9.85,9.75,9.73,9.73,11,15400
2018-12-07,9.74,9.74,9.71,9.71,25,25464
2018-12-11,9.74,9.73,9.73,9.74,103,31625
2018-12-12,9.76,9.76,9.76,9.76,1,100
2018-12-17,9.75,9.75,9.73,9.73,3,1610
2018-12-18,9.75,9.75,9.69,9.69,4,2042
2018-12-19,9.75,9.74,9.74,9.75,8,1195
2018-12-20,9.74,9.74,9.74,9.74,1,200
2018-12-26,9.78,9.78,9.78,9.78,1,136
2018-12-27,9.72,9.72,9.72,9.72,1,1100
2018-12-28,9.78,9.78,9.78,9.78,1,900
2018-12-31,9.8,9.8,9.8,9.8,1,25
2019-01-03,9.8,9.8,9.8,9.8,1,25000
2019-01-04,9.8,9.78,9.75,9.8,27,5161
2019-01-09,9.82,9.8,9.79,9.8,10,41880
2019-01-14,9.85,9.85,9.82,9.82,7,10080
2019-01-15,9.85,9.8,9.8,9.85,3,250
2019-01-16,9.85,9.85,9.81,9.81,14,15700
2019-01-17,9.8,9.8,9.8,9.8,4,20000
2019-01-24,9.88,9.88,9.88,9.88,1,429
2019-01-25,9.86,9.86,9.86,9.86,1,2000
2019-01-28,9.9,9.9,9.86,9.86,14,78000
2019-01-29,9.92,9.92,9.91,9.91,2,16000
2019-01-31,9.95,9.95,9.95,9.95,1,10000
2019-02-04,9.97,9.97,9.97,9.97,3,29
2019-02-05,9.91,9.91,9.91,9.91,2,200
2019-02-07,10.075,10.0,9.93,9.93,13,3050
2019-02-08,10.1,9.99,9.91,9.97,24,2461
2019-02-12,9.98,9.98,9.95,9.95,3,9235
2019-02-15,9.98,9.98,9.95,9.95,4,1101
2019-02-19,9.97,9.97,9.97,9.97,1,500
2019-02-22,9.97,9.97,9.97,9.97,4,4784
2019-02-26,10.0,10.0,9.98,9.98,2,4600
2019-02-27,10.01,10.01,10.0,10.0,4,10240
2019-02-28,10.0,10.0,10.0,10.0,2,16100
2019-03-01,10.0,9.97,9.97,10.0,2,10100
2019-03-04,9.98,9.97,9.97,9.98,2,1700
2019-03-06,10.015,10.0,9.98,9.98,7,11672
2019-03-07,10.03,10.03,10.03,10.03,1,500
2019-03-08,10.03,10.03,10.03,10.03,4,9600
2019-03-18,10.02,10.02,10.02,10.02,2,10000
2019-03-21,10.035,10.035,10.03,10.03,6,23083
2019-03-22,10.03,10.03,10.03,10.03,1,44
2019-03-25,10.05,10.05,10.05,10.05,1,24
2019-03-26,10.05,10.05,10.05,10.05,5,9490
2019-03-27,10.05,9.9,9.9,10.05,2,2
2019-03-28,10.05,10.05,9.96,9.96,5,1800
2019-03-29,10.06,10.06,10.06,10.06,2,201
2019-04-01,10.555,10.05,10.05,10.06,18,38543
2019-04-03,10.05,10.05,10.05,10.05,1,1000
2019-04-04,10.13,10.1,10.1,10.13,10,1650
2019-04-10,10.11,10.11,10.11,10.11,1,100
2019-04-11,10.15,10.15,10.08,10.08,2,2
2019-04-15,10.07,10.07,10.07,10.07,5,3000
2019-04-25,10.08,10.08,10.08,10.08,1,200
2019-04-30,10.09,10.09,10.08,10.08,2,2
2019-05-02,10.1,10.1,10.08,10.08,2,2
2019-05-06,10.1,10.1,10.09,10.09,2,3750
2019-05-09,10.09,10.09,10.09,10.09,2,499
2019-05-10,10.1,10.1,10.1,10.1,1,200
2019-05-17,10.1,10.1,10.1,10.1,1,1000
2019-05-20,10.11,10.11,10.11,10.11,3,1750
2019-05-28,10.1,10.1,10.1,10.1,3,1300
2019-05-29,10.1,10.1,10.1,10.1,1,800
2019-05-30,10.1,10.1,10.1,10.1,2,400
2019-06-04,10.12,10.12,10.12,10.12,1,1000
2019-06-05,10.09,10.09,10.09,10.09,1,100
2019-06-07,10.15,10.15,10.15,10.15,3,2600
2019-06-12,10.12,10.12,10.12,10.12,1,4800
2019-06-13,10.15,10.15,10.14,10.14,7,25800
2019-06-14,10.15,10.13,10.13,10.15,3,12400
2019-06-18,10.14,10.14,10.14,10.14,1,2237
2019-06-19,10.15,10.15,10.13,10.15,11,2518
2019-06-20,10.15,10.15,10.15,10.15,21,100260
2019-06-25,10.15,10.15,10.15,10.15,4,21550
2019-06-26,10.18,10.18,10.17,10.17,3,78836
2019-07-01,10.16,10.16,10.16,10.16,6,3414
2019-07-02,10.15,10.15,10.15,10.15,2,6662
2019-07-08,10.15,10.15,10.15,10.15,1,662
2019-07-09,10.18,10.18,10.18,10.18,1,50
2019-07-10,10.19,10.19,10.19,10.19,1,1
2019-07-15,10.19,10.19,10.18,10.19,11,24277
2019-07-16,10.2,10.2,10.2,10.2,1,13
2019-07-17,10.19,10.19,10.18,10.18,8,955
2019-07-18,10.2,10.2,10.19,10.19,7,70945
2019-07-23,10.25,10.16,10.16,10.2,4,7973
2019-07-24,10.22,10.22,10.22,10.22,1,1000
2019-07-29,10.18,10.18,10.18,10.18,1,2200
2019-07-30,10.22,10.22,10.22,10.22,1,16
2019-08-02,10.22,10.22,10.15,10.15,3,600
2019-08-05,10.22,10.22,10.22,10.22,3,31
2019-08-13,10.24,10.24,10.22,10.22,4,10049
2019-08-14,10.24,10.18,10.18,10.23,9,4600
2019-08-16,10.15,10.15,10.15,10.15,1,100
2019-08-19,10.24,10.24,10.23,10.23,3,11656
2019-08-21,10.2,10.2,10.2,10.2,3,10040
2019-08-28,10.2,10.2,10.2,10.2,1,300
2019-08-29,10.21,10.21,10.21,10.21,1,540
2019-09-03,10.25,10.25,10.25,10.25,1,2560
2019-09-04,10.14,10.14,10.14,10.14,1,100
2019-09-05,10.22,10.22,10.22,10.22,1,400
2019-09-10,10.22,10.22,10.22,10.22,1,700
2019-09-11,10.25,10.25,10.25,10.25,1,14
2019-09-13,10.25,10.25,10.25,10.25,1,1000
2019-09-16,10.25,10.25,10.25,10.25,6,10039
2019-09-17,10.27,10.27,10.27,10.27,1,84
2019-09-18,10.27,10.27,10.27,10.27,3,208
2019-09-24,10.27,10.23,10.23,10.27,2,205
2019-09-30,10.61,10.26,10.22,10.61,19,8372
2019-10-02,10.27,10.27,10.27,10.27,1,1000
2019-10-04,10.27,10.27,10.27,10.27,2,110
2019-10-07,10.24,10.24,10.24,10.24,2,200
2019-10-14,10.27,10.27,10.27,10.27,4,400
2019-10-17,10.24,10.24,10.24,10.24,1,1000
