Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-10-27,10.14,10.1,10.07,10.09,572,1578100
2021-10-28,10.12,10.11,10.08,10.12,30,21298
2021-10-29,10.12,10.11,10.09,10.09,15,20205
2021-11-01,10.14,10.11,10.05,10.11,7,5896
2021-11-02,10.11,10.11,10.0,10.0,2,1000
2021-11-03,10.12,10.12,10.12,10.12,1,100
2021-11-04,10.15,10.15,10.12,10.12,7,23323
2021-11-05,10.15,10.11,10.11,10.15,6,11053
2021-11-08,10.15,10.15,10.15,10.15,1,50
2021-11-09,10.14,10.12,10.12,10.14,40,7492
2021-11-10,10.12,10.12,10.12,10.12,8,3332
2021-11-11,10.12,10.12,10.12,10.12,26,6511
2021-11-12,10.11,10.11,10.11,10.11,1,100
2021-11-15,10.11,10.09,10.09,10.11,3,307
2021-11-16,10.14,10.14,10.1,10.1,2,48
2021-11-17,10.14,10.14,10.14,10.14,1,25
2021-11-18,10.14,10.14,10.14,10.14,1,315
2021-11-19,10.15,10.15,10.14,10.15,17,2802
2021-11-22,10.14,10.14,10.14,10.14,2,578
2021-11-23,10.15,10.15,10.15,10.15,14,5745
2021-11-24,10.2,10.2,10.2,10.2,2,21
2021-11-26,10.2,10.18,10.18,10.2,2,1975
2021-12-01,10.145,10.145,10.11,10.11,11,1910
2021-12-03,10.2,10.15,10.15,10.2,6,1407
2021-12-08,10.11,10.11,10.11,10.11,3,1100
2021-12-09,10.19,10.19,10.19,10.19,1,93
2021-12-13,10.11,10.1,10.045,10.11,8,5533
2021-12-14,10.15,10.15,10.0,10.0,6,827
2021-12-16,10.13,10.13,10.13,10.13,1,100
2021-12-17,10.2,10.18,10.18,10.2,2,1840
2021-12-20,10.2,10.19,10.0,10.2,4,468
2021-12-21,10.2,10.2,10.2,10.2,1,60
2021-12-22,10.14,10.14,10.08,10.08,2,776
2021-12-23,10.19,10.19,10.17,10.17,4,35
2021-12-27,10.2,9.95,9.95,10.1,25,2171
2021-12-28,10.15,9.95,9.95,10.15,5,370
2021-12-29,10.08,10.08,10.08,10.08,3,270
2021-12-30,,,,,1,1
2021-12-31,10.48,10.48,10.48,10.48,1,15
2022-01-03,10.2,10.2,10.2,10.2,1,410
2022-01-04,10.16,10.16,10.16,10.16,1,60
2022-01-05,10.18,10.18,10.07,10.18,32,10535
2022-01-10,10.17,10.17,10.17,10.17,5,1723
2022-01-11,10.18,10.18,10.15,10.18,17,1074
2022-01-12,10.18,10.18,10.18,10.18,6,127
2022-01-13,10.15,10.15,10.13,10.13,29,6555
2022-01-19,10.15,10.1,10.1,10.15,6,644
2022-01-20,10.11,10.1,10.09,10.1,23,15706
2022-01-21,10.1,10.1,10.1,10.1,1,100
2022-01-24,10.09,10.07,10.06,10.09,24,75264
2022-01-26,10.06,10.06,10.06,10.06,3,1095
2022-01-27,10.05,10.02,10.02,10.05,3,1200
2022-01-28,10.14,10.14,10.04,10.04,2,1071
2022-01-31,10.04,10.04,10.03,10.03,68,25100
2022-02-01,10.16,10.16,10.16,10.16,1,62
2022-02-02,10.07,10.07,10.07,10.07,6,39
2022-02-07,10.13,10.13,10.13,10.13,1,50
2022-02-10,10.14,10.03,10.03,10.14,2,101
2022-02-11,10.04,10.04,10.04,10.04,11,6327
2022-02-22,10.15,10.15,10.03,10.03,3,240
2022-02-23,10.11,10.11,10.09,10.1,9,4540
2022-02-24,,,,,2,6164
2022-03-01,10.2,10.17,10.15,10.16,11,5865
2022-03-02,10.17,10.07,10.07,10.17,3,2502
2022-03-03,10.17,10.1,10.1,10.17,8,3034
2022-03-04,10.13,10.13,10.13,10.13,2,4100
2022-03-07,10.16,10.16,10.16,10.16,5,5000
2022-03-08,10.16,10.16,10.16,10.16,1,100
2022-03-11,10.16,10.16,10.16,10.16,1,10
2022-03-16,9.88,9.88,9.88,9.88,1,15
2022-03-24,10.02,10.02,10.02,10.02,1,4
2022-03-28,10.06,10.06,10.06,10.06,1,10
2022-04-04,10.17,10.17,10.17,10.17,1,7
2022-04-06,10.18,10.09,10.09,10.18,2,8
2022-04-13,10.04,10.04,10.04,10.04,2,623
2022-04-14,10.04,10.04,10.04,10.04,1,5
2022-04-19,10.14,10.14,10.14,10.14,1,13
2022-04-20,10.1,10.1,10.1,10.1,1,87
2022-04-25,10.16,10.16,10.16,10.16,1,26
2022-04-26,10.17,10.17,10.17,10.17,1,4
2022-05-09,10.12,10.03,10.03,10.12,8,12
2022-05-10,10.12,10.12,10.12,10.12,1,10
2022-05-24,10.03,10.03,10.0,10.0,5,1400
2022-05-26,10.05,10.04,10.03,10.03,8,157
2022-06-09,10.04,10.04,10.04,10.04,3,840
2022-06-13,10.03,10.03,10.03,10.03,3,2000
2022-07-25,10.1,10.1,10.08,10.08,12,1673
2022-08-01,10.1,10.1,10.1,10.1,11,1098
2022-08-31,10.17,10.17,10.17,10.17,1,1
2022-09-01,10.13,10.13,10.13,10.13,1,9
2022-09-08,10.13,10.13,10.13,10.13,1,41
2022-09-12,10.1,10.1,10.1,10.1,1,2
2022-09-27,10.07,10.07,10.07,10.07,1,100
2022-09-29,10.05,10.05,10.04,10.04,2,200
2022-10-06,10.07,10.07,10.07,10.07,1,100
2022-10-12,10.05,10.05,10.05,10.05,1,1
2022-10-17,10.16,10.16,10.16,10.16,1,9
2022-10-18,10.16,10.16,10.16,10.16,1,3
2022-11-17,10.12,10.12,10.12,10.12,3,275
2022-11-23,10.1,10.1,10.1,10.1,1,1
2022-11-29,10.14,10.14,10.14,10.14,1,75
2022-12-12,10.11,10.11,10.11,10.11,1,24
2022-12-15,10.22,10.22,10.22,10.22,9,16
2022-12-28,10.22,10.22,10.22,10.22,1,100
2022-12-29,10.22,10.22,10.22,10.22,1,100
2022-12-30,10.22,10.22,10.22,10.22,1,100
2023-01-06,10.25,10.25,10.25,10.25,1,100
