Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,37.47,36.8,36.7,37.18,6795,1480976
2013-01-03,37.11,36.72,36.51,37.02,5764,1179919
2013-01-04,37.03,36.45,36.28,37.0,6481,1139422
2013-01-07,36.49,36.02,35.8,36.23,4310,809003
2013-01-08,36.04,35.71,35.47,35.89,5151,918333
2013-01-09,37.02,36.81,36.07,36.21,7158,1358560
2013-01-10,37.04,37.0,36.51,36.88,4230,790333
2013-01-11,37.18,37.13,36.77,36.95,3653,624069
2013-01-14,37.18,36.82,36.55,37.1,4888,834375
2013-01-15,37.24,37.03,36.54,36.76,3533,570568
2013-01-16,37.41,37.32,36.85,36.97,2854,519533
2013-01-17,37.89,37.78,37.33,37.46,3525,605767
2013-01-18,38.03,38.03,37.64,37.73,2634,858366
2013-01-22,38.26,38.16,37.99,38.06,3626,632727
2013-01-23,38.3,37.98,37.72,38.14,3003,521256
2013-01-24,38.47,38.04,37.82,38.13,4099,626991
2013-01-25,38.09,37.15,37.05,38.03,6112,1378496
2013-01-28,37.3,36.95,36.84,37.23,4788,792349
2013-01-29,37.37,37.26,36.9,37.0,5215,968639
2013-01-30,37.39,37.11,37.04,37.19,3514,602744
2013-01-31,37.7,37.63,36.9,36.9,7445,1587264
2013-02-01,38.54,38.26,36.75,37.01,14703,2407691
2013-02-04,38.94,38.78,38.13,38.22,7565,1214540
2013-02-05,39.41,39.37,38.86,39.0,6308,1204372
2013-02-06,39.65,39.51,39.01,39.12,6338,986948
2013-02-07,39.8,39.67,39.18,39.64,6164,1019125
2013-02-08,40.4,40.32,39.59,39.59,4465,897009
2013-02-11,40.47,40.27,40.09,40.26,4443,729721
2013-02-12,40.68,40.67,40.31,40.31,4350,705189
2013-02-13,41.1,40.99,40.64,40.7,4442,693095
2013-02-14,41.19,41.15,40.8,41.0,3656,686701
2013-02-15,41.3,40.85,40.78,41.16,5337,1420461
2013-02-19,41.28,41.2,40.67,41.0,4646,909677
2013-02-20,41.13,40.77,40.74,40.87,4212,773862
2013-02-21,40.82,40.42,40.33,40.81,4986,801229
2013-02-22,41.0,40.52,40.29,40.66,3710,613599
2013-02-25,41.0,39.96,39.95,40.9,3535,691262
2013-02-26,40.34,40.2,39.87,40.08,3388,652082
2013-02-27,40.93,40.82,40.12,40.13,4147,670954
2013-02-28,41.1,40.75,40.68,40.74,3801,940899
2013-03-01,40.72,40.5,40.18,40.57,4641,820355
2013-03-04,40.7,40.6,40.38,40.38,3958,701696
2013-03-05,41.28,41.17,40.79,40.93,3915,581601
2013-03-06,41.42,40.94,40.89,41.22,3919,618610
2013-03-07,41.48,41.26,41.0,41.16,3146,620277
2013-03-08,41.63,41.43,41.02,41.46,3096,484205
2013-03-11,41.67,41.67,41.26,41.26,3232,530950
2013-03-12,41.77,41.62,41.45,41.71,3301,629666
2013-03-13,42.01,41.92,41.43,41.71,3144,555628
2013-03-14,42.33,42.3,42.02,42.06,3127,597188
2013-03-15,42.34,42.14,42.01,42.01,2719,1491480
2013-03-18,42.1,41.79,41.62,41.73,3010,530012
2013-03-19,42.06,41.81,41.53,41.83,3289,492663
2013-03-20,42.495,42.29,42.08,42.25,4018,636853
2013-03-21,42.64,42.58,42.2,42.2,3435,563765
2013-03-22,43.24,43.24,42.68,42.78,4371,711105
2013-03-25,43.99,43.51,43.08,43.7,6409,1090735
2013-03-26,43.76,43.56,43.44,43.75,3477,546242
2013-03-27,43.52,43.35,43.12,43.16,3157,573340
2013-03-28,43.92,43.79,43.35,43.51,3614,944839
2013-04-01,43.93,43.55,43.5,43.73,3459,659788
2013-04-02,44.245,44.02,43.66,43.81,3689,648142
2013-04-03,44.05,42.99,42.96,44.05,5473,1028027
2013-04-04,43.45,43.28,42.8,42.93,3374,559879
2013-04-05,42.69,42.64,41.93,42.21,4601,857218
2013-04-08,42.91,42.91,42.47,42.61,2969,576935
2013-04-09,43.42,43.26,42.69,42.88,3436,669149
2013-04-10,44.07,44.06,43.4,43.52,3759,665169
2013-04-11,44.415,44.22,44.03,44.19,3179,588612
2013-04-12,44.29,44.02,43.96,44.29,2412,532353
2013-04-15,44.23,43.02,43.02,43.92,3247,581035
2013-04-16,43.25,42.99,42.8,43.12,5854,1070045
2013-04-17,45.37,43.78,43.7,44.91,10238,1663379
2013-04-18,44.24,43.98,43.13,43.75,8369,1253962
2013-04-19,44.06,44.01,43.59,43.92,5496,1298931
2013-04-22,44.34,44.07,43.84,44.12,4270,716932
2013-04-23,44.42,44.21,43.58,44.37,5600,909588
2013-04-24,44.5,44.24,44.16,44.44,3368,548182
2013-04-25,44.98,44.82,44.22,44.22,3870,713299
2013-04-26,44.95,44.65,44.56,44.91,2812,580020
2013-04-29,44.93,44.81,44.44,44.65,2603,451621
2013-04-30,45.72,45.66,44.55,44.74,4226,1026399
2013-05-01,45.71,44.93,44.88,45.7,4664,673975
2013-05-02,45.19,44.79,44.66,44.86,3424,558710
2013-05-03,45.54,45.35,44.92,45.11,2725,603774
2013-05-06,45.54,45.52,44.96,45.28,2218,436749
2013-05-07,46.09,45.89,45.5,45.57,3061,619168
2013-05-08,46.41,46.26,45.91,46.0,2661,511468
2013-05-09,46.53,46.08,45.935,46.44,2682,463258
2013-05-10,46.3,45.98,45.88,45.9,1983,409688
2013-05-13,46.3,46.17,45.93,46.02,1427,281272
2013-05-14,46.6,46.58,46.03,46.11,2726,479691
2013-05-15,46.855,46.65,46.33,46.5,3116,569373
2013-05-16,46.88,46.19,46.09,46.56,1964,367231
2013-05-17,46.8,46.79,46.2,46.42,2601,707793
2013-05-20,46.82,46.17,46.1,46.68,2639,474095
2013-05-21,46.78,46.65,45.78,46.09,3138,593359
2013-05-22,47.08,45.87,45.74,46.77,3803,637993
2013-05-23,45.65,45.35,45.21,45.55,4278,723168
2013-05-24,45.78,45.63,44.97,45.1,2798,451348
2013-05-28,46.55,45.73,45.655,45.93,2330,437746
2013-05-29,45.65,44.85,44.84,45.65,2595,439025
2013-05-30,45.33,45.01,44.8,44.8,2781,449725
2013-05-31,45.35,44.75,44.74,44.84,3560,864844
2013-06-03,45.12,44.94,44.46,44.7,5999,912154
2013-06-04,45.14,44.81,44.49,44.92,2737,508715
2013-06-05,44.87,43.99,43.93,44.8,3774,559506
2013-06-06,44.32,44.32,43.85,44.13,3992,703034
2013-06-07,45.21,45.18,44.5,44.78,2632,495021
2013-06-10,45.4,44.93,44.74,45.37,3040,441431
2013-06-11,45.0,44.73,44.22,44.46,3696,565210
2013-06-12,44.93,43.97,43.94,44.91,3873,659561
2013-06-13,44.96,44.89,43.97,44.06,2711,409512
2013-06-14,45.23,44.71,44.675,44.95,2557,401437
2013-06-17,45.08,44.46,44.21,44.83,4141,661202
2013-06-18,45.09,45.05,44.43,44.47,2615,418074
2013-06-19,45.78,45.21,45.1,45.15,4928,696477
2013-06-20,44.97,44.02,43.99,44.84,3988,634706
2013-06-21,44.5,44.12,43.97,44.32,5500,1989902
2013-06-24,44.17,43.92,43.79,43.97,4661,672281
2013-06-25,44.41,44.36,43.83,44.35,2271,398804
2013-06-26,44.83,44.43,44.22,44.75,2924,438904
2013-06-27,45.16,44.97,44.65,44.65,2181,376188
2013-06-28,45.585,45.31,44.74,44.78,3245,912854
2013-07-01,45.8,45.65,45.33,45.46,2881,502210
2013-07-02,45.7,45.04,44.99,45.58,4218,713588
2013-07-03,45.23,44.93,44.9,44.94,1841,333627
