Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-10-10,26.3,24.99,24.0,24.0,6787,2138882
2013-10-11,26.24,26.23,24.89,25.2,890,189101
2013-10-14,26.5,25.38,25.03,26.5,294,62049
2013-10-15,25.9,25.01,23.15,25.06,356,60506
2013-10-16,25.66,25.43,24.97,25.23,33,5482
2013-10-17,26.5,25.165,24.87,26.5,62,10500
2013-10-18,25.69,25.38,25.09,25.09,148,23685
2013-10-21,25.7,25.7,24.89,25.2,108,15783
2013-10-22,27.99,27.22,25.9,25.98,205,42927
2013-10-23,27.61,26.17,26.17,27.22,71,15852
2013-10-24,29.08,28.0,26.01,26.01,170,25721
2013-10-25,28.45,27.5,27.5,28.0,23,6758
2013-10-28,27.61,27.37,27.27,27.48,13,1400
2013-10-29,27.5,27.13,26.32,27.08,66,13202
2013-10-30,27.72,26.85,26.36,26.36,41,4725
2013-10-31,28.25,26.94,26.74,27.0,108,17104
2013-11-01,27.32,27.32,26.5,27.2,32,4575
2013-11-04,28.22,26.15,25.63,28.22,150,22784
2013-11-05,27.0,26.23,25.43,26.61,209,41646
2013-11-06,27.01,26.23,25.735,26.09,177,32338
2013-11-07,26.04,26.0,25.47,26.04,26,3002
2013-11-08,26.25,25.91,25.41,25.41,52,8258
2013-11-11,26.81,26.535,25.91,25.91,98,13457
2013-11-12,27.49,26.93,26.5,26.5,54,10100
2013-11-13,28.9,28.48,26.86,26.86,30,3434
2013-11-14,28.59,27.92,27.63,28.47,63,6888
2013-11-15,30.12,27.11,27.1,28.46,110,19491
2013-11-18,27.49,26.09,25.4,27.49,185,24455
2013-11-19,26.0,23.21,23.01,26.0,180,26016
2013-11-20,23.7,22.21,21.5,23.3,129,18776
2013-11-21,22.29,21.82,21.57,22.29,122,14325
2013-11-22,24.1,23.79,22.18,22.21,71,8713
2013-11-25,25.29,24.865,23.05,23.79,80,9844
2013-11-26,26.9,26.52,24.54,24.54,102,14096
2013-11-27,27.51,27.25,26.2,26.31,86,9935
2013-11-29,27.19,26.47,25.92,26.62,29,4495
2013-12-02,26.93,25.83,25.83,26.43,49,6758
2013-12-03,26.29,25.64,25.19,25.82,80,10997
2013-12-04,27.4,26.0,25.0,27.4,254,36539
2013-12-05,27.01,25.76,25.17,25.77,97,11527
2013-12-06,26.465,26.01,25.755,25.93,42,4684
2013-12-09,26.96,26.0,25.68,26.02,108,10097
2013-12-10,26.56,26.01,25.65,25.99,205,13194
2013-12-11,26.05,24.9,24.38,25.93,337,18167
2013-12-12,25.08,24.96,24.4,25.04,210,12970
2013-12-13,25.64,25.2,24.31,24.96,268,18857
2013-12-16,26.39,26.15,25.19,25.44,262,14939
2013-12-17,27.52,26.8,25.99,26.29,130,17683
2013-12-18,27.69,27.53,26.27,26.87,355,39799
2013-12-19,27.48,26.69,26.48,27.28,154,14962
2013-12-20,27.24,26.85,25.62,26.76,534,477392
2013-12-23,27.67,27.16,26.78,27.05,143,18820
2013-12-24,27.2,27.0,26.31,27.2,76,9971
2013-12-26,27.17,26.81,26.67,27.17,199,12114
2013-12-27,26.93,26.77,26.395,26.93,150,14298
2013-12-30,28.09,28.05,26.12,26.68,157,13187
2013-12-31,28.52,27.43,26.8,28.01,236,35884
2014-01-02,28.98,28.83,27.15,27.15,234,20263
2014-01-03,29.48,29.48,28.5,28.89,417,35513
2014-01-06,29.48,29.31,28.73,29.48,140,14303
