Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,3.37,3.3,3.16,3.3,259,43165
2013-01-03,3.4,3.39,3.25,3.34,254,61586
2013-01-04,3.55,3.49,3.37,3.45,172,40231
2013-01-07,3.76,3.76,3.57,3.6,190,72260
2013-01-08,4.02,4.02,3.76,3.79,331,81537
2013-01-09,4.09,3.96,3.87,4.0,131,36845
2013-01-10,3.99,3.85,3.76,3.95,160,32494
2013-01-11,4.19,4.14,3.82,3.85,93,21311
2013-01-14,4.06,3.98,3.82,4.06,144,34084
2013-01-15,3.97,3.9,3.84,3.94,82,19809
2013-01-16,3.97,3.88,3.81,3.88,169,25421
2013-01-17,3.96,3.93,3.82,3.88,86,14022
2013-01-18,3.94,3.81,3.77,3.93,93,12549
2013-01-22,3.8,3.56,3.43,3.8,191,40287
2013-01-23,3.56,3.46,3.39,3.55,194,44723
2013-01-24,3.475,3.31,3.31,3.46,96,14762
2013-01-25,3.46,3.36,3.21,3.31,173,35988
2013-01-28,3.44,3.3,3.255,3.35,52,10427
2013-01-29,3.54,3.5,3.23,3.29,175,34546
2013-01-30,3.56,3.35,3.3,3.45,102,27091
2013-01-31,3.905,3.46,3.33,3.38,529,120141
2013-02-01,4.06,3.83,3.7,3.9,710,144841
2013-02-04,4.06,3.91,3.8,4.04,395,123996
2013-02-05,3.99,3.88,3.81,3.96,240,53923
2013-02-06,3.95,3.85,3.8,3.95,122,22900
2013-02-07,3.98,3.98,3.84,3.84,116,18803
2013-02-08,4.69,4.34,4.005,4.04,674,184026
2013-02-11,4.5,4.43,4.25,4.5,287,74300
2013-02-12,4.85,4.74,4.4,4.4,412,89835
2013-02-13,5.0,4.93,4.75,4.75,533,155730
2013-02-14,5.0,4.92,4.8,4.94,342,70961
2013-02-15,5.0,4.97,4.85,4.93,231,37448
2013-02-19,4.96,4.86,4.835,4.95,480,77387
2013-02-20,4.82,4.18,4.14,4.82,914,207491
2013-02-21,4.55,4.45,4.21,4.21,492,100298
2013-02-22,4.74,4.59,4.52,4.74,206,42391
2013-02-25,4.57,4.36,4.34,4.57,215,42985
2013-02-26,4.4,4.39,4.23,4.33,218,36386
2013-02-27,4.5,4.48,4.35,4.37,209,40735
2013-02-28,4.56,4.3,4.275,4.56,329,74282
2013-03-01,4.35,4.23,4.17,4.25,230,48562
2013-03-04,4.29,4.12,4.01,4.29,313,54208
2013-03-05,4.22,4.08,4.08,4.1,374,156316
2013-03-06,4.16,4.11,4.07,4.07,169,78480
2013-03-07,4.9,4.72,4.21,4.21,681,150017
2013-03-08,4.97,4.74,4.66,4.85,436,111152
2013-03-11,4.77,4.6,4.45,4.76,179,43037
2013-03-12,4.58,4.42,4.39,4.58,84,24212
2013-03-13,4.55,4.44,4.38,4.38,111,20867
2013-03-14,4.58,4.46,4.43,4.51,91,18152
2013-03-15,4.68,4.5,4.44,4.46,230,70585
2013-03-18,4.64,4.59,4.47,4.47,193,44467
2013-03-19,4.65,4.6,4.55,4.56,118,22392
2013-03-20,4.85,4.7,4.63,4.75,228,69856
2013-03-21,4.8,4.74,4.65,4.75,226,43132
2013-03-22,4.81,4.69,4.68,4.81,165,41676
2013-03-25,4.77,4.71,4.57,4.66,271,45312
2013-03-26,4.78,4.71,4.65,4.69,243,50280
2013-03-27,4.74,4.66,4.65,4.66,151,27207
2013-03-28,4.75,4.68,4.61,4.69,125,19312
2013-04-01,4.78,4.58,4.44,4.71,275,63263
2013-04-02,4.64,4.5,4.44,4.64,313,48598
2013-04-03,4.58,4.54,4.31,4.47,294,68005
2013-04-04,4.6,4.39,4.37,4.58,199,46773
2013-04-05,4.41,4.39,4.26,4.36,150,28054
2013-04-08,4.575,4.56,4.42,4.45,153,52416
2013-04-09,4.61,4.5,4.49,4.59,164,38489
2013-04-10,4.64,4.49,4.42,4.47,212,43222
2013-04-11,4.54,4.36,4.35,4.45,225,48385
2013-04-12,4.46,4.34,4.24,4.3,250,44945
2013-04-15,4.32,4.0,3.88,4.32,242,69370
