Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,15.04,15.04,14.82,14.82,10,2777
2013-01-03,15.09,15.09,14.94,14.94,5,500
2013-01-04,15.02,15.0,15.0,15.0,4,900
2013-01-07,14.99,14.99,14.91,14.91,2,300
2013-01-08,15.05,15.0,15.0,15.05,2,3400
2013-01-09,15.0,14.85,14.81,15.0,9,4125
2013-01-10,14.93,14.7,14.7,14.9,5,525
2013-01-11,14.72,14.55,14.55,14.72,6,987
2013-01-14,15.14,15.1,14.85,14.86,11,7678
2013-01-15,15.09,14.98,14.9,15.09,16,4411
2013-01-16,15.06,15.05,14.9,14.98,7,4388
2013-01-17,15.0,15.0,14.86,14.86,2,300
2013-01-18,15.15,15.06,15.06,15.15,1,100
2013-01-22,15.29,15.2,15.1,15.1,18,8302
2013-01-23,15.25,15.2,15.2,15.25,22,6933
2013-01-24,15.3,15.3,15.05,15.16,12,3167
2013-01-25,15.23,15.1,15.1,15.23,2,200
2013-01-28,15.2,14.97,14.95,15.11,12,4315
2013-01-29,14.95,14.95,14.83,14.95,8,2780
2013-01-30,15.24,15.2,14.88,14.88,5,1001
2013-01-31,15.2,15.1,15.1,15.2,4,3786
2013-02-01,15.23,15.2,15.02,15.23,27,13314
2013-02-04,15.1,15.08,15.08,15.1,2,4300
2013-02-05,15.2,15.19,15.19,15.2,3,1050
2013-02-06,15.08,15.05,15.05,15.08,3,1357
2013-02-07,14.99,14.99,14.97,14.97,2,400
2013-02-08,15.23,15.23,15.09,15.09,11,2900
2013-02-11,15.23,15.01,15.01,15.23,3,665
2013-02-12,15.23,15.2,15.15,15.23,7,3435
2013-02-13,15.25,15.25,15.01,15.01,7,3800
2013-02-14,15.24,15.2,15.0,15.24,4,2200
2013-02-15,15.24,15.08,15.08,15.24,2,1300
2013-02-19,15.37,15.3,15.2,15.22,12,2410
2013-02-20,15.35,15.26,15.26,15.35,25,4636
2013-02-21,15.25,15.1,15.1,15.25,7,2200
2013-02-22,15.42,15.42,15.36,15.36,15,6200
2013-02-25,15.37,15.15,15.0,15.37,18,5823
2013-02-26,15.42,15.06,15.06,15.12,13,7498
2013-02-27,15.29,15.29,15.04,15.22,10,1765
2013-02-28,15.07,15.06,15.06,15.07,5,600
2013-03-01,15.23,15.11,15.08,15.08,12,3850
2013-03-04,15.05,15.05,14.89,15.05,10,2000
2013-03-05,15.24,15.24,15.1,15.1,4,840
2013-03-06,15.37,15.25,15.15,15.3,23,4354
