Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-07-12,12.54,12.45,12.25,12.41,989,607867
2018-07-13,12.46,12.35,12.25,12.45,187,125285
2018-07-16,12.65,12.65,12.33,12.33,29,15390
2018-07-17,12.64,12.48,12.43,12.64,29,23208
2018-07-18,12.64,12.5,12.49,12.64,27,28617
2018-07-19,12.64,12.55,12.5,12.59,26,18637
2018-07-20,12.6,12.5,12.5,12.59,32,12774
2018-07-23,12.5,12.5,12.4,12.4,12,7686
2018-07-24,12.45,12.41,12.35,12.45,20,9219
2018-07-25,12.48,12.35,12.35,12.48,13,2070
2018-07-26,12.37,12.37,12.3,12.3,14,6500
2018-07-27,12.34,12.34,12.3,12.3,4,1700
2018-07-30,12.37,12.37,12.25,12.35,36,10954
2018-07-31,12.26,12.1,12.1,12.26,33,12771
2018-08-01,12.3,12.3,12.2,12.2,10,5200
2018-08-02,12.34,12.34,12.3,12.3,2,2300
2018-08-03,12.35,12.34,12.34,12.34,16,3000
2018-08-06,12.42,12.4,12.34,12.34,6,3154
2018-08-07,12.49,12.37,12.37,12.37,70,7535
2018-08-08,12.37,12.37,12.37,12.37,1,34
2018-08-09,12.4,12.34,12.34,12.4,10,2522
2018-08-10,12.28,12.28,12.28,12.28,1,50
2018-08-13,12.44,12.35,12.32,12.32,8,8379
2018-08-14,12.42,12.42,12.385,12.385,4,418
2018-08-16,12.38,12.38,12.38,12.38,2,169
2018-08-17,12.35,12.35,12.31,12.35,8,1849
2018-08-20,12.41,12.41,12.3,12.34,17,1642
2018-08-21,12.37,12.37,12.34,12.34,8,3305
2018-08-22,12.36,12.36,12.36,12.36,5,1050
2018-08-23,12.36,12.36,12.36,12.36,1,58
2018-08-24,12.36,12.34,12.3,12.3,57,6715
2018-08-27,12.36,12.36,12.31,12.31,3,177
2018-08-28,12.44,12.44,12.35,12.36,6,2064
2018-08-29,12.44,12.35,12.35,12.43,10,8510
2018-08-30,12.4,12.4,12.4,12.4,1,66
2018-08-31,12.44,12.44,12.4,12.4,2,926
2018-09-04,12.55,12.55,12.47,12.54,24,5402
2018-09-06,12.54,12.5,12.5,12.54,2,11
2018-09-07,12.6,12.45,12.45,12.55,19,5674
2018-09-10,12.6,12.51,12.45,12.45,36,5953
2018-09-11,12.64,12.62,12.6,12.6,58,6914
2018-09-12,12.64,12.63,12.5,12.51,24,3562
2018-09-13,12.64,12.63,12.47,12.47,32,4660
2018-09-14,12.64,12.47,12.47,12.48,23,3008
2018-09-17,12.64,12.52,12.52,12.64,13,2218
2018-09-18,12.6,12.6,12.6,12.6,21,4511
2018-09-19,13.15,13.15,12.4,12.42,22,3128
2018-09-20,13.26,13.02,13.0,13.26,18,1782
2018-09-21,13.12,12.45,12.45,13.12,11,13928
2018-09-24,12.88,12.88,12.53,12.53,2,606
2018-09-25,12.93,12.93,12.93,12.93,1,4
2018-09-26,13.0,13.0,12.94,12.94,2,105
2018-09-27,13.13,12.85,12.78,13.13,8,1433
2018-09-28,12.95,12.95,12.6,12.89,18,867
2018-10-01,13.13,13.05,12.66,13.13,30,8600
2018-10-02,13.14,12.99,12.7,13.14,14,2133
2018-10-03,13.0,12.89,12.77,13.0,3,310
2018-10-04,12.89,12.72,12.67,12.89,5,381
2018-10-05,12.75,12.74,12.66,12.66,6,279
2018-10-08,12.75,12.71,12.71,12.75,3,42
2018-10-09,12.74,12.74,12.65,12.65,11,202
2018-10-10,12.78,12.65,12.65,12.78,4,303
2018-10-11,12.65,12.25,12.25,12.65,28,8657
2018-10-12,12.5,12.5,12.42,12.42,6,1169
2018-10-15,12.35,12.35,12.35,12.35,1,50
2018-10-16,12.55,12.55,12.46,12.46,3,437
2018-10-17,12.48,12.48,12.48,12.48,5,264
2018-10-18,12.48,12.38,12.38,12.48,2,9
2018-10-19,12.49,12.32,12.32,12.49,4,146
2018-10-22,12.38,12.38,12.38,12.38,1,34
2018-10-23,12.27,12.27,12.27,12.27,1,48
2018-10-24,12.4,12.1,12.1,12.4,19,1422
2018-10-25,12.15,11.58,11.58,12.15,15,1012
2018-10-26,11.9,11.59,11.56,11.56,5,499
2018-10-29,12.2,11.7,11.7,12.2,12,541
2018-10-30,11.73,11.57,11.57,11.73,8,2028
2018-10-31,11.99,11.99,11.99,11.99,2,62
2018-11-01,12.08,12.08,11.9,11.9,14,2263
2018-11-02,12.08,12.08,11.75,11.75,6,141
2018-11-05,12.08,12.08,12.08,12.08,4,222
2018-11-06,12.0,11.64,11.64,12.0,6,1800
2018-11-07,12.12,11.8,11.8,12.05,6,579
2018-11-08,12.4,11.79,11.79,12.4,11,1645
2018-11-09,12.05,12.05,12.05,12.05,3,207
2018-11-12,11.85,11.85,11.85,11.85,1,56
2018-11-13,12.06,12.04,12.03,12.06,3,251
2018-11-15,12.46,12.1,12.1,12.46,7,243
2018-11-16,12.35,12.33,12.25,12.25,16,4806
2018-11-19,12.33,12.3,12.25,12.33,19,3109
2018-11-20,12.25,12.25,12.25,12.25,1,100
2018-11-21,12.39,12.25,12.25,12.25,17,3100
