Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,11.81,11.75,11.41,11.8,517,90244
2013-01-03,11.93,11.65,11.55,11.7,154,28685
2013-01-04,11.96,11.88,11.68,11.73,321,57467
2013-01-07,11.99,11.88,11.76,11.77,287,45213
2013-01-08,12.49,12.45,11.9,11.9,205,54374
2013-01-09,12.77,12.57,12.46,12.62,256,56588
2013-01-10,12.88,12.8,12.6,12.65,121,15247
2013-01-11,12.87,12.82,12.7,12.83,207,35054
2013-01-14,12.82,12.81,12.65,12.75,326,44365
2013-01-15,12.9,12.88,12.7,12.71,209,28435
2013-01-16,13.05,12.99,12.85,12.85,284,56653
2013-01-17,13.17,12.99,12.94,13.1,297,43199
2013-01-18,13.13,13.13,12.95,13.04,363,66315
2013-01-22,14.9,14.8,13.53,14.0,1075,178405
2013-01-23,14.89,14.46,14.42,14.84,713,93284
2013-01-24,14.895,14.53,14.46,14.46,389,55440
2013-01-25,14.65,14.41,14.34,14.65,624,81914
2013-01-28,14.72,14.39,14.3,14.4,502,71373
2013-01-29,14.63,14.44,14.33,14.37,472,65337
2013-01-30,14.46,14.32,14.08,14.46,479,73651
2013-01-31,14.52,14.28,14.07,14.37,233,40532
2013-02-01,14.55,14.47,14.1,14.42,335,44093
2013-02-04,14.36,14.18,14.18,14.36,251,35862
2013-02-05,14.34,14.24,14.16,14.34,146,24901
2013-02-06,14.65,14.48,14.06,14.12,325,43129
2013-02-07,14.98,14.86,14.3,14.48,596,83938
2013-02-08,15.41,15.36,14.82,14.86,606,84407
2013-02-11,15.56,15.39,15.3,15.4,681,80951
2013-02-12,15.91,15.7,15.31,15.41,390,51673
2013-02-13,16.04,16.04,15.66,15.79,508,70967
2013-02-14,16.48,16.48,16.04,16.04,543,64456
2013-02-15,17.15,17.0,16.5,16.55,689,111602
2013-02-19,17.15,16.75,16.46,16.76,584,96282
2013-02-20,16.77,15.94,15.94,16.71,392,77438
2013-02-21,15.95,15.59,15.41,15.95,299,38172
2013-02-22,15.93,15.93,15.52,15.71,284,37712
2013-02-25,15.99,15.32,15.32,15.99,395,59488
2013-02-26,15.71,15.44,15.26,15.41,357,50276
2013-02-27,15.84,15.67,15.3,15.37,314,42278
2013-02-28,15.92,15.56,15.56,15.64,384,90988
2013-03-01,16.03,15.75,15.29,15.37,386,50741
2013-03-04,15.77,15.7,15.35,15.62,281,46133
2013-03-05,16.19,16.07,15.88,15.88,303,47164
2013-03-06,16.3,16.24,16.01,16.22,176,26215
2013-03-07,16.55,16.48,16.19,16.19,203,35998
2013-03-08,16.7,16.61,16.42,16.66,192,33016
2013-03-11,16.57,16.09,16.09,16.5,161,23366
2013-03-12,16.19,15.8,15.63,16.09,262,33822
2013-03-13,15.84,15.75,15.565,15.76,163,23217
2013-03-14,16.09,16.01,15.69,15.76,209,27478
2013-03-15,15.97,15.74,15.69,15.97,343,136823
2013-03-18,15.71,15.25,15.2,15.53,235,31026
2013-03-19,15.44,15.38,15.14,15.25,357,44734
2013-03-20,15.66,15.44,15.33,15.48,239,28917
2013-03-21,15.4,15.12,15.1,15.29,294,37106
2013-03-22,15.45,15.15,15.11,15.22,228,30576
2013-03-25,15.34,15.34,15.08,15.22,236,34826
2013-03-26,15.5,15.2,15.16,15.38,199,32137
2013-03-27,15.2,15.07,14.95,15.02,212,29097
2013-03-28,15.12,14.9,14.87,15.12,316,46602
2013-04-01,14.86,14.6,14.41,14.85,456,78011
2013-04-02,14.94,14.81,14.57,14.67,340,46302
2013-04-03,14.8,14.35,14.32,14.79,479,62298
2013-04-04,14.32,14.17,14.07,14.32,134,24972
2013-04-05,14.14,14.01,12.53,13.5,423,109671
2013-04-08,14.24,14.04,13.93,14.12,137,19809
2013-04-09,15.59,15.43,14.27,14.28,700,98930
2013-04-10,15.7,15.4,15.39,15.44,492,60950
2013-04-11,15.54,15.4,15.32,15.42,263,33496
2013-04-12,15.35,14.84,14.66,15.2,324,50552
2013-04-15,14.75,14.29,14.03,14.65,448,62625
2013-04-16,14.68,14.1,13.93,14.49,234,30523
2013-04-17,14.57,14.54,13.99,14.01,466,64028
2013-04-18,14.67,14.34,14.24,14.54,361,49151
2013-04-19,14.42,14.08,14.04,14.31,183,34506
2013-04-22,14.21,14.12,13.59,14.11,171,32085
2013-04-23,14.44,14.43,14.12,14.22,188,30463
2013-04-24,14.81,14.8,14.42,14.42,157,23766
2013-04-25,15.04,15.01,14.795,14.8,302,46423
2013-04-26,15.02,15.0,14.89,15.0,473,73373
2013-04-29,15.05,15.01,14.95,15.03,252,39876
2013-04-30,15.07,15.03,14.91,14.96,202,31192
2013-05-01,15.03,14.9,14.87,14.91,501,80792
2013-05-02,15.06,15.01,14.83,14.9,187,36787
