Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2014-04-17,17.38,16.99,15.0,15.0,1172,325577
2014-04-21,16.97,16.82,16.4,16.97,478,67518
2014-04-22,17.0,16.8,16.63,16.63,351,58546
2014-04-23,16.85,16.79,16.71,16.81,547,116537
2014-04-24,16.83,16.63,16.48,16.59,254,33278
2014-04-25,16.91,16.89,16.35,16.9,1327,364573
2014-04-28,16.93,16.67,16.39,16.93,1188,316223
2014-04-29,16.84,16.68,16.46,16.62,731,141978
2014-04-30,16.7,16.55,16.4,16.7,6470,12087215
2014-05-01,17.36,17.0,16.12,16.12,4296,926676
2014-05-02,17.3,16.95,16.875,17.01,4512,802827
2014-05-05,17.26,16.81,16.54,16.93,5148,812498
2014-05-06,16.7,16.34,16.25,16.69,5663,1955596
2014-05-07,16.61,16.6,16.26,16.36,4118,2759837
2014-05-08,16.64,16.45,16.35,16.5,5624,1009683
2014-05-09,16.48,16.28,16.05,16.3,4771,772667
2014-05-12,16.51,15.95,15.775,16.28,7807,2274529
2014-05-13,16.07,15.85,15.78,15.78,6594,1515869
2014-05-14,16.03,15.74,15.53,15.77,4871,1202686
2014-05-15,15.99,15.74,15.59,15.66,5168,1310783
2014-05-16,15.95,15.86,15.66,15.66,4565,1027833
2014-05-19,16.04,16.02,15.73,15.76,3604,2367348
2014-05-20,16.16,15.94,15.82,16.1,3644,744282
2014-05-21,16.12,15.93,15.82,15.93,2453,610384
2014-05-22,16.04,15.97,15.8,15.84,2127,371326
2014-05-23,16.13,16.07,15.97,16.0,3441,600869
2014-05-27,16.34,15.98,15.79,16.09,3648,520476
2014-05-28,16.02,15.68,15.67,16.02,5570,1186445
2014-05-29,15.82,15.68,15.53,15.73,3241,881048
2014-05-30,15.91,15.8,15.63,15.63,2883,1263899
2014-06-02,15.94,15.81,15.8,15.82,3431,699876
2014-06-03,16.035,15.83,15.75,15.75,3145,618387
2014-06-04,15.96,15.89,15.58,15.6,3379,897485
2014-06-05,16.68,16.67,15.9,16.03,5704,1179138
2014-06-06,16.945,16.67,16.615,16.76,3080,585960
2014-06-09,16.81,16.81,16.37,16.61,2805,540259
2014-06-10,16.99,16.8,16.71,16.72,2652,551551
2014-06-11,16.97,16.88,16.73,16.73,2627,374905
2014-06-12,16.93,16.74,16.68,16.81,2146,334523
2014-06-13,16.86,16.67,16.56,16.72,2690,503267
2014-06-16,16.89,16.78,16.6,16.66,1617,270355
2014-06-17,16.96,16.84,16.65,16.69,2546,385169
2014-06-18,17.12,17.06,16.7,16.76,3620,513458
