Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,7.59,7.54,7.43,7.59,1977,441151
2013-01-03,7.82,7.75,7.5,7.53,1693,288401
2013-01-04,7.89,7.82,7.645,7.8,950,169831
2013-01-07,7.91,7.77,7.72,7.76,1111,192686
2013-01-08,7.79,7.71,7.63,7.77,720,109998
2013-01-09,8.4,8.33,7.535,7.71,2452,380523
2013-01-10,8.66,8.31,8.21,8.34,2097,319715
2013-01-11,8.41,8.27,8.23,8.32,1701,285594
2013-01-14,8.79,8.74,8.25,8.26,2069,328029
2013-01-15,9.51,9.43,8.795,8.96,3797,623422
2013-01-16,9.55,9.09,9.08,9.44,1988,319253
2013-01-17,9.17,8.87,8.83,9.12,1809,292682
2013-01-18,8.93,8.93,8.64,8.85,1566,511990
2013-01-22,8.98,8.8,8.69,8.93,1617,278968
2013-01-23,8.86,8.72,8.66,8.78,1178,203989
2013-01-24,8.85,8.57,8.5,8.76,1223,196678
2013-01-25,9.11,9.1,8.6,8.64,1998,347005
2013-01-28,9.18,9.06,8.96,9.08,1677,303245
2013-01-29,9.18,8.9,8.87,9.03,1477,259336
2013-01-30,8.98,8.5,8.48,8.91,1662,282725
2013-01-31,8.66,8.57,8.5,8.51,1272,218990
2013-02-01,8.85,8.82,8.59,8.59,1466,267208
2013-02-04,8.905,8.88,8.64,8.79,1241,238656
2013-02-05,9.16,9.02,8.91,8.93,815,167431
2013-02-06,9.0,8.8,8.72,8.93,959,158975
2013-02-07,8.85,8.79,8.7,8.79,1072,157265
2013-02-08,9.02,8.87,8.71,8.8,1070,192494
2013-02-11,9.06,8.87,8.82,8.88,1126,213405
2013-02-12,8.93,8.76,8.745,8.91,749,128339
2013-02-13,9.0,8.81,8.75,8.75,1141,208178
2013-02-14,9.01,8.99,8.71,8.76,739,136686
2013-02-15,9.38,9.14,8.95,9.0,974,252613
2013-02-19,9.41,9.27,9.18,9.19,841,148976
2013-02-20,9.35,9.02,9.015,9.29,979,186699
2013-02-21,9.27,9.02,8.88,9.0,1495,240084
2013-02-22,9.45,9.36,8.91,9.06,2026,320277
2013-02-25,9.495,9.11,8.99,9.05,1367,275177
2013-02-26,9.51,9.47,9.12,9.17,1873,271489
2013-02-27,9.49,9.37,9.25,9.44,1385,203002
2013-02-28,9.4,9.27,9.22,9.35,1198,195976
2013-03-01,9.32,9.13,8.81,9.06,2053,297037
2013-03-04,9.425,9.42,8.99,9.08,1655,263609
2013-03-05,10.195,10.0,9.44,9.48,2268,398273
2013-03-06,10.25,9.97,9.93,10.02,1446,231451
2013-03-07,10.14,10.0,9.95,9.95,909,141183
2013-03-08,10.18,10.05,9.98,10.12,1673,326551
2013-03-11,10.11,9.99,9.94,9.99,1158,186900
2013-03-12,10.04,9.985,9.87,9.97,1300,220252
2013-03-13,10.27,10.15,9.88,9.97,1348,178361
2013-03-14,10.33,10.2,10.07,10.16,732,116940
2013-03-15,10.22,10.1,10.02,10.22,1734,1090936
2013-03-18,10.62,10.51,10.0,10.0,1496,223603
2013-03-19,10.63,10.41,10.28,10.54,826,122438
2013-03-20,10.68,10.65,10.47,10.51,833,129267
2013-03-21,10.87,10.85,10.52,10.53,1063,167745
2013-03-22,10.98,10.86,10.78,10.93,996,154590
2013-03-25,11.0,10.98,10.79,10.87,1262,234107
2013-03-26,11.205,11.05,10.96,11.06,1021,146066
2013-03-27,11.16,11.0,10.85,10.93,1362,221603
2013-03-28,11.1,11.0,10.87,11.02,1172,205072
2013-04-01,11.04,10.79,10.74,11.0,1457,223187
2013-04-02,11.04,10.93,10.88,10.9,1504,232841
2013-04-03,10.97,10.7,10.68,10.97,1244,201920
2013-04-04,10.81,10.71,10.57,10.75,702,138480
2013-04-05,10.65,10.5,10.38,10.49,2238,395871
2013-04-08,10.74,10.64,10.44,10.53,2210,326712
2013-04-09,10.84,10.5,10.39,10.68,1560,229568
2013-04-10,10.88,10.87,10.53,10.53,1210,223449
2013-04-11,10.95,10.87,10.74,10.83,1343,187342
2013-04-12,11.0,10.98,10.67,10.79,1060,175896
2013-04-15,10.97,10.2,10.19,10.88,2536,403030
2013-04-16,10.93,10.89,10.19,10.3,2024,307652
2013-04-17,10.82,10.71,10.45,10.79,1881,277956
2013-04-18,11.15,11.15,10.62,10.75,2489,389046
2013-04-19,11.34,11.0,10.925,11.15,1904,373382
2013-04-22,11.05,10.99,10.7,11.04,1297,191564
2013-04-23,11.29,11.29,11.06,11.12,1281,241858
2013-04-24,11.25,10.95,10.81,11.25,1092,174328
2013-04-25,11.16,10.99,10.94,10.97,1104,179910
2013-04-26,11.09,11.08,10.75,10.91,1280,232771
2013-04-29,11.23,11.08,10.98,11.14,649,111830
2013-04-30,11.13,10.84,10.81,11.1,807,191413
2013-05-01,10.87,10.27,10.11,10.81,1831,345315
2013-05-02,10.57,10.5,10.33,10.33,945,194882
2013-05-03,10.9,10.5,10.49,10.58,1075,175483
2013-05-06,10.62,10.41,10.39,10.47,1154,167736
2013-05-07,10.58,10.31,10.28,10.46,1011,168596
2013-05-08,10.31,10.03,9.94,10.24,1682,316949
2013-05-09,10.11,9.93,9.825,10.05,1469,265254
2013-05-10,9.93,9.62,9.44,9.93,2065,394553
2013-05-13,10.21,10.11,9.54,9.62,1777,295817
2013-05-14,10.14,10.01,9.96,10.03,1285,257751
2013-05-15,10.12,9.89,9.88,10.01,1528,270764
2013-05-16,9.89,9.6,9.57,9.88,1449,252024
2013-05-17,9.85,9.79,9.56,9.68,1957,385805
2013-05-20,9.83,9.77,9.62,9.81,2370,350568
2013-05-21,9.87,9.74,9.55,9.74,1401,244507
2013-05-22,9.8,9.24,9.06,9.78,2462,378709
2013-05-23,9.57,9.31,9.0,9.18,1819,281796
2013-05-24,9.49,9.27,9.11,9.3,1301,224591
