Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-01-25,57.5,57.0,55.0,56.6,60,1853.3
2018-01-26,59.5,57.5,56.7,59.5,35,1427.6
2018-01-29,60.0,52.599999999999994,52.55,60.0,15,212.9
2018-01-30,53.5,52.5,52.5,52.699999999999996,13,340.0
2018-01-31,64.80000000000001,56.5,50.7,50.7,121,2925.9
2018-02-01,63.3,62.0,56.0,60.0,153,2929.5
2018-02-02,68.0,64.0,64.0,66.0,82,2010.4
2018-02-05,65.19999999999999,59.0,57.800000000000004,65.19999999999999,12,370.6
2018-02-06,59.5,57.9,56.0,59.5,27,558.8
2018-02-07,59.5,59.0,55.0,59.5,15,297.1
2018-02-08,55.0,51.4,50.099999999999994,55.0,11,284.0
2018-02-09,54.5,52.699999999999996,52.699999999999996,54.5,15,129.5
2018-02-12,54.2,52.1,52.1,52.1,45,517.9
2018-02-13,54.5,52.599999999999994,52.599999999999994,54.5,14,371.5
2018-02-14,52.699999999999996,52.5,52.5,52.5,23,518.0
2018-02-15,53.0,51.7,51.7,53.0,9,328.5
2018-02-16,57.9,57.9,51.5,55.0,25,1102.7
2018-02-20,58.0,55.0,55.0,58.0,4,150.6
2018-02-21,57.9,53.5,53.4,57.9,19,597.7
2018-02-22,55.5,52.5,52.5,55.5,6,237.0
2018-02-23,52.0,50.9,50.5,52.0,12,560.0
2018-02-26,53.099999999999994,53.099999999999994,51.2,51.6,8,556.4
2018-02-27,53.5,52.400000000000006,52.400000000000006,53.5,5,85.8
2018-02-28,55.0,55.0,51.3,52.9,13,257.1
2018-03-01,51.1,50.4,50.4,51.1,8,140.0
2018-03-02,51.5,51.2,51.2,51.5,11,310.0
2018-03-05,55.0,53.3,50.5,55.0,29,740.9
2018-03-06,53.0,51.0,50.8,53.0,21,565.0
2018-03-07,50.599999999999994,50.099999999999994,50.099999999999994,50.599999999999994,13,265.7
2018-03-08,51.8,51.8,50.5,50.5,5,70.0
2018-03-09,53.5,53.5,51.25,52.400000000000006,51,1336.2
2018-03-12,54.6,52.9,52.0,54.6,73,1534.0
2018-03-13,52.5,51.7,51.2,52.5,15,224.0
2018-03-14,52.300000000000004,51.8,51.2,52.300000000000004,31,761.1
2018-03-15,51.7,51.2,51.2,51.7,19,283.0
2018-03-16,51.2,50.099999999999994,50.099999999999994,51.2,11,145.6
2018-03-19,51.0,50.300000000000004,50.099999999999994,50.099999999999994,10,187.4
2018-03-20,50.599999999999994,50.599999999999994,50.099999999999994,50.599999999999994,11,86.3
2018-03-21,50.5,50.15,50.0,50.300000000000004,26,544.0
2018-03-22,50.8,50.199999999999996,50.0,50.0,8,180.6
2018-03-23,51.4,50.099999999999994,50.099999999999994,50.5,25,461.2
2018-03-26,50.8,50.8,50.8,50.8,1,10.0
2018-03-27,50.7,50.199999999999996,50.0,50.4,12,307.7
2018-03-28,50.5,47.699999999999996,47.699999999999996,50.5,20,368.4
2018-03-29,47.599999999999994,45.5,45.0,47.599999999999994,25,898.1
2018-04-02,45.599999999999994,45.599999999999994,45.099999999999994,45.5,8,155.1
2018-04-03,47.400000000000006,46.2,45.0,45.8,12,270.0
2018-04-04,46.0,42.1,42.1,46.0,12,363.7
2018-04-05,42.300000000000004,40.0,40.0,42.0,19,338.0
2018-04-06,39.6,33.1,33.1,39.6,22,131.5
2018-04-09,42.5,42.5,34.0,34.0,47,1887.0
2018-04-10,50.0,42.599999999999994,42.400000000000006,50.0,31,837.1
2018-04-11,47.5,43.9,42.699999999999996,42.699999999999996,23,693.2
2018-04-12,44.0,43.0,43.0,44.0,16,510.5
2018-04-13,42.9,41.3,41.3,42.9,7,376.0
2018-04-16,40.5,40.0,40.0,40.5,8,120.0
2018-04-17,39.900000000000006,37.8,37.8,39.900000000000006,11,440.0
2018-04-18,40.199999999999996,40.199999999999996,37.7,37.7,6,142.9
2018-04-19,38.8,37.2,37.2,38.8,5,300.0
2018-04-20,39.0,38.5,37.5,37.5,26,704.2
2018-04-23,38.4,37.2,37.2,38.4,4,310.0
2018-04-24,38.5,37.3,37.1,37.1,10,170.0
2018-04-25,37.400000000000006,36.9,36.9,37.400000000000006,6,470.0
2018-04-26,36.0,33.5,33.199999999999996,34.1,31,956.0
2018-04-27,33.7,33.4,33.1,33.3,21,501.1
2018-04-30,34.1,33.0,33.0,34.1,14,175.4
2018-05-01,39.300000000000004,39.300000000000004,31.7,35.0,54,2385.6
2018-05-02,38.0,33.4,33.4,38.0,6,291.0
2018-05-03,34.0,32.5,32.5,33.6,6,390.0
2018-05-04,32.3,31.7,31.7,32.3,5,230.6
