Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-08-21,24.99,21.7,20.32,20.34,17579,3495481
2020-08-24,27.75,26.7,23.5,24.28,7622,1094987
2020-08-25,30.44,28.9,27.21,28.48,5700,673041
2020-08-26,29.19,27.58,25.77,28.59,4019,400038
2020-08-27,29.1,24.77,24.4,29.0,2967,239855
2020-08-28,27.0,25.98,25.0,25.71,1941,175086
2020-08-31,28.15,27.56,26.0,26.02,1820,182743
2020-09-01,37.73,35.75,28.05,28.1,6967,814822
2020-09-02,43.31,39.8,36.57,40.0,8648,657734
2020-09-03,42.48,38.5,36.81,40.12,3641,384262
2020-09-04,39.73,36.4,30.3,38.37,5084,369675
2020-09-08,42.0,40.85,35.0,36.05,7757,542550
2020-09-09,47.0,44.02,43.2,47.0,6106,383512
2020-09-10,49.24,48.31,45.25,45.74,6588,500244
2020-09-11,66.67,64.19,49.0,49.03,20792,1579538
2020-09-14,62.05,49.21,48.25,61.95,22374,1724279
2020-09-15,52.31,38.0,34.9,52.31,43095,3885216
2020-09-16,44.0,36.8,34.5,36.11,16620,1406564
2020-09-17,36.17,28.1,28.0,34.85,18571,1619586
2020-09-18,35.95,34.88,29.33,31.06,17503,1603797
2020-09-21,33.0,28.83,27.63,33.0,20172,1543944
2020-09-22,30.56,30.11,22.3,24.01,25995,2921532
2020-09-23,32.86,29.31,27.5,28.1,11260,1056540
2020-09-24,28.88,27.19,25.67,27.11,4586,429718
2020-09-25,29.5,28.48,26.5,26.5,2996,300119
2020-09-28,29.85,26.56,26.45,29.81,3411,238837
2020-09-29,26.77,24.0,23.84,26.0,5309,377515
2020-09-30,25.91,23.52,22.5,24.0,5313,457083
2020-10-01,24.96,23.97,23.07,24.2,7517,823364
2020-10-02,38.5,37.44,29.38,31.16,41504,4365200
2020-10-05,45.0,39.5,38.08,39.64,20476,1779628
2020-10-06,40.3,35.05,34.6,39.76,7622,590321
2020-10-07,40.46,39.72,36.67,36.67,6070,562144
2020-10-08,42.75,36.74,36.01,40.51,8370,679259
2020-10-09,37.86,36.8,36.18,37.5,2334,163166
2020-10-12,37.68,35.19,35.0,37.06,2910,152327
2020-10-13,35.57,34.24,33.72,34.9,2435,167503
2020-10-14,37.5,37.49,34.08,35.0,3589,369141
2020-10-15,36.95,36.27,34.6,35.1,1687,175086
2020-10-16,37.7,35.2,35.01,37.55,1904,133389
2020-10-19,36.29,33.2,33.07,34.77,2221,133446
2020-10-20,33.81,30.97,30.26,33.81,3372,273585
2020-10-21,31.84,30.93,29.3,31.28,2247,173948
2020-10-22,31.95,31.57,30.49,30.49,1214,104157
2020-10-23,31.55,30.74,30.34,31.15,947,63389
2020-10-26,30.0,28.92,27.95,29.58,2262,155846
2020-10-27,30.11,29.17,27.65,28.69,1504,120289
2020-10-28,28.25,26.66,26.5,28.21,2565,140685
2020-10-29,31.44,29.16,27.6,28.44,3221,282128
2020-10-30,28.99,27.6,26.93,28.58,1842,159012
2020-11-02,28.16,27.38,27.08,27.72,1412,119170
2020-11-03,29.76,29.13,27.71,28.19,1668,114282
2020-11-04,30.34,28.96,28.33,29.58,1328,100973
2020-11-05,32.91,31.75,29.45,29.81,2168,196140
2020-11-06,34.52,34.07,30.2,33.57,3546,288400
2020-11-09,36.8,34.13,33.47,33.5,3631,269855
2020-11-10,37.3,36.11,34.05,34.13,2740,235022
2020-11-11,39.1,38.04,36.5,36.71,2975,253085
2020-11-12,38.18,37.29,35.55,37.86,2845,249703
2020-11-13,38.59,36.07,35.76,36.4,1808,173398
2020-11-16,39.1,38.43,36.4,36.5,2392,222840
2020-11-17,40.44,37.81,37.5,38.0,2877,255856
2020-11-18,38.99,36.82,36.75,38.0,2107,147382
2020-11-19,38.7,38.11,37.07,37.2,1774,123646
2020-11-20,38.5,36.74,36.5,38.2,2678,175068
2020-11-23,44.25,43.3,37.12,37.12,6080,556299
2020-11-24,48.53,45.0,41.24,44.82,8413,701900
2020-11-25,47.35,46.07,43.6,45.5,3638,327134
2020-11-27,54.83,52.3,48.39,49.0,5859,553035
2020-11-30,61.3,61.3,49.0,55.64,9537,1057684
2020-12-01,69.1,59.2,58.38,64.0,8783,559185
2020-12-02,63.52,60.93,50.36,54.9,8654,633062
2020-12-03,65.37,58.06,51.0,63.71,17328,1270923
2020-12-04,61.0,57.04,53.0,56.53,6014,363181
2020-12-07,56.4,52.71,51.33,55.45,5896,420335
2020-12-08,52.49,49.72,48.0,50.12,6571,380481
2020-12-09,49.15,44.5,43.79,47.79,6248,375765
2020-12-10,49.47,48.8,41.5,41.65,5618,381283
2020-12-11,50.32,46.26,46.13,46.86,2506,180202
2020-12-14,48.05,44.63,44.11,46.67,2690,173573
2020-12-15,45.51,42.1,42.1,45.12,3468,238413
2020-12-16,44.95,44.01,41.83,43.19,2704,151571
2020-12-17,53.83,53.47,44.8,45.76,6589,571145
2020-12-18,53.4,49.63,48.84,50.86,4521,298270
2020-12-21,50.52,50.31,47.55,47.76,2802,160310
2020-12-22,57.16,56.66,51.5,51.75,5513,363456
2020-12-23,56.35,53.99,51.55,55.46,2973,214654
2020-12-24,55.01,52.46,50.6,54.91,1840,97000
2020-12-28,53.49,47.82,47.64,53.17,3693,195269
2020-12-29,49.7,47.98,46.62,48.5,1827,108967
2020-12-30,50.27,48.55,47.96,49.0,1662,124469
2020-12-31,49.23,45.66,44.8,49.04,2370,141109
2021-01-04,48.0,45.72,44.595,47.7,2400,165535
2021-01-05,47.1,45.55,44.6,45.62,2481,208532
2021-01-06,48.5,45.88,45.2,45.52,1900,123975
2021-01-07,47.95,47.62,46.25,47.02,1656,109599
2021-01-08,54.69,53.24,47.62,47.62,5753,328634
2021-01-11,53.41,51.62,50.11,50.11,3630,221154
2021-01-12,52.93,51.75,48.91,52.79,2503,172296
2021-01-13,55.68,54.53,51.76,51.9,3561,216458
2021-01-14,55.83,52.58,50.7,55.1,3483,158693
2021-01-15,53.0,49.68,49.5,51.87,2528,132523
2021-01-19,54.41,53.25,52.1,54.4,3407,190626
2021-01-20,54.0,52.46,51.0,53.38,2423,127779
2021-01-21,68.86,66.21,51.7,53.17,12635,849824
2021-01-22,69.89,65.85,61.71,63.25,6813,535222
2021-01-25,72.89,66.32,61.88,67.84,6175,389079
2021-01-26,85.88,85.13,65.65,66.76,8900,607788
2021-01-27,94.03,89.39,78.6,78.72,10040,539625
