Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-05-01,9.79,9.79,9.79,9.79,1,10000
2020-05-05,9.76,9.76,9.76,9.76,1,1300
2020-05-06,9.76,9.76,9.76,9.76,2,11200
2020-05-07,10.24,9.91,9.91,10.24,3,16006
2020-05-08,9.85,9.82,9.78,9.85,52,7199
2020-05-14,9.84,9.84,9.84,9.84,1,100
2020-05-19,9.85,9.85,9.85,9.85,2,1380
2020-05-20,9.81,9.81,9.81,9.81,1,2500
2020-05-22,9.81,9.81,9.8,9.8,2,1600
2020-05-26,9.84,9.84,9.84,9.84,1,4
2020-05-27,9.82,9.82,9.81,9.81,19,7400
2020-06-01,9.795,9.795,9.795,9.795,1,2
2020-06-02,9.82,9.82,9.81,9.81,6,552
2020-06-03,9.82,9.82,9.82,9.82,3,1500
2020-06-04,9.8,9.8,9.8,9.8,1,10
2020-06-05,9.88,9.8,9.8,9.88,4,12303
2020-06-08,9.86,9.8,9.8,9.86,4,901
2020-06-09,9.8,9.8,9.8,9.8,1,4
2020-06-10,9.83,9.83,9.81,9.83,7,5400
2020-06-11,9.86,9.83,9.81,9.86,13,15619
2020-06-12,9.84,9.82,9.82,9.84,2,1001
2020-06-15,9.83,9.82,9.8,9.8,4,470
2020-06-16,9.86,9.82,9.8,9.86,5,865
2020-06-17,9.83,9.83,9.83,9.83,3,2601
2020-06-18,9.85,9.85,9.8,9.83,4,2120
2020-06-19,9.88,9.87,9.84,9.84,6,16278
2020-06-22,9.87,9.87,9.87,9.87,2,1500
2020-06-23,9.92,9.92,9.87,9.87,2,2
2020-06-24,9.92,9.92,9.92,9.92,1,1
2020-06-25,9.9,9.9,9.9,9.9,5,2669
2020-06-26,9.9,9.9,9.9,9.9,1,1
2020-06-29,9.9,9.9,9.87,9.9,3,2428
2020-06-30,9.92,9.92,9.87,9.87,6,2208
2020-07-02,9.92,9.9,9.9,9.92,7,1872
2020-07-06,9.93,9.93,9.92,9.92,11,2144
2020-07-07,9.93,9.93,9.93,9.93,6,725
2020-07-08,9.93,9.85,9.85,9.93,13,6918
2020-07-09,9.92,9.92,9.9,9.9,11,6709
2020-07-10,9.92,9.92,9.9,9.92,7,1546
2020-07-14,9.99,9.99,9.94,9.94,23,2290
2020-07-15,9.99,9.96,9.96,9.99,2,26
2020-07-16,9.98,9.98,9.94,9.94,3,501
2020-07-17,10.0,10.0,10.0,10.0,1,1
2020-07-20,10.0,10.0,10.0,10.0,2,6
2020-07-21,10.0,10.0,10.0,10.0,1,1
2020-07-22,9.97,9.97,9.97,9.97,1,25
2020-07-23,9.98,9.98,9.94,9.94,3,274
2020-07-24,10.0,9.96,9.96,10.0,4,2301
2020-07-28,9.94,9.94,9.94,9.94,1,10
2020-07-29,9.95,9.95,9.94,9.94,3,85
2020-07-30,9.98,9.94,9.94,9.98,15,10348
2020-07-31,9.94,9.935,9.935,9.94,10,10179
2020-08-03,9.95,9.95,9.94,9.95,133,17502
2020-08-07,9.91,9.91,9.9,9.9,3,10100
2020-08-10,9.96,9.96,9.96,9.96,1,1
2020-08-11,9.83,9.83,9.83,9.83,1,1
2020-08-12,9.91,9.9,9.9,9.9,27,10181
2020-08-13,9.9,9.9,9.9,9.9,3,221
2020-08-14,9.9,9.9,9.9,9.9,1,400
2020-08-17,9.92,9.91,9.9,9.9,3,2000
2020-08-19,9.92,9.92,9.92,9.92,1,10
2020-08-20,9.9,9.9,9.9,9.9,3,774
2020-08-21,9.92,9.89,9.88,9.92,49,13612
2020-08-24,9.92,9.87,9.87,9.88,10,1984
2020-08-25,9.92,9.92,9.87,9.88,8,2090
2020-08-26,9.92,9.92,9.87,9.87,2,203
2020-08-28,9.91,9.91,9.91,9.91,3,539
2020-08-31,9.92,9.92,9.9,9.92,12,8970
2020-09-01,9.94,9.94,9.9,9.9,4,1040
2020-09-02,9.93,9.93,9.9,9.9,11,2223
2020-09-03,9.94,9.94,9.93,9.93,6,1444
2020-09-04,9.96,9.96,9.93,9.93,4,2102
2020-09-08,9.96,9.9,9.9,9.96,2,401
2020-09-10,9.9,9.9,9.9,9.9,3,3800
2020-09-14,9.96,9.93,9.93,9.96,3,202
