Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-08-03,4.15,3.49,3.43,3.43,357,101740
2021-08-04,3.63,3.41,3.41,3.53,111,15324
2021-08-05,3.55,3.43,3.39,3.55,13,1386
2021-08-06,3.55,3.45,3.45,3.55,5,1451
2021-08-09,3.8,3.74,3.45,3.45,105,19126
2021-08-10,3.9,3.56,3.5,3.8,165,15209
2021-08-11,3.63,3.4,3.4,3.63,48,8783
2021-08-12,3.53,3.53,3.34,3.44,42,10334
2021-08-13,3.63,3.39,3.26,3.63,70,14945
2021-08-16,3.9,3.58,3.37,3.37,53,10565
2021-08-17,3.43,3.43,3.21,3.4,27,6908
2021-08-18,3.41,3.41,3.28,3.355,28,2531
2021-08-19,3.55,3.51,3.37,3.41,120,13581
2021-08-20,3.59,3.48,3.48,3.59,34,4148
2021-08-23,3.64,3.58,3.53,3.64,49,9184
2021-08-24,3.62,3.59,3.54,3.61,29,4414
2021-08-25,3.61,3.61,3.52,3.6,33,4983
2021-08-26,3.68,3.48,3.31,3.68,37,2459
2021-08-27,3.59,3.59,3.48,3.59,20,1652
2021-08-30,3.72,3.68,3.57,3.69,64,10280
2021-08-31,3.72,3.53,3.45,3.72,64,7005
2021-09-01,3.62,3.61,3.44,3.44,124,10048
2021-09-02,3.65,3.39,3.39,3.65,49,6319
2021-09-03,3.8,3.42,3.4,3.49,140,13790
2021-09-07,3.69,3.57,3.5,3.54,107,4441
2021-09-08,3.73,3.53,3.39,3.73,45,4340
2021-09-09,3.6,3.52,3.4,3.48,29,4867
2021-09-10,3.53,3.5,3.46,3.46,9,691
2021-09-13,3.46,3.41,3.4,3.42,33,5589
2021-09-14,3.46,3.28,3.22,3.46,35,3824
2021-09-15,3.42,3.33,3.33,3.42,34,1179
2021-09-16,3.41,3.31,3.26,3.41,30,1701
2021-09-17,3.39,3.16,3.16,3.39,57,16468
2021-09-20,3.22,2.95,2.94,3.03,93,24837
2021-09-21,3.16,3.02,2.95,2.95,29,5770
2021-09-22,3.07,3.01,2.92,3.07,62,10256
2021-09-23,3.01,2.96,2.96,3.01,16,4118
2021-09-24,4.15,4.01,2.9,2.9,4120,832359
