Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-12-19,9.62,9.62,9.62,9.62,6,21500
2014-01-23,9.6,9.6,9.6,9.6,1,100
2014-01-27,10.17,9.89,9.73,9.73,21,8338
2014-01-28,9.79,9.74,9.65,9.65,16,3424
2014-01-30,9.7,9.7,9.7,9.7,1,781
2014-01-31,9.75,9.74,9.7,9.7,16,2300
2014-02-03,9.76,9.71,9.7,9.71,33,3900
2014-02-04,9.73,9.72,9.7,9.7,6,6600
2014-02-05,9.73,9.72,9.72,9.72,15,16534
2014-02-06,9.72,9.72,9.72,9.72,2,10001
2014-02-07,9.72,9.72,9.72,9.72,2,200
2014-02-10,9.72,9.72,9.71,9.71,2,967
2014-02-12,9.81,9.71,9.71,9.73,10,10500
2014-02-13,9.72,9.72,9.72,9.72,1,5200
2014-02-14,9.75,9.71,9.71,9.75,7,15506
2014-02-18,9.94,9.94,9.94,9.94,2,8
2014-02-19,9.94,9.72,9.72,9.94,4,5908
2014-02-20,9.94,9.72,9.72,9.94,4,10008
2014-02-21,9.72,9.72,9.71,9.72,9,137339
2014-02-24,9.74,9.74,9.72,9.72,4,1784
2014-02-25,9.72,9.72,9.72,9.72,1,210
2014-03-07,9.72,9.72,9.72,9.72,2,2400
2014-03-17,9.72,9.72,9.72,9.72,2,800
2014-03-18,9.79,9.79,9.72,9.73,13,12700
2014-03-19,9.79,9.79,9.72,9.79,3,1621
2014-03-20,9.9,9.86,9.76,9.76,13,1900
2014-03-21,9.83,9.74,9.74,9.8,27,4100
2014-03-24,9.87,9.87,9.79,9.79,2,335
2014-03-25,9.79,9.79,9.72,9.72,2,335
2014-03-26,9.85,9.83,9.83,9.84,6,2200
2014-03-27,9.83,9.79,9.76,9.79,32,7209
2014-03-28,9.81,9.73,9.73,9.77,27,2708
2014-03-31,9.82,9.77,9.77,9.81,21,3412
2014-04-01,9.76,9.76,9.74,9.74,3,102
2014-04-02,9.8,9.75,9.75,9.79,23,2407
2014-04-03,9.75,9.75,9.75,9.75,4,2000
2014-04-04,9.79,9.75,9.75,9.79,7,1307
2014-04-07,9.87,9.83,9.78,9.78,104,10005
2014-04-08,9.85,9.8,9.8,9.82,84,9501
2014-04-09,9.85,9.8,9.78,9.78,44,4710
2014-04-10,9.78,9.78,9.78,9.78,2,200
2014-04-11,9.77,9.77,9.77,9.77,1,1
2014-04-15,9.83,9.83,9.79,9.82,7,501
2014-04-16,10.52,9.82,9.78,10.52,8,1071
2014-04-17,9.87,9.82,9.75,9.87,39,5166
2014-04-21,9.87,9.86,9.79,9.79,39,10395
2014-04-22,9.87,9.85,9.85,9.87,2,200
2014-04-23,9.87,9.86,9.83,9.83,5,10300
2014-04-24,9.87,9.86,9.84,9.84,8,2201
2014-04-28,9.88,9.88,9.81,9.81,23,2526
2014-04-29,9.86,9.86,9.84,9.84,2,2000
2014-05-01,10.0,9.98,9.95,9.98,49,40100
2014-05-02,10.03,10.01,10.0,10.0,18,15300
2014-05-05,10.01,10.01,9.99,10.0,14,8700
2014-05-08,10.07,10.07,10.05,10.06,4,400
2014-05-09,10.15,10.15,10.15,10.15,1,53
2014-05-12,10.05,10.05,10.04,10.04,5,558
2014-05-13,10.09,10.09,10.03,10.03,12,602
2014-05-14,10.12,10.08,10.06,10.12,6,607
2014-05-15,10.08,10.08,10.06,10.08,3,700
2014-05-27,10.01,10.01,10.01,10.01,1,100
2014-05-29,10.03,10.03,9.95,10.0,16,21700
2014-05-30,10.05,10.05,10.05,10.05,1,100
2014-06-03,10.01,10.01,9.95,9.95,12,1700
2014-06-04,10.07,10.05,9.98,9.98,17,2800
2014-06-05,10.12,10.02,9.9,10.0,59,11301
2014-06-06,10.07,10.0,10.0,10.02,19,6898
2014-06-09,10.05,10.05,10.02,10.02,8,900
2014-06-10,10.15,10.03,10.03,10.03,15,2500
