Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,19.65,19.55,19.48,19.54,39,11536
2013-01-03,19.72,19.59,19.54,19.54,13,3816
2013-01-04,19.8,19.76,19.52,19.52,16,7226
2013-01-07,19.71,19.69,19.5,19.5,58,16191
2013-01-08,19.55,19.47,19.45,19.55,9,2186
2013-01-09,19.72,19.72,19.58,19.58,114,39046
2013-01-10,20.13,20.13,19.81,19.91,59,13760
2013-01-11,20.15,20.15,19.98,19.99,92,19484
2013-01-14,20.29,20.11,20.05,20.26,37,9401
2013-01-15,20.09,20.06,19.88,19.97,32,8960
2013-01-16,20.05,19.9312,19.9,19.9,31,7109
2013-01-17,19.95,19.85,19.85,19.95,45,12330
2013-01-18,20.01,19.97,19.92,20.0,37,8384
2013-01-22,20.03,20.03,19.87,19.87,31,7657
2013-01-23,20.16,20.1,20.07,20.1,20,3904
2013-01-24,20.23,19.94,19.91,19.96,30,9603
2013-01-25,19.94,19.86,19.73,19.94,23,7489
2013-01-28,19.95,19.88,19.85,19.91,18,5029
2013-01-29,19.97,19.84,19.79,19.97,39,7114
2013-01-30,19.82,19.76,19.75,19.82,31,10750
2013-01-31,19.71,19.67,19.64,19.68,20,5380
2013-02-01,19.92,19.87,19.77,19.85,44,10742
2013-02-04,19.75,19.42,19.42,19.75,23,4778
2013-02-05,19.37,19.351,19.14,19.32,25,5018
2013-02-06,19.54,19.54,19.35,19.41,31,12548
2013-02-07,19.59,19.41,19.41,19.59,18,4530
2013-02-08,19.57,19.55,19.47,19.47,8,2000
2013-02-11,19.63,19.53,19.53,19.63,16,2916
2013-02-12,19.56,19.49,19.47,19.47,11,2553
2013-02-13,19.64,19.57,19.47,19.47,12,1851
2013-02-14,19.72,19.69,19.5,19.5,30,4700
2013-02-15,19.75,19.63,19.61,19.75,18,2977
2013-02-19,19.63,19.5,19.5,19.51,26,4229
2013-02-20,19.7,19.34,19.34,19.69,29,6371
2013-02-21,19.25,18.98,18.88,19.25,43,14329
2013-02-22,19.19,19.19,19.07,19.12,15,6022
2013-02-25,19.31,18.98,18.98,19.2,42,9134
2013-02-26,19.06,18.94,18.86,19.0,29,4634
2013-02-27,19.04,18.98,18.9,18.9,20,2757
2013-02-28,19.06,18.9501,18.9501,19.0,13,2887
2013-03-01,18.93,18.93,18.65,18.65,34,8525
2013-03-04,18.82,18.81,18.67,18.75,40,20386
2013-03-05,19.22,19.22,18.83,18.83,72,13354
2013-03-06,19.04,18.91,18.91,18.95,21,4373
2013-03-07,18.96,18.96,18.93,18.93,31,5166
2013-03-08,19.19,19.13,19.13,19.19,6,2199
2013-03-11,19.19,19.16,19.05,19.06,35,8506
2013-03-12,19.03,18.97,18.89,19.0,38,13313
2013-03-13,18.92,18.74,18.74,18.92,7,893
2013-03-14,18.84,18.72,18.67,18.78,54,13602
2013-03-15,18.66,18.66,18.54,18.54,48,18960
2013-03-18,18.67,18.64,18.4,18.4,34,7040
