Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-06-04,25.87,25.81,25.72,25.87,132,41660
2020-06-05,26.0,26.0,25.73,25.75,85,64540
2020-06-08,26.465,26.02,25.9,26.09,427,74444
2020-06-09,26.05,25.87,25.78,26.01,337,57949
2020-06-10,25.95,25.76,25.6,25.78,326,70705
2020-06-11,25.69,25.19,25.11,25.69,132,52115
2020-06-12,25.5,25.46,25.35,25.37,43,10366
2020-06-15,25.445,25.31,25.25,25.25,67,16342
2020-06-16,25.64,25.6,25.49,25.49,62,19926
2020-06-17,25.85,25.45,25.36,25.62,98,20569
2020-06-18,25.57,25.46,25.42,25.42,59,9953
2020-06-19,25.7,25.6,25.5,25.6,37,8321
2020-06-22,25.75,25.71,25.5,25.52,368,38833
2020-06-23,25.94,25.86,25.69,25.79,397,43199
2020-06-24,25.97,25.95,25.62,25.78,269,31272
2020-06-25,26.04,26.04,25.94,25.94,487,24421
2020-06-26,26.08,26.0,25.945,26.0,95,7569
2020-06-29,26.16,26.08,25.91,26.16,171,7478
2020-06-30,26.16,25.98,25.75,26.05,615,539441
2020-07-01,25.95,25.855,25.73,25.95,25,7125
2020-07-02,25.94,25.71,25.71,25.94,34,5354
2020-07-06,25.75,25.62,25.61,25.75,22,8343
2020-07-07,25.75,25.65,25.6,25.6,78,11010
2020-07-08,25.7,25.53,25.53,25.7,13,2010
2020-07-09,25.7,25.59,25.5,25.54,43,8394
2020-07-10,25.625,25.56,25.56,25.61,41,6540
2020-07-13,25.65,25.52,25.52,25.62,12,2399
2020-07-14,25.55,25.51,25.4,25.52,16,10403
2020-07-15,25.74,25.54,25.54,25.74,10,3339
2020-07-16,25.67,25.51,25.51,25.53,28,3852
2020-07-17,25.66,25.55,25.35,25.66,96,15082
2020-07-20,25.64,25.56,25.55,25.55,15,1381
2020-07-21,25.75,25.63,25.62,25.62,37,7072
2020-07-22,25.79,25.7,25.7,25.75,18,2263
2020-07-23,25.79,25.72,25.72,25.79,18,1254
2020-07-24,25.84,25.77,25.75,25.77,14,2547
2020-07-27,25.935,25.86,25.77,25.77,26,3235
2020-07-28,25.99,25.88,25.88,25.94,37,2936
2020-07-29,26.03,25.78,25.75,26.03,39,8919
2020-07-30,26.05,25.99,25.88,25.88,59,5835
2020-07-31,26.05,26.0,26.0,26.03,41,4384
2020-08-03,26.05,25.99,25.88,26.05,65,12548
2020-08-04,26.05,25.89,25.89,26.05,44,8477
2020-08-05,26.05,25.98,25.91,25.97,49,9295
2020-08-06,26.13,26.07,26.04,26.04,39,7283
2020-08-07,26.18,25.99,25.93,26.11,45,7569
2020-08-10,26.31,26.19,25.975,26.12,73,13133
2020-08-11,26.32,26.25,26.14,26.28,45,6685
2020-08-12,26.37,26.25,26.15,26.37,23,4720
2020-08-13,26.7,26.56,26.15,26.15,56,8232
2020-08-14,26.57,26.32,26.07,26.57,84,13534
2020-08-17,26.39,26.27,26.0,26.35,140,19677
2020-08-18,26.36,26.2,26.2,26.36,126,22514
2020-08-19,26.25,26.18,26.18,26.25,87,12466
2020-08-20,26.37,26.36,26.07,26.21,26,3776
2020-08-21,26.49,26.48,26.33,26.33,35,4014
2020-08-24,26.6,26.45,26.4,26.6,15,1503
2020-08-25,26.66,26.47,26.43,26.49,41,4342
2020-08-26,26.63,26.44,26.26,26.54,43,7262
2020-08-27,26.75,26.61,26.6,26.6,33,2847
2020-08-28,26.77,26.64,26.5,26.77,30,2429
2020-08-31,26.78,26.78,26.53,26.55,46,6473
2020-09-01,26.99,26.73,26.73,26.99,34,6802
2020-09-02,26.84,26.61,26.54,26.84,19,2461
2020-09-03,26.81,26.6,26.55,26.81,25,2321
2020-09-04,26.75,26.36,26.36,26.75,22,1857
2020-09-08,26.48,26.25,26.12,26.48,44,8615
2020-09-09,26.49,26.31,26.26,26.49,22,2951
2020-09-10,26.57,26.55,26.49,26.57,9,1457
2020-09-11,26.57,26.45,26.31,26.57,36,5942
2020-09-14,26.78,26.78,26.5,26.52,34,7399
2020-09-15,26.78,26.65,26.65,26.78,56,7558
2020-09-16,26.78,26.72,26.72,26.78,169,7834
2020-09-17,26.81,26.8,26.61,26.61,42,2483
2020-09-18,26.77,26.64,26.61,26.77,13,2143
2020-09-21,26.64,26.62,26.4,26.64,26,9807
2020-09-22,26.82,26.5,26.5,26.64,20,2615
2020-09-23,26.64,26.5,26.5,26.62,10,2081
2020-09-24,26.56,26.43,26.43,26.5,43,7890
2020-09-25,26.72,26.62,26.5,26.5,37,5765
2020-09-28,26.82,26.74,26.63,26.73,16,1219
2020-09-29,26.83,26.83,26.6,26.75,59,8210
2020-09-30,26.8,26.49,26.49,26.78,132,32230
2020-10-01,26.83,26.81,26.585,26.72,41,4475
2020-10-02,26.92,26.79,26.75,26.75,56,5036
2020-10-05,27.01,26.83,26.83,26.95,23,1808
2020-10-06,26.95,26.91,26.81,26.92,49,6035
2020-10-07,27.22,27.15,26.61,26.97,35,3062
2020-10-08,27.35,27.35,27.15,27.15,21,3105
2020-10-09,27.36,27.1,26.87,27.36,44,3730
2020-10-12,27.12,27.0,26.8,27.12,29,3873
2020-10-13,26.94,26.8,26.8,26.94,16,4480
2020-10-14,26.87,26.79,26.69,26.87,23,1530
2020-10-15,26.8,26.78,26.69,26.78,60,7628
2020-10-16,26.78,26.67,26.67,26.78,28,2197
2020-10-19,26.85,26.81,26.76,26.8,18,3655
2020-10-20,26.915,26.83,26.83,26.85,18,1650
2020-10-21,26.7,26.6,26.55,26.66,68,8387
2020-10-22,26.8,26.71,26.68,26.71,8,819
2020-10-23,27.01,27.01,26.71,26.71,40,12911
2020-10-26,26.95,26.75,26.75,26.85,13,1557
2020-10-27,26.85,26.66,26.66,26.75,36,3076
2020-10-28,26.7,26.43,26.43,26.7,26,10953
2020-10-29,26.83,26.64,26.5,26.53,22,3294
2020-10-30,26.8,26.8,26.39,26.78,66,15170
2020-11-02,26.94,26.84,26.7,26.79,17,1871
2020-11-03,27.16,27.09,26.94,26.94,39,4070
2020-11-04,27.59,27.46,27.07,27.07,70,5377
2020-11-05,27.5,27.26,27.26,27.45,15,502
2020-11-06,27.5,26.81,26.81,27.5,60,6522
2020-11-09,27.76,27.76,27.06,27.06,125,4452
2020-11-10,27.78,27.51,27.39,27.72,29,1763
2020-11-11,27.8,27.76,27.43,27.8,21,1154
2020-11-12,27.55,27.46,27.43,27.55,28,4034
2020-11-13,27.45,27.35,27.31,27.45,23,993
2020-11-16,27.5,27.5,27.2,27.39,27,1367
2020-11-17,27.54,27.52,27.02,27.02,32,2744
2020-11-18,27.54,27.22,27.22,27.54,17,552
2020-11-19,27.33,27.25,27.25,27.33,14,324
2020-11-20,27.42,27.42,27.15,27.3,15,1718
2020-11-23,27.61,27.61,27.31,27.4,61,3063
2020-11-24,27.65,27.63,27.6,27.62,37,2570
2020-11-25,27.65,27.65,27.61,27.65,15,1313
2020-11-27,27.61,27.6,27.46,27.61,16,931
2020-11-30,27.92,27.2,27.02,27.92,67,6970
2020-12-01,27.38,27.08,26.96,27.38,54,13324
2020-12-02,27.35,27.28,27.05,27.05,39,4704
2020-12-03,27.6,27.6,27.15,27.15,42,6037
2020-12-04,27.87,27.84,27.55,27.55,82,8218
2020-12-07,27.97,27.97,27.93,27.93,9,2041
2020-12-08,27.94,27.94,27.72,27.72,31,3607
2020-12-09,27.93,27.93,27.74,27.89,20,1061
2020-12-10,27.98,27.75,27.5,27.98,45,9435
2020-12-11,27.58,27.58,27.53,27.53,4,250
2020-12-14,27.49,27.49,27.17,27.49,40,4343
2020-12-15,27.66,27.66,27.35,27.58,11,2978
2020-12-16,27.75,27.55,27.49,27.54,22,1815
2020-12-17,27.7,27.7,27.57,27.57,11,591
2020-12-18,27.81,27.81,27.49,27.65,7,478
2020-12-21,27.54,27.54,27.45,27.45,8,637
2020-12-22,27.63,27.47,27.47,27.63,18,1347
2020-12-23,27.62,27.62,27.44,27.48,9,909
2020-12-24,27.68,27.51,27.51,27.68,2,350
2020-12-28,27.88,27.87,27.6,27.6,12,903
2020-12-29,27.7,27.6,27.54,27.7,9,1423
2020-12-30,27.68,27.68,27.57,27.66,14,954
2020-12-31,27.69,27.69,27.53,27.64,39,3760
2021-01-04,27.72,27.53,27.4,27.72,9,982
2021-01-05,27.58,27.55,27.36,27.58,19,1648
2021-01-06,27.59,27.49,27.48,27.58,23,1742
2021-01-07,27.57,27.41,27.11,27.57,14,1259
2021-01-08,27.54,27.47,27.45,27.49,12,1024
2021-01-11,27.47,27.04,27.04,27.47,30,2414
2021-01-12,27.4,27.29,27.07,27.11,31,3190
2021-01-13,27.45,27.43,27.32,27.33,17,2192
