Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-09-15,44.19,41.94,33.81,35.0,9630,1965524
2021-09-16,43.12,35.91,35.91,42.33,2050,189401
2021-09-17,40.05,40.0,36.08,36.66,1226,134916
2021-09-20,40.205,38.72,36.0,36.0,1279,136257
2021-09-21,40.14,38.96,36.22,38.91,1434,536042
2021-09-22,39.7,39.0,37.77,38.8,224,14477
2021-09-23,39.5,38.01,37.0,39.25,629,40418
2021-09-24,38.635,37.61,35.04,38.04,803,57075
2021-09-27,38.28,37.78,37.35,38.0,426,26240
2021-09-28,38.1,36.85,35.65,37.75,1860,205049
2021-09-29,38.105,37.64,36.0,36.79,904,80253
2021-09-30,39.08,38.15,37.8,38.0,482,32164
2021-10-01,39.29,38.76,38.04,38.04,426,28867
2021-10-04,39.15,38.27,37.39,38.75,581,37212
2021-10-05,39.35,38.68,38.28,38.31,404,36087
2021-10-06,39.125,38.41,38.12,38.34,483,41341
2021-10-07,39.26,39.0,38.2,38.85,485,31922
2021-10-08,40.62,40.0,38.7,39.01,1075,62964
2021-10-11,41.59,41.55,39.41,39.41,733,38280
2021-10-12,43.14,43.14,41.37,41.37,771,31006
2021-10-13,46.31,46.29,43.11,43.55,1511,85410
2021-10-14,47.56,45.75,44.31,46.76,1187,74403
2021-10-15,46.05,43.57,42.17,46.05,731,34626
2021-10-18,45.2,44.49,42.5,42.84,467,23822
2021-10-19,45.84,42.74,42.38,44.06,745,38883
2021-10-20,43.65,43.05,42.6,42.74,678,19720
2021-10-21,42.96,42.78,42.22,42.61,690,22791
2021-10-22,43.4,42.74,42.5,42.5,756,24102
2021-10-25,43.0,42.32,42.32,42.54,576,19272
2021-10-26,43.06,42.6,42.36,42.57,776,37434
2021-10-27,42.8,41.92,41.05,42.46,927,34935
2021-10-28,42.94,42.29,41.64,41.77,884,28035
2021-10-29,43.06,42.73,41.64,41.74,378,11677
2021-11-01,43.3,42.57,42.3,43.15,390,17592
