Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-02-17,11.12,10.79,10.45,10.5,2091,2028649
2021-02-18,10.78,10.65,10.56,10.78,264,146290
2021-02-19,11.0,11.0,10.7,11.0,136,20005
2021-02-22,11.1,10.74,10.7,11.0,244,59584
2021-02-23,10.84,10.84,10.55,10.56,280,86633
2021-02-24,10.99,10.85,10.65,10.9,140,15710
2021-02-25,10.75,10.69,10.55,10.75,96,16177
2021-02-26,10.66,10.6,10.44,10.66,232,50600
2021-03-01,10.785,10.6,10.55,10.55,44,5943
2021-03-02,10.65,10.45,10.35,10.65,121,39276
2021-03-03,10.5,10.27,10.27,10.5,70,19083
2021-03-04,10.27,10.25,10.02,10.27,102,29053
2021-03-05,10.3,10.29,10.16,10.3,30,4803
2021-03-08,10.42,10.41,10.12,10.31,73,8495
2021-03-09,10.66,10.21,10.21,10.66,108,13274
2021-03-10,10.35,10.33,10.2,10.29,156,28830
2021-03-11,10.4,10.4,10.22,10.35,47,4871
2021-03-12,10.41,10.4,10.35,10.35,34,4518
2021-03-15,10.46,10.3,10.3,10.38,27,3309
2021-03-16,10.31,10.2,10.2,10.31,80,10567
2021-03-17,10.4,10.2,10.2,10.21,30,10059
2021-03-18,10.22,10.12,10.12,10.2,58,16620
2021-03-19,10.12,10.05,10.05,10.1,62,41030
2021-03-22,10.1,10.1,10.05,10.05,10,19908
2021-03-23,10.06,10.0,9.96,10.06,21,3236
2021-03-24,10.0,9.98,9.95,9.96,178,25161
2021-03-25,9.96,9.93,9.93,9.96,5,366
2021-03-26,9.95,9.95,9.94,9.94,9,265
2021-03-29,9.94,9.94,9.89,9.89,4,187
2021-03-30,9.96,9.92,9.92,9.95,5,1874
2021-03-31,10.0,9.96,9.955,9.96,63,3786
2021-04-01,10.0,10.0,9.98,9.985,95,12584
2021-04-05,10.0,9.99,9.98,10.0,85,9522
2021-04-06,10.0,10.0,9.98,9.98,3,11
2021-04-07,9.98,9.98,9.98,9.98,5,440
2021-04-08,10.09,10.09,10.0,10.03,22,3878
2021-04-09,10.09,10.06,10.05,10.09,73,17829
2021-04-12,10.1,10.1,10.06,10.1,39,3645
2021-04-13,10.15,10.15,10.11,10.11,12,2912
2021-04-14,10.17,10.17,10.09,10.15,24,6834
2021-04-15,10.17,10.16,10.16,10.17,4,224
2021-04-16,10.09,10.09,10.07,10.07,4,69
2021-04-19,10.13,10.07,10.07,10.13,4,301
2021-04-20,10.05,10.05,10.05,10.05,1,3
2021-04-21,10.07,10.07,10.05,10.06,70,713
2021-04-22,10.06,10.06,10.05,10.05,136,1635
2021-04-23,10.06,10.05,10.01,10.01,7,967
2021-04-26,10.05,10.05,10.05,10.05,1,5
2021-04-27,10.09,10.09,10.04,10.09,15,3199
2021-04-28,10.07,10.07,10.07,10.07,2,75
2021-04-29,10.12,10.12,10.12,10.12,1,4
2021-04-30,10.15,10.15,10.05,10.05,10,1688
2021-05-03,10.15,10.15,10.13,10.15,14,874
2021-05-04,10.1,10.1,10.1,10.1,4,66
2021-05-05,10.16,10.15,10.08,10.14,14,3221
2021-05-06,10.07,10.06,10.06,10.07,8,525
2021-05-07,10.15,10.1,10.03,10.03,9,827
2021-05-10,10.15,10.1,10.1,10.15,7,10702
2021-05-11,10.08,10.08,10.03,10.05,10,1058
2021-05-12,10.14,10.14,10.08,10.08,4,141
2021-05-13,10.08,10.08,10.08,10.08,1,3
2021-05-14,10.12,10.12,10.04,10.04,4,1202
2021-05-18,10.1,10.055,10.02,10.02,3,310
