Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-06-30,10.13,10.13,10.0,10.05,791,1345511
2021-07-01,10.12,10.04,10.02,10.1,109,26011
2021-07-02,10.1,10.05,10.05,10.1,79,9987
2021-07-06,10.1,10.05,10.03,10.1,76,17595
2021-07-07,10.05,9.97,9.97,10.05,92,14382
2021-07-08,10.0,9.97,9.9,9.9,28,9195
2021-07-09,10.0,9.97,9.96,10.0,73,15287
2021-07-12,10.0,9.99,9.99,10.0,128,13823
2021-07-13,10.0,10.0,9.92,9.92,18,5389
2021-07-14,10.025,10.01,9.96,9.96,66,32356
2021-07-15,10.03,10.01,10.0,10.01,49,38083
2021-07-16,10.0,9.98,9.9,9.99,69,15148
2021-07-19,9.94,9.87,9.87,9.93,22,4230
2021-07-20,9.9,9.88,9.88,9.88,20,14508
2021-07-21,9.93,9.91,9.91,9.93,6,673
2021-07-22,9.92,9.92,9.88,9.88,12,2044
2021-07-23,9.94,9.94,9.9,9.93,23,8507
2021-07-26,9.93,9.86,9.84,9.93,75,23947
2021-07-27,9.87,9.85,9.84,9.87,41,37569
2021-07-28,9.87,9.84,9.84,9.87,102,25885
2021-07-29,9.86,9.84,9.84,9.84,51,4124
2021-07-30,9.88,9.83,9.82,9.84,22,13148
2021-08-02,9.94,9.87,9.84,9.84,20,7159
2021-08-03,9.89,9.89,9.85,9.85,15,2701
2021-08-04,9.89,9.88,9.84,9.86,147,53479
2021-08-05,9.89,9.87,9.85,9.85,20,7371
2021-08-06,9.84,9.84,9.82,9.84,31,15532
2021-08-09,9.86,9.84,9.8,9.86,91,9418
2021-08-10,9.85,9.84,9.8,9.85,250,30222
2021-08-11,9.83,9.8,9.8,9.82,11,1643
2021-08-12,9.83,9.83,9.8,9.8,4,95
2021-08-13,9.82,9.8,9.78,9.82,23,2156
2021-08-16,9.85,9.85,9.83,9.83,10,2903
2021-08-17,9.83,9.83,9.81,9.81,8,318
2021-08-18,9.84,9.82,9.82,9.84,10,1400
2021-08-19,9.82,9.81,9.8,9.82,27,2572
2021-08-20,9.81,9.77,9.72,9.81,16,7929
2021-08-23,9.79,9.75,9.75,9.75,7,423
2021-08-24,9.79,9.71,9.71,9.79,51,2930
2021-08-25,9.75,9.72,9.71,9.75,80,6129
2021-08-26,9.75,9.72,9.72,9.73,81,1844
2021-08-27,9.78,9.78,9.72,9.72,46,2660
2021-08-30,9.74,9.71,9.7,9.74,45,7579
2021-08-31,9.75,9.72,9.72,9.75,8,250
2021-09-01,9.82,9.82,9.72,9.75,81,6782
2021-09-02,9.81,9.72,9.72,9.81,12,199
2021-09-03,9.8,9.75,9.75,9.78,79,8112
2021-09-07,9.8,9.74,9.74,9.8,35,1611
2021-09-08,9.78,9.73,9.73,9.76,20,431
2021-09-09,9.81,9.79,9.76,9.81,125,14497
2021-09-10,9.79,9.79,9.77,9.77,8,3502
2021-09-13,9.8,9.8,9.77,9.78,71,5122
2021-09-14,9.75,9.75,9.74,9.74,4,904
2021-09-15,9.82,9.82,9.75,9.75,8,860
2021-09-16,9.82,9.8,9.77,9.82,26,803
2021-09-17,9.81,9.8,9.78,9.81,8,1076
2021-09-20,9.83,9.8,9.77,9.83,104,9634
2021-09-21,9.82,9.79,9.79,9.82,73,12193
2021-09-22,9.81,9.8,9.76,9.79,63,40787
2021-09-23,9.81,9.8,9.79,9.81,21,3500
2021-09-24,9.79,9.78,9.77,9.77,16,1424
2021-09-27,9.83,9.82,9.75,9.75,51,23846
2021-09-28,9.8,9.78,9.78,9.78,5,338
2021-09-29,9.83,9.81,9.72,9.78,138,27102
2021-09-30,9.85,9.8,9.79,9.8,57,10796
2021-10-01,9.87,9.87,9.8,9.82,126,35864
2021-10-04,9.87,9.87,9.82,9.86,70,9998
2021-10-05,9.87,9.81,9.8,9.87,73,11502
2021-10-06,9.85,9.82,9.82,9.82,6,261
2021-10-07,9.87,9.81,9.81,9.85,13,622
2021-10-08,9.86,9.82,9.82,9.84,4,1039
2021-10-11,9.86,9.85,9.85,9.86,6,264
2021-10-12,9.84,9.84,9.81,9.83,20,797
2021-10-13,9.85,9.85,9.84,9.84,25,2014
2021-10-14,9.87,9.87,9.87,9.87,11,5468
2021-10-15,9.87,9.85,9.85,9.87,92,18369
2021-10-18,9.87,9.82,9.82,9.83,57,5569
2021-10-19,9.87,9.84,9.83,9.83,77,7035
2021-10-20,9.87,9.87,9.86,9.86,26,958
2021-10-21,9.85,9.83,9.82,9.85,29,1877
2021-10-22,9.87,9.87,9.85,9.85,87,26430
2021-10-25,9.89,9.85,9.85,9.87,56,19230
2021-10-26,9.9,9.9,9.85,9.89,130,38185
2021-10-27,9.92,9.87,9.87,9.92,10,558
2021-10-28,9.92,9.9,9.88,9.88,28,2809
2021-10-29,9.92,9.9,9.9,9.9,25,597
2021-11-01,9.97,9.95,9.89,9.89,151,40195
2021-11-02,9.96,9.95,9.93,9.93,8,801
2021-11-03,9.96,9.95,9.95,9.96,26,6688
2021-11-04,9.97,9.97,9.91,9.91,9,940
2021-11-05,9.95,9.95,9.95,9.95,12,3778
2021-11-08,9.96,9.9,9.9,9.96,34,5794
2021-11-09,9.94,9.94,9.9,9.9,33,3163
2021-11-10,9.92,9.92,9.9,9.91,16,2377
2021-11-11,9.93,9.93,9.92,9.93,8,258
2021-11-12,9.93,9.91,9.86,9.86,27,5218
2021-11-15,9.95,9.92,9.87,9.87,35,12973
2021-11-16,9.97,9.9,9.87,9.87,35,13845
2021-11-17,9.91,9.9,9.88,9.9,23,4970
2021-11-18,9.92,9.91,9.9,9.9,10,2108
2021-11-19,9.915,9.91,9.9,9.9,18,40646
2021-11-22,9.905,9.9,9.9,9.9,10,525
2021-11-23,9.92,9.92,9.9,9.9,31,9331
2021-11-24,9.94,9.92,9.88,9.88,4,279
2021-11-26,9.86,9.85,9.85,9.86,19,610
2021-11-29,9.9,9.9,9.88,9.88,12,683
2021-11-30,9.87,9.87,9.86,9.86,24,2199
2021-12-01,9.93,9.93,9.88,9.88,46,44884
2021-12-02,9.93,9.93,9.9,9.93,17,2367
