Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-12-11,25.6041,25.6041,25.43,25.49,3,210
2020-12-14,25.8236,25.8236,25.8236,25.8236,,
2020-12-15,26.2,26.0675,26.01,26.2,3,205
2020-12-16,26.2228,26.2228,26.2228,26.2228,,
2020-12-17,26.395,26.395,26.34,26.34,2,4900
2020-12-18,26.2762,26.2762,26.2762,26.2762,,
2020-12-21,26.24,26.2222,26.2222,26.24,1,1
2020-12-22,26.2989,26.2989,26.2,26.2,1,20
2020-12-23,26.5,26.1822,26.1822,26.5,1,1
2020-12-24,26.2609,26.2609,26.2609,26.2609,,
2020-12-28,26.4968,26.4968,26.4968,26.4968,,
2020-12-29,26.511,26.511,26.511,26.511,,
2020-12-30,26.82,26.451,26.451,26.82,3,112
2020-12-31,26.5706,26.5706,26.5706,26.5706,,
2021-01-04,27.89,26.1162,26.1162,27.89,1,2
2021-01-05,26.39,26.3677,26.3,26.3,3,168
2021-01-06,26.2,26.0044,26.0044,26.2,5,377
2021-01-07,26.6749,26.6749,26.27,26.27,4,1673
2021-01-08,27.0429,27.0429,26.94,26.94,5,2500
2021-01-11,26.64,26.6209,26.6209,26.64,1,1
2021-01-12,26.62,26.6156,26.6156,26.62,1,200
2021-01-13,26.83,26.7647,26.7647,26.83,1,3
2021-01-14,27.02,26.5994,26.5994,27.02,3,47
2021-01-15,26.44,26.4054,26.4054,26.44,1,2
2021-01-19,26.82,26.7888,26.7888,26.82,1,5
2021-01-20,27.4869,27.4869,27.42,27.42,1,58
2021-01-21,27.8,27.7719,27.7719,27.8,1,2
2021-01-22,27.82,27.7525,27.7525,27.82,1,1
2021-01-25,28.21,27.9898,27.9898,28.21,2,7
2021-01-26,28.06,28.049,28.049,28.06,1,4
2021-01-27,27.95,27.2717,27.2717,27.95,3,205
2021-01-28,27.58,27.4585,27.4585,27.58,2,68
2021-01-29,27.3,26.8734,26.8734,27.23,4,409
2021-02-01,27.5338,27.5338,27.33,27.33,1,148
2021-02-02,27.97,27.9659,27.9659,27.97,1,48
2021-02-03,28.02,27.842,27.8,27.95,10,13745
2021-02-04,28.1166,28.1166,28.1166,28.1166,,
2021-02-05,28.44,28.2644,28.18,28.44,2,342
2021-02-08,28.4282,28.4282,28.33,28.38,4,800
2021-02-09,28.46,28.4127,28.4127,28.43,4,2300
2021-02-10,28.77,28.3279,28.31,28.77,9,933
2021-02-11,28.72,28.5213,28.5213,28.72,1,81
2021-02-12,28.7174,28.7174,28.68,28.68,3,79
2021-02-16,30.15,28.6574,28.6574,30.15,4,541
2021-02-17,28.6,28.4868,28.38,28.6,2,134
2021-02-18,28.39,28.3061,28.3061,28.39,1,23
2021-02-19,28.38,28.2027,28.18,28.38,12,5694
2021-02-22,28.0,27.4074,27.34,28.0,3,1225
2021-02-23,27.3076,27.3076,26.77,27.0,8,1156
2021-02-24,27.4907,27.4907,27.4907,27.4907,,
2021-02-25,26.9,26.5432,26.5432,26.9,2,383
2021-02-26,26.7153,26.7153,26.7153,26.7153,,
2021-03-01,27.44,27.3098,27.3098,27.44,2,115
2021-03-02,26.9405,26.9405,26.9405,26.9405,,
2021-03-03,26.53,26.1553,26.1553,26.53,2,11
2021-03-04,26.0,25.6346,25.6346,26.0,6,377
2021-03-05,26.0321,26.0321,26.0321,26.0321,,
2021-03-08,26.06,25.2971,25.2971,26.06,4,256
2021-03-09,26.2632,26.2632,25.7,25.7,3,12
2021-03-10,26.1607,26.1607,26.1607,26.1607,,
2021-03-11,26.7675,26.7675,26.7675,26.7675,,
2021-03-12,26.63,26.5378,26.5378,26.63,2,61
2021-03-15,26.815,26.815,26.59,26.59,2,110
2021-03-16,27.0,26.992,26.992,27.0,1,2
2021-03-17,27.0677,27.0677,26.92,26.92,1,1
2021-03-18,26.84,26.2538,26.2538,26.84,1,3
2021-03-19,26.45,26.3772,26.3772,26.45,1,1
2021-03-22,26.8755,26.8755,26.84,26.84,3,497
2021-03-23,26.82,26.631,26.631,26.82,3,190
2021-03-24,26.91,26.2062,26.2062,26.91,6,552
2021-03-25,26.2,26.1309,26.1309,26.2,2,300
2021-03-26,26.4816,26.4816,26.18,26.18,2,500
2021-03-29,26.65,26.4671,26.4671,26.65,2,148
