Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,44.8,44.29,44.06,44.54,191,27349
2013-01-03,44.61,44.37,44.28,44.36,153,42803
2013-01-04,44.58,44.53,44.35,44.41,93,13800
2013-01-07,44.5,44.45,44.22,44.29,79,15150
2013-01-08,44.42,44.21,44.21,44.29,77,13349
2013-01-09,44.38,44.28,44.19,44.26,100,16744
2013-01-10,44.45,44.4,44.08,44.41,51,7709
2013-01-11,44.56,44.56,44.34,44.43,59,9182
2013-01-14,44.9,44.61,44.47,44.52,56,11399
2013-01-15,45.15,45.15,44.63,44.7,65,26950
2013-01-16,45.18,45.0706,44.94,45.18,54,9999
2013-01-17,45.48,45.42,45.2,45.36,61,9800
2013-01-18,45.59,45.59,45.33,45.37,100,36140
2013-01-22,45.81,45.81,45.5,45.5,87,19969
2013-01-23,45.87,45.86,45.67,45.8,29,5000
2013-01-24,47.5,47.5,45.75,45.75,202,79226
2013-01-25,46.62,46.58,46.29,46.46,62,8200
2013-01-28,46.57,46.29,46.29,46.57,98,24910
2013-01-29,46.48,46.45,46.27,46.29,91,12625
2013-01-30,46.6,46.38,45.93,46.34,36,6974
2013-01-31,46.5,46.18,46.17,46.33,64,17074
2013-02-01,46.93,46.36,46.34,46.45,124,71125
2013-02-04,46.21,45.78,45.78,46.08,90,18005
2013-02-05,46.55,46.41,45.85,45.85,64,10900
2013-02-06,46.41,46.31,46.08,46.08,110,15758
2013-02-07,46.42,46.27,45.99,46.42,94,24698
2013-02-08,46.52,46.47,46.35,46.35,30,4578
2013-02-11,46.56,46.39,46.34,46.56,30,9232
2013-02-12,46.61,46.51,46.44,46.47,49,8262
2013-02-13,46.88,46.63,46.49,46.74,55,11433
2013-02-14,46.73,46.47,46.35,46.73,129,51831
2013-02-15,46.51,46.18,45.86,46.38,373,150581
2013-02-19,46.61,46.58,46.27,46.27,313,98555
2013-02-20,46.62,46.12,46.03,46.52,81,52900
2013-02-21,46.35,46.03,45.94,46.09,112,40240
2013-02-22,46.21,46.18,45.97,46.12,39,6830
2013-02-25,46.49,45.51,45.51,46.27,59,10450
2013-02-26,46.07,45.95,45.65,45.65,61,26327
2013-02-27,46.57,46.53,45.89,45.89,45,14481
2013-02-28,46.85,46.55,46.36,46.42,24,4794
2013-03-01,46.84,46.84,46.27,46.27,54,17119
2013-03-04,48.32,48.32,46.77,46.77,137,74611
2013-03-05,47.7,47.56,47.4,47.7,70,14900
2013-03-06,47.69,47.38,47.31,47.6,53,12046
2013-03-07,47.46,47.4,47.31,47.35,57,7825
2013-03-08,47.86,47.86,47.42,47.59,18,3260
2013-03-11,48.0,47.97,47.78,47.81,57,10104
2013-03-12,48.09,48.01,47.95,48.01,23,9257
2013-03-13,48.45,48.39,48.14,48.16,62,28310
2013-03-14,48.45,48.25,48.25,48.45,20,10584
2013-03-15,48.16,47.78,47.78,48.16,90,41898
2013-03-18,47.98,47.79,47.7,47.91,52,9765
2013-03-19,47.9,47.7,47.43,47.82,39,7750
2013-03-20,48.29,48.21,47.75,47.75,72,28200
2013-03-21,48.22,48.04,47.92,48.09,37,6215
2013-03-22,48.56,48.55,47.96,48.05,36,8362
2013-03-25,48.94,48.69,48.57,48.65,95,13600
2013-03-26,48.9,48.9,48.7,48.88,53,12525
2013-03-27,48.96,48.92,48.5,48.78,60,12291
2013-03-28,48.9,48.88,48.85,48.9,16,2910
2013-04-01,48.99,48.67,48.64,48.96,29,5435
2013-04-02,49.17,49.13,48.72,48.72,48,25200
2013-04-03,49.07,48.45,48.45,49.03,127,134750
2013-04-04,49.16,49.16,48.64,48.64,46,11600
2013-04-05,49.01,48.93,48.63,48.95,52,19153
2013-04-08,49.45,49.45,48.9,48.91,66,37420
2013-04-09,49.67,49.54,49.34,49.34,39,10020
2013-04-10,51.27,51.27,49.66,49.66,45,17378
2013-04-11,50.55,50.28,49.77,49.77,94,47473
2013-04-12,50.59,50.58,50.21,50.21,53,21132
2013-04-15,50.62,49.73,49.69,50.59,140,54901
2013-04-16,50.16,50.16,49.71,49.75,121,48129
2013-04-17,50.15,49.8,49.2,50.15,149,114744
2013-04-18,49.89,49.44,49.25,49.89,124,46175
2013-04-19,50.02,50.01,49.63,49.63,70,40249
2013-04-22,50.34,50.1,49.7,50.34,65,35282
2013-04-23,50.59,50.46,49.99,50.08,273,99393
2013-04-24,50.67,50.3,50.3,50.49,67,10600
2013-04-25,50.9,50.76,50.5,50.51,71,13598
2013-04-26,50.72,50.39,50.34,50.71,106,41642
2013-04-29,50.55,50.34,50.34,50.34,44,6310
2013-04-30,50.55,50.55,50.29,50.29,81,12820
2013-05-01,50.65,50.3,50.28,50.6,141,36900
2013-05-02,50.75,50.75,50.34,50.36,76,21238
2013-05-03,51.32,51.19,51.09,51.09,75,12200
2013-05-06,51.25,51.21,50.99,51.22,45,8091
2013-05-07,51.52,51.49,51.09,51.22,54,13600
2013-05-08,51.93,51.93,51.61,51.67,63,12252
2013-05-09,52.0,51.7,51.58,51.93,225,35617
2013-05-10,52.07,52.07,51.74,51.74,50,18504
2013-05-13,52.12,51.98,51.89,52.09,66,9200
2013-05-14,52.61,52.61,52.14,52.14,18,2450
2013-05-15,52.97,52.97,52.62,52.74,30,6700
2013-05-16,52.89,52.39,52.36,52.89,76,39070
2013-05-17,52.82,52.82,52.36,52.36,36,10905
2013-05-20,52.87,52.62,52.59,52.87,66,18692
2013-05-21,53.33,53.09,52.79,52.95,92,14110
2013-05-22,53.45,52.71,52.51,53.01,185,27290
2013-05-23,52.7,52.57,52.29,52.51,154,22016
2013-05-24,52.74,52.72,52.28,52.53,95,15856
2013-05-28,53.43,53.01,52.79,52.79,108,21200
2013-05-29,53.03,52.49,52.31,53.03,72,10200
2013-05-30,52.81,52.47,52.47,52.81,56,6800
2013-05-31,53.07,52.02,52.015,52.38,91,25100
2013-06-03,52.22,52.22,51.71,51.93,178,20365
2013-06-04,52.34,51.84,51.53,52.27,183,21386
2013-06-05,52.02,51.3,51.3,52.02,216,25400
2013-06-06,51.73,51.73,51.17,51.25,137,18530
2013-06-07,52.56,52.53,52.15,52.15,130,19100
2013-06-10,52.74,52.5,52.47,52.56,66,12500
2013-06-11,52.62,52.22,52.08,52.47,254,62830
2013-06-12,52.54,51.89,51.88,52.26,181,41919
2013-06-13,52.61,52.56,51.86,51.86,109,22511
2013-06-14,52.755,52.46,52.27,52.5,147,18000
2013-06-17,52.93,52.71,52.4,52.48,148,42800
2013-06-18,53.2,53.2,52.71,52.73,56,7319
2013-06-19,53.44,52.4,52.4,53.24,131,27841
2013-06-20,52.38,51.21,51.1,52.38,107,12647
2013-06-21,51.64,51.38,51.03,51.37,165,21100
2013-06-24,51.41,51.03,50.6,51.33,221,38815
2013-06-25,51.38,51.3,50.96,51.09,78,11584
2013-06-26,51.98,51.93,51.56,51.56,107,13696
2013-06-27,52.44,52.09,52.09,52.42,42,6191
2013-06-28,52.34,51.88,51.88,51.98,88,30099
2013-07-01,52.69,52.32,52.29,52.3,121,15500
2013-07-02,52.9,52.57,52.36,52.37,107,19378
2013-07-03,52.63,52.63,52.23,52.54,37,7117
2013-07-05,52.99,52.98,52.48,52.63,56,8202
2013-07-08,53.67,53.66,53.04,53.04,55,11700
2013-07-09,54.2,54.03,53.72,53.72,63,10920
2013-07-10,54.29,54.16,53.9,53.97,68,8525
2013-07-11,54.94,54.94,54.4,54.4,66,12970
2013-07-12,55.08,55.07,54.85,54.98,38,5214
2013-07-15,55.14,55.06,54.96,55.14,90,22496
2013-07-16,55.18,54.94,54.87,55.12,127,49661
2013-07-17,55.23,55.05,55.0,55.15,77,12023
2013-07-18,55.35,55.11,55.0,55.0,111,18379
2013-07-19,55.3,55.3,55.08,55.08,48,10888
2013-07-22,55.4,55.4,55.3,55.32,56,8508
2013-07-23,55.5,55.33,55.3,55.48,44,12718
2013-07-24,55.48,55.03,54.93,55.4,190,46009
2013-07-25,55.1,55.06,54.78,55.01,94,14150
2013-07-26,55.4,55.4,54.77,55.11,125,19002
2013-07-29,55.39,55.24,55.11,55.17,72,17255
