Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-09-12,21.1,16.67,16.3,20.55,55845,22297971
2019-09-13,18.71,18.68,16.81,16.81,20970,4710022
2019-09-16,19.0,18.9,17.83,18.46,5752,1166198
2019-09-17,19.3,19.07,18.68,19.0,3541,846400
2019-09-18,19.69,19.48,18.9,19.17,9571,4774448
2019-09-19,19.53,18.64,18.46,19.48,3862,710736
2019-09-20,18.83,18.25,18.07,18.65,2001,419342
2019-09-23,18.41,17.15,16.9,18.31,2800,589132
2019-09-24,17.7,15.68,15.595,17.2,6659,1532850
2019-09-25,15.95,14.505,14.47,15.93,5453,1216507
2019-09-26,14.88,12.94,12.59,14.66,10307,2125161
2019-09-27,13.55,13.0,12.71,13.09,4937,983052
2019-09-30,13.92,13.88,13.11,13.27,3739,917002
2019-10-01,13.99,13.17,13.11,13.94,3854,751694
2019-10-02,13.61,12.955,12.65,13.04,4030,734413
2019-10-03,13.77,13.7,12.56,12.98,3192,921994
2019-10-04,14.85,14.72,12.91,13.31,11532,2911959
2019-10-07,15.2,13.49,13.47,15.0,6389,1319786
2019-10-08,13.32,11.335,11.2,13.3,9893,2382603
2019-10-09,11.77,10.97,10.91,11.73,7658,1769380
2019-10-10,11.0,10.235,9.82,10.9,14422,3723853
2019-10-11,11.65,11.13,10.35,10.41,7753,1950548
2019-10-14,10.95,9.7,9.45,10.81,7890,2278128
2019-10-15,10.48,10.31,9.33,9.74,6138,1988615
2019-10-16,10.58,10.0,9.935,10.21,3714,1060558
2019-10-17,10.22,9.41,8.73,10.0,9265,2774783
2019-10-18,9.6,9.46,9.12,9.33,3266,1180043
2019-10-21,9.61,9.13,9.055,9.5,2993,709318
2019-10-22,9.7,9.5,9.21,9.21,3071,602555
2019-10-23,10.44,10.02,9.44,9.44,3967,922104
2019-10-24,10.84,10.82,10.05,10.5,6015,1332290
2019-10-25,11.9,11.38,10.65,10.73,7489,1708295
2019-10-28,12.09,12.06,11.55,11.7,6614,1423034
2019-10-29,12.145,11.76,11.55,12.04,5757,962273
2019-10-30,12.3,12.19,11.51,11.78,2848,721527
2019-10-31,12.33,11.695,11.21,12.22,3105,640159
2019-11-01,12.62,12.52,11.53,11.7,3363,874368
2019-11-04,13.49,13.05,12.62,12.62,3945,948076
2019-11-05,13.34,12.59,12.29,13.0,3130,591022
2019-11-06,12.94,11.99,11.82,12.46,3582,688523
2019-11-07,12.68,11.99,11.84,12.0,3471,500099
2019-11-08,12.22,11.59,11.31,12.0,3557,598331
2019-11-11,11.9,11.85,11.5,11.5,2543,427510
2019-11-12,12.3,11.08,10.93,11.94,9867,2122015
2019-11-13,10.17,8.83,8.76,10.16,16701,4734714
2019-11-14,9.17,8.89,8.8,9.06,5749,1596701
