Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-10-19,10.09,10.05,10.03,10.03,222,889237
2021-10-20,10.1,10.06,10.05,10.05,31,32973
2021-10-21,10.1,10.06,10.05,10.1,14,7747
2021-10-22,10.1,10.1,10.09,10.09,7,5336
2021-10-25,10.15,10.15,10.15,10.15,8,2208
2021-10-26,10.15,10.15,10.15,10.15,3,1110
2021-10-27,10.53,10.13,10.13,10.53,3,112
2021-10-28,10.15,10.14,10.14,10.15,4,802
2021-10-29,10.1,10.1,10.09,10.09,3,213
2021-11-01,10.15,10.115,10.115,10.15,3,210
2021-11-02,10.1,10.08,10.08,10.1,2,1100
2021-11-03,10.15,10.08,10.08,10.15,3,231
2021-11-04,10.14,10.14,10.14,10.14,4,373
2021-11-05,10.24,10.1,10.1,10.24,2,3
2021-11-08,10.09,10.09,10.07,10.07,2,20
2021-11-09,10.11,10.11,10.08,10.08,7,3070
2021-11-10,10.2,10.14,10.08,10.08,23,86593
2021-11-11,10.2,10.2,10.16,10.17,59,12007
2021-11-12,10.2,10.2,10.2,10.2,1,241
2021-11-15,10.25,10.19,10.135,10.25,14,2932
2021-11-16,10.28,10.25,10.25,10.25,8,3354
2021-11-17,10.3,10.25,10.13,10.3,21,11005
2021-11-18,10.26,10.26,10.21,10.25,8,3060
2021-11-22,10.27,10.27,10.27,10.27,2,151
2021-11-23,10.57,10.57,10.22,10.22,3,203
2021-11-24,10.57,10.17,10.17,10.57,2,81
2021-11-26,10.26,10.26,10.25,10.25,2,5
2021-11-29,10.13,10.13,10.13,10.13,3,2032
2021-11-30,10.18,10.1,10.1,10.175,10,1026
2021-12-01,10.24,10.24,10.23,10.23,5,796
2021-12-06,10.2,10.2,10.2,10.2,2,304
2021-12-08,10.21,10.21,10.21,10.21,1,46
2021-12-09,10.14,10.14,10.14,10.14,1,31
2021-12-10,10.2,10.2,10.2,10.2,2,300
2021-12-16,10.09,10.09,10.09,10.09,1,100
2021-12-17,10.155,10.15,10.01,10.01,10,910
2021-12-21,10.12,10.12,10.12,10.12,1,400
2021-12-22,10.38,10.38,10.08,10.08,5,710
2021-12-27,10.08,10.06,10.06,10.08,2,9
2021-12-29,10.14,10.14,10.12,10.12,12,1428
2021-12-31,10.16,10.16,10.16,10.16,1,10
2022-01-04,10.16,10.15,10.15,10.16,30,1333
2022-01-05,10.15,10.15,10.15,10.15,1,200
2022-01-06,10.17,10.17,10.15,10.15,4,1081
2022-01-10,10.18,10.17,10.17,10.18,2,300
2022-01-11,10.15,10.15,10.15,10.15,10,5277
2022-01-12,10.16,10.15,10.15,10.16,5,2160
2022-01-13,10.17,10.17,10.17,10.17,6,9900
2022-01-20,10.14,10.13,10.13,10.14,2,1000
2022-01-24,10.09,10.08,10.08,10.09,2,600
2022-01-25,10.09,10.09,10.09,10.09,1,100
2022-02-01,10.12,10.12,10.1,10.1,5,602
2022-02-02,10.02,10.02,10.02,10.02,1,1
2022-02-04,10.09,10.09,10.05,10.05,2,400
2022-02-07,10.11,10.11,10.06,10.06,2,201
2022-02-08,10.11,10.11,10.11,10.11,2,201
2022-02-10,10.1,10.09,10.09,10.1,6,1420
2022-02-14,10.09,10.09,10.09,10.09,1,600
2022-02-15,10.1,10.08,10.08,10.1,5,4913
2022-02-16,10.1,10.1,10.1,10.1,7,7013
2022-02-23,9.11,9.11,9.11,9.11,1,1
2022-02-24,9.83,9.83,9.83,9.83,1,1
2022-03-01,10.12,10.12,10.12,10.12,6,5001
2022-03-02,10.08,10.08,10.08,10.08,1,8
2022-03-08,10.13,10.13,10.12,10.12,2,301
2022-03-22,10.07,10.05,10.05,10.07,4,450
2022-03-25,10.03,10.03,10.03,10.03,1,549
2022-03-28,10.06,10.06,10.05,10.05,3,500
2022-04-04,10.06,10.06,10.06,10.06,1,3999
2022-04-11,10.07,10.07,10.06,10.06,4,1128
2022-04-18,10.1,10.1,10.06,10.06,2,2045
2022-04-19,10.06,10.06,10.06,10.06,1,1000
2022-05-04,10.12,10.12,10.12,10.12,1,150
2022-05-11,10.02,10.01,10.01,10.02,4,1300
