Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-02-04,26.38,18.9,18.9,24.7,6894,1616177
2021-02-05,22.5,22.49,19.25,22.24,3040,524236
2021-02-08,24.3,22.75,21.25,24.14,806,130533
2021-02-09,22.74,20.5,20.48,21.55,721,105447
2021-02-10,21.3,19.0,18.26,21.01,2034,221809
2021-02-11,19.49,18.89,18.55,18.79,542,61241
2021-02-12,19.31,19.28,18.7,19.0,510,47095
2021-02-16,20.64,19.7,19.03,19.66,635,120982
2021-02-17,21.22,19.95,19.45,19.8,692,64415
2021-02-18,20.5,19.92,19.64,20.5,590,59719
2021-02-19,20.1,19.89,19.5,20.0,402,46616
2021-02-22,19.88,18.75,18.32,19.88,377,41409
2021-02-23,18.55,17.19,16.6,18.55,637,79271
2021-02-24,18.68,16.39,16.38,17.51,336,34620
2021-02-25,17.72,16.29,15.45,17.3,659,76177
2021-02-26,17.115,16.5,15.57,16.87,796,107656
2021-03-01,17.88,17.0,16.87,17.33,652,76069
2021-03-02,17.1,16.11,15.975,16.84,667,64810
2021-03-03,16.8,15.74,15.32,16.46,479,48028
2021-03-04,16.0,14.5,13.6,15.89,688,78033
2021-03-05,15.32,15.05,13.0,14.94,825,79680
2021-03-08,16.49,15.5,15.11,16.2,527,55717
2021-03-09,16.72,16.7,15.55,15.81,437,38969
2021-03-10,16.8,16.0,15.76,16.5,439,40294
2021-03-11,17.1,16.46,16.39,16.58,333,37502
2021-03-12,16.57,16.49,16.03,16.37,315,21843
2021-03-15,16.58,15.88,15.76,16.5,456,28058
2021-03-16,16.26,16.0,15.81,15.92,237,19047
2021-03-17,15.85,15.49,15.04,15.85,492,65158
2021-03-18,15.58,15.51,15.25,15.25,437,76470
2021-03-19,16.25,15.48,15.36,15.72,955,903147
2021-03-22,15.8,15.03,14.82,15.62,551,80133
2021-03-23,14.87,14.11,13.89,14.79,498,72299
2021-03-24,14.33,13.5,13.5,14.1,535,46427
2021-03-25,13.78,13.49,13.18,13.18,377,35251
2021-03-26,13.875,13.3,13.14,13.36,324,19583
2021-03-29,13.43,12.04,11.91,13.07,454,36455
2021-03-30,12.31,12.3,11.77,11.77,471,42878
2021-03-31,14.8,14.53,12.35,12.35,914,84249
2021-04-01,14.59,14.42,13.71,14.59,548,49794
2021-04-05,15.15,15.14,14.66,14.84,275,19453
2021-04-06,15.02,14.24,14.09,14.95,156,13693
2021-04-07,14.22,14.07,14.0,14.22,199,12673
2021-04-08,14.81,14.79,13.9,14.21,567,39542
2021-04-09,14.54,14.13,14.02,14.54,105,8536
