Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-11-02,13.5,11.5,10.83,13.25,3009,902598
2017-11-03,11.65,11.56,11.15,11.4,240,40203
2017-11-06,12.05,12.0,11.35,11.35,106,26189
2017-11-07,12.42,12.4,11.9,12.03,182,40156
2017-11-08,12.69,12.61,12.4,12.52,116,18879
2017-11-09,13.25,13.25,12.51,12.93,139,18277
2017-11-10,15.0,14.15,13.1,13.14,151,24748
2017-11-13,15.39,14.75,14.3,14.85,179,36223
2017-11-14,14.87,14.29,13.5,14.83,87,10527
2017-11-15,13.82,13.36,13.36,13.76,38,5950
2017-11-16,14.32,13.43,13.0,14.0,128,17404
2017-11-17,14.5,14.49,12.02,13.25,116,19412
2017-11-20,14.3,12.72,12.66,14.3,234,24896
2017-11-21,13.66,13.4,12.53,12.53,63,7630
2017-11-22,13.98,13.7,13.4,13.4,52,6254
2017-11-24,13.89,13.86,13.62,13.62,15,1049
2017-11-27,14.89,14.07,13.8,14.26,173,30421
2017-11-28,14.25,13.625,13.33,14.04,51,6507
2017-11-29,13.83,12.78,12.53,13.83,134,15586
2017-11-30,13.02,11.95,11.93,12.6,167,17781
2017-12-01,12.75,12.14,12.05,12.05,157,17830
2017-12-04,12.65,12.28,12.1,12.18,69,4904
2017-12-05,13.09,11.27,11.23,12.2,147,25095
2017-12-06,12.03,11.44,11.3,11.3,46,3627
2017-12-07,11.5,10.51,9.94,11.5,212,31105
2017-12-08,11.0,10.5,10.45,10.45,135,18504
2017-12-11,11.08,10.79,10.51,10.69,125,22642
2017-12-12,11.3,10.96,10.5,10.86,160,19191
2017-12-13,12.04,11.63,10.76,11.03,122,24632
2017-12-14,11.97,11.43,10.93,11.65,121,17534
2017-12-15,12.17,10.82,10.53,11.22,251,392616
2017-12-18,11.38,10.43,10.3,10.82,294,38630
2017-12-19,11.12,10.7,10.37,10.43,205,28207
2017-12-20,11.65,11.46,10.45,10.77,102,8917
2017-12-21,12.18,12.08,10.97,11.47,143,15544
2017-12-22,12.22,11.88,11.41,12.11,92,7909
