Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,32.0,31.95,31.27,31.59,13160,2302328
2013-01-03,31.98,31.39,31.33,31.95,7244,1353529
2013-01-04,31.63,31.45,31.12,31.47,8505,1417625
2013-01-07,31.9,31.5,31.18,31.39,10091,1780114
2013-01-08,31.915,31.4,30.83,31.37,11527,2733932
2013-01-09,33.5,33.48,31.95,32.0,26887,5106667
2013-01-10,33.72,33.68,32.98,33.61,17511,3263863
2013-01-11,33.78,33.29,33.05,33.75,10812,2048321
2013-01-14,34.45,33.97,32.805,33.55,18242,3562419
2013-01-15,34.69,34.46,33.55,33.9,11585,2155984
2013-01-16,34.69,34.3,34.07,34.22,6835,1387774
2013-01-17,35.08,35.01,34.46,34.5,8679,2066625
2013-01-18,35.41,35.38,34.6,34.94,8639,2940031
2013-01-22,37.92,37.89,35.36,35.39,20191,3862971
2013-01-23,37.94,36.62,36.15,37.9,16052,2701173
2013-01-24,37.36,36.87,36.27,36.39,11418,1930854
2013-01-25,37.56,37.25,36.92,37.13,14195,2698124
2013-01-28,37.83,37.41,37.25,37.7,10756,2215000
2013-01-29,35.15,33.91,33.6,35.02,21787,4136431
2013-01-30,34.44,33.89,33.85,33.91,8014,1765822
2013-01-31,34.83,33.98,32.96,33.17,17517,4357999
2013-02-01,34.38,33.67,33.23,34.38,12075,2377190
2013-02-04,34.17,33.8,33.17,33.43,10390,1892202
2013-02-05,34.23,33.96,33.43,33.82,7864,1491921
2013-02-06,34.7,34.62,33.72,33.8,8478,1507448
2013-02-07,34.76,34.74,33.535,34.39,14669,2695222
2013-02-08,36.82,35.48,34.77,34.85,15099,2806601
2013-02-11,35.64,35.05,34.8,35.56,6611,1137914
2013-02-12,35.14,34.68,34.66,35.12,5322,940055
2013-02-13,35.07,35.01,34.67,34.93,4934,897513
2013-02-14,35.26,34.95,34.8,34.81,5097,860496
2013-02-15,35.01,34.45,34.24,34.78,6760,1848369
2013-02-19,34.74,34.17,33.97,34.74,6850,1429629
2013-02-20,34.24,32.5,32.395,34.24,8421,1606500
2013-02-21,32.34,31.72,31.38,32.23,9505,1683828
2013-02-22,32.25,31.84,31.38,31.98,7274,1393629
2013-02-25,32.3,30.84,30.79,32.28,7266,1347040
2013-02-26,31.53,31.33,30.26,30.93,9153,1528470
2013-02-27,32.13,31.97,31.03,31.28,6409,1051311
