Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-10-28,10.2,10.06,10.0,10.0,46,27829
2022-10-31,10.2,10.05,10.05,10.2,23,18462
2022-11-01,10.08,10.05,10.05,10.07,35,28740
2022-11-02,10.06,10.06,10.06,10.06,1,209
2022-11-03,10.07,10.07,10.04,10.04,18,16000
2022-11-04,10.19,10.19,10.19,10.19,1,1
2022-11-07,10.2,10.1,10.1,10.2,3,95
2022-11-08,10.09,10.08,10.08,10.09,34,59452
2022-11-09,10.09,10.09,10.08,10.08,46,22727
2022-11-10,10.15,10.11,10.11,10.15,5,357
2022-11-11,10.12,10.12,10.12,10.12,1,4
2022-11-14,10.11,10.11,10.11,10.11,1,12
2022-11-15,10.13,10.11,10.11,10.13,2,18
2022-11-16,10.16,10.14,10.14,10.16,8,1137
2022-11-18,10.1,10.1,10.1,10.1,1,10
2022-11-21,10.12,10.1,10.1,10.12,3,108
2022-11-22,10.14,10.14,10.14,10.14,1,1
2022-11-25,10.13,10.13,10.13,10.13,4,20000
2022-11-28,10.14,10.14,10.14,10.14,1,500
2022-12-01,10.12,10.12,10.12,10.12,1,2
2022-12-02,10.08,10.08,10.08,10.08,8,5200
2022-12-05,10.14,10.08,10.08,10.14,28,2608
2022-12-06,10.1,10.09,10.09,10.09,95,14623
2022-12-09,10.11,10.11,10.1,10.1,9,1500
2022-12-12,10.18,10.12,10.11,10.16,53,22445
2022-12-13,10.15,10.13,10.12,10.15,152,81426
2022-12-14,10.13,10.12,10.12,10.13,3,1049
2022-12-19,10.36,10.12,10.12,10.36,3,212
2022-12-20,10.13,10.13,10.12,10.12,12,2009
2022-12-21,10.57,10.13,10.13,10.14,28,10345
2022-12-23,10.17,10.17,10.17,10.17,1,200
2022-12-27,10.31,10.14,10.14,10.18,12,2898
2022-12-28,10.14,10.13,10.13,10.14,4,2725
2022-12-29,10.36,10.25,10.14,10.18,41,4789
2022-12-30,10.57,10.13,10.13,10.34,46,5667
2023-01-03,10.55,10.17,10.14,10.28,14,1678
2023-01-04,10.2,10.15,10.15,10.18,7,1765
2023-01-05,10.2,10.2,10.2,10.2,1,11
2023-01-06,10.24,10.2,10.2,10.24,3,625
2023-01-09,10.37,10.16,10.16,10.37,23,1660
2023-01-10,10.36,10.17,10.16,10.2,34,4693
