Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-10-16,21.41,20.58,15.66,16.2,2144,602987
2020-10-19,23.5,22.0,18.3,18.3,488,45233
2020-10-20,22.4,21.21,21.21,22.4,92,8087
2020-10-21,25.0,24.5,21.25,21.5,398,26302
2020-10-22,24.5,23.22,21.5,24.12,320,23796
2020-10-23,24.29,23.5,22.98,23.01,127,14828
2020-10-26,23.925,21.86,20.01,23.75,563,22367
2020-10-27,22.12,20.195,20.0,21.8,233,17383
2020-10-28,20.0,19.96,18.15,19.62,326,34636
2020-10-29,20.2,19.17,18.6,20.0,397,25610
2020-10-30,20.8,20.44,18.8,19.04,98,6532
2020-11-02,21.62,21.62,19.36,20.8,128,9125
2020-11-03,23.46,23.46,21.43,21.43,191,15122
2020-11-04,25.54,25.52,23.1,23.5,212,16913
2020-11-05,26.96,26.96,25.25,25.97,256,11556
2020-11-06,27.76,25.2,25.2,27.33,372,22718
2020-11-09,26.6,23.19,22.85,25.88,316,21778
2020-11-10,27.49,21.19,20.5,23.9,238,22450
2020-11-11,22.73,21.4,20.725,21.53,269,23042
2020-11-12,22.75,22.24,21.01,21.75,163,7811
2020-11-13,24.5,24.5,22.48,22.86,232,13094
2020-11-16,25.93,24.98,23.81,25.93,285,18543
2020-11-17,25.0,24.08,24.08,24.75,159,9375
2020-11-18,24.43,21.71,21.71,24.43,203,9923
2020-11-19,23.4,23.4,21.7,21.94,169,10596
2020-11-20,23.89,23.0,22.81,23.64,131,6968
2020-11-23,23.8,21.77,21.695,23.0,145,10783
2020-11-24,22.15,20.82,20.82,21.39,127,6497
2020-11-25,21.3,19.9,19.67,20.99,360,15530
2020-11-27,22.41,22.38,20.08,20.29,146,41816
2020-11-30,24.21,24.17,22.34,23.0,304,21827
2020-12-01,25.21,23.08,22.82,24.35,184,10728
2020-12-02,23.25,22.5,21.75,23.0,171,6880
2020-12-03,23.39,22.26,21.92,22.61,250,16674
2020-12-04,25.32,24.9,22.27,22.35,288,15294
2020-12-07,27.2,27.2,24.41,24.84,482,20733
2020-12-08,30.93,29.05,26.88,27.06,483,23678
2020-12-09,31.37,30.94,28.0,29.63,291,12682
2020-12-10,37.7,36.5,30.06,30.44,336,19472
2020-12-11,37.0,34.59,33.8,35.81,701,29015
2020-12-14,43.2,41.53,34.04,34.04,1134,65540
2020-12-15,41.54,36.0,34.56,41.54,831,34743
2020-12-16,44.5,43.17,36.77,36.77,1373,67766
2020-12-17,49.99,45.78,42.79,43.47,1036,95488
2020-12-18,63.68,49.62,43.88,45.9,2496,880996
2020-12-21,52.03,44.16,40.14,48.88,1257,108206
2020-12-22,52.06,46.9,44.0,44.61,1526,101483
2020-12-23,49.92,45.65,42.63,46.65,677,25343
2020-12-24,45.9,44.01,44.01,45.47,174,8848
2020-12-28,43.5,40.0,35.99,43.5,1305,110605
2020-12-29,42.08,40.47,39.0,40.44,802,49709
2020-12-30,44.06,41.92,39.97,40.14,1395,100956
2020-12-31,43.07,41.33,40.99,42.05,491,32161
2021-01-04,42.62,41.81,40.8,41.72,925,72781
2021-01-05,43.08,41.54,40.7,41.68,275,21878
2021-01-06,45.74,44.9,41.41,41.85,445,29045
2021-01-07,47.94,47.25,44.29,44.82,647,52605
2021-01-08,48.16,44.78,42.2,47.62,787,43510
2021-01-11,45.8,45.01,44.08,44.59,205,8721
2021-01-12,45.23,42.21,41.99,45.23,294,16490
2021-01-13,44.86,42.97,40.57,42.29,636,43502
2021-01-14,45.51,43.91,42.89,43.33,370,29477
2021-01-15,43.62,43.17,42.65,43.62,182,14404
2021-01-19,43.83,42.35,42.3,43.83,123,8057
2021-01-20,46.16,40.92,39.69,42.64,421,24035
2021-01-21,42.56,42.02,39.1,40.92,250,14670
2021-01-22,42.57,40.72,39.71,41.58,248,14225
2021-01-25,41.3,40.86,39.54,40.63,304,17681
2021-01-26,41.51,39.38,39.02,41.51,141,6049
2021-01-27,40.58,37.69,37.56,39.05,279,11600
2021-01-28,39.08,38.92,37.78,38.77,89,8201
2021-01-29,39.48,37.7,37.11,39.48,210,12674
2021-02-01,38.8,38.64,37.87,38.17,173,6666
2021-02-02,38.82,37.44,37.39,38.82,119,7651
2021-02-03,40.4,39.34,37.32,37.32,178,11570
2021-02-04,41.36,39.91,39.21,39.21,289,9940
2021-02-05,42.53,41.85,39.59,40.65,143,5918
2021-02-08,42.7,40.6,40.34,42.31,241,6442
2021-02-09,41.49,39.96,39.48,40.24,123,4602
2021-02-10,39.97,38.63,38.5,39.72,214,7677
2021-02-11,38.91,36.76,35.66,38.91,185,7676
2021-02-12,37.16,37.16,35.94,36.4,226,7570
2021-02-16,36.97,36.5,36.5,36.97,117,4790
2021-02-17,37.6,37.22,35.6,36.49,195,10261
2021-02-18,40.09,38.72,35.15,35.99,475,24116
2021-02-19,42.5,38.76,38.76,40.48,521,29439
2021-02-22,38.3,34.43,34.32,38.3,383,18079
2021-02-23,38.64,36.25,34.0,34.09,284,10828
2021-02-24,40.3,40.15,36.0,36.0,275,9864
2021-02-25,40.33,37.56,37.44,40.33,186,8840
2021-02-26,38.0,36.25,36.17,37.86,112,7593
2021-03-01,37.64,36.79,35.54,37.64,132,5692
2021-03-02,37.14,34.72,34.6,36.91,169,7675
2021-03-03,34.9,33.13,32.95,34.9,180,6510
2021-03-04,33.85,30.61,30.11,33.21,230,9779
2021-03-05,31.86,31.54,29.91,31.28,407,9462
2021-03-08,33.0,31.49,31.26,31.64,166,7097
2021-03-09,33.0,32.38,31.56,32.0,149,7133
2021-03-10,33.11,31.43,30.9,33.11,215,9803
2021-03-11,32.545,32.37,31.57,31.57,238,8894
2021-03-12,33.5,33.5,31.53,32.01,175,14713
