Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2016-07-28,11.75,11.08,10.0,10.35,1314,468842
2016-07-29,11.75,11.26,10.35,11.0,345,78051
2016-08-01,12.07,12.07,11.02,11.6,195,41826
2016-08-02,13.2,13.16,11.88,11.88,62,7550
2016-08-03,13.7,13.65,13.2,13.2,87,13721
2016-08-04,13.85,13.53,12.81,13.85,153,24007
2016-08-05,14.4,14.08,13.2,13.2,118,18340
2016-08-08,14.85,13.82,13.5,14.5,61,11708
2016-08-09,14.1,14.09,13.43,13.43,50,6414
2016-08-10,14.09,14.09,13.61,14.04,63,11935
2016-08-11,14.18,13.92,13.64,13.84,27,3182
2016-08-12,14.2,13.95,13.75,14.2,84,17039
2016-08-15,14.1,13.67,13.62,13.88,122,21030
2016-08-16,13.94,13.64,12.42,13.41,275,33709
2016-08-17,13.68,13.45,13.04,13.64,57,9831
2016-08-18,13.41,13.25,13.02,13.02,37,13587
2016-08-19,13.39,13.24,13.08,13.08,29,5189
2016-08-22,13.05,12.85,12.73,13.05,99,19857
2016-08-23,13.44,13.2,12.9,12.9,64,7596
2016-08-24,13.71,13.59,13.18,13.18,136,23662
2016-08-25,13.83,13.58,13.49,13.83,25,2455
2016-08-26,13.6,13.6,13.52,13.6,13,821
2016-08-29,13.78,13.5,13.5,13.75,34,4491
2016-08-30,13.75,13.75,13.48,13.48,15,2030
2016-08-31,14.85,14.55,13.41,13.51,81,14358
2016-09-01,15.26,15.1,14.45,14.52,147,24635
2016-09-02,15.75,14.87,14.86,15.39,132,24273
2016-09-06,15.37,15.075,14.75,14.75,116,13841
2016-09-07,16.22,15.86,15.65,15.65,153,34484
2016-09-08,16.33,16.1,15.82,16.33,63,10393
2016-09-09,16.2,15.95,15.77,16.2,107,11943
2016-09-12,15.91,15.66,15.42,15.91,85,8356
2016-09-13,16.73,16.55,15.6,15.85,138,16141
2016-09-14,18.29,18.1,16.14,16.55,373,68309
2016-09-15,19.03,18.66,17.69,18.25,151,15685
2016-09-16,20.05,19.52,18.78,18.9,243,105540
2016-09-19,20.42,17.98,17.5,19.72,307,30856
2016-09-20,19.28,19.25,17.8,17.8,309,28715
2016-09-21,19.39,19.16,18.89,19.39,128,10314
2016-09-22,19.59,19.2,18.5,19.09,113,9932
2016-09-23,20.46,20.18,19.11,19.6,160,20916
2016-09-26,22.29,19.95,19.75,20.17,277,34206
2016-09-27,20.97,18.94,18.67,20.09,223,23424
2016-09-28,19.47,19.14,18.6,19.07,330,35773
2016-09-29,19.4,17.5,17.26,19.24,266,26420
2016-09-30,19.63,18.7,17.5,17.5,503,245528
2016-10-03,19.0,18.45,18.02,19.0,159,20966
2016-10-04,18.67,18.14,18.09,18.67,115,10203
2016-10-05,19.57,19.03,18.18,18.35,132,11371
2016-10-06,19.09,18.84,18.65,19.09,48,7069
2016-10-07,20.16,19.87,18.91,18.91,215,20893
2016-10-10,20.01,19.59,19.47,19.83,88,8062
2016-10-11,19.29,19.02,17.64,19.29,288,24988
2016-10-12,18.92,18.45,18.25,18.92,67,6150
2016-10-13,19.13,19.03,18.32,18.33,64,4611
2016-10-14,19.46,18.3,18.17,19.46,157,15374
2016-10-17,19.38,19.12,18.61,18.61,98,9474
2016-10-18,19.33,19.03,18.48,19.33,138,12951
2016-10-19,19.28,19.19,19.03,19.04,90,5953
2016-10-20,19.16,18.99,18.51,19.11,81,9261
2016-10-21,19.14,18.83,18.47,18.85,46,3596
2016-10-24,19.52,19.33,18.65,18.81,124,12409
2016-10-25,19.69,19.5,19.4,19.44,77,5744
2016-10-26,19.7,18.71,18.71,19.7,20,2663
2016-10-27,18.93,17.5,17.25,18.93,131,9332
2016-10-28,18.3,17.52,17.12,17.64,127,12698
2016-10-31,17.84,17.765,17.35,17.54,166,12636
2016-11-01,17.84,17.34,17.22,17.74,78,5872
2016-11-02,18.07,17.57,17.04,17.3,118,9358
2016-11-03,17.79,16.86,16.74,17.71,85,6065
2016-11-04,17.7,17.35,17.0,17.0,55,5112
2016-11-07,18.15,17.57,17.49,17.49,99,8247
2016-11-08,17.5,17.04,16.91,17.5,166,11595
2016-11-09,17.45,17.18,16.81,17.35,156,20293
2016-11-10,18.58,18.28,17.44,17.95,126,11459
2016-11-11,19.25,18.49,18.37,19.25,174,19412
2016-11-14,18.62,17.35,17.28,18.62,111,7786
2016-11-15,17.62,17.54,17.0,17.3,91,6791
2016-11-16,18.11,18.0,16.17,17.4,127,10273
2016-11-17,18.89,18.81,17.84,18.1,73,4149
2016-11-18,19.12,18.45,18.27,18.64,113,12243
2016-11-21,18.5,18.34,18.12,18.39,53,4368
2016-11-22,18.56,18.11,17.75,18.4,81,7037
2016-11-23,17.95,16.98,16.87,17.95,186,12985
2016-11-25,17.07,16.7,16.67,17.07,54,5866
2016-11-28,16.86,16.23,16.01,16.59,70,6339
2016-11-29,16.76,16.41,15.67,16.18,120,11385
2016-11-30,16.73,16.33,16.25,16.35,66,6755
2016-12-01,17.1,15.98,15.8,16.3,134,13824
2016-12-02,16.2,15.07,14.98,15.85,90,10007
2016-12-05,15.905,14.9,14.82,15.2,210,15690
2016-12-06,15.275,15.11,14.92,14.92,159,18996
2016-12-07,15.66,15.18,14.99,14.99,91,8413
2016-12-08,15.92,15.77,15.29,15.29,89,7876
2016-12-09,16.0,15.28,14.98,15.86,82,10217
2016-12-12,15.61,15.31,15.07,15.4,70,4607
2016-12-13,15.99,15.98,15.29,15.29,76,6100
2016-12-14,16.4,15.83,15.78,16.4,47,2977
2016-12-15,16.0,15.77,15.53,15.95,128,13940
2016-12-16,15.89,15.73,15.55,15.89,72,83866
2016-12-19,16.49,16.07,15.6,15.71,142,19259
2016-12-20,16.25,16.0,15.83,16.02,101,14254
2016-12-21,16.21,15.82,15.75,16.0,82,7129
2016-12-22,16.08,16.0,15.84,15.84,80,3503
2016-12-23,16.38,16.31,15.84,15.98,60,6086
2016-12-27,16.66,16.2,15.87,16.34,75,7548
2016-12-28,16.46,16.25,16.01,16.09,61,5114
2016-12-29,16.5,16.47,16.27,16.32,74,5889
2016-12-30,16.75,16.41,16.25,16.5,56,4694
2017-01-03,16.54,15.7,15.48,16.45,118,11133
2017-01-04,16.1,16.0,15.73,15.73,151,9594
2017-01-05,16.1,15.89,15.8,16.0,81,8295
2017-01-06,16.04,15.4,15.18,15.93,124,16778
2017-01-09,15.79,15.46,15.37,15.43,80,6169
2017-01-10,15.78,15.5,15.27,15.5,75,11791
2017-01-11,15.66,15.44,15.35,15.46,123,17480
2017-01-12,15.49,15.0,15.0,15.49,105,21803
2017-01-13,15.17,15.17,15.0,15.1,45,7347
2017-01-17,15.3,15.17,15.05,15.2,186,22846
2017-01-18,15.57,15.35,15.15,15.25,133,17111
2017-01-19,16.1,15.47,15.35,15.46,183,21250
2017-01-20,16.5,16.34,15.43,15.43,201,19710
2017-01-23,16.6,16.48,16.1,16.29,98,8071
2017-01-24,16.235,16.1,15.32,16.08,339,48521
2017-01-25,16.5,15.89,15.66,16.11,235,33988
2017-01-26,16.02,15.88,15.75,16.0,106,11414
2017-01-27,15.92,14.82,14.42,15.92,328,61115
2017-01-30,15.4,14.92,14.7,14.84,117,13874
2017-01-31,15.5,15.41,14.87,14.92,215,29838
2017-02-01,15.99,15.61,15.1,15.48,231,24087
2017-02-02,15.98,15.86,15.47,15.47,307,13869
2017-02-03,16.25,16.08,15.84,15.92,208,28134
2017-02-06,16.2,16.07,16.0,16.2,113,13581
2017-02-07,16.44,16.0,15.92,16.15,174,24033
2017-02-08,16.0,15.83,15.1,15.96,145,13375
2017-02-09,16.03,15.9,15.72,15.75,70,7073
2017-02-10,16.09,15.32,15.15,15.92,142,16130
2017-02-13,15.8,15.13,15.06,15.23,169,12617
2017-02-14,15.5,15.48,15.0,15.0,89,10810
2017-02-15,15.82,15.76,15.36,15.46,97,9082
2017-02-16,16.2,15.86,15.5,15.72,240,43369
2017-02-17,16.06,16.0,15.92,15.95,95,14998
2017-02-21,16.5,16.5,16.1,16.12,156,16940
2017-02-22,16.51,16.43,16.25,16.5,114,16181
2017-02-23,17.21,17.09,16.2,16.46,128,18855
2017-02-24,17.2,17.19,16.97,17.19,72,5406
2017-02-27,17.64,17.26,17.17,17.25,169,19354
2017-02-28,20.37,20.23,18.06,18.35,707,104297
2017-03-01,20.7,20.33,19.79,20.23,600,83354
2017-03-02,20.11,18.48,18.36,20.11,302,33128
2017-03-03,19.33,18.95,18.0,18.58,249,31960
2017-03-06,19.12,19.0,18.71,19.05,191,12468
2017-03-07,19.62,19.56,18.7,18.87,142,12708
2017-03-08,20.22,19.86,19.42,19.73,294,53169
2017-03-09,20.73,20.69,19.7,19.99,167,17976
2017-03-10,20.94,20.66,20.15,20.92,237,29028
2017-03-13,20.8,19.99,19.61,20.8,354,39475
2017-03-14,19.9,18.56,18.3,19.9,380,36271
2017-03-15,18.56,18.2,17.99,18.56,438,60741
2017-03-16,18.83,17.97,17.79,18.59,425,55852
2017-03-17,18.24,17.94,17.78,17.91,264,128771
2017-03-20,18.91,18.8,17.44,18.06,253,24164
2017-03-21,19.08,18.86,18.28,18.79,225,26735
2017-03-22,18.83,17.86,17.77,18.8,370,43169
2017-03-23,18.2,18.0,17.5,17.76,170,21440
2017-03-24,18.76,18.14,17.86,17.92,392,45543
2017-03-27,18.39,18.18,17.87,18.0,240,17290
2017-03-28,18.12,18.0,17.65,18.1,306,27812
2017-03-29,18.43,18.23,17.91,17.91,305,18957
2017-03-30,18.6,18.48,17.97,18.23,141,13139
2017-03-31,19.13,18.95,18.16,18.4,211,41429
2017-04-03,19.2,18.73,18.42,18.95,350,20927
2017-04-04,18.71,18.15,18.02,18.71,139,13759
2017-04-05,18.48,18.24,18.05,18.05,236,21416
2017-04-06,18.98,18.75,18.12,18.27,384,28931
2017-04-07,19.86,19.86,18.42,18.73,401,39800
2017-04-10,20.0,19.0,19.0,19.82,486,50145
2017-04-11,19.01,17.95,17.75,19.0,332,29085
2017-04-12,18.03,17.11,16.83,18.03,457,49063
2017-04-13,17.39,17.35,16.98,17.04,220,18799
2017-04-17,17.65,17.61,17.31,17.43,183,13787
2017-04-18,17.54,17.11,16.99,17.45,330,41238
2017-04-19,17.96,17.93,17.22,17.22,212,14868
2017-04-20,18.69,18.19,17.92,18.0,223,24584
2017-04-21,18.54,18.45,18.03,18.26,121,9580
2017-04-24,19.12,19.07,18.58,18.58,299,30633
2017-04-25,19.785,19.02,18.91,19.19,406,32671
2017-04-26,19.37,19.04,18.87,19.0,268,21804
2017-04-27,19.3,19.09,18.82,19.12,206,14810
2017-04-28,19.1,18.85,18.4,19.1,386,34572
2017-05-01,19.16,19.11,18.77,18.9,198,10494
2017-05-02,19.5,18.9,18.89,19.08,210,12824
2017-05-03,18.91,18.49,18.26,18.62,209,13656
