Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-11-08,15.02,13.35,13.03,13.75,2685,663831
2019-11-11,13.12,12.85,12.52,13.07,363,58344
2019-11-12,13.47,12.85,12.69,12.84,183,21678
2019-11-13,12.99,12.5,12.29,12.84,101,16676
2019-11-14,12.65,12.5,12.3,12.5,40,7755
2019-11-15,12.67,12.09,12.09,12.67,120,14673
2019-11-18,12.1,11.45,11.0,12.1,226,24749
2019-11-19,11.7,11.5,11.29,11.64,110,12407
2019-11-20,12.38,11.95,11.4,11.4,324,28991
2019-11-21,12.0,11.42,11.36,11.96,79,9065
2019-11-22,11.61,11.37,11.25,11.61,46,5313
2019-11-25,11.75,11.75,11.15,11.37,126,29575
2019-11-26,12.0,11.39,10.78,11.7,241,27458
2019-11-27,12.03,11.98,11.14,11.29,119,9735
2019-11-29,13.86,13.8,11.98,11.98,164,20424
2019-12-02,13.65,12.31,12.26,13.65,254,35767
2019-12-03,13.12,12.96,12.45,12.65,203,19842
2019-12-04,13.25,13.14,12.51,13.2,199,18060
2019-12-05,13.33,12.07,11.85,13.33,181,20072
2019-12-06,12.6,12.37,11.7,12.51,282,29428
2019-12-09,12.51,12.15,11.975,12.43,108,13081
2019-12-10,12.14,11.92,11.5,12.11,124,20661
2019-12-11,12.68,11.77,11.72,11.9,179,20586
2019-12-12,11.695,11.67,11.57,11.69,67,5505
2019-12-13,11.67,11.62,11.5,11.58,47,15010
2019-12-16,11.7,11.49,11.48,11.54,267,12270
2019-12-17,11.49,11.26,11.0,11.4,640,39684
2019-12-18,12.62,12.55,11.57,11.6,311,30664
2019-12-19,13.0,12.83,12.18,12.62,144,10471
2019-12-20,13.05,12.06,11.77,13.05,464,56843
2019-12-23,12.27,12.25,11.8,12.16,278,15252
2019-12-24,12.34,12.34,11.83,12.22,95,5007
2019-12-26,12.5,12.42,12.05,12.25,291,19940
2019-12-27,12.65,12.65,12.12,12.53,194,15648
2019-12-30,12.7,12.52,12.31,12.55,501,30291
2019-12-31,12.95,12.95,12.42,12.46,534,39880
2020-01-02,12.98,12.95,12.17,12.86,411,31377
2020-01-03,12.8,12.35,12.2,12.77,319,21959
2020-01-06,12.62,12.45,12.2,12.36,308,20391
2020-01-07,13.38,13.19,12.25,12.5,291,22074
2020-01-08,14.18,13.92,12.71,13.03,428,47639
2020-01-09,14.01,13.02,12.62,14.01,289,27967
2020-01-10,14.14,13.67,13.0,14.14,338,34231
2020-01-13,14.25,14.06,13.56,13.56,347,28245
2020-01-14,14.5,14.38,13.71,14.01,289,23573
2020-01-15,15.0,14.67,14.05,14.31,382,53792
2020-01-16,15.46,15.14,14.92,14.98,327,30799
2020-01-17,15.6,14.93,14.66,15.34,347,28706
2020-01-21,14.9,14.53,13.55,14.9,359,31308
2020-01-22,15.61,15.48,14.6,14.6,216,16616
2020-01-23,15.74,15.62,14.68,15.55,64,7364
2020-01-24,15.88,15.5,15.5,15.74,84,10387
2020-01-27,15.79,15.5,15.43,15.43,77,5793
2020-01-28,15.74,15.19,15.03,15.58,47,4938
2020-01-29,15.57,15.15,15.02,15.22,85,5462
2020-01-30,15.27,14.78,14.59,14.99,97,8031
2020-01-31,15.3,14.9,14.78,14.9,101,9217
2020-02-03,15.3,15.15,14.8,14.95,64,4501
2020-02-04,15.44,15.44,15.17,15.2,104,7649
2020-02-05,15.84,15.39,14.97,15.84,277,20153
2020-02-06,15.7,15.7,14.34,15.35,144,13539
2020-02-07,15.4,15.25,15.15,15.4,54,4966
2020-02-10,15.49,15.39,14.65,15.34,126,8570
2020-02-11,15.69,15.55,15.09,15.47,108,9764
2020-02-12,15.85,15.7,15.5,15.59,248,17437
2020-02-13,15.75,15.45,15.45,15.74,61,4762
2020-02-14,15.85,15.5,15.5,15.63,108,7279
2020-02-18,18.0,18.0,15.6,15.6,193,24511
2020-02-19,18.05,17.95,17.4,17.83,124,7697
2020-02-20,17.76,17.54,17.15,17.65,85,5373
2020-02-21,18.18,18.0,17.3,17.49,156,14366
2020-02-24,18.82,18.82,17.35,17.59,97,8658
2020-02-25,18.88,17.3,17.15,18.88,60,4973
2020-02-26,17.94,17.44,16.82,17.58,139,11757
2020-02-27,17.27,15.82,15.58,17.11,173,15342
2020-02-28,15.49,15.49,14.29,15.44,172,12993
2020-03-02,17.99,15.99,14.93,15.77,217,17940
2020-03-03,16.99,15.55,15.52,16.99,331,27587
2020-03-04,15.71,14.55,14.55,15.57,116,10245
2020-03-05,15.36,14.8,14.0,14.15,95,6817
2020-03-06,15.21,14.9,14.2,14.45,89,4723
2020-03-09,14.49,12.05,11.81,14.49,173,14894
2020-03-10,13.0,12.75,11.36,12.5,164,15002
2020-03-11,12.66,11.9,11.53,12.66,655,44587
2020-03-12,11.3,10.89,10.0,11.0,348,23088
2020-03-13,11.25,11.0,10.31,11.25,253,19703
2020-03-16,10.22,9.14,8.82,10.22,270,15909
2020-03-17,9.41,8.75,8.37,9.14,346,20673
2020-03-18,8.59,5.39,5.27,8.2,285,20350
2020-03-19,7.83,6.21,5.25,5.25,358,46876
2020-03-20,6.85,6.57,6.46,6.66,325,22430
2020-03-23,6.53,6.12,6.02,6.5,430,33023
2020-03-24,7.93,7.37,6.91,7.93,330,29981
2020-03-25,9.17,8.1,7.6,7.6,360,27434
2020-03-26,9.0,8.0,7.76,8.34,399,36662
2020-03-27,8.785,8.01,8.0,8.43,602,61874
2020-03-30,8.28,8.05,7.69,7.69,571,57905
2020-03-31,8.8,7.82,7.41,7.91,316,35745
2020-04-01,8.0,7.97,6.64,7.74,289,21538
2020-04-02,8.165,7.75,7.75,7.94,207,14753
2020-04-03,8.07,8.0,7.73,7.83,167,9451
2020-04-06,8.215,7.94,7.78,8.11,253,16938
2020-04-07,8.45,8.02,7.9,8.03,343,28998
2020-04-08,8.48,8.48,8.12,8.15,238,16882
2020-04-09,8.67,8.45,8.17,8.5,162,16133
2020-04-13,8.36,7.93,7.71,8.36,113,9345
2020-04-14,8.165,8.03,7.92,8.08,118,11714
2020-04-15,8.03,7.99,7.71,7.86,142,9202
2020-04-16,8.11,7.94,7.94,8.0,132,12197
2020-04-17,8.4,7.93,7.8,8.32,363,35263
2020-04-20,8.42,8.42,7.93,8.01,112,10251
2020-04-21,8.48,8.47,8.18,8.18,141,5328
2020-04-22,9.51,9.41,8.55,8.6,240,13947
2020-04-23,10.41,9.74,9.7,9.85,417,19512
2020-04-24,10.94,10.72,10.15,10.2,73,6361
2020-04-27,10.99,10.83,10.7,10.7,136,8239
2020-04-28,10.78,9.51,9.22,10.76,177,14343
2020-04-29,10.92,10.76,9.88,9.88,142,7717
2020-04-30,11.47,11.47,10.76,10.76,147,7032
2020-05-01,11.46,11.12,11.01,11.37,107,8921
2020-05-04,12.46,11.96,11.07,11.07,180,10891
2020-05-05,13.455,12.5,11.76,12.35,199,16778
2020-05-06,12.73,12.21,11.89,11.89,96,11796
2020-05-07,12.88,12.51,12.31,12.31,96,4334
2020-05-08,13.5,11.87,11.86,12.83,161,9351
2020-05-11,12.75,12.27,11.99,11.99,123,57035
2020-05-12,12.51,11.57,11.01,12.51,84,3446
2020-05-13,12.055,11.97,11.86,11.86,91,3883
2020-05-14,11.87,11.38,10.87,11.87,45,2075
2020-05-15,11.96,11.83,11.17,11.17,85,6718
2020-05-18,12.75,12.75,11.77,12.0,121,6824
2020-05-19,14.69,13.98,12.57,12.57,226,13742
2020-05-20,14.37,14.17,14.17,14.23,167,6560
2020-05-21,14.35,13.89,13.88,14.34,50,3210
2020-05-22,14.37,14.37,14.1,14.1,40,2555
2020-05-26,14.37,13.94,13.66,14.37,149,10494
2020-05-27,14.29,14.17,13.82,14.07,141,6224
2020-05-28,14.2,13.4,13.4,14.11,88,6435
2020-05-29,13.94,13.75,13.41,13.41,115,3674
2020-06-01,14.12,14.03,13.43,13.43,135,9077
2020-06-02,15.5,15.5,14.23,14.3,277,20480
2020-06-03,17.29,17.0,15.09,15.5,360,25227
2020-06-04,17.0,17.0,16.32,16.98,140,7357
2020-06-05,17.0,16.5,16.32,17.0,80,8022
2020-06-08,17.7,16.58,16.58,16.89,225,9551
2020-06-09,17.6,16.82,16.82,17.0,83,5027
2020-06-10,17.5,16.51,16.51,17.49,249,18578
2020-06-11,17.13,17.01,15.43,16.72,141,7580
2020-06-12,17.43,16.87,16.81,17.06,207,10586
2020-06-15,19.33,18.29,16.71,16.71,174,11294
2020-06-16,19.67,19.18,17.69,19.17,86,5328
2020-06-17,19.91,19.91,18.36,19.67,178,16287
2020-06-18,21.67,21.67,19.86,20.0,261,29317
2020-06-19,23.5,22.61,21.86,23.5,356,53379
2020-06-22,22.8,20.9,20.38,22.5,298,46258
2020-06-23,22.49,21.29,20.76,21.56,508,20812
2020-06-24,20.05,19.89,19.1,19.11,658,23103
2020-06-25,20.65,18.27,17.88,19.79,741,55534
2020-06-26,15.43,13.75,13.62,15.2,4820,1174135
2020-06-29,13.88,13.0,12.7,13.85,1271,162914
2020-06-30,13.3,12.96,12.7,12.92,860,81899
2020-07-01,13.13,12.42,12.15,13.08,1372,103598
2020-07-02,13.8,13.65,12.58,12.58,344,25134
2020-07-06,14.3,13.92,13.87,14.05,337,27813
2020-07-07,14.11,12.74,12.615,13.97,536,38868
2020-07-08,13.21,13.21,12.76,12.84,404,42262
2020-07-09,13.9,13.05,12.87,13.9,395,43158
2020-07-10,13.52,13.52,12.77,12.95,371,35415
2020-07-13,13.95,13.22,13.0,13.69,380,36210
2020-07-14,13.91,13.81,13.17,13.17,152,13444
2020-07-15,14.35,14.19,14.04,14.06,200,21862
2020-07-16,14.185,14.15,13.97,14.05,199,18093
2020-07-17,14.6,14.17,14.11,14.11,459,45529
2020-07-20,14.5,14.03,13.87,14.22,177,15064
2020-07-21,15.32,14.96,14.11,14.11,332,25411
2020-07-22,14.85,14.22,13.75,14.85,162,11015
2020-07-23,14.65,13.88,13.77,14.42,128,9460
2020-07-24,14.72,14.05,12.51,13.78,411,46587
2020-07-27,14.22,12.97,12.84,14.21,269,23779
2020-07-28,12.9,12.59,12.47,12.9,175,14227
2020-07-29,12.8,12.46,12.31,12.63,167,14485
2020-07-30,12.49,12.21,11.9,12.31,143,8381
2020-07-31,12.17,11.64,11.51,12.17,402,49153
2020-08-03,12.16,12.16,11.61,11.71,238,18139
2020-08-04,13.25,13.24,12.11,12.11,138,11869
2020-08-05,13.61,13.26,13.15,13.61,188,12376
2020-08-06,13.27,13.27,13.15,13.15,52,2398
2020-08-07,13.3,13.27,13.08,13.18,101,10414
2020-08-10,13.57,13.38,13.28,13.37,133,10333
2020-08-11,13.45,13.2,12.97,13.45,164,11305
2020-08-12,13.6,13.13,12.99,13.16,167,11705
2020-08-13,14.42,13.91,13.48,13.79,390,33183
2020-08-14,14.16,13.15,12.8,14.04,279,20750
2020-08-17,13.74,13.74,12.9,13.34,179,13243
2020-08-18,13.63,13.6,13.09,13.63,80,4928
2020-08-19,14.34,13.51,13.51,13.79,120,6417
2020-08-20,13.74,13.63,13.36,13.4,82,5841
2020-08-21,13.95,13.79,12.95,12.95,153,18242
2020-08-24,13.88,13.12,13.03,13.84,161,10147
2020-08-25,13.61,13.41,12.965,13.25,137,11081
2020-08-26,13.59,13.55,13.15,13.37,160,10788
2020-08-27,13.55,13.21,13.03,13.55,114,7593
2020-08-28,13.84,13.49,12.84,13.16,176,15618
2020-08-31,14.43,14.25,13.2,13.33,213,13778
2020-09-01,14.76,14.3,14.15,14.29,206,14185
2020-09-02,14.5,13.55,13.41,14.5,176,9838
2020-09-03,14.35,13.19,13.0,13.72,422,33281
2020-09-04,13.5,13.19,12.99,13.29,189,15430
2020-09-08,14.1,14.0,13.08,13.08,241,12842
2020-09-09,15.56,15.46,14.1,14.1,454,27333
2020-09-10,16.05,15.75,15.19,15.48,377,26324
2020-09-11,16.2,15.93,15.65,15.92,524,34382
2020-09-14,17.45,16.86,16.13,16.21,552,44134
2020-09-15,16.85,16.76,16.65,16.85,329,26718
2020-09-16,16.78,16.09,15.66,16.78,320,17603
2020-09-17,15.93,15.61,15.29,15.93,234,13446
2020-09-18,16.1,15.39,15.3,15.8,315,192420
2020-09-21,16.0,15.9,15.21,15.31,517,19479
2020-09-22,16.0,15.91,15.64,15.89,168,9796
2020-09-23,16.17,15.61,15.24,15.77,238,27181
2020-09-24,15.65,15.27,14.79,15.54,272,9586
2020-09-25,15.445,15.38,14.84,14.84,146,8819
2020-09-28,16.13,15.82,15.36,15.36,155,11285
2020-09-29,16.0,15.99,15.64,15.64,92,7194
2020-09-30,16.62,16.54,15.9,16.0,257,27991
2020-10-01,16.53,16.39,16.0,16.53,390,18717
2020-10-02,16.35,15.95,15.95,16.15,147,18698
2020-10-05,16.25,16.09,16.04,16.04,119,6670
2020-10-06,16.39,16.09,15.63,16.09,174,12130
2020-10-07,16.25,16.21,15.94,16.0,249,16091
2020-10-08,16.35,16.18,16.01,16.21,194,14693
2020-10-09,16.26,16.1,16.05,16.26,161,7612
2020-10-12,16.4,16.32,16.23,16.23,129,10566
2020-10-13,16.75,16.38,16.16,16.26,233,14402
2020-10-14,16.37,16.15,16.14,16.37,130,6587
2020-10-15,16.2,15.92,15.56,15.97,140,7544
2020-10-16,16.22,16.0,15.83,15.83,126,7910
2020-10-19,16.23,15.58,15.58,16.09,58,2965
2020-10-20,16.0,15.64,15.4,15.78,183,11313
2020-10-21,16.5,16.26,15.52,15.52,82,6472
2020-10-22,16.92,16.83,16.43,16.43,67,5495
2020-10-23,17.17,16.99,16.91,16.91,108,5814
2020-10-26,17.03,16.38,16.37,17.03,67,3579
2020-10-27,16.37,16.16,15.91,16.37,77,5397
2020-10-28,15.93,14.61,13.73,15.93,198,13384
2020-10-29,15.89,15.76,14.21,14.48,149,7293
2020-10-30,15.49,15.16,15.16,15.49,71,5019
2020-11-02,15.69,15.69,14.78,15.16,160,10071
2020-11-03,16.29,16.21,15.57,15.73,92,5746
