Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,17.49,17.49,17.2,17.2,1528,642371
2013-01-03,17.44,17.26,17.18,17.44,903,381176
2013-01-04,17.37,17.3,17.13,17.26,837,342848
2013-01-07,17.2,17.15,16.95,17.17,882,299473
2013-01-08,17.14,16.95,16.91,17.14,586,517223
2013-01-09,17.04,17.0,16.83,17.01,845,294713
2013-01-10,17.13,16.96,16.84,17.09,961,515255
2013-01-11,17.12,17.1,16.88,16.96,1062,477309
2013-01-14,17.08,16.84,16.71,17.05,980,411070
2013-01-15,16.75,16.7,16.62,16.73,996,443552
2013-01-16,16.83,16.78,16.62,16.72,1587,652720
2013-01-17,17.23,17.08,16.88,16.9,1597,618882
2013-01-18,17.28,17.13,17.0,17.1,1315,706658
2013-01-22,17.21,17.09,16.94,17.1,1161,521922
2013-01-23,17.16,17.03,16.85,17.07,1199,443495
2013-01-24,16.82,16.21,15.75,15.99,3673,1340399
2013-01-25,16.62,16.56,16.09,16.09,1674,859069
2013-01-28,16.53,16.3,16.17,16.53,1455,567351
2013-01-29,16.3,16.28,16.05,16.23,1242,494462
2013-01-30,16.41,16.21,16.13,16.23,1061,407252
2013-01-31,16.27,16.16,16.08,16.2,921,383915
2013-02-01,16.75,16.64,16.22,16.28,1408,581609
2013-02-04,16.68,16.25,16.25,16.53,1237,425768
2013-02-05,16.98,16.89,16.35,16.45,1711,738061
2013-02-06,17.05,17.0,16.64,16.78,1736,898584
2013-02-07,17.04,16.95,16.85,17.01,1259,645034
2013-02-08,17.28,17.18,16.94,17.0,1112,492886
2013-02-11,17.24,17.21,17.01,17.13,923,314575
2013-02-12,17.37,17.3,17.14,17.17,1129,602347
2013-02-13,17.49,17.43,17.27,17.3,916,330138
2013-02-14,17.66,17.65,17.34,17.35,1291,482634
2013-02-15,17.64,17.29,17.2,17.61,1432,793340
2013-02-19,17.52,17.42,17.23,17.31,1003,413454
2013-02-20,17.45,16.97,16.95,17.42,1147,449643
2013-02-21,16.86,16.68,16.53,16.85,1351,600671
2013-02-22,16.98,16.89,16.65,16.81,788,315855
2013-02-25,17.12,16.34,16.33,16.99,1509,574252
2013-02-26,16.58,16.55,16.29,16.44,1571,452390
2013-02-27,16.86,16.81,16.44,16.5,1421,617784
2013-02-28,16.99,16.76,16.72,16.78,831,307472
2013-03-01,16.76,16.62,16.43,16.64,1141,423589
2013-03-04,16.76,16.74,16.46,16.6,906,419963
2013-03-05,17.47,17.19,16.87,16.87,2077,849332
2013-03-06,17.39,17.12,17.11,17.25,751,313283
2013-03-07,17.2,17.15,17.04,17.15,831,368942
2013-03-08,17.25,17.06,17.03,17.2,929,421326
2013-03-11,17.03,16.9,16.79,16.98,872,473699
2013-03-12,16.94,16.87,16.74,16.88,1050,496350
2013-03-13,16.98,16.93,16.66,16.89,669,386530
2013-03-14,17.09,17.0,16.93,16.99,809,379361
2013-03-15,17.0,16.83,16.67,16.94,1106,909577
2013-03-18,16.73,16.53,16.49,16.61,835,280803
2013-03-19,16.63,16.4,16.18,16.55,1071,360768
2013-03-20,16.74,16.45,16.35,16.55,1627,614159
2013-03-21,16.42,15.94,15.84,16.3,1812,831345
2013-03-22,16.09,15.81,15.74,16.02,1052,1019368
2013-03-25,15.99,15.9,15.72,15.9,1319,487388
2013-03-26,16.06,16.02,15.85,15.99,896,340029
2013-03-27,15.87,15.86,15.44,15.85,1266,450942
2013-03-28,16.25,16.22,15.87,15.87,919,532892
2013-04-01,16.25,15.84,15.81,16.25,1224,343636
2013-04-02,15.9,15.46,15.36,15.9,1159,558140
2013-04-03,15.54,15.25,15.11,15.52,1302,516187
2013-04-04,15.42,15.35,15.14,15.26,999,399424
2013-04-05,15.35,15.31,14.86,15.09,1357,827750
2013-04-08,15.62,15.58,15.11,15.3,885,416229
2013-04-09,15.74,15.58,15.38,15.63,1091,391240
2013-04-10,16.02,15.97,15.6,15.6,1417,484605
2013-04-11,16.05,15.89,15.79,15.91,871,325183
2013-04-12,15.85,15.47,15.2,15.77,1657,772912
2013-04-15,15.35,14.94,14.92,15.35,1952,698436
