Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-09-15,21.32,19.68,18.32,20.5,4524,830665
2022-09-16,19.47,18.0,17.97,19.47,1057,125314
2022-09-19,17.86,17.0,16.11,17.86,1256,93621
2022-09-20,17.43,16.8,16.39,16.81,557,31118
2022-09-21,17.51,16.88,16.7,16.88,861,65853
2022-09-22,17.29,16.75,16.5,16.88,672,41822
2022-09-23,17.08,17.0,16.15,16.49,274,16486
2022-09-26,18.3,17.43,16.97,17.19,416,43229
2022-09-27,20.18,19.93,17.525,17.525,492,54629
2022-09-28,20.39,18.97,18.65,19.89,355,20854
2022-09-29,19.47,18.84,18.38,18.63,217,12726
2022-09-30,19.32,18.97,18.68,18.95,213,14571
2022-10-03,19.69,17.0,16.75,19.51,822,45256
2022-10-04,17.43,17.0,16.73,17.0,431,21819
2022-10-05,19.12,19.12,16.86,17.16,143,7439
2022-10-06,19.71,19.45,18.71,19.19,294,17086
2022-10-07,20.39,20.01,19.23,19.7,210,9576
2022-10-10,20.5,19.37,18.89,20.36,231,8957
2022-10-11,19.55,19.0,18.62,19.19,358,9506
2022-10-12,18.71,17.75,17.51,18.71,365,12774
2022-10-13,17.93,17.75,16.84,17.75,125,4743
2022-10-14,18.09,17.06,17.05,18.09,188,9199
2022-10-17,17.44,17.23,16.91,17.44,182,6249
2022-10-18,17.5,16.66,16.5,17.32,467,18443
2022-10-19,16.93,16.93,16.5,16.75,312,21230
2022-10-20,17.55,17.38,16.75,17.07,437,18034
2022-10-21,17.58,17.31,16.88,17.23,595,20646
2022-10-24,17.49,17.4,17.17,17.17,267,11760
2022-10-25,18.8,18.4,17.17,17.17,326,11315
2022-10-26,18.42,17.83,17.83,18.42,57,2139
2022-10-27,19.8,19.35,17.62,17.91,186,10352
2022-10-28,22.78,22.39,19.18,19.18,253,9917
2022-10-31,24.42,23.97,23.4,23.5,909,25157
2022-11-01,24.595,23.12,22.76,24.595,596,32761
2022-11-02,23.17,21.7,21.54,22.66,673,25727
2022-11-03,22.0,21.81,20.99,21.69,963,36765
2022-11-04,22.16,20.8,20.6,21.27,536,20707
2022-11-07,21.1,20.68,20.41,20.69,383,13230
2022-11-08,21.1,19.99,19.03,21.1,973,37303
2022-11-09,20.39,20.0,19.2,19.2,444,19744
2022-11-10,20.13,19.75,19.5,20.01,777,26253
2022-11-11,19.69,19.02,18.5,19.69,521,23316
2022-11-14,19.015,18.01,17.6,18.86,533,25838
2022-11-15,18.34,18.23,17.87,18.23,677,28126
2022-11-16,18.43,18.1,17.77,18.43,992,56546
2022-11-17,18.85,18.37,17.78,17.78,557,28600
2022-11-18,20.17,19.78,18.22,18.22,401,21702
2022-11-21,19.9,19.0,18.71,19.85,671,29892
2022-11-22,19.97,19.76,18.65,18.7,439,22746
2022-11-23,20.21,19.0,18.765,19.76,614,32982
2022-11-25,19.36,18.96,18.63,19.18,533,33417
2022-11-28,19.49,18.92,18.37,18.88,767,35804
2022-11-29,19.22,18.89,18.72,18.8,417,17556
2022-11-30,19.6,19.5,17.7,18.64,491,23028
2022-12-01,22.24,21.77,19.21,19.72,538,30135
2022-12-02,22.02,20.99,20.41,21.34,1135,38936
2022-12-05,22.22,22.0,21.19,21.19,1153,38629
2022-12-06,22.4,21.56,21.5,21.75,773,27623
2022-12-07,21.94,19.58,19.465,21.52,613,20091
2022-12-08,20.97,20.51,19.53,19.73,475,18015
2022-12-09,20.9,19.04,18.99,20.45,638,21834
2022-12-12,20.99,20.42,19.04,19.04,956,36728
2022-12-13,20.9,20.58,20.15,20.42,1193,48037
2022-12-14,20.54,19.8,18.37,20.54,860,83503
2022-12-15,5.25,4.3,4.09,4.63,9310,1356511
2022-12-16,4.61,4.4,3.99,4.17,4115,2085775
2022-12-19,4.35,4.3,4.16,4.16,1315,227562
2022-12-20,4.2,4.0,3.96,4.2,1250,301746
2022-12-21,4.17,4.13,3.95,4.15,1003,101733
2022-12-22,4.13,4.04,3.97,4.1,754,64824
2022-12-23,4.3,4.21,4.06,4.3,652,79402
2022-12-27,4.44,4.17,4.15,4.22,833,62314
2022-12-28,4.22,4.18,4.145,4.2,579,43326
2022-12-29,4.255,4.2,4.18,4.19,523,52660
2022-12-30,4.32,4.3,4.11,4.16,809,121797
2023-01-03,4.41,4.15,4.08,4.33,538,76797
2023-01-04,4.44,4.34,4.15,4.15,546,46795
2023-01-05,4.36,4.3,4.2,4.35,394,48305
2023-01-06,4.32,4.2,4.2,4.29,261,21532
2023-01-09,4.25,4.2,4.12,4.25,395,43435
2023-01-10,4.31,4.3,4.19,4.19,285,28470
