Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-07-16,9.94,9.94,9.88,9.9,1124,2275396
2021-07-19,9.93,9.9,9.89,9.89,235,198321
2021-07-20,9.92,9.9,9.9,9.92,21,13410
2021-07-21,9.93,9.93,9.91,9.92,53,11250
2021-07-22,9.95,9.92,9.91,9.95,67,11194
2021-07-23,9.93,9.92,9.85,9.85,5,5439
2021-07-26,9.95,9.92,9.92,9.95,3,13700
2021-07-27,9.92,9.91,9.91,9.92,11,8712
2021-07-28,9.93,9.93,9.93,9.93,36,485
2021-07-29,9.94,9.91,9.89,9.93,11,6811
2021-08-02,9.95,9.95,9.94,9.94,4,4353
2021-08-03,9.95,9.95,9.87,9.87,660,152694
2021-08-04,10.0,10.0,9.88,9.88,177,65919
2021-08-05,9.95,9.9,9.9,9.95,30,4426
2021-08-06,9.94,9.88,9.88,9.94,27,2700
2021-08-09,9.94,9.92,9.9,9.94,9,1067
2021-08-10,9.92,9.92,9.92,9.92,4,383
2021-08-11,9.93,9.93,9.93,9.93,3,200
2021-08-12,9.92,9.88,9.88,9.92,37,21731
2021-08-13,9.88,9.85,9.85,9.87,11,2600
2021-08-16,9.91,9.87,9.87,9.91,6,730
2021-08-17,9.92,9.865,9.855,9.86,16,2060
2021-08-18,9.93,9.87,9.86,9.88,59,8700
2021-08-19,9.87,9.87,9.85,9.85,4,703
2021-08-20,9.87,9.85,9.84,9.87,12,6435
2021-08-23,9.85,9.85,9.85,9.85,1,1
2021-08-24,9.86,9.86,9.86,9.86,9,4345
2021-08-25,9.88,9.88,9.88,9.88,2,101
2021-08-26,9.86,9.86,9.85,9.85,4,1194
2021-08-27,9.83,9.83,9.83,9.83,1,1
2021-08-30,9.84,9.84,9.84,9.84,1,2000
2021-08-31,9.86,9.86,9.82,9.82,2,4
2021-09-01,9.87,9.87,9.87,9.87,3,254
2021-09-02,9.92,9.92,9.82,9.82,42,8501
2021-09-03,9.89,9.89,9.89,9.89,1,2
2021-09-07,9.9,9.88,9.88,9.9,4,329
2021-09-08,9.92,9.92,9.88,9.88,17,1417
2021-09-09,9.92,9.89,9.89,9.92,2,159
2021-09-13,9.94,9.93,9.9,9.92,56,10187
2021-09-14,9.83,9.83,9.83,9.83,1,450
2021-09-15,9.89,9.88,9.88,9.88,20,2081
2021-09-16,9.94,9.94,9.87,9.87,16,1310
2021-09-17,9.92,9.9,9.9,9.92,26,4605
2021-09-20,9.88,9.88,9.88,9.88,1,127
2021-09-21,9.89,9.85,9.85,9.89,5,802
2021-09-22,9.92,9.9,9.9,9.92,7,2100
2021-09-27,9.9,9.9,9.9,9.9,1,4
2021-09-28,9.92,9.92,9.92,9.92,69,11700
2021-09-29,10.0,10.0,9.9,9.9,11,8979
2021-09-30,9.98,9.98,9.98,9.98,1,2
2021-10-01,9.9,9.9,9.9,9.9,1,24
2021-10-04,9.97,9.97,9.97,9.97,4,380
2021-10-05,9.955,9.95,9.92,9.92,35,5147
2021-10-06,9.93,9.93,9.86,9.91,10,5934
2021-10-07,9.95,9.95,9.87,9.87,10,23524
2021-10-08,9.94,9.94,9.9,9.9,2,40
2021-10-14,9.95,9.95,9.935,9.95,37,3623
2021-10-15,9.94,9.94,9.94,9.94,1,34
2021-10-19,9.95,9.91,9.91,9.95,3,193
2021-10-20,9.91,9.91,9.81,9.81,4,150
2021-10-21,9.95,9.95,9.91,9.91,52,21706
2021-10-22,9.95,9.95,9.95,9.95,1,6
2021-10-25,9.95,9.95,9.95,9.95,21,35500
2021-10-26,9.97,9.97,9.97,9.97,16,12500
2021-10-27,10.0,10.0,9.97,10.0,41,22461
2021-10-28,9.96,9.96,9.96,9.96,1,32
2021-10-29,9.95,9.95,9.95,9.95,1,157
2021-11-01,9.88,9.88,9.88,9.88,1,14
2021-11-02,9.95,9.95,9.95,9.95,1,1800
2021-11-03,9.97,9.97,9.97,9.97,3,328
2021-11-04,9.97,9.97,9.97,9.97,1,100
2021-11-05,9.99,9.99,9.95,9.98,8,5413
2021-11-12,10.01,10.01,9.99,10.0,6,3717
2021-11-15,10.0,10.0,9.98,9.98,8,822
2021-11-17,10.03,10.03,10.02,10.02,4,110
2021-11-19,10.01,10.01,10.01,10.01,92,19943
2021-12-06,10.09,10.09,9.95,9.95,3,200
2021-12-15,9.95,9.95,9.95,9.95,1,100
2021-12-20,10.0,9.95,9.95,10.0,3,226
2021-12-27,10.05,9.95,9.93,9.93,4,318
2022-01-05,9.94,9.94,9.94,9.94,3,1000
2022-01-25,9.9,9.9,9.9,9.9,1,600
2022-01-28,9.82,9.77,9.75,9.75,10,1402
2022-02-28,9.9,9.9,9.76,9.77,4,1700
2022-03-07,9.76,9.76,9.76,9.76,2,2
2022-03-09,9.77,9.77,9.77,9.77,1,100
2022-03-17,9.87,9.75,9.75,9.87,2,300
2022-03-21,9.86,9.85,9.85,9.86,2,101
2022-03-22,9.86,9.86,9.86,9.86,1,100
2022-03-24,9.78,9.77,9.71,9.71,7,5508
2022-03-25,9.75,9.75,9.75,9.75,2,294
2022-03-28,9.85,9.85,9.85,9.85,1,100
2022-04-08,9.88,9.87,9.8,9.87,12,6009
2022-04-12,9.9,9.9,9.9,9.9,1,100
2022-04-22,9.92,9.92,9.92,9.92,1,4
2022-04-27,9.82,9.82,9.82,9.82,4,5044
2022-04-29,9.82,9.82,9.82,9.82,2,505
2022-05-02,9.815,9.815,9.815,9.815,1,100
2022-05-03,9.82,9.82,9.82,9.82,3,675
2022-05-05,9.82,9.8,9.8,9.82,5,5197
2022-05-10,9.78,9.78,9.78,9.78,3,1100
2022-05-12,9.72,9.72,9.71,9.71,43,49396
2022-05-13,9.71,9.71,9.7,9.7,40,56390
2022-05-16,9.71,9.71,9.71,9.71,19,115476
2022-06-06,9.9,9.8,9.8,9.8,30,2496
2022-06-07,9.92,9.8,9.8,9.92,2,716
2022-06-09,9.92,9.92,9.92,9.92,1,50
2022-06-10,10.01,10.01,10.0,10.0,2,516
2022-06-13,10.01,9.81,9.81,10.01,3,56
2022-06-14,9.8,9.8,9.8,9.8,1,200
2022-06-21,9.8,9.8,9.8,9.8,4,20
2022-06-24,9.91,9.91,9.91,9.91,1,1
2022-07-14,9.75,9.72,9.72,9.75,14,1084
2022-07-29,9.77,9.77,9.77,9.77,1,100
2022-08-01,9.77,9.73,9.7,9.7,6,498
2022-08-03,9.76,9.73,9.73,9.76,2,2
