Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-10-26,50.14,50.05,50.05,50.14,14,1810
2017-10-27,50.28,50.28,50.08,50.08,2,113
2017-10-30,50.28,50.16,50.13,50.28,7,1144
2017-10-31,50.22,50.19,50.19,50.22,6,1310
2017-11-01,50.48,50.18,50.18,50.48,1,200
2017-11-02,50.33,50.24,50.199,50.33,15,665
2017-11-03,50.34,50.27,50.179,50.34,18,5458
2017-11-06,50.74,50.55,50.49,50.74,9,2378
2017-11-07,50.69,50.46,50.4,50.69,6,433
2017-11-08,50.56,50.56,50.4,50.54,6,1722
2017-11-09,50.39,50.37,50.289,50.39,8,305
2017-11-10,50.37,50.37,50.34,50.34,3,242
2017-11-13,50.53,50.53,50.29,50.29,1,298
2017-11-14,50.51,50.51,50.39,50.39,4,419
2017-11-15,50.34,50.31,50.3,50.34,9,2734
2017-11-16,50.67,50.62,50.46,50.46,8,3302
2017-11-17,50.73,50.71,50.71,50.73,3,291
2017-11-20,50.879,50.87,50.78,50.78,3,628
2017-11-21,51.13,51.13,51.08,51.08,1,83
2017-11-22,51.2,50.96,50.96,51.2,15,2228
2017-11-24,51.17,51.08,51.08,51.17,3,1510
2017-11-27,51.15,51.07,51.07,51.15,4,4741
2017-11-28,51.6,51.6,51.13,51.19,4,353
2017-11-29,51.699,51.62,51.62,51.68,5,648
2017-11-30,51.9,51.87,51.86,51.89,7,2130
2017-12-01,52.1,51.76,51.6,52.1,8,806
2017-12-04,52.09,51.57,51.57,52.09,4,1335
2017-12-05,51.57,51.29,51.29,51.57,6,421
2017-12-06,51.21,51.21,51.15,51.15,1,55
2017-12-07,51.63,51.4801,51.2,51.2,8,1186
2017-12-08,51.79,51.79,51.65,51.69,6,1196
2017-12-11,51.95,51.95,51.86,51.93,8,3190
2017-12-12,52.03,51.84,51.84,52.03,3,670
2017-12-13,51.91,51.73,51.73,51.91,2,58
2017-12-14,51.84,51.45,51.45,51.84,6,405
2017-12-15,51.929,51.83,51.58,51.58,2,359
2017-12-18,52.16,52.16,52.07,52.07,4,610
2017-12-19,52.3,51.96,51.96,52.3,8,1265
2017-12-20,52.22,52.01,52.01,52.22,10,2048
2017-12-21,52.21,52.03,52.03,52.21,7,904
2017-12-22,52.1,52.01,51.99,52.1,6,187
2017-12-26,52.069,52.05,51.97,52.0,10,1945
2017-12-27,52.17,52.09,52.05,52.17,5,147
2017-12-28,52.28,52.28,52.23,52.23,3,254
2017-12-29,52.49,52.0,52.0,52.49,11,1216
2018-01-02,52.34,52.34,52.22,52.25,6,1047
2018-01-03,52.7,52.64,52.64,52.7,4,581
2018-01-04,52.839,52.78,52.78,52.79,9,2925
2018-01-05,53.06,53.04,52.94,52.94,7,2087
2018-01-08,53.3,53.3,53.01,53.3,11,3457
2018-01-09,53.45,53.35,53.35,53.43,8,1125
2018-01-10,53.34,53.25,53.14,53.34,4,1190
2018-01-11,53.73,53.73,53.45,53.47,4,726
2018-01-12,54.08,54.08,53.959,53.96,5,877
2018-01-16,54.41,53.77,53.77,54.41,8,3438
2018-01-17,54.47,54.4,53.99,53.99,6,988
2018-01-18,54.48,54.255,54.22,54.48,7,951
2018-01-19,54.66,54.66,54.38,54.39,14,2127
2018-01-22,54.85,54.85,54.76,54.8,5,2680
2018-01-23,55.04,55.02,54.879,55.04,7,1266
2018-01-24,55.16,54.83,54.82,55.16,7,765
2018-01-25,55.07,54.75,54.67,55.07,8,1143
2018-01-26,55.24,55.24,54.92,55.02,4,505
2018-01-29,55.2,54.7,54.7,55.2,16,4107
2018-01-30,54.41,54.16,54.16,54.41,3,332
2018-01-31,54.38,54.14,54.01,54.38,8,655
2018-02-01,54.14,54.02,54.01,54.09,6,313
2018-02-02,53.92,52.91,52.91,53.92,26,2478
2018-02-05,52.53,51.25,51.24,52.53,18,3596
2018-02-06,51.76,51.65,49.79,50.11,15,3077
2018-02-07,52.07,51.996,51.56,51.65,9,8776
2018-02-08,51.65,49.52,49.52,51.65,20,1891
2018-02-09,50.49,50.49,48.83,50.18,17,1199
2018-02-12,51.0,50.85,50.48,50.56,6,1290
2018-02-13,51.09,51.06,50.66,50.92,10,1664
2018-02-14,51.9,51.9,50.88,50.88,1,73
2018-02-15,52.22,52.22,51.87,52.17,9,510
2018-02-16,53.85,52.49,52.3,52.3,10,1020
2018-02-20,52.27,52.1,52.1,52.27,6,561
2018-02-21,52.19,51.8,51.8,52.19,4,598
2018-02-22,51.95,51.7599,51.7599,51.95,3,276
2018-02-23,52.53,52.53,52.12,52.12,1,156
2018-02-26,52.84,52.84,52.57,52.57,8,839
2018-02-27,52.94,52.29,52.29,52.94,8,651
2018-02-28,52.45,51.72,51.66,52.45,4,969
2018-03-01,51.57,51.01,51.01,51.57,5,157
2018-03-02,51.07,51.07,50.63,50.63,5,3846
2018-03-05,51.67,51.67,50.87,50.87,3,734
2018-03-06,52.1,52.1,51.79,51.79,2,193
2018-03-07,52.1,52.1,51.95,51.95,1,84
2018-03-08,52.29,52.2,52.2,52.29,1,23
2018-03-09,53.065,53.065,52.52,52.52,4,4261
2018-03-12,53.14,53.07,53.06,53.06,3,576
2018-03-13,53.3,52.97,52.891,53.3,5,432
2018-03-14,53.09,52.61,52.61,53.09,5,309
2018-03-15,52.69,52.5,52.5,52.69,4,153
2018-03-16,52.77,52.77,52.5,52.5,1,906
2018-03-19,52.6,52.29,52.0,52.6,7,1194
2018-03-20,52.45,52.42,52.42,52.45,2,1376
2018-03-21,52.49,52.39,52.38,52.49,3,229
2018-03-22,52.57,51.21,51.21,52.57,11,612
2018-03-23,51.34,50.13,50.13,51.34,5,628
2018-03-26,51.33,51.33,50.83,50.83,3,2209
2018-03-27,51.56,50.35,50.35,51.56,4,1237
2018-03-28,50.77,50.49,50.49,50.77,2,300
2018-03-29,51.17,51.17,50.72,50.72,7,1103
2018-04-02,50.9,50.0,50.0,50.9,23,3696
2018-04-03,50.61,50.61,50.26,50.26,1,687
2018-04-04,51.18,51.18,49.9,49.9,2,432
2018-04-05,51.59,51.59,51.59,51.59,,
2018-04-06,51.28,50.38,50.38,51.26,7,622
2018-04-09,50.73,50.53,50.53,50.73,3,111
2018-04-10,51.28,51.26,51.24,51.28,2,200
2018-04-11,51.09,50.95,50.95,51.09,3,152
2018-04-12,51.47,51.34,51.34,51.47,1,179
2018-04-13,51.63,51.13,51.13,51.63,2,204
2018-04-16,51.9,51.72,51.47,51.9,5,4056
2018-04-17,52.23,52.23,52.03,52.03,3,209
2018-04-18,52.42,52.42,52.3,52.3,6,1356
2018-04-19,52.26,52.05,52.05,52.26,3,284
2018-04-20,52.14,51.75,51.75,52.14,1,194
2018-04-23,51.95,51.82,51.82,51.95,2,1319
2018-04-24,51.92,51.33,51.25,51.92,13,586
2018-04-25,51.33,51.0062,51.0062,51.33,1,160
2018-04-26,51.58,51.58,51.44,51.44,2,327
2018-04-27,51.83,51.75,51.68,51.83,2,265
2018-04-30,51.8,51.26,51.26,51.8,6,1069
2018-05-01,51.25,50.916,50.916,51.25,2,150
2018-05-02,51.11,50.84,50.84,51.02,2,330
2018-05-03,50.73,50.68,50.68,50.73,4,466
2018-05-04,51.21,51.21,50.48,50.48,3,331
2018-05-07,51.43,51.28,51.28,51.37,5,842
2018-05-08,51.22,51.22,51.13,51.13,3,392
2018-05-09,51.6,51.6,51.44,51.44,3,104
2018-05-10,52.03,52.03,51.81,51.81,2,124
2018-05-11,52.13,52.0946,52.0946,52.13,1,35
2018-05-14,52.31,52.17,52.17,52.31,3,914
