Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,12.8,12.8,12.62,12.62,10,2000
2013-01-07,12.41,12.41,12.41,12.41,1,100
2013-01-08,12.37,12.37,12.36,12.37,3,500
2013-01-14,12.37,12.37,12.37,12.37,1,300
2013-01-15,12.3,12.3,12.3,12.3,1,100
2013-01-18,12.45,12.45,12.45,12.45,,
2013-01-22,12.66,12.61,12.5,12.5,3,641
2013-01-23,12.94,12.94,12.79,12.79,5,700
2013-01-24,12.79,12.25,12.25,12.78,4,700
2013-01-28,12.8,12.8,12.8,12.8,1,150
2013-01-29,12.8,12.78,12.7,12.7,5,900
2013-01-30,12.7,12.41,12.41,12.7,7,1549
2013-01-31,12.41,12.41,12.41,12.41,1,300
2013-02-04,12.7,12.7,12.7,12.7,1,315
2013-02-05,13.2,13.05,13.05,13.2,5,500
2013-02-06,12.94,12.94,12.94,12.94,,
2013-02-08,12.29,12.29,12.29,12.29,1,233
2013-02-11,13.49,12.4,12.4,13.49,1,650
2013-02-12,12.42,12.42,12.42,12.42,1,100
2013-02-13,13.19,12.57,12.57,12.89,1,100
2013-02-14,13.0,12.62,12.62,13.0,,
2013-02-15,12.63,12.63,12.63,12.63,,
2013-02-19,13.06,12.54,12.54,13.06,1,419
2013-02-20,12.82,12.46,12.46,12.52,7,1187
2013-02-21,13.06,13.06,12.5,12.5,4,900
2013-02-22,13.06,12.68,12.68,13.06,1,300
2013-02-25,13.5,13.14,13.14,13.5,1,1000
2013-02-26,13.43,12.82,12.82,13.43,1,100
2013-02-27,13.3,13.3,13.3,13.3,,
2013-02-28,13.08,13.08,13.08,13.08,,
2013-03-01,13.49,12.84,12.81,13.49,6,800
2013-03-04,13.02,13.02,12.95,12.95,2,200
2013-03-05,12.95,12.95,12.95,12.95,,
2013-03-06,13.6,13.6,13.6,13.6,,
2013-03-07,13.85,13.85,13.85,13.85,1,300
2013-03-08,13.81,13.5,13.5,13.81,3,300
2013-03-11,13.33,12.78,12.78,13.31,4,1800
2013-03-12,12.79,12.74,12.73,12.76,4,800
2013-03-13,13.26,12.93,12.93,13.26,,
2013-03-14,13.8,12.93,12.93,13.8,1,322
2013-03-15,13.73,13.73,13.73,13.73,,
2013-03-18,13.72,13.72,13.69,13.69,5,1200
2013-03-21,13.8,13.8,13.72,13.72,5,1200
2013-03-22,13.84,13.84,13.84,13.84,1,100
2013-03-25,13.41,13.41,13.41,13.41,1,100
2013-03-26,13.92,13.44,13.44,13.89,2,1000
2013-03-27,13.92,13.92,13.92,13.92,1,400
2013-03-28,14.05,14.05,13.9,13.92,4,956
2013-04-01,14.05,14.05,14.05,14.05,1,1693
2013-04-02,13.99,13.99,13.27,13.98,5,800
2013-04-03,13.86,13.7,13.26,13.86,10,1501
2013-04-04,13.82,13.65,13.65,13.82,6,697
2013-04-05,13.6,13.5,13.3,13.6,10,1660
2013-04-08,13.49,13.45,13.4,13.49,5,712
2013-04-09,13.5,13.5,13.5,13.5,1,400
2013-04-10,13.5,13.5,13.5,13.5,1,300
2013-04-11,13.54,13.54,13.54,13.54,1,100
2013-04-15,13.64,13.43,13.35,13.64,4,502
2013-04-17,13.78,13.31,13.31,13.78,2,334
2013-04-19,13.6,13.6,13.5,13.5,4,707
2013-04-22,13.62,13.62,13.51,13.51,10,2962
