Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-09-22,14.3,10.5,10.5,13.0,840,169923
2021-09-23,11.17,11.02,10.5,10.5,151,29968
2021-09-24,11.17,10.985,10.84,11.17,89,8736
2021-09-27,11.24,11.13,11.0,11.24,93,10487
2021-09-28,11.11,11.0,10.94,11.11,186,32567
2021-09-29,11.2,11.2,10.8,11.13,132,22192
2021-09-30,11.18,11.01,10.96,11.18,230,5455
2021-10-01,11.09,11.06,11.0,11.03,84,7402
2021-10-04,11.21,11.1,11.1,11.15,62,7058
2021-10-05,11.48,11.48,11.23,11.23,62,12602
2021-10-06,11.33,11.3,11.2,11.33,108,8367
2021-10-07,11.74,11.74,11.36,11.44,48,6454
2021-10-08,11.79,11.79,11.65,11.65,43,4849
2021-10-11,11.9,11.7,11.7,11.9,12,1400
2021-10-12,11.95,11.71,11.71,11.75,115,16901
2021-10-13,11.76,11.7,11.44,11.76,62,7245
2021-10-14,11.79,11.75,11.7,11.7,7,7684
2021-10-15,11.95,11.9,11.75,11.95,25,4352
2021-10-18,11.91,11.8,11.75,11.91,38,3319
2021-10-19,11.85,11.8,11.8,11.84,11,1244
2021-10-20,11.845,11.845,11.8,11.81,43,4032
2021-10-21,11.9,11.9,11.8,11.81,44,3586
2021-10-22,12.02,12.0,11.8,11.8,103,13585
2021-10-25,12.06,11.87,11.8,12.06,16,2696
2021-10-26,12.2,12.0,11.95,11.95,144,16194
2021-10-27,12.17,12.0,12.0,12.0,156,17774
2021-10-28,12.07,12.07,12.0,12.05,24,2218
2021-10-29,12.08,12.03,12.01,12.08,42,4166
2021-11-01,12.11,11.91,11.91,12.07,83,16367
2021-11-02,12.03,12.0,11.98,12.03,48,22666
2021-11-03,12.28,12.26,12.01,12.07,128,15790
2021-11-04,12.5,12.5,12.3,12.31,215,23929
2021-11-05,12.51,12.44,12.32,12.51,40,5920
2021-11-08,12.89,12.89,12.35,12.43,55,7921
2021-11-09,13.23,13.08,12.73,12.77,22,2772
2021-11-10,13.11,12.75,12.75,13.11,121,21674
2021-11-11,13.03,12.9,12.76,12.82,18,2484
2021-11-12,13.22,13.16,12.86,12.86,113,28823
2021-11-15,13.2,12.92,12.77,13.2,157,15249
2021-11-16,12.97,12.97,12.85,12.93,35,3147
2021-11-17,12.96,12.87,12.85,12.89,32,2501
2021-11-18,12.92,12.84,12.74,12.92,222,23316
2021-11-19,12.79,12.79,12.75,12.75,65,6503
2021-11-22,12.84,12.81,12.75,12.84,109,8067
2021-11-23,12.99,12.99,12.82,12.84,97,9876
2021-11-24,13.0,12.89,12.89,12.93,64,17253
2021-11-26,12.91,12.65,12.11,12.91,140,14350
2021-11-29,13.0,12.67,12.65,13.0,65,8767
2021-11-30,12.77,12.71,12.38,12.67,99,9673
2021-12-01,12.9,12.63,12.5,12.9,139,11083
2021-12-02,12.72,12.45,12.45,12.54,182,15344
2021-12-03,12.57,11.97,11.97,12.57,25,3026
2021-12-06,12.31,12.31,12.04,12.04,9,662
2021-12-07,12.4,12.37,12.29,12.29,12,1126
2021-12-08,12.47,12.37,12.335,12.45,10,1170
2021-12-09,12.3,12.23,12.23,12.3,12,460
2021-12-10,12.23,12.1,12.1,12.23,23,3502
2021-12-13,12.07,11.84,11.69,12.07,15,1346
2021-12-14,11.96,11.96,11.86,11.9,23,4896
2021-12-15,11.96,11.8,11.69,11.96,4,301
2021-12-16,12.07,11.83,11.82,11.82,16,2285
2021-12-17,11.98,11.98,11.685,11.72,22,4850
2021-12-20,11.75,11.75,11.52,11.69,57,5736
2021-12-21,11.74,11.53,11.5,11.73,36,3947
2021-12-22,11.72,11.72,11.66,11.69,12,1481
2021-12-23,11.89,11.89,11.84,11.84,6,592
2021-12-27,11.985,11.985,11.91,11.91,15,208
2021-12-28,11.79,11.57,11.57,11.79,5,563
2021-12-29,11.89,11.77,11.46,11.46,61,9738
2021-12-30,11.89,11.77,11.68,11.68,14,1266
2021-12-31,11.91,11.91,11.91,11.91,3,181
2022-01-03,12.05,11.98,11.93,12.01,6,398
2022-01-04,12.14,12.03,11.91,12.02,24,1637
2022-01-05,12.19,12.105,12.105,12.12,26,2428
2022-01-06,12.25,12.11,12.11,12.24,20,1705
2022-01-07,12.24,12.13,12.13,12.24,9,366
2022-01-10,12.03,11.94,11.94,12.03,11,639
2022-01-11,12.0,11.96,11.95,12.0,74,8992
2022-01-12,12.15,12.07,11.99,11.99,27,2156
2022-01-13,12.2,11.95,11.95,12.2,45,5416
2022-01-14,12.04,11.92,11.92,12.04,116,12802
2022-01-18,12.08,11.93,11.92,11.92,8,819
2022-01-19,12.13,12.09,12.09,12.11,10,872
2022-01-20,12.19,12.01,12.0,12.19,49,3562
2022-01-21,12.07,11.7,11.67,12.07,105,18839
2022-01-24,11.65,11.65,10.99,11.65,266,35548
2022-01-25,11.89,11.51,10.8,11.42,102,13790
2022-01-26,12.0,11.79,11.67,11.75,108,16641
2022-01-27,11.9,11.5,11.5,11.9,79,20115
2022-01-28,11.63,11.56,11.4,11.63,28,3881
2022-01-31,11.69,11.69,11.43,11.43,21,2118
2022-02-01,11.6,11.49,11.41,11.6,4,212
2022-02-02,11.43,11.38,11.38,11.43,2,397
2022-02-03,11.39,11.31,11.31,11.39,6,89
2022-02-04,11.37,11.37,11.25,11.27,8,2301
2022-02-07,11.35,11.35,11.28,11.28,5,310
2022-02-08,11.4,11.4,11.33,11.33,7,1070
2022-02-09,11.64,11.64,11.49,11.49,6,353
2022-02-10,11.71,11.55,11.55,11.66,6,752
2022-02-11,11.64,11.57,11.53,11.55,16,1197
2022-02-14,11.51,11.28,11.28,11.5,11,1683
2022-02-15,11.41,11.38,11.25,11.41,11,3864
2022-02-16,11.43,11.4,11.4,11.43,17,1585
2022-02-17,11.535,11.52,11.5,11.5,15,8109
2022-02-18,11.655,11.655,11.53,11.53,30,2361
2022-02-22,11.68,11.61,11.52,11.68,12,823
2022-02-23,11.7,11.52,11.5,11.7,21,2291
2022-02-24,11.47,11.47,11.0,11.45,61,5733
2022-02-25,11.49,11.3,11.2,11.2,20,4224
2022-02-28,11.55,11.47,11.325,11.325,9,1194
2022-03-01,11.71,11.47,11.31,11.53,44,5489
2022-03-02,11.53,11.45,11.41,11.53,201,21987
2022-03-03,11.46,11.35,11.21,11.46,97,7662
2022-03-04,11.3,11.12,11.01,11.3,183,33300
2022-03-07,11.15,10.81,10.81,11.15,173,13945
2022-03-08,10.94,10.7,10.7,10.94,23,1016
2022-03-09,10.77,10.68,10.68,10.77,10,807
2022-03-10,10.8,10.8,10.75,10.77,35,7284
2022-03-11,10.84,10.83,10.8,10.8,70,12947
2022-03-14,10.87,10.7,10.7,10.87,197,18052
2022-03-15,10.75,10.7,10.7,10.75,89,13114
2022-03-16,10.94,10.94,10.75,10.85,29,4156
2022-03-17,10.95,10.95,10.885,10.92,11,1004
2022-03-18,11.44,11.44,10.93,10.93,53,6987
2022-03-21,11.34,11.34,11.28,11.28,4,341
2022-03-22,11.2,11.0,11.0,11.2,22,1618
2022-03-23,11.09,10.7,10.7,11.09,28,2115
2022-03-24,10.96,10.96,10.85,10.85,3,208
2022-03-25,10.85,10.85,10.82,10.82,6,2200
2022-03-28,10.98,10.73,10.73,10.98,43,3902
2022-03-29,11.2,11.02,10.97,10.97,13,1595
2022-03-30,11.26,11.08,11.08,11.14,49,4678
2022-03-31,12.0,11.4,11.37,11.41,54,5655
2022-04-01,11.99,11.92,11.37,11.37,19,1303
2022-04-04,11.99,11.81,11.81,11.99,3,112
2022-04-05,11.95,11.95,11.76,11.76,6,204
2022-04-06,11.74,11.74,11.73,11.73,2,57
2022-04-07,11.66,11.66,11.5,11.5,4,279
2022-04-08,11.53,11.53,11.53,11.53,1,5
2022-04-11,11.52,11.21,11.21,11.5,11,2262
2022-04-12,11.33,11.01,11.01,11.33,9,752
2022-04-13,11.15,11.15,11.05,11.05,8,1977
2022-04-14,11.12,11.12,11.02,11.02,5,24
2022-04-18,11.12,11.12,11.12,11.12,1,3
2022-04-19,11.03,10.85,10.85,11.03,6,363
2022-04-20,11.04,11.04,10.88,10.89,13,773
2022-04-21,11.04,11.04,11.04,11.04,1,5
2022-04-22,10.84,10.84,10.84,10.84,1,100
2022-04-25,11.0,10.8,10.8,10.83,6,1433
2022-04-26,10.7,10.7,10.6,10.66,16,2047
2022-04-27,10.72,10.15,10.04,10.72,88,8264
2022-04-28,10.3,10.25,10.15,10.25,165,19559
2022-04-29,10.2,10.11,10.11,10.2,43,3943
2022-05-02,10.1,9.91,9.91,10.0,47,5573
2022-05-03,9.91,9.91,9.91,9.91,2,31
2022-05-04,10.0,9.92,9.81,9.85,35,3110
2022-05-05,9.9,9.8,9.8,9.86,57,7917
2022-05-06,9.88,9.61,9.61,9.81,84,8759
2022-05-09,9.56,8.91,8.88,9.56,76,6878
2022-05-10,9.01,8.48,8.41,9.01,104,9750
2022-05-11,8.46,8.39,8.32,8.46,7,372
2022-05-12,8.37,8.12,8.09,8.37,33,2382
2022-05-13,8.31,8.31,8.14,8.14,150,14808
2022-05-16,8.47,8.47,8.41,8.41,8,369
2022-05-17,8.64,8.6,8.6,8.64,3,623
2022-05-18,8.55,8.5,8.5,8.55,7,800
2022-05-19,8.57,8.57,8.56,8.56,2,183
2022-05-20,8.91,8.84,8.81,8.81,12,2089
2022-05-23,9.08,9.08,8.91,8.91,4,59
2022-05-24,9.17,8.81,8.81,9.17,4,230
2022-05-25,8.9,8.83,8.83,8.9,2,21
2022-05-26,8.92,8.92,8.7,8.71,50,7580
2022-05-27,9.13,9.13,9.0,9.0,3,214
