Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-05-14,13.01,11.5,11.35,11.41,1708,288130
2021-05-17,12.28,12.25,11.455,11.5,162,24724
2021-05-18,12.35,12.35,11.87,12.25,48,3342
2021-05-19,16.11,15.35,12.45,12.57,306,15378
2021-05-20,26.97,19.36,15.0,15.0,2165,144433
2021-05-21,20.05,19.8,18.39,18.39,297,14881
2021-05-24,21.0,19.86,19.25,20.2,318,16706
2021-05-25,20.08,19.74,19.6,20.0,142,12900
2021-05-26,19.97,19.48,19.48,19.62,80,2533
2021-05-27,19.5,18.42,16.77,19.5,277,15761
2021-05-28,18.8,17.25,16.35,18.78,130,9846
2021-06-01,17.25,15.55,15.55,17.25,159,12159
2021-06-02,16.0,15.72,15.6,15.6,79,4603
2021-06-03,15.0,14.47,14.47,15.0,52,3476
2021-06-04,14.71,14.71,14.35,14.35,59,1422
2021-06-07,15.07,13.45,13.21,15.07,125,6932
2021-06-08,18.5,14.97,14.58,14.76,456,35717
2021-06-09,15.41,15.25,14.77,15.41,99,5967
2021-06-10,15.5,14.87,14.66,15.15,44,1868
2021-06-11,15.29,14.74,14.74,15.29,44,1919
2021-06-14,15.43,15.43,14.64,14.9,210,7533
2021-06-15,16.0,16.0,15.0,15.06,384,16589
2021-06-16,15.86,15.77,15.6,15.86,85,8059
2021-06-17,15.52,15.42,15.41,15.41,73,3016
2021-06-18,15.7,14.09,14.09,15.37,246,41096
2021-06-21,14.75,14.25,14.0,14.26,242,8028
2021-06-22,15.84,15.84,14.45,15.33,49,5790
2021-06-23,15.85,15.85,15.38,15.43,90,4735
2021-06-24,15.37,14.66,14.53,15.37,26,1911
2021-06-25,14.79,14.65,14.65,14.79,26,957
2021-06-28,15.1,14.4,14.4,14.51,36,3406
2021-06-29,14.5,13.7,13.7,14.5,46,1658
2021-06-30,13.9,13.25,13.01,13.9,42,2936
2021-07-01,13.71,13.71,13.17,13.28,97,5149
2021-07-02,14.15,13.52,13.52,14.14,18,934
2021-07-06,14.28,14.28,13.77,13.77,5,85
2021-07-07,14.5,14.21,14.08,14.5,13,514
2021-07-08,14.99,14.5,14.02,14.02,28,1814
2021-07-09,14.55,13.92,13.92,14.55,8,466
2021-07-12,14.93,14.93,14.0,14.0,30,661
2021-07-13,14.97,14.97,14.6,14.75,22,1455
2021-07-14,14.97,14.41,14.0,14.97,21,805
2021-07-15,14.95,14.95,14.87,14.87,19,620
2021-07-16,15.58,14.85,14.85,14.97,23,1633
2021-07-19,16.0,16.0,14.85,14.85,43,2560
2021-07-20,16.67,16.5,15.98,15.98,73,5344
2021-07-21,17.01,16.5,16.5,16.7,63,3738
2021-07-22,17.55,16.58,16.58,17.04,57,3169
2021-07-23,17.6,17.6,16.73,16.73,31,2445
2021-07-26,18.0,17.85,17.6,17.6,37,2778
2021-07-27,18.0,17.63,17.53,17.53,42,2097
2021-07-28,18.0,17.8,17.5,17.5,31,1512
2021-07-29,18.0,18.0,17.79,17.79,57,3605
2021-07-30,18.0,18.0,17.57,17.71,20,790
2021-08-02,17.99,17.4,17.4,17.99,11,1046
2021-08-03,17.35,17.25,17.25,17.29,19,700
2021-08-04,17.49,17.07,16.57,16.79,49,4574
2021-08-05,17.3,17.1,17.07,17.1,103,3274
2021-08-06,17.49,17.49,16.96,16.96,16,979
2021-08-09,17.37,16.92,16.7,17.37,35,1666
2021-08-10,17.06,17.06,16.51,16.9,31,1349
2021-08-11,16.95,16.7,16.64,16.86,164,5907
2021-08-12,16.76,16.76,16.63,16.63,64,921
2021-08-13,16.97,16.94,16.76,16.76,51,1828
2021-08-16,17.0,17.0,16.93,17.0,30,1178
2021-08-17,17.0,16.99,16.68,16.68,87,2108
2021-08-18,17.5,17.5,16.84,16.84,88,3012
2021-08-19,17.5,17.0,17.0,17.5,205,2203
2021-08-20,18.9,18.9,18.0,18.0,64,3721
2021-08-23,19.27,18.29,18.29,19.0,62,3141
2021-08-24,18.65,17.45,17.45,18.35,56,1066
2021-08-25,17.7,17.0,16.8,16.8,38,1969
2021-08-26,16.73,14.41,14.25,16.73,50,3711
2021-08-27,16.74,15.91,14.8,14.8,224,6398
2021-08-30,16.5,14.8,14.26,16.5,112,3536
2021-08-31,15.18,14.74,14.7,14.7,79,2589
2021-09-01,16.28,16.14,15.08,15.08,358,4205
2021-09-02,19.46,19.44,16.33,16.33,434,12127
2021-09-03,28.73,25.8,19.56,19.98,1129,61576
2021-09-07,26.75,25.72,23.25,25.69,688,23446
2021-09-08,27.02,24.76,24.54,24.91,786,19790
2021-09-09,28.68,25.74,24.67,24.67,451,11899
2021-09-10,28.88,26.13,25.06,26.2,586,15316
2021-09-13,27.23,26.44,25.75,27.23,485,11033
2021-09-14,28.4,27.16,26.6,26.75,697,23304
2021-09-15,31.17,30.6,26.65,26.65,887,58906
2021-09-16,31.58,22.48,21.25,30.62,1400,68636
2021-09-17,22.04,20.93,18.0,21.67,1621,645621
2021-09-20,20.2,17.75,16.81,20.2,923,56486
2021-09-21,17.6,16.36,15.5,17.6,1302,66524
2021-09-22,17.41,15.92,15.18,17.41,623,26487
2021-09-23,17.34,17.34,16.13,16.13,640,30133
2021-09-24,17.37,16.8,16.2,16.84,447,29036
2021-09-27,17.85,17.43,16.33,16.82,329,20062
2021-09-28,17.26,16.06,16.01,17.18,295,16726
2021-09-29,16.89,16.43,16.01,16.01,281,11461
2021-09-30,17.4,17.35,16.63,16.69,327,21055
2021-10-01,18.3,18.18,16.87,17.46,603,15340
2021-10-04,18.13,16.88,14.91,18.13,781,47691
2021-10-05,18.25,15.43,15.415,16.7,435,30613
2021-10-06,15.9,15.62,15.01,15.5,280,9180
2021-10-07,16.35,16.3,15.62,15.62,166,6583
2021-10-08,16.47,15.31,15.21,16.47,125,4288
