Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-11-11,10.08,10.06,10.06,10.07,1026,2453645
2021-11-12,10.09,10.065,10.06,10.09,23,16288
2021-11-15,10.11,10.06,10.06,10.11,8,1588
2021-11-16,10.09,10.09,10.07,10.08,102,24297
2021-11-17,10.15,10.09,10.08,10.15,20,5390
2021-11-18,10.15,10.15,10.08,10.15,30,6694
2021-11-19,10.15,10.09,10.09,10.15,32,10741
2021-11-22,10.09,10.08,10.08,10.09,29,11750
2021-11-23,10.11,10.11,10.07,10.07,24,3100
2021-11-24,10.11,10.09,10.09,10.11,104,2229
2021-11-26,10.08,10.08,10.07,10.07,36,8350
2021-11-30,10.14,10.14,10.14,10.14,5,500
2021-12-01,10.15,10.15,10.09,10.14,20,3545
2021-12-02,10.09,10.09,10.07,10.07,4,3790
2021-12-03,10.08,10.08,10.08,10.08,1,1
2021-12-06,10.09,10.06,10.06,10.09,7,6618
2021-12-07,10.08,10.05,10.05,10.08,15,800
2021-12-08,10.08,10.08,10.05,10.05,12,21285
2021-12-09,10.08,10.08,10.05,10.05,2,32
2021-12-10,10.08,10.08,10.04,10.04,6,800
2021-12-13,10.08,10.08,10.05,10.05,16,1950
2021-12-14,10.08,10.08,10.05,10.05,2,40
2021-12-15,10.08,10.08,10.05,10.05,3,600
2021-12-16,10.08,10.08,10.08,10.08,2,500
2021-12-17,10.08,10.05,10.05,10.08,11,26580
2021-12-22,10.05,10.04,10.04,10.05,7,2934
2021-12-23,10.08,10.07,10.05,10.08,9,382
2021-12-27,10.05,10.05,10.05,10.05,1,47
2021-12-28,10.07,10.045,10.04,10.07,11,13332
2021-12-29,10.04,10.04,10.04,10.04,1,332
2021-12-31,10.15,10.15,10.07,10.07,3,527
2022-01-03,10.11,10.11,10.09,10.11,7,6825
2022-01-04,10.09,10.09,10.09,10.09,8,900
2022-01-05,10.1,10.09,10.05,10.05,21,11833
2022-01-07,10.1,10.1,10.1,10.1,12,4700
2022-01-10,10.13,10.13,10.09,10.09,3,129
2022-01-13,10.1,10.1,10.1,10.1,1,2
2022-01-14,10.15,10.11,10.11,10.15,22,1823
2022-01-18,10.1,10.1,10.1,10.1,1,100
2022-01-19,10.1,10.09,10.09,10.1,9,3808
2022-01-21,10.09,10.09,10.09,10.09,8,19966
2022-01-24,10.09,10.08,10.08,10.09,7,1200
2022-01-27,10.05,10.05,10.05,10.05,1,200
2022-01-28,10.07,10.07,10.07,10.07,1,140
2022-01-31,10.05,10.05,10.05,10.05,1,60
2022-02-10,10.12,10.12,10.12,10.12,1,1
2022-02-23,10.05,10.05,10.05,10.05,2,200
2022-02-24,10.04,10.02,10.02,10.04,6,778
2022-02-25,10.02,10.02,10.02,10.02,1,8
2022-03-01,10.115,10.1,10.02,10.11,17,11478
2022-03-03,10.14,10.105,10.09,10.14,12,2118
2022-03-08,10.14,9.99,9.99,10.14,6,1490
2022-03-10,10.0,10.0,10.0,10.0,1,30
2022-03-11,10.11,10.11,10.11,10.11,1,1
2022-03-24,10.02,10.02,10.02,10.02,1,5
2022-03-28,10.14,10.14,10.14,10.14,1,3
2022-04-18,10.09,10.09,10.08,10.08,15,62
2022-04-29,10.08,10.08,10.08,10.08,1,128
2022-05-03,10.08,10.08,10.08,10.08,9,1508
2022-05-05,10.04,10.04,10.04,10.04,1,2
2022-05-12,9.98,9.98,9.98,9.98,1,1
2022-05-25,10.04,10.04,10.04,10.04,9,35
2022-06-02,10.01,10.01,9.5,9.5,26,7152
2022-06-03,9.97,9.97,9.97,9.97,1,10
2022-06-08,10.1,10.1,10.01,10.01,33,1835
2022-06-16,9.97,9.97,9.965,9.97,9,2556
2022-06-27,10.03,10.03,10.03,10.03,1,10
2022-07-08,10.03,10.03,10.03,10.03,1,100
2022-07-11,10.04,10.03,10.03,10.04,5,600
2022-07-25,10.03,10.03,10.03,10.03,1,100
2022-07-29,9.99,9.99,9.99,9.99,1,40
2022-08-03,10.04,10.04,10.04,10.04,2,500
2022-08-04,10.05,10.05,10.04,10.04,35,3729
2022-08-08,10.05,10.05,10.04,10.04,6,600
2022-08-09,10.01,10.01,10.01,10.01,1,300
2022-08-12,10.08,10.08,10.08,10.08,11,1053
2022-08-22,10.0,9.97,9.97,10.0,5,488
2022-09-02,10.01,9.97,9.97,10.01,16,2989
2022-09-14,9.97,9.97,9.97,9.97,1,1
2022-09-22,9.99,9.96,9.96,9.99,6,2000
2022-09-26,10.02,10.02,10.01,10.02,8,1330
2022-09-28,10.02,10.02,10.02,10.02,13,9130
2022-10-12,10.0,10.0,10.0,10.0,1,1
2022-10-19,10.0,9.99,9.99,10.0,4,400
2022-11-18,10.06,10.06,10.05,10.05,3,300
2022-11-22,10.055,10.055,10.04,10.04,2,2
2022-11-23,10.07,10.07,10.07,10.07,2,412
2022-11-25,10.07,10.07,10.07,10.07,3,577
2022-11-29,10.09,10.09,10.08,10.08,9,2018
2022-12-06,10.1,10.09,10.09,10.1,2,75
2022-12-09,10.11,10.11,10.11,10.11,2,17
2022-12-12,10.12,10.12,10.12,10.12,1,100
2022-12-14,10.16,10.16,10.16,10.16,1,50
2022-12-15,10.2,10.16,10.16,10.2,7,287
2022-12-16,10.12,10.12,10.12,10.12,1,75
2022-12-19,10.09,10.09,10.09,10.09,1,100
2022-12-28,10.17,10.17,10.17,10.17,1,100
2022-12-29,10.17,10.16,10.16,10.17,15,3249
2022-12-30,10.16,10.16,10.16,10.16,5,6278
2023-01-04,10.18,10.18,10.18,10.18,1,100
