Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-07-01,16.0,10.85,9.3,16.0,1424,264948
2021-07-02,30.0,18.79,18.5,23.76,53645,4365404
2021-07-06,20.66,18.66,16.55,20.62,5553,394763
2021-07-07,17.77,14.85,14.85,17.52,1016,84625
2021-07-08,17.08,14.65,13.4,13.4,1131,136822
2021-07-09,15.07,14.0,14.0,15.07,340,45708
2021-07-12,13.75,11.96,11.84,13.38,910,99901
2021-07-13,13.91,12.37,11.01,11.61,778,91114
2021-07-14,12.93,11.92,11.67,12.8,443,39187
2021-07-15,11.58,10.64,10.63,11.56,417,47143
2021-07-16,11.2,10.48,10.39,10.82,143,11051
2021-07-19,10.54,9.58,9.39,10.45,525,65011
2021-07-20,10.33,9.82,9.53,9.64,196,19393
2021-07-21,10.18,10.1,9.63,9.99,155,11738
2021-07-22,11.6,10.29,10.0,10.0,482,52871
2021-07-23,10.2,9.37,9.16,10.2,193,15332
2021-07-26,9.7,9.3,9.23,9.36,136,11140
2021-07-27,9.46,8.57,8.52,9.27,134,6497
2021-07-28,9.11,9.0,8.72,9.03,85,5693
2021-07-29,9.09,8.72,8.72,9.09,93,4015
2021-07-30,8.99,8.14,8.08,8.89,321,16400
2021-08-02,8.78,8.26,8.26,8.54,104,7851
2021-08-03,8.55,8.32,8.22,8.52,84,6829
2021-08-04,8.56,8.38,8.35,8.35,74,8562
2021-08-05,8.64,8.36,8.17,8.5,69,5597
2021-08-06,8.5,8.5,8.26,8.32,71,2953
2021-08-09,8.73,8.58,8.45,8.61,96,6325
2021-08-10,8.7,8.22,8.15,8.7,115,6618
2021-08-11,8.5,8.34,8.1,8.39,53,2904
2021-08-12,8.28,8.08,8.0,8.28,45,1827
2021-08-13,8.4,8.1,8.1,8.16,48,3000
2021-08-16,8.19,8.14,8.1,8.19,137,9439
2021-08-17,11.01,9.59,8.22,8.22,2315,236990
2021-08-18,9.565,8.37,8.35,9.3,323,34447
2021-08-19,8.91,8.03,8.03,8.18,211,21400
2021-08-20,8.09,7.76,7.6,8.01,133,12778
2021-08-23,7.91,7.69,7.6,7.74,70,10240
2021-08-24,8.02,7.91,7.69,7.69,111,8035
2021-08-25,8.13,8.13,7.69,7.9,54,6914
2021-08-26,8.14,7.68,7.68,8.14,35,8129
2021-08-27,7.76,7.74,7.72,7.72,28,1454
2021-08-30,7.78,7.57,7.57,7.75,90,8134
2021-08-31,7.8,7.63,7.62,7.62,63,3896
2021-09-01,7.95,7.85,7.7,7.7,58,2333
2021-09-02,8.6,8.6,7.87,7.87,86,9314
2021-09-03,8.49,8.33,8.3,8.49,33,4641
2021-09-07,8.55,8.11,8.04,8.47,59,5185
2021-09-08,8.2,7.7,7.7,8.2,71,3529
2021-09-09,8.03,7.79,7.73,7.88,40,2271
2021-09-10,8.2,7.8,7.8,7.92,55,9282
2021-09-13,8.17,8.055,7.86,7.97,52,4509
2021-09-14,8.08,7.5,7.5,8.08,89,8196
2021-09-15,7.75,7.54,7.54,7.54,29,1979
2021-09-16,7.75,7.75,7.71,7.71,17,592
2021-09-17,7.92,7.8,7.69,7.69,62,4810
2021-09-20,7.9,7.61,7.6,7.6,64,3943
2021-09-21,7.75,7.75,7.62,7.7,30,2839
2021-09-22,7.76,7.62,7.62,7.73,31,2047
2021-09-23,7.78,7.72,7.65,7.72,54,4109
2021-09-24,7.85,7.81,7.81,7.85,11,788
2021-09-27,8.0,7.92,7.8,7.93,39,3600
2021-09-28,7.92,7.64,7.64,7.82,21,1694
2021-09-29,7.755,7.65,7.63,7.7,35,2630
2021-09-30,7.7,6.81,6.3,7.67,166,16178
2021-10-01,7.05,6.74,6.74,7.05,41,3299
2021-10-04,6.99,6.51,6.51,6.79,33,1783
2021-10-05,6.57,6.33,6.25,6.5,52,3381
2021-10-06,6.6,6.44,6.33,6.33,20,1467
2021-10-07,6.58,6.4,6.4,6.58,27,1658
2021-10-08,6.57,6.4,6.4,6.46,34,2776
2021-10-11,7.54,7.0,6.9,7.0,100,9940
2021-10-12,6.78,6.65,6.65,6.73,16,908
2021-10-13,7.0,6.91,6.66,6.67,69,7693
2021-10-14,7.57,7.27,7.06,7.2,111,8546
2021-10-15,7.5,7.5,7.03,7.03,68,10750
2021-10-18,7.53,7.37,7.18,7.53,11,1423
2021-10-19,7.5,7.28,7.25,7.25,14,1242
2021-10-20,7.5,7.4,7.35,7.36,32,1565
2021-10-21,7.47,7.31,7.31,7.4,23,1983
2021-10-22,7.48,6.9,6.8,7.3,54,3848
2021-10-25,7.13,6.9,6.85,6.85,32,1825
2021-10-26,7.11,6.91,6.875,6.98,17,1332
2021-10-27,6.8,6.3,6.3,6.8,70,5647
2021-10-28,6.9,6.65,6.41,6.62,96,10571
2021-10-29,6.85,6.7,6.65,6.69,40,3677
2021-11-01,7.31,7.04,6.98,7.31,39,5356
2021-11-02,7.07,7.0,7.0,7.07,51,2359
2021-11-03,7.15,7.1,7.05,7.11,11,890
2021-11-04,7.14,7.0,7.0,7.0,18,2002
2021-11-05,7.18,7.08,7.01,7.01,22,1284
2021-11-08,8.25,7.61,6.88,7.14,110,10808
2021-11-09,7.85,7.3,6.78,7.85,50,5909
2021-11-10,7.14,7.0,7.0,7.14,30,1553
2021-11-11,7.05,7.05,6.82,7.0,55,4405
2021-11-12,7.06,6.94,6.83,7.06,27,1151
2021-11-15,7.04,6.79,6.79,7.04,17,2613
2021-11-16,7.02,6.73,6.7,6.98,118,6287
2021-11-17,6.89,6.62,6.62,6.75,54,2729
2021-11-18,6.7,6.58,6.58,6.66,30,2340
2021-11-19,6.83,6.82,6.8,6.83,30,1899
2021-11-22,6.7,6.48,6.41,6.7,37,1872
2021-11-23,6.73,6.73,6.51,6.56,47,3416
2021-11-24,6.7,6.7,6.68,6.68,11,618
2021-11-26,6.73,6.66,6.31,6.44,46,3297
2021-11-29,6.63,6.46,6.41,6.5,19,919
2021-11-30,6.65,6.64,6.2,6.65,23,2273
2021-12-01,6.48,6.32,6.02,6.25,44,4312
2021-12-02,6.2,6.18,6.1,6.2,37,4520
2021-12-03,5.93,5.48,5.43,5.93,42,3058
2021-12-06,5.54,5.2,5.17,5.54,37,2433
2021-12-07,5.36,5.2,4.98,5.36,36,1723
2021-12-08,5.75,5.67,5.16,5.16,109,5053
2021-12-09,5.82,5.8,5.8,5.82,9,1248
2021-12-10,6.0,5.82,5.78,6.0,27,2406
