Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2014-04-30,24.9,24.49,24.49,24.9,12,2000
2014-05-01,25.25,24.56,24.53,24.53,10,6150
2014-05-02,25.06,24.4,24.4,24.5,57,7000
2014-05-05,25.05,24.65,24.24,24.95,18,3600
2014-05-06,24.94,24.8,24.8,24.94,14,1932
2014-05-07,24.8,24.7,24.7,24.7,5,668
2014-05-08,24.9,24.7,24.7,24.8,11,1790
2014-05-09,24.97,24.82,24.75,24.75,43,17250
2014-05-12,24.95,24.95,24.95,24.95,15,3400
2014-05-13,24.95,24.95,24.75,24.75,6,1075
2014-05-14,25.05,25.0,24.9,24.9,6,607
2014-05-15,25.25,25.25,25.25,25.25,6,1350
2014-05-16,25.23,25.23,24.91,24.91,2,460
2014-05-19,25.5,25.3,25.3,25.5,6,1780
2014-05-20,25.375,25.09,24.7,25.375,29,24461
2014-05-21,25.06,24.97,24.5,25.06,25,15320
2014-05-22,25.1,25.1,25.0,25.0,4,1400
2014-05-23,25.25,25.0,25.0,25.25,3,3200
2014-05-28,24.9,24.8,24.8,24.9,3,500
2014-05-29,25.2,25.2,24.97,24.97,2,200
2014-05-30,27.31,26.83,25.15,25.15,27,3500
2014-06-02,25.78,25.01,25.01,25.78,4,450
2014-06-03,25.25,25.25,25.25,25.25,1,200
2014-06-04,25.1,25.07,25.0,25.1,15,5183
2014-06-05,25.5,25.5,25.12,25.12,6,600
2014-06-06,25.55,25.38,25.38,25.55,2,200
2014-06-09,25.41,25.41,25.1,25.22,6,600
2014-06-10,25.48,25.4,25.07,25.07,13,2480
2014-06-11,25.36,25.25,25.15,25.36,4,596
2014-06-13,25.25,25.25,25.25,25.25,2,600
2014-06-16,25.24,25.23,25.23,25.24,6,796
2014-06-17,25.3,25.28,25.28,25.3,3,312
2014-06-18,25.35,25.11,25.11,25.34,12,2024
2014-06-19,25.25,25.1,25.1,25.25,3,288
2014-06-20,25.35,25.25,25.24,25.29,27,12214
