Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-12-16,24.9,24.41,24.4,24.9,80,16435
2020-12-17,24.75,24.51,24.45,24.59,82,23778
2020-12-18,24.52,24.25,24.25,24.52,68,10850
2020-12-21,24.65,24.5,23.69,24.23,110,32668
2020-12-22,24.62,24.6,24.475,24.61,18,1920
2020-12-23,24.58,24.52,24.52,24.58,2,1200
2020-12-24,24.6,24.6,24.58,24.58,4,401
2020-12-28,24.6,24.38,24.31,24.6,24,3577
2020-12-29,24.9,24.75,24.57,24.57,32,3658
2020-12-30,24.78,24.7,24.59,24.78,25,9486
2020-12-31,24.8,24.8,24.7,24.8,40,16405
2021-01-04,25.2,25.16,24.93,24.93,15,1483
2021-01-05,25.25,25.15,25.15,25.2,28,9962
2021-01-06,25.21,25.18,25.08,25.21,21,1830
2021-01-07,25.45,25.15,25.075,25.45,16,2679
2021-01-08,25.17,25.14,25.14,25.17,3,668
2021-01-11,25.1,25.01,24.9,25.1,14,2322
2021-01-12,25.1,25.0,25.0,25.06,26,2601
2021-01-13,25.08,25.08,25.08,25.08,5,597
2021-01-14,25.1,25.1,25.1,25.1,4,697
2021-01-15,25.1,24.95,24.95,25.1,18,1979
2021-01-19,25.0,25.0,25.0,25.0,1,100
2021-01-20,25.21,25.2,25.12,25.2,14,2270
2021-01-21,25.25,25.25,25.25,25.25,3,121
2021-01-22,25.25,25.2,25.2,25.25,2,4300
2021-01-25,25.24,25.05,25.05,25.24,18,2745
2021-01-27,25.43,25.2,25.01,25.43,11,1013
2021-01-28,25.23,25.23,25.22,25.23,5,416
2021-01-29,25.23,25.23,25.1,25.18,11,1504
2021-02-01,25.3,25.3,25.1,25.2,13,1449
2021-02-02,25.45,25.45,25.24,25.25,9,1058
2021-02-03,25.79,25.79,25.17,25.44,36,7990
2021-02-04,25.6,25.55,25.55,25.6,3,1418
2021-02-05,25.6,25.54,25.45,25.48,7,955
2021-02-08,25.8,25.75,25.75,25.8,3,120
2021-02-09,25.78,25.5,25.49,25.78,19,1503
2021-02-10,25.47,25.47,25.44,25.44,2,75
2021-02-11,25.46,25.45,25.45,25.46,2,169
2021-02-12,25.48,25.48,25.46,25.46,2,186
2021-02-16,25.78,25.76,25.5,25.5,8,861
2021-02-17,25.76,25.76,25.76,25.76,1,100
2021-02-18,25.72,25.5,25.4,25.72,7,1037
2021-02-19,25.55,25.55,25.4,25.4,3,300
2021-02-22,25.56,25.49,25.49,25.56,5,218
2021-02-23,25.5,25.5,25.5,25.5,4,400
2021-02-24,25.6,25.5,25.5,25.5,7,1610
2021-02-25,25.4,25.3,25.3,25.4,9,1340
2021-02-26,25.3,25.3,25.3,25.3,3,771
2021-03-03,25.55,25.55,25.55,25.55,2,110
2021-03-05,25.26,25.05,25.05,25.26,32,1371
2021-03-08,25.32,25.32,25.09,25.09,4,245
2021-03-09,25.48,25.48,25.22,25.22,9,920
2021-03-10,25.5,25.5,25.5,25.5,3,289
2021-03-11,25.51,25.39,25.39,25.51,13,2408
2021-03-12,25.41,25.19,25.19,25.4,15,1106
2021-03-15,25.2,25.0,25.0,25.2,47,4465
2021-03-16,25.09,25.0,25.0,25.09,46,4086
2021-03-17,25.15,25.05,25.05,25.15,5,700
2021-03-18,25.1,25.09,25.05,25.1,5,420
2021-03-19,25.1,25.1,25.09,25.1,23,2999
2021-03-22,25.45,25.2,25.2,25.2,36,4091
2021-03-23,25.59,25.24,25.11,25.5,60,7992
2021-03-24,25.4,25.4,25.25,25.25,9,1434
2021-03-25,25.43,25.27,25.27,25.43,8,625
2021-03-26,25.5,25.27,25.22,25.22,14,1016
2021-03-29,25.29,25.2,25.2,25.2,29,3236
2021-03-30,25.45,25.4,25.25,25.3,41,3063
2021-03-31,25.0,25.0,24.9,24.9,27,2386
2021-04-01,25.19,25.17,25.07,25.19,15,670
2021-04-05,25.26,25.13,25.05,25.2,50,5228
2021-04-06,25.14,24.99,24.99,25.01,84,6625
2021-04-07,25.23,25.23,25.05,25.1,17,1902
2021-04-08,25.21,25.15,25.15,25.2,15,617
2021-04-09,25.27,25.23,25.15,25.27,12,874
2021-04-12,25.28,25.23,25.19,25.19,11,847
2021-04-13,25.37,25.37,25.26,25.3,12,2315
2021-04-14,25.38,25.38,25.34,25.34,3,12
2021-04-15,25.48,25.4,25.38,25.39,9,1553
2021-04-16,25.32,25.2,25.2,25.24,98,7833
2021-04-19,25.4,25.37,25.22,25.22,19,1348
2021-04-20,25.39,25.23,25.23,25.33,14,1409
2021-04-21,25.35,25.24,25.24,25.35,75,4442
2021-04-22,25.34,25.15,25.15,25.27,37,2212
2021-04-23,25.27,25.27,25.21,25.22,21,1729
2021-04-26,25.27,25.2,25.19,25.27,21,1801
2021-04-27,25.32,25.32,25.2,25.2,18,1739
2021-04-28,25.35,25.35,25.22,25.31,19,5810
2021-04-29,25.48,25.45,25.35,25.39,17,2015
2021-05-03,25.47,25.47,25.32,25.35,15,1759
2021-05-04,25.49,25.43,25.43,25.49,4,311
2021-05-05,25.37,25.3,25.3,25.33,21,1682
2021-05-06,25.3,25.3,25.3,25.3,3,596
2021-05-07,25.34,25.32,25.3,25.3,5,273
2021-05-10,25.35,25.28,25.28,25.35,22,4919
2021-05-11,25.28,25.15,25.15,25.28,37,2057
2021-05-12,25.27,25.27,25.17,25.17,3,161
2021-05-13,25.25,25.15,25.15,25.25,7,2474
2021-05-14,25.18,25.17,25.17,25.18,8,520
2021-05-17,25.35,25.35,25.35,25.35,23,3079
2021-05-18,25.3,25.26,25.26,25.3,4,71
2021-05-20,25.45,25.27,25.27,25.45,5,132
2021-05-21,25.43,25.36,25.36,25.43,2,192
2021-05-24,25.5,25.48,25.48,25.5,6,1986
2021-05-25,25.5,25.5,25.5,25.5,5,928
2021-05-26,25.4,25.4,25.36,25.36,3,200
2021-05-27,25.34,25.32,25.32,25.34,2,100
2021-05-28,25.5,25.5,25.5,25.5,2,367
2021-06-01,25.47,25.47,25.31,25.31,6,99
2021-06-02,25.4,25.4,25.4,25.4,2,100
2021-06-03,25.5,25.5,25.5,25.5,1,1
2021-06-04,25.57,25.4,25.4,25.57,4,60
2021-06-07,25.57,25.57,25.57,25.57,2,220
2021-06-08,25.57,25.5,25.5,25.57,3,70
2021-06-09,25.6,25.6,25.45,25.6,18,3272
2021-06-10,25.58,25.5,25.39,25.4,11,1882
2021-06-11,25.57,25.57,25.56,25.56,3,200
2021-06-14,25.59,25.45,25.35,25.59,19,4682
2021-06-15,25.55,25.55,25.55,25.55,3,211
2021-06-16,26.49,26.49,25.49,25.49,25,3027
2021-06-17,26.47,25.77,25.77,26.47,37,1709
2021-06-18,25.97,25.97,25.95,25.95,2,110
2021-06-21,26.2,25.94,25.8,26.2,7,808
2021-06-22,26.17,26.17,26.17,26.17,1,5
2021-06-23,26.19,25.91,25.91,26.19,11,572
2021-06-25,26.2,26.19,26.17,26.2,3,651
2021-06-28,26.27,25.98,25.98,26.27,2,26
2021-06-29,26.01,26.01,25.75,25.83,16,1315
2021-06-30,26.68,26.68,26.35,26.35,11,1652
