Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-01-08,6.0,5.6,5.08,6.0,3242,963040
2021-01-11,6.2,6.05,5.75,6.0,3983,850849
2021-01-12,6.08,6.0,5.755,6.0,945,140527
2021-01-13,6.27,6.15,5.91,5.98,2273,445180
2021-01-14,6.225,6.12,5.95,6.16,542,87965
2021-01-15,6.07,5.96,5.81,6.07,587,106177
2021-01-19,6.2,6.09,5.92,6.02,620,131625
2021-01-20,6.22,6.08,5.85,6.08,844,148145
2021-01-21,6.1,6.04,5.89,6.0,493,114777
2021-01-22,6.16,6.02,5.93,5.95,350,51341
2021-01-25,7.74,7.53,6.34,6.53,5556,1212341
2021-01-26,6.99,6.46,6.05,6.77,9368,1757171
2021-01-27,6.99,6.33,6.26,6.96,4547,873408
2021-01-28,6.56,6.4,6.05,6.35,2489,455273
2021-01-29,6.49,6.03,5.92,6.45,2407,458373
2021-02-01,6.28,6.22,5.87,6.1,1595,271170
2021-02-02,6.5,6.5,6.04,6.35,1443,287291
2021-02-03,6.845,6.6,6.53,6.59,2788,515547
2021-02-04,7.75,7.2,6.99,7.02,4475,903385
2021-02-05,7.74,7.34,7.03,7.38,2086,449746
2021-02-08,9.87,9.44,8.02,8.03,4845,843616
2021-02-09,9.74,9.1,8.83,9.45,2207,445824
2021-02-10,10.31,9.95,9.2,9.22,2894,507203
2021-02-11,10.22,9.52,9.04,10.04,2103,411551
2021-02-12,9.91,9.32,9.15,9.35,1821,327443
2021-02-16,11.74,10.89,10.26,10.3,3793,809497
2021-02-17,11.2,10.54,10.38,10.91,1886,367362
2021-02-18,10.83,9.78,9.7,10.4,1581,285417
2021-02-19,10.61,10.54,9.71,10.07,1822,351191
2021-02-22,11.75,10.45,10.27,11.5,3035,679493
2021-02-23,10.2,9.91,8.48,9.95,2523,437261
2021-02-24,10.18,9.52,9.43,9.91,2008,376088
2021-02-25,9.52,8.71,8.56,9.52,2079,338269
2021-02-26,10.17,9.48,8.4,8.9,2658,554866
2021-03-01,10.7,9.8,9.44,10.64,6504,935850
2021-03-02,10.46,9.43,8.15,10.25,9763,1673957
2021-03-03,18.14,13.47,12.62,15.5,86461,10779184
2021-03-04,12.2,9.63,9.05,11.33,8649,1255120
2021-03-05,10.3,10.05,8.26,10.3,4923,943098
2021-03-08,9.99,9.33,9.18,9.9,3929,731442
2021-03-09,9.5,9.01,8.81,9.3,2038,412180
2021-03-10,10.88,10.3,9.01,9.17,4297,725236
2021-03-11,10.64,9.98,9.75,10.39,2372,448498
2021-03-12,9.6,9.39,9.11,9.25,2848,791582
2021-03-15,12.9,11.93,9.01,9.3,12217,2410611
2021-03-16,13.79,11.03,10.5,13.47,11820,2264969
2021-03-17,11.79,11.42,10.0,10.31,5026,1006652
2021-03-18,11.76,10.84,10.7,11.06,2500,450949
2021-03-19,11.5,11.12,10.35,10.67,3655,1461423
2021-03-22,11.36,10.68,10.55,10.99,2525,405082
2021-03-23,10.76,10.02,9.76,10.69,2907,454471
2021-03-24,10.02,9.06,9.03,10.0,2516,294510
2021-03-25,9.73,9.61,8.87,9.0,1770,258159
2021-03-26,9.68,9.35,9.22,9.5,1146,142825
2021-03-29,10.1,9.63,9.2,9.28,1847,247606
2021-03-30,9.81,9.57,9.28,9.41,1088,136018
2021-03-31,9.97,9.2,9.2,9.6,1621,551325
2021-04-01,9.83,9.5,9.39,9.39,1216,179873
2021-04-05,9.94,9.89,9.37,9.66,1138,195660
2021-04-06,10.05,9.8,9.65,9.85,1256,178239
2021-04-07,10.38,10.38,9.64,9.68,1973,226174
2021-04-08,10.27,10.19,9.86,10.24,1375,188323
2021-04-09,9.62,9.15,9.02,9.4,2339,403810
2021-04-12,9.12,8.72,8.305,9.08,2222,396417
2021-04-13,8.95,8.65,8.53,8.75,985,161081
2021-04-14,9.76,9.18,8.75,8.85,1698,298194
2021-04-15,9.13,8.78,8.64,9.09,1000,149515
2021-04-16,8.8,8.6,8.45,8.79,1038,132954
2021-04-19,8.7,8.69,8.24,8.5,1166,185248
2021-04-20,9.01,8.97,8.3,8.58,1278,201305
2021-04-21,9.14,8.92,8.76,8.84,1330,205554
2021-04-22,9.32,9.05,8.85,9.04,959,134309
2021-04-23,9.35,9.17,8.96,9.08,807,151517
2021-04-26,9.44,9.35,9.15,9.21,626,81422
2021-04-27,9.48,9.46,9.13,9.4,617,102728
2021-04-28,9.64,9.62,9.33,9.46,466,74989
2021-04-29,9.85,9.76,9.41,9.62,630,86779
2021-04-30,9.85,9.73,9.41,9.54,651,106884
2021-05-03,9.73,9.27,9.21,9.66,549,74025
2021-05-04,9.24,9.2,8.83,9.2,655,90655
2021-05-05,9.19,9.05,8.92,9.17,564,66248
2021-05-06,9.01,8.84,8.66,8.92,693,104501
2021-05-07,9.71,9.5,9.06,9.08,916,126138
2021-05-10,9.43,8.89,8.68,9.43,858,114816
2021-05-11,9.15,8.73,8.35,8.37,864,124798
2021-05-12,8.95,8.81,8.65,8.73,575,82367
2021-05-13,8.81,8.52,8.38,8.78,1182,181014
2021-05-14,9.19,9.11,8.53,8.64,969,153442
2021-05-17,9.26,9.23,8.89,8.9,708,82680
2021-05-18,10.04,9.76,9.21,9.32,1603,226676
2021-05-19,9.83,9.82,9.27,9.47,686,90173
2021-05-20,10.19,9.99,9.81,9.82,965,135283
2021-05-21,10.06,9.91,9.79,10.06,583,90020
2021-05-24,10.15,10.04,9.82,9.99,664,98383
2021-05-25,10.14,10.01,9.86,10.03,623,67328
2021-05-26,10.05,9.86,9.85,10.05,726,78470
2021-05-27,10.05,10.05,9.76,9.85,550,68890
2021-05-28,10.5,10.24,9.96,10.0,949,165449
2021-06-01,11.08,10.87,10.4,10.46,1394,210670
2021-06-02,11.05,10.64,10.54,10.9,879,109627
2021-06-03,11.29,11.1,10.39,10.52,1138,140686
2021-06-04,11.36,11.32,10.98,11.1,760,86225
2021-06-07,12.28,12.08,11.38,11.5,1651,213486
2021-06-08,12.48,12.21,11.84,12.23,1167,125937
2021-06-09,12.71,12.48,12.28,12.41,1054,129461
2021-06-10,13.83,13.35,12.36,12.6,1898,245187
2021-06-11,15.5,14.62,13.38,13.4,3038,449540
2021-06-14,15.66,14.4,14.2,15.66,1997,238270
2021-06-15,15.08,15.0,14.05,14.7,2055,249011
2021-06-16,15.4,15.03,14.45,15.2,2175,312000
2021-06-17,15.605,15.47,15.0,15.0,2453,369920
2021-06-18,15.2,13.93,13.15,15.15,4150,812742
2021-06-21,14.31,14.07,13.235,13.93,3055,344389
2021-06-22,14.21,14.09,13.87,14.15,1419,220930
2021-06-23,14.43,14.3,13.74,14.1,2266,293026
2021-06-24,14.51,14.25,14.0,14.37,2664,281054
2021-06-25,14.47,14.27,13.98,14.23,2830,2883023
2021-06-28,14.01,13.2,12.9,14.01,2080,252785
2021-06-29,13.34,13.19,12.6,13.34,1811,293121
2021-06-30,13.01,12.82,12.42,12.91,1932,218045
2021-07-01,13.35,13.31,12.64,12.85,1430,120895
2021-07-02,13.28,12.95,12.705,13.22,1268,102685
2021-07-06,12.8,12.79,11.92,12.49,1421,192892
2021-07-07,12.88,12.69,12.25,12.85,971,93810
2021-07-08,13.03,12.96,12.23,12.28,1317,142743
2021-07-09,13.54,13.31,12.9,12.9,869,76734
2021-07-12,13.29,13.22,13.0,13.29,725,87812
2021-07-13,13.03,12.16,12.05,13.03,1664,211220
2021-07-14,12.17,11.64,11.54,12.11,1040,141014
2021-07-15,11.63,11.3,10.86,11.63,1455,156306
2021-07-16,11.46,10.99,10.87,11.46,1124,152185
2021-07-19,10.94,10.79,10.38,10.78,1494,171199
2021-07-20,11.34,11.12,10.71,10.86,832,143647
2021-07-21,11.66,11.36,11.14,11.32,1137,140741
2021-07-22,11.24,10.99,10.76,11.22,906,132052
2021-07-23,11.11,10.75,10.67,11.11,756,88108
2021-07-26,11.0,10.75,10.59,10.69,622,68622
2021-07-27,10.84,10.76,10.42,10.68,687,111158
2021-07-28,11.15,10.99,10.9,10.9,724,92305
2021-07-29,11.1,10.31,10.27,11.09,977,163680
2021-07-30,10.46,10.09,10.0,10.31,832,122055
2021-08-02,10.37,10.3,10.08,10.23,614,78662
2021-08-03,10.34,9.89,9.83,10.34,773,106080
2021-08-04,9.97,9.72,9.63,9.8,678,100003
2021-08-05,9.98,9.78,9.53,9.67,650,79364
2021-08-06,9.98,9.87,9.635,9.8,622,64265
2021-08-09,10.25,10.23,9.85,9.85,620,81141
2021-08-10,10.24,10.03,9.85,10.2,887,109750
2021-08-11,10.12,10.04,9.77,10.07,789,62193
2021-08-12,10.3,10.19,9.68,10.06,1628,239229
2021-08-13,9.65,9.1,8.66,9.25,2287,305464
2021-08-16,9.26,8.91,8.74,9.09,941,109880
2021-08-17,9.38,9.32,8.76,8.85,1024,118237
2021-08-18,9.51,9.22,9.17,9.35,1066,81060
2021-08-19,9.19,8.9,8.84,9.19,1414,131337
2021-08-20,9.17,9.06,8.87,8.87,993,109436
2021-08-23,9.28,9.27,8.7,9.18,1523,173342
2021-08-24,9.66,9.58,9.22,9.29,1062,127813
2021-08-25,9.65,9.2,9.16,9.64,1173,167630
2021-08-26,9.29,8.89,8.88,9.16,1138,138622
2021-08-27,9.13,8.88,8.79,8.97,1887,223111
2021-08-30,9.03,8.91,8.76,8.88,1005,106304
2021-08-31,9.56,9.3,9.06,9.1,1872,227941
2021-09-01,9.34,9.1,9.01,9.29,953,84582
2021-09-02,9.5,9.4,9.2,9.24,855,95011
2021-09-03,9.61,9.59,9.17,9.38,889,101054
2021-09-07,9.7,9.15,9.12,9.57,1175,127699
2021-09-08,9.19,8.96,8.85,9.1,728,64786
2021-09-09,9.4,9.23,8.93,8.99,787,70115
2021-09-10,9.35,9.28,9.13,9.29,792,78240
2021-09-13,9.3,8.98,8.95,9.22,955,105790
2021-09-14,9.15,8.72,8.67,9.0,1030,120374
2021-09-15,8.95,8.82,8.62,8.74,908,171298
2021-09-16,8.94,8.94,8.58,8.77,973,189356
2021-09-17,9.11,9.08,8.82,8.96,1424,276419
2021-09-20,8.95,8.72,8.57,8.78,1584,271816
2021-09-21,9.08,8.97,8.75,8.85,1338,203711
2021-09-22,9.01,8.79,8.77,9.01,864,88146
2021-09-23,9.41,9.3,8.81,8.88,820,76536
2021-09-24,9.37,9.1,9.07,9.27,629,71755
2021-09-27,9.63,9.5,9.06,9.09,712,72039
2021-09-28,9.45,9.21,9.205,9.45,732,75137
2021-09-29,9.55,9.15,9.1,9.31,1427,145294
2021-09-30,9.55,9.33,9.2,9.25,862,109794
2021-10-01,9.36,9.29,9.08,9.26,740,85618
2021-10-04,9.23,9.01,8.94,9.23,546,68363
2021-10-05,9.11,8.9,8.88,8.97,556,75675
2021-10-06,8.89,8.74,8.7,8.76,606,107202
2021-10-07,9.045,8.85,8.78,8.78,461,49705
2021-10-08,8.91,8.77,8.75,8.85,460,49744
2021-10-11,9.12,9.06,8.8,8.8,502,63387
2021-10-12,9.77,9.73,9.0,9.0,914,114546
2021-10-13,10.01,9.76,9.56,9.75,960,78688
2021-10-14,9.85,9.75,9.6,9.78,618,85065
2021-10-15,9.86,9.77,9.69,9.86,625,79437
2021-10-18,9.76,9.4,9.26,9.76,658,65056
2021-10-19,9.85,9.69,9.31,9.56,1028,118642
2021-10-20,10.04,10.02,9.61,9.63,555,60942
2021-10-21,10.41,9.74,9.66,10.01,1050,88570
2021-10-22,10.75,10.09,9.44,9.67,2016,252189
2021-10-25,10.11,9.89,9.67,10.02,961,111336
2021-10-26,10.46,10.26,9.8,9.91,1580,143514
2021-10-27,10.45,10.1,10.03,10.22,918,97100
2021-10-28,10.41,10.05,10.03,10.1,1169,113967
2021-10-29,10.03,9.5,9.385,9.91,889,109237
2021-11-01,9.84,9.59,9.33,9.43,970,187713
2021-11-02,9.81,9.79,9.26,9.52,862,118440
2021-11-03,9.93,9.55,9.51,9.69,757,88607
2021-11-04,9.68,9.6,9.43,9.66,865,76149
2021-11-05,9.61,9.46,9.35,9.59,810,85105
2021-11-08,9.6,9.4,9.33,9.47,391,37745
2021-11-09,9.4,9.37,9.03,9.4,701,103312
2021-11-10,9.42,9.1,9.1,9.31,814,86781
2021-11-11,9.66,9.36,9.21,9.34,575,58047
2021-11-12,9.35,9.12,9.09,9.34,599,74053
2021-11-15,9.25,9.17,8.89,9.24,720,88606
2021-11-16,9.15,8.94,8.92,9.1,703,75543
2021-11-17,8.94,8.35,8.33,8.89,1780,273979
2021-11-18,8.4,8.29,8.05,8.34,1075,133064
2021-11-19,8.63,8.4,8.29,8.29,763,78045
2021-11-22,8.41,8.13,8.07,8.32,845,82888
2021-11-23,8.27,8.25,7.92,8.12,958,90615
2021-11-24,8.365,8.28,7.98,8.22,713,80091
2021-11-26,8.15,8.05,7.95,8.05,662,65748
2021-11-29,8.11,7.86,7.82,8.11,1143,81786
2021-11-30,7.93,7.83,7.43,7.88,1924,206432
2021-12-01,8.48,8.03,7.92,8.05,1250,144140
2021-12-02,8.24,8.22,7.71,7.94,1258,106510
2021-12-03,8.37,7.72,7.54,8.37,1492,171044
2021-12-06,8.26,8.13,7.65,7.7,1187,114834
2021-12-07,8.65,8.46,8.22,8.22,894,91141
2021-12-08,8.96,8.77,8.45,8.45,983,79594
2021-12-09,8.96,8.68,8.62,8.64,666,67358
2021-12-10,8.82,8.44,8.44,8.72,652,77005
2021-12-13,8.56,7.77,7.69,8.47,1291,144113
2021-12-14,7.96,7.66,7.58,7.73,715,91826
2021-12-15,7.96,7.86,7.27,7.65,1108,142422
2021-12-16,7.98,7.6,7.47,7.93,791,71758
2021-12-17,8.02,7.78,7.44,7.52,860,447612
2021-12-20,8.9,8.31,7.7,8.0,2164,239543
2021-12-21,9.04,8.9,8.32,8.32,1325,128544
2021-12-22,8.97,8.81,8.65,8.91,890,78444
2021-12-23,9.0,8.97,8.73,8.78,497,59772
2021-12-27,9.4,9.31,8.885,9.02,931,107412
2021-12-28,9.36,8.58,8.58,9.22,800,100663
2021-12-29,9.12,9.08,8.46,8.59,1062,137226
2021-12-30,9.41,8.97,8.92,8.98,984,93224
2021-12-31,9.13,8.71,8.695,8.97,813,117987
2022-01-03,9.42,9.26,8.78,8.8,780,73445
2022-01-04,9.33,8.76,8.69,9.22,1218,112120
2022-01-05,8.83,8.35,8.34,8.78,868,93652
2022-01-06,8.48,8.4,8.06,8.32,909,64970
2022-01-07,8.67,8.63,8.36,8.36,808,86132
2022-01-10,8.73,8.61,8.37,8.49,653,58180
2022-01-11,8.85,8.83,8.5,8.53,815,64179
2022-01-12,8.95,8.53,8.38,8.9,1126,119818
2022-01-13,8.57,8.15,8.13,8.55,1010,105117
2022-01-14,8.3,8.19,7.67,8.14,2028,210806
2022-01-18,8.25,8.0,7.81,8.11,1369,134294
2022-01-19,8.11,7.68,7.62,8.01,1594,160163
2022-01-20,7.92,7.03,6.97,7.66,1722,183308
2022-01-21,7.21,6.48,6.44,6.98,2410,279319
2022-01-24,6.77,6.65,6.1,6.35,1891,214383
2022-01-25,6.83,6.7,6.43,6.55,1188,104629
2022-01-26,7.03,6.42,6.37,6.87,1035,132974
2022-01-27,6.56,6.17,6.09,6.55,1104,120656
2022-01-28,6.45,6.44,6.09,6.19,797,94560
2022-01-31,7.36,7.21,6.69,6.89,1340,231650
2022-02-01,7.34,7.17,6.95,7.21,1026,87565
2022-02-02,7.13,6.63,6.63,7.13,1207,149388
2022-02-03,6.66,6.51,6.36,6.5,1711,164830
2022-02-04,6.73,6.55,6.45,6.5,1045,94661
2022-02-07,6.89,6.61,6.57,6.58,775,84046
2022-02-08,6.64,6.55,6.41,6.55,877,93163
2022-02-09,6.77,6.64,6.53,6.6,753,65584
2022-02-10,6.73,6.55,6.46,6.5,880,83589
2022-02-11,6.55,6.11,6.0,6.54,1237,163105
2022-02-14,6.34,6.09,6.065,6.13,1236,103271
2022-02-15,6.31,6.17,6.06,6.23,1312,135286
2022-02-16,6.14,6.0,5.95,6.13,1031,119921
2022-02-17,6.14,5.64,5.64,5.97,1309,184441
2022-02-18,5.82,5.69,5.57,5.61,1197,127986
2022-02-22,6.02,5.72,5.62,5.62,1299,134822
2022-02-23,5.95,5.54,5.52,5.81,1084,132545
2022-02-24,5.915,5.88,5.23,5.23,1011,97418
2022-02-25,6.02,5.86,5.75,5.93,754,69583
2022-02-28,6.1,5.93,5.8,5.8,656,90771
2022-03-01,6.03,5.69,5.65,5.95,721,76669
2022-03-02,5.81,5.8,5.67,5.7,554,43195
2022-03-03,5.85,5.45,5.38,5.82,1044,86865
